,별점,주문메뉴,리뷰,사진
0,5,[],배달도 빠르고 맛있었어요^^여러가지재료가 많이 들어가 있어서 몸보신한 느낌입니다.,[]
1,5,"['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）', '코카콜라 355mL']",맛있네요 잘먹었습니다,[]
2,4,"['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）', '사리 추가(소시지 추가)', '모듬튀김（만두튀김2＋김말이튀김2＋새우튀김1）', '스프라이트 355mL']",매운맛은 너무 매워서 비추,[]
3,4,['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）'],이런 떡볶이는 처음  ㅎㅎ  정말 잘 먹엇어요,[]
4,4,"['세트（명품떡볶이＋모듬튀김＋코카콜라 or 웰치스 or 스프라이트355mL）', '음료 선택(코카콜라 355mL)']",맛있음 근데 개인적으로 소시지 들어간 떡볶이는 별로 안 좋아해서...소시지 들어간거 빼면 매우 좋음 튀김에 고구마 맛탕처럼 되어있는거 있는데 진심 존맛ㅋㅋㅋㅋ,[]
5,5,['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）'],"1단계,2단계 둘다 시켜먹어봤는데 맛있어요. 재료배합이 짱짱떡,오뎅만 먹으면 질리는 체질인데먹을것이 많아서 좋아요.엽x, 신x, 매운맛도 즐겨먹는데그 매운맛보다는 덜하지만 적당해서 좋습니다.당면 사리추가가 없어서 전 제가 넣어서 먹었어용.굳굳",[]
6,5,"['세트（명품떡볶이＋모듬튀김＋코카콜라 or 웰치스 or 스프라이트355mL）', '사리 추가(소시지 추가', '음료 선택(웰치스 355mL)']",기대안했는 맛있었음 모듬튀김 고구마 대빅 김밀이는 좀 짬..,[]
7,2,"['세트（명품떡볶이＋모듬튀김＋코카콜라 or 웰치스 or 스프라이트355mL）', '사리 추가(계란 추가', '음료 선택(웰치스 355mL)']",맛있어요. 적당히 맵고 양도많고,[]
8,5,"['세트（명품떡볶이＋모듬튀김＋코카콜라 or 웰치스 or 스프라이트355mL）', '음료 선택(코카콜라 355mL)']",두번째 시켰는데 배달도빠르고 정말맛있어요!!,['https://rev-static.yogiyo.co.kr/75999daad17c9880904e725e377d11bd_tn.jpg']
9,5,"['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）', '모듬튀김（만두튀김2＋김말이튀김2＋새우튀김1）']",깔끔하고맛나요~배달도금방오고요~강츄,[]
10,5,['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）'],맛있게 잘먹었습니다:),[]
11,4,"['명품떡볶이（만두튀김＋계란＋메추리알＋콩나물＋양배추＋양파＋오뎅＋단무지）', '삼겹살 정식（삼겹살구이＋밥＋쌈채소＋마늘＋청양고추＋김치）']",매콤하니 맛있어요~ 떡뽁이에 야채도 좀 더 많으면 좋겠어요.,[]
12,4,"['세트（명품떡볶이＋모듬튀김＋코카콜라 or 웰치스 or 스프라이트355mL）', '음료 선택(웰치스 355mL', '사리 추가(소시지 추가)']",맛잇네요~~양도많쿠요추천,[]
