,별점,주문메뉴,리뷰,사진
0,5,['1人）얼큰알탕'],음식이 매우 맛있었고 배달도 엄청 빨리해줘서 좋았습니당,[]
1,5,['1人）고기듬뿍 김치찌개'],가성비 갑이예요~~,['https://rev-static.yogiyo.co.kr/4f949975f6af9eced90390150bb91d81_tn.jpg']
2,5,['1人）얼큰알탕'],1인분인 배달 가게가 없어서 늘 최소 2인분씩 시켰는데 여기는 1인분인데도 양도 많고 맛도 좋네요. 자주 주문할거같네요,['https://rev-static.yogiyo.co.kr/42f2e4cd7855cae5a580a79dab8d4539_tn.jpg']
3,5,['1人）고기듬뿍 김치찌개'],맛있게 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/f5d1a074fc398b70bd935bd68537db11_tn.jpg']
4,5,['1人）돼지고기 된장찌개'],진짜 맛잇게 잘먹엇어용밥도 많이주시고 고기도 많구!!집밥이 그리울땐 이곳 강추합니다!일인가구를 위한 일인분 메뉴 너무 좋아요!,['https://rev-static.yogiyo.co.kr/d68ac6acb4e283b44b498c3a5a0c49d7_tn.jpg']
5,5,['1人）고기듬뿍 김치찌개'],사진은 안찍었지만 든든하고 맛있게 잘먹었습니다 종종 시킬게요,[]
6,5,['1人）얼큰알탕'],근본이네요 친없찐 긱사생이라 밥먹는게 문제였는데 해결한 느낌입니다. 수고하세요,[]
7,5,['1人）돼지고기 된장찌개'],배달도 빠르고 배달원분도 친절하시고 맛도좋고 무엇보다 음식에 정성이 느껴져서 좋았어요,[]
8,5,['1人）고기듬뿍 김치찌개'],맛있습니당~~~~~,[]
9,5,['1人）얼큰알탕'],점심에 알탕도 맛있어서 저녁에 시켰습니다,[]
10,5,"['1人）돼지고기 된장찌개', '공기밥']",엊그제 알탕시키고 오늘은 된장시켜 봤는데 배달도 빠르고 맛있네요.,['https://rev-static.yogiyo.co.kr/e93a7f761bef0b348fe54448915cee48_tn.jpg']
11,5,['1人）돼지고기 된장찌개'],맛있고 서비스가 좋습니다~^^,[]
12,5,['1人）얼큰알탕'],맛잇네요!!자주이용할께요,[]
13,5,"['1人）돼지고기 된장찌개', '코카콜라 350mL']",어제는 김치찌개 오늘은 된장찌개 둘다 갠츈했는데 개취론 김치찌개였어요맛났습니다.,['https://rev-static.yogiyo.co.kr/6ed6503611a4f6140917947897361cbe_tn.jpg']
14,5,['1人）고기듬뿍 김치찌개'],구성도 좋고 깔끔해서 좋네요. 고기양도 괜찮고요,['https://rev-static.yogiyo.co.kr/9b037532bd5c1146688f5536e12ba469_tn.jpg']
15,4,['1人）고기듬뿍 김치찌개'],고기 양은 지난번 보다 좀 적게 느낌이 있다.하지만 커피서비스 아주 친하다!,[]
16,5,['1人）고기듬뿍 김치찌개'],밑반찬도 나오고 양도 거의 1.5인분입니다! 이벤트도 하고있어서 한끼 영질의 식사로 든든하게 했습니다 감사합니다!,['https://rev-static.yogiyo.co.kr/6b5edbd028b22385726f3c919cf226d9_tn.jpg']
17,5,"['1人）고기듬뿍 김치찌개', '공기밥']",맛도 있고 양도 적당하고 배달도 빨라요많이 이용할것같아요!!,[]
18,5,['1人）고기듬뿍 김치찌개'],정말 맛있게 잘 먹었습니다! 집밥이 그리울 때 찾으면 딱 좋을 것 같아요. 양이 넉넉하고 반찬도 푸짐해서 지친 시험기간 든든한 한 끼 했습니다.,['https://rev-static.yogiyo.co.kr/635462179f1ca87b4d3bd2e37ad74c17_tn.jpg']
19,5,['1人）고기듬뿍 김치찌개'],배달도빠르고 맛있게 잘먹었습니다 다음에 또 주문할게요,['https://rev-static.yogiyo.co.kr/6f5a959242468e0e000c44cc79d7ae69_tn.jpg']
20,5,['1人）얼큰알탕'],양도 좋고 가격도 좋아요다만 알탕을 조금만 더 오래 끓여주시면 좋을것같아요,['https://rev-static.yogiyo.co.kr/4f5fd47827495edb01a101200595af1e_tn.jpg']
21,5,['1人）고기듬뿍 김치찌개'],양도 많고 배달 빠르고 맛있었어요,[]
22,5,['1人）고기듬뿍 김치찌개'],맛있었어요. 리뷰 쓴다고 약속했었으니 지켜야죠. 사실 그렇게 큰 기대는 하지 않았습니다만 기대 이상이었습니다. 밥 생각날 때 또 시켜먹을 예정입니다. 감사합니다.,[]
23,5,['1人）얼큰알탕'],이틀연속시켰는데 반찬도 다르고 맛납니당 자주 애용할게요!,['https://rev-static.yogiyo.co.kr/64010f8ae25b28fdb657a7ec6f8520b6_tn.jpg']
24,3,"['1人）고기듬뿍 김치찌개', '공기밥']",1인분인데 양 많아요!맛은 무난해요!,[]
25,5,['1人）해물순두부'],어제 김치찌개 먹어보고 맛있어서 오늘은 해물순두부 로 먹어봤는데 역시 맛있네요 다음에 또 다릉메뉴로 먹어볼게요 잘먹었습니다,['https://rev-static.yogiyo.co.kr/d715020a5a7dc4740524ddb2fd49d49f_tn.jpg']
