,별점,주문메뉴,리뷰,사진
0,5,"['빨간짬닭', '맛 선택(중)']",첨시켜보는데 넘나 맛나네요 ㅋㅋㅋㅋㅋ 역시나 최고,[]
1,4,"['까만짬닭', '토핑 추가(당면사리 추가)']",맛있네요 매운맛 하도 약간매콤해요~^^배달도 친절하고 좋았어요~~,[]
2,4,"['빨간짬닭', '토핑 추가(공기밥)']","빨간 짬닭 중간맛 먹었는데 적당히 매콤했어요. 닭도 크고 고구마, 감자, 떡, 당면 등 사리도 넉넉하고 맛있게먹었습니다. 국물도 맛있어서 밥까지 볶아먹었어요근데 저정도 국물양이 국물 많이 달라고했을 때에 모습입니다. 국물 많이 달라고 따로 요청드렸습니다.",['https://rev-static.yogiyo.co.kr/c9e3e7fab4b7155dc4e1744b621df07d_tn.jpg']
3,5,"['까만짬닭', '토핑 추가(당면사리 추', '공기밥)']",맛있었습니다~~ㅎㅎ,[]
4,5,"['까만짬닭', '토핑 추가(치즈계란찜)', '통살오징어（2）']",잘 먹었어요^^   배달 빠르고 좋았어요,[]
5,4,"['두마리 짬닭', '맛 선택 1(중', '토핑 추가 1(공기밥', '짬닭 선택 2(까만짬닭', '맛 선택 2(순한맛', '토핑 추가 2(공기밥)', '통살오징어（2）']",맛은 있습니다! 오징어 맛잇구요,[]
6,5,['빨간짬닭'],맛 양 배달 다 만족이에요 :) 양념도 적당히 자극적라 계속 땡기네요. 중간매운맛을 주문햇는데 생각보다 더 매콤하네용 다음에 또 주문해서 먹을게용 ^0^,['https://rev-static.yogiyo.co.kr/f0c847d8e9cb286e605c5571d1a94395_tn.jpg']
7,5,['빨간짬닭'],맛있어요ㅋㅋㅋ 또 이용할게요ㅋ,[]
8,5,"['까만짬닭', '김말이튀김（4）', '야채튀김（2）']",맛도 좋고 양도 많아요매운맛 하 선택하니  딱 매콤함이 좋네요,['https://rev-static.yogiyo.co.kr/730ebeef94b984973f37279850ed7839_tn.jpg']
9,4,"['까만짬닭', '쿨피스 180mL 2개']",넘  맛있게 잘먹었어요~~,[]
10,5,"['까만짬닭', '토핑 추가(당면사리 추가)']",존맛탱!!!!!!!@@@,[]
11,5,"['빨간짬닭', '토핑 추가(공기밥)']",찜닭은 항상 요기 양도 많고 맛있어요,['https://rev-static.yogiyo.co.kr/87a100f1690f29edc140f5f6968dab47_tn.jpg']
12,5,['까만짬닭'],배달오신분 친절하셨고 찜닭은 맛있어요ㅎ 저번에 까만거먹어서 빨간거할까하다가 그냥 까만게 더 맛있어서 까만찜닭을 재주문ㅎ 근데 저번엔 고구마없어서 좋았는데 이번엔 다시 고구마가들어가있네요 혹시 고구마빼달라고하면 빼주시나요? 그리고 사이다서비스감사합니다,['https://rev-static.yogiyo.co.kr/81f56030fd35b385135d2964f24f6ba7_tn.jpg']
13,5,"['빨간짬닭', '토핑 추가(셀프주먹김밥)']",빨간양념마싯어요 같이 주문한 주먹밥이랑 같이 먹으니 더 마싯네요 다음에 또 주문할께용^^,['https://rev-static.yogiyo.co.kr/9ef5e18b914f00ae44cd90b4a006509d_tn.jpg']
14,4,"['두마리 짬닭', '맛 선택 1(중', '짬닭 선택 2(빨간짬닭', '맛 선택 2(순한맛)', '공기밥']",맛있어요 ~ 당면도 많고 좋음 ㅎㅎ,['https://rev-static.yogiyo.co.kr/8dec6cf0cdb17c5da67d41e9302a52de_tn.jpg']
15,5,"['치즈떡볶이', '사이즈 선택(中)', '세트B 튀김6종세트（군만두2＋오징어1＋김말이2＋고구마1＋못난이어묵2＋통살치킨2）']",배달이 좀 늦었지만 맛있게 잘 먹었어요~~,[]
16,5,"['치즈떡볶이', '사이즈 선택(中)', '세트B 튀김6종세트（군만두2＋오징어1＋김말이2＋고구마1＋못난이어묵2＋통살치킨2）']",맨날 가서 먹다가 처음 시켜먹었는ㄷㅔ 역시 완전 맛있어요♥♥♥♥♥♥♥♥배달은 좀 느렸지만 번창하세요,['https://rev-static.yogiyo.co.kr/71a71f50bc8168cdbc62cd795909efa4_tn.jpg']
