,별점,주문메뉴,리뷰,사진
0,5,['1타3피피자（불고기＋새우＋포테이토）'],배달 빠르고 맛있었어요가격도 착하고 애정합니다~,[]
1,4,"['오굿박스2（피자 L＋스파게티＋치킨텐더＋수제소시지＋크런치새우튀김）', '코카콜라 1.25L']",맛은 평범하나 양이 생각보다 적은거 같아요 오굿박스2는 성인 남자 2인정도 되는거같아요,[]
2,5,"['베이컨포테이토피자 L', '추가선택(추가안함', '추가선택(치즈크러스트 추가)', '더블바베큐피자 L', '추가선택(추가안함', '추가선택(치즈크러스트 추가)', '1타3피피자（불고기＋새우＋포테이토）', '코카콜라 500mL', '스프라이트 500mL']",좋았어요. 또시켜먹을께요 ㅋㅋ,[]
3,5,"['1타3피피자（불고기＋콤비네이션＋포테이토）', '불고기스파게티']",너무멋있었어요ㅎㅎ 양도 많아요!!,"['https://rev-static.yogiyo.co.kr/5e20b6ac5292cb3aaf585dd55d1074bc_tn.jpg', 'https://rev-static.yogiyo.co.kr/12ed83b3cfa56f9177d4295d19965ac4_tn.jpg']"
4,5,"['불새피자 L', '추가선택(추가안함)']",주문한지 20분 좀 넘어서 왓엉ㅎ 개빠름여그리고 맛은 그저그랬어요. 제입맛에는 맹맹하다고 느껴졌어요. 그래도 싼맛에 먹어서 괜찮앗어요담에는 다른걸롶시켜보고싶네영ㅜ,"['https://rev-static.yogiyo.co.kr/d02042e6244881357012fe89b11170ad_tn.jpg', 'https://rev-static.yogiyo.co.kr/20ff6bf0281e497bdd8ccea6d7f62c0a_tn.jpg']"
5,5,['1타3피피자（불고기＋새우＋포테이토）'],아주 맛있어어요.ㅣ타 4피도 있다던데 메뉴에는 없네요~,[]
6,5,"['베이컨포테이토피자 L', '윙봉（10조각）']",처음 배달시켜봤는데 괜찮았습니다.,['https://rev-static.yogiyo.co.kr/5b5c7d158de14b5288b240944013aafd_tn.jpg']
7,4,['오굿박스1（피자 L＋스파게티＋치킨텐터＋웨지감자＋스틱감자）'],솔직히 생각보다 양이 너무 많아서 놀랐어요 !! 근데 스파게티가 약갼 면에비해 소스가 너무 없었어요 ㅠㅠ 그리고 피자 도우가 약간 물컹은 아닌데 약간 텁텁?한 그래도 맛있고 재주문 있습니다 !!,[]
8,5,['불고기피자 R'],너무너무 맛잉ㅅ어요,[]
9,5,['불고기피자 R'],진짜 맛잇어요 배달도 빨리오고,[]
10,5,['불고기피자 R'],양도 좋고 맜ㅇㅅ어요,[]
11,5,"['통새우피자 R', '엣지 추가 선택(치즈크러스트 추가)']",맛있게 잘먹었어요,[]
12,4,"['고구마피자 L', '핫스파이스피자 L']",완전 맛있었어요~~ 고구마+핫크리스피..? 의 조합 굿입니다,[]
13,5,"['콤비네이션피자 R', '59치킨', '코카콜라 1.25L']","양도 넉넉하고, 맛도 괜찮습니다.배송도 예상보다 빨랐구요.",['https://rev-static.yogiyo.co.kr/8169a4893e2665bfaba9739d5841d50f_tn.jpg']
14,5,['콤비네이션피자 L'],담백하고 맛있어용!고구마 무스 크러스트로 핬더니빵테두리도 맛있네요 ㅋㅋ,"['https://rev-static.yogiyo.co.kr/02f6122400d91596c44ea7836878471b_tn.jpg', 'https://rev-static.yogiyo.co.kr/d3a57a4011a8bddcd0603238d54e20ef_tn.jpg']"
15,4,"['콤비네이션피자 L', '콤비네이션피자 L', '엣지 추가 선택(고구마크러스트 추가)', '스프라이트 1.25L']",맛은 있는데.. 핫소스는 기본1개도 안오규 기본 피클만 옴 ㅠㅜ,[]
16,5,"['콤비네이션피자 L', '새우링（8조각）', '치킨텐더（8조각）', '코카콜라 1.25L']",피자는 원래 맛있었고새우링이랑 치킨텐더 꿀맛이에용!,"['https://rev-static.yogiyo.co.kr/7ea2c8e97ef93c940891d3f55f340643_tn.jpg', 'https://rev-static.yogiyo.co.kr/135e35586893301a4aa92d248e808e79_tn.jpg', 'https://rev-static.yogiyo.co.kr/49e58843371f954e617cdf4931315eed_tn.jpg']"
17,2,['불고기피자 L'],그냥그래요맛은그냥잘모르겠어요,[]
18,5,"['야채피자 R', '59치킨']",맛있어요 다음에 또 시켜먹을께요~,[]
