,별점,주문메뉴,리뷰,사진
0,5,"['자메이카 통다리구이', '스프라이트1.5L', '맥주 ', '000CC']",맛있어요~~~~~~~,[]
1,5,"['황금올리브속안심', '양념소스 추가']",배달이 빨라서 좋았어요~~~~^^,[]
2,5,['자메이카 통다리구이'],역시 믿고먹는 자메이카 !! 굳👍🏻지금 축구보면서 먹고있는데 첫골 넣어서 맛이 더좋다능~ ㅎㅎ,['https://rev-static.yogiyo.co.kr/30ac11fe85163ac26ede1d17a882038b_tn.jpg']
3,5,"['황금올리브속안심', '치즈볼＋시즈닝추가']",치즈볼은 별로에요... 텐더는 진짜 맛있네요 양도 많고 뜨끈뜨끈,['https://rev-static.yogiyo.co.kr/5e514b1f6aa4e90284c3d1e028a6b9e2_tn.jpg']
4,5,['순살크래커'],벌써 다섯번째 시켜먹은 순살크래커아이와 먹기 최고입니다~,[]
5,3,"['황금올리브핫윙', '올치팝（컵）']",배달너무 늦음 치킨 바삭하긴한데 느끼함...,[]
6,4,"['황금올리브치킨', '극한왕갈비치킨']",저렴할 때 먹으니까 더 맛있네요,[]
7,5,['황금올리브（반반）'],믿고먹는 황금 올리브 반반입니다. 다만 양념이랑 후라이드 비율이 양념이 좀 더 많았어요.,[]
8,5,['왕갈비당고세트（대）'],치킨이 먹고파서 시켜먹은건데후기를 잊고 있었네요.맛나요,['https://rev-static.yogiyo.co.kr/e484fa0a11b617f6fe15c0fdb69b15cc_tn.jpg']
9,5,['황금올리브（반반）'],맛있었습니다~!배달도 많이 늦지않고 적당!,[]
10,4,"['바삭칸치킨（반반）', '코카-콜라 1.25L']",아들이 좋아합니다..,[]
11,4,"['황금올리브닭다리（반반）', '양념소스 추가', '코카-콜라 500ml']",믿고먹는 비비큐라 아직 배달은 안왔지만맛이랑양은 만점드려요..근데 배달이와야 제대로 된 리뷰를 쓰지않을까요..월요일 한가한시간인데도 한시간넘도록 안오는건 좀 문제가있는거같네요 ㅠㅠ배달너무느려요,[]
12,1,['황올 왕새우 세트'],전화도 안받으시고  돌리시고서비스면에서도 그렇고 개인적으로 좋아하는 브랜든데 제 입맛에는 안맞았습니다,[]
13,5,['황금올리브닭다리'],굿 너무너무 맛있어여 ㅎㅎ,[]
14,5,['황금올리브（반반）'],역시 황올은 진리입니다,['https://rev-static.yogiyo.co.kr/9bde816d7b599aa5ae3af3d84ab70be7_tn.jpg']
15,5,"['황금올리브치킨', '치즈스틱', '고구마스틱', '치킨무 추가', '비비소스 추가', '순살크래커 소스추가', '양념소스 추가']",맛나요 ㅋㅋ배민쓰다가 넘어왔네요 오래된 기름맛안나고 고소합니다,[]
16,5,['황금올리브（반반）'],비비큐 너무 맛있어요,[]
17,5,"['황금올리브닭다리', '스프라이트500ml']",비비큐는 진짜  최고다,[]
