,별점,주문메뉴,리뷰,사진
0,5,['순살뿌링클'],배달도 빠르고..맛은 원래 일품이구요..ㅎㅎ제가사는 동네에이번에 생겼나봐요..ㅎㅎ넘 좋네요...자주 시킬께요..아 그리고 손편지도 남겨주시궁...바쁘실텐데...넘 감사했어용..대박나시길~,['https://rev-static.yogiyo.co.kr/04b5c17de61163fc0278a0668d70c9e2_tn.jpg']
1,5,['해바라기후라이드치킨'],맛있어요 양도 푸짐하고~~~~동네어 치킨집이 별로없어 눅눅한 치킨먹곤 했는데bhc가 오픈해서 이제는 갓 튀긴 따뜻한 후라이드를 먹게 되어 너무 반갑네요,[]
2,5,"['뿌링소떡', '뿌링소떡', '달콤바삭치즈볼', '콜라1.25L¸']",사장님 너무 착하시고 좋은것같아요 ㅜㅜ소스많이 달라고했는데 이렇게 편지까지써주시고 감사합니다 벌써 두번째인데 앞으로는 여기서만 시켜먹을께요💯💯,['https://rev-static.yogiyo.co.kr/9b64d5dd7c3ec3a5179186f04f750298_tn.jpg']
3,5,['뿌링클'],"뿌링클,치즈볼정말맛있습니다.배달도 느린건아니었는데그렇게먼거리가아닌데 1시간정도걸려서...",[]
4,5,['후라이드 반／양념 반'],와 여기는 진짜다 bhc치킨 많이먹어서 여기 저기 다먹어봤는데 여기가 제일맛있고 배달도 빠르고 맛도좋고 최고임 친절한듯 쪽지로 시켜줘서 고맙다 써보내고 콜라도 다른지점하고 틀리게  뚱땡이 캔콜라에 양념소스도 챙겨주고 진짜 최고 대박나세요!,['https://rev-static.yogiyo.co.kr/5b036dfe09c6cec450490e0de6dcaaea_tn.jpg']
5,5,['해바라기후라이드치킨'],가까운 곳에 생겨서 시켜봤어요! 깔끔하고 양념도 두개 콜라는 코카콜라라서 더욱 좋았습니다! 맛있게 잘먹었어요 자주 시킬게요~!,['https://rev-static.yogiyo.co.kr/1256dda3edcd2a5d3a36aa47ba6bf7c2_tn.jpg']
6,3,['뿌링클'],원래 뿌링소스 배달 안오는건가요..? 이젠 추가로 500원 더 내야 배달되는 건가요....,[]
7,5,['맛초킹（한마리）'],배달 요청사항도 잘 들어주시고 치킨도 너무 맛있게 잘 먹었어요! 감사합니다~ 다음에 또 시킬게요!,[]
8,5,['뿌링클'],뿌링클 맛있네요 .,['https://rev-static.yogiyo.co.kr/1fa2c69dd8207d238af11402574c4a20_tn.jpg']
9,4,['순살뿌링클'],뿌링클 애들이 잘먹었습니다.,[]
