,별점,주문메뉴,리뷰,사진
0,4,[],맛초킹맛있네요ㅎ,[]
1,5,['해바라기 후라이드 치킨'],정말맛있네요,[]
2,4,[],맛있어요,[]
3,5,[],진짜맛잇다,[]
4,5,['맛초킹'],맛초킹!!!! 완전 맛있게 잘먹었습니다!!!!,[]
5,5,[],핫쵸킹 너무맛있었어요,[]
6,5,['뿌링클'],맛있어요!!,[]
7,4,[],신속정확,[]
8,4,[],맛좋아요,[]
9,5,['해바라기 후라이드 치킨'],후라이드 양념반 시켜먹는데 다른 곳보다 맛있는 것 같아요~~~ 저는 계속 bhc 시켜 먹을 것 같네요,[]
10,5,['해바라기 후라이드 치킨'],bhc에서 처음 시켜보는데 맛있네요 바삭하니 앞으로 자주 먹을게요,['https://rev-static.yogiyo.co.kr/156e9e3e002f42383be68ad27ae8ad7b_tn.jpg']
11,5,['뿌링클'],가루도 많이 뿌려주시고 완전 맛있네요,['https://rev-static.yogiyo.co.kr/1f917483d55ef5712850f9bcb2f4e8c3_tn.jpg']
12,3,[],양념통탉 주문 :바삭한 맛은 있으나 양념이 과하다는 느낌이 듭니다,[]
13,4,[],배달좀빨리왓으묜 맛은 굿,[]
14,5,['양념치킨'],맛있게 잘먹었습니다^^,[]
15,5,['해바라기 후라이드 치킨'],맛잇어용,[]
16,5,['맛초킹'],맛있게 먹었어요^^맛초킹 굿굿,['https://rev-static.yogiyo.co.kr/8d86b9438fbe6d14d00e7aeea71f8359_tn.jpg']
17,5,['해바라기 핫후라이드 치킨'],핫후라이드 맛있습니다.,[]
18,5,[],맛나요,[]
19,4,[],정말 맛있네요 담에 또 먹을거냠,[]
20,4,[],맛은 있지만 배달순번이 마지막이었는지 닭이 차가웠어요 ㅠㅠㅠ,[]
21,5,"['뿌링클', '왕콜팝']",ok캐쉬백 거의 10000점에 2000점포인트로 해서 너무맛있게잘먹었어요 다음에도 또시켜먹을게요!!,[]
22,5,['해바라기 후라이드 치킨'],고소한 맛이 일품입니다 ㅎㅎ,[]
23,5,['순살맛초킹'],양도 많고 진짜 맛있어요!,[]
24,5,['맛초킹'],여름쯤에 주인바뀌고 맛이 확 떨어져서 한동안 주문 안했는데 오늘 생각이 확 바뀌게 되었습니다. 아낌없이 뿌린 소스에 큼직하게 썰어넣은 고추 마늘 양파 등 완벽한 맛초킹이었습니다! 앞으로 다시 영통점으로 고정!,[]
25,5,['맛초킹'],치킨도 따뜻하고 맛나고 배달원분도 친절하셔요~ 저녁시간인데 빨리왔구요 앞으로도 여기서 주문하려구요^.~,['https://rev-static.yogiyo.co.kr/b22c7e60d50df74afc3e527af276f3ad_tn.jpg']
26,5,['해바라기 후라이드 치킨'],여전히 치킨은 촉촉하네용~!! 양념 소스는 저하고 약간 안맞긴하지만 맛잇어용~!!,[]
27,5,[],마초킹! 소스 듬뿍 주셔서 맛있게 잘먹었어요^^,[]
28,5,[],양념치킨 처음 먹었는데..맛있네요.근데치킨  조각이 너무커요.좀더 작게잘라주시면 좋을듯~~~~,[]
29,5,['뿌링클'],뿌링클 너무 맛있어요 ㅎㅎ 배달도 생각보다 빨리 오시고 뜨겁게 잘 먹었네요 ㅎㅎ 다만 몇 개는 튀김옷이 너무 두꺼워서 버린 ㅠㅠ,['https://rev-static.yogiyo.co.kr/5934d0ab4b34c0ef2c907bf7a3c084e7_tn.jpg']
30,3,[],핫스파이스 맛 괜찮아요! Kfc치킨맛이랄까,[]
31,1,['해바라기 후라이드 치킨'],다리가 하나왓어요 그리고 튀김이 너무많아서 느끼해요 진짜 다리가 하나온거만아니여도 별4개인데 하나는좀아니지않나싶네요,[]
32,5,['맛초킹'],맛초킹 시켜먹었는데 너무 맛있어요!!닭에 살도 많고 야들야들하니 좋은데양념도 듬뿍듬뿍!! 담에 또 시켜먹을게요!!,['https://rev-static.yogiyo.co.kr/77ccb5b46120abeb8f5cb0113772ece1_tn.jpg']
33,1,['해바라기 핫후라이드 치킨'],"기름이 좀 오래된것같아요 ㅠㅠ[BHC-수원영통점]안녕하세요 고객님, BHC-수원영통점 입니다.항상 깨끗한 기름으로 튀기지만 핫 후라이드이기 때문에 튀김 색이 약간 진한갈색으로 나올수밖에 없습니다.감사합니다.",[]
34,5,['해바라기 핫후라이드 치킨'],정말 맛있게 잘먹었습니다^^제가 요기요 어플 다운받기전부터 매번 가서 포장해왔는데 언제나 대만족입니다 항상 맛있는 치킨 감사합니다^^,[]
35,5,['양념치킨'],굿,[]
