,별점,주문메뉴,리뷰,사진
0,5,[],한시간만...기다리다가...전화했더니 요기요 안해요.몇분후 다시 전화와서 잘모는 분이 전화 받았다.지금 준비해서 보내겠다.바빠서 확인이 제대로 안됐다.이해는 하는데...저희는 한시간이나 기다림 ㅜㅜ,[]
1,1,[],맛나게 먹었어요,[]
2,3,[],양념소스는 굿그러나 아쉬운건 튀겨진 상태가 조금 눅눅한게..후라이드는 바삭함이 생명인듯 시포요,[]
3,5,[],정말 맛있어요.후라이드는바삭양념 도   딱  내스탈~^^♡다음에도  아니 내일또시켜먹을꺼예요,[]
4,5,[],정말 맛있어요.후라이드는바삭양념 도   딱  내스탈~^^♡다음에도  아니 내일또시켜먹을꺼예요,[]
5,4,[],항상 잘 먹고있어요~~,[]
6,5,[],맛있어요~!,[]
7,1,[],아 이거 정말 맛없습니다ㅠ 맥도날드 맥너겟이 훨씬맛있네요,[]
8,1,[],아니 어찌된게 주문한지 한시간이 넘었는데 소식이 없네요닭을 키워서 오나 .. 배달 장사 이렇게 할거면 이리 하면 안되지 그전 리뷰 보다가 시킬까 말까 하다가 시켰드만 괜히 리뷰에 안좋은소리 한게 아니라는걸 뼈 저드리게 느낌 이따구로하면 얼마가지못할듯,[]
9,5,['맛초킹 한마리'],맛나여,[]
10,4,[],맛있습니다.양념은 좀 많이 달달하네요,[]
11,1,['순살맛초킹'],맛초킹순살시켜먹었는데차갑고 전혀바삭하지않고 눅눅합니다달고 속쓰렸읍니다.포인트 섞어서 결제했다고 복수하시는겁니까?,[]
12,4,[],맛초킹 맛있어요~ 달콤바삭 치즈볼 시켜봤는데 치즈 좋아하시는 분은 좋아할거같아요! 배고픈데 너무오래걸려서 조금아쉬웠어요 담에 또 시켜먹으려고요 만족^^,[]
13,1,['맛초킹'],실수로 다른점에 시켰는데 배달예상시간보다 늦길래 전화햇더니 바쁘다고 언제출발했는지 말은 못해주겟고 5분안에 도착하니 기다려달라고 전화바로끊는 치킨집이네요... 막상도착한닭 보니 말이 안나오네요... 닭을 똑바로 한건지도 모르겠고 양념도 대충묻혀서 보냈네요 ㅡㅡ^ 장사를 하자는건지 말라는건지 전 이집 완전 비춥니다 ㅡㅡ,[]
14,5,[],베리긋,[]
15,5,['순살뿌링클'],"요기요 결제로 순살 뿌링클 시켜 먹었어요.가루도 충분히 뿌려주시고 따끈한 치킨 맛있게 먹었어요.혹시라도 별점이 낮아 주문 고민하시는 분들 도움 되라고 리뷰 올립니다. 저는 여기 추천이요^^ 치킨은 여기랑 또래오래 영통점만 시켜 먹어요.단지, 저는 배달시간은 별로 신경 안 쓰는 편이라...배달시간은 (우리집 기준) 보통 45분 정도 걸리는 것 같으니 시간 여유 넉넉히 두고 주문하시면 좋을 것 같아요.",[]
16,2,['순살바삭클'],날씨가 추운건 맞는데... 치킨이 다 식어왔어요.미지근한것도 아니고완전 식어서대체 배달을 얼마나 돌렸길래...,[]
17,5,[],맛초킹 맛납니다.,[]
18,4,[],이벤트 때문인지..배달이 밀려서인지 65분만에 왔지만..치킨은 맛났어요~~,[]
19,5,['해바라기 핫후라이드 치킨'],여기 치킨 맛있네요.이벤트때문에 정신없으셨을텐데도양도 맛도 만족이었습니다,[]
20,4,['맛초킹'],진짜 맛잏네오 마초킹,[]
21,5,[],너무 편리하고 좋네요. 따끈하고 바삭하게너무 잘먹었어요,[]
22,1,['순살맛초킹'],아  닭자체가맛없어요.열한시 반쯤 시켰는데 이지점에서 시키지마세요 맛초킹 맛있다고 하는데 여기는 맥너겟 소스안찍어 먹는게 더 나을거 같네요.닭에 케첩뿌려 먹는게 낫겠다 아진짜ㅡㅡ,[]
23,1,[],치킨이 속까지 차가운건..날이 추우니 이해한다하지만 마초킹시켰는데 후라이드인줄! 소스가 진짜 심하게 없음,[]
24,4,[],맛쵸킹 맛나요간장소스가 기본이네요소스가 덜 묻여서 왔는데 너무 흥건하면 많이 못먹을듯..,[]
25,1,[],배달시간도 괜찮았고 배달원분도 친절했는데 진심 다른 리뷰처럼 치킨이 ㅎ... 제가 맛초킹 정말 좋아해서 맨날 이것만 먹는데 여기 지점에 제일 최악이었어요. 소스 진심 1도없고  ㅎ 제가 후라이드를 먹는지 맛초킹을 먹는지.. 다른 지점들과 너무 비교되고 닭 외의 재료들은 고추 몇 점 빼면 찾아볼수도 없구요. 후기를 보아서 소스 많이 달라고 주문에 썼는데.. 치킨에도 반밖에 묻어있지않을뿐더러 치킨상자 바닥엔 아예 묻지도 않네요,[]
26,4,['맛초킹'],맛초킹시켰는데 너무짜요ㅡㅡ장사하기힘들겠어요 누군후라이드처럼준다 누군짜다ㅋㅋㅋ죄송한데적당히좀버무려주세요,[]
27,5,[],항상 뜨끈뜨끈 갓 튀긴듯한 치킨은 이집이 갑~!!!,[]
28,5,[],뿌링클최고~,[]
29,5,['맛초킹'],맛쵸킹? 맛있어요^^,[]
30,5,[],젤 맛나요^^,[]
31,4,[],바삭하고 맛있어요.근데 매콤한치킨은 아니네요^^,[]
32,5,['해바라기 후라이드 치킨'],양도 많고 맛있어요 ㅋㅋ,[]
33,5,[],겁나맛있네,[]
34,4,[],금방 튀긴 듯 촉촉하고 맛있네요,[]
35,4,['해바라기 후라이드 치킨'],처음 bhc 먹었는데 맛나네요 ㅎ ㅎ,['https://rev-static.yogiyo.co.kr/113754d9c301bef9397f64a08390530d_tn.jpg']
36,5,['뿌링클'],뿌링클 너무 맛있어요ㅠㅠ혼자 반마리나 먹어써요ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/c2ee3ce997223f42465518f6732d23f1_tn.jpg']
37,5,[],편리하게잘주문하였습니다배달음식자주이용요기요로주문good!!,[]
38,5,[],맛있당~~~ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/485db6bf69dcdd74ba3d3dfe975d6c6f_tn.jpg']
39,5,[],약속된 시간에 정확히 배달되었네요..갓 튀긴 치킨의 맛은 당연하구요~~^^,[]
