,별점,주문메뉴,리뷰,사진
0,5,"['2＋1 허쉬초코드링크235ml', '2＋1(허쉬초코드링크235ml)', '2＋1 치토스스모키바베큐', '2＋1(치토스스모키바베큐)', '칠성사이다P1.5L', '허니버터칩', '다이제초코']",cu가 생겨서 과자같은것도 시켜먹어보네요,['https://rev-static.yogiyo.co.kr/17e2105dbc1656db095c2a43cfb445dd_tn.jpg']
1,4,"['까르보불닭큰컵', '숏다리', '꼬북칩콘스프맛', '태양의맛썬칩80g', '허니버터칩', '아몬드빼빼로1500', '크런키초콜릿', '비닐봉투']",편의점 배달이라니 무척 편리하네요,[]
2,4,"['2＋1 참깨라면컵', '2＋1(참깨라면컵)', '2＋1 힘찬헛개차P500ml', '2＋1(힘찬헛개차P500ml)', '스타벅스더블샷캔', '박카스F', '꼬북칩콘스프맛', '허니버터칩', '비닐봉투']",배달도 빠르고 아주좋아용,[]
3,5,"['2＋1 포도봉봉캔340ml', '2＋1(포도봉봉캔340ml)', '2＋1 갈아만든배캔340ml', '2＋1(갈아만든배캔340ml)', '육개장사발면', '스타벅스모카병', '태양의맛썬칩80g', '비닐봉투']",편의점도 배달이 되다니 너무 좋네요!!배달도 예상시간보다 훨씬 빨리 왔어요 감사합니다!,['https://rev-static.yogiyo.co.kr/7b468ebf387b035da0549a1290eedd44_tn.jpg']
4,5,"['2＋1 꼬북칩콘스프맛', '2＋1(꼬북칩콘스프맛)', '2＋1 포테토칩60g', '2＋1(포테토칩60g)', '웰치스포도맛캔355ml', '스타벅스모카병', '페레로로쉐5구', '비닐봉투']",편의점도 배달되니 좋네요,['https://rev-static.yogiyo.co.kr/fa714912e27c0cffd32963c3181dd098_tn.jpg']
5,5,"['2＋1 의성마늘프랑크핫바', '2＋1(의성마늘프랑크핫바)', '백종원12찬한판도시락', '고기듬뿍김치제육도시락', '비닐봉투']",배달 엄청빠르네요.,[]
6,5,"['2＋1 바리스타에스프레소', '2＋1(바리스타에스프레소)', '2＋1 제주삼다수500ml', '2＋1(제주삼다수500ml)', '모찌모찌믹스', 'HEYROO미네랄워터P1L', '태양의맛썬칩80g', '초코송이', '비닐봉투']",배달도 빨리 해주시고 감사합니다.,[]
7,5,"['2＋1 의성마늘프랑크핫바', '2＋1(의성마늘프랑크핫바)', '백종원한입돈까스도시락', '까르보불닭큰컵', '비닐봉투']",배달이 빨라서 좋았어요,['https://rev-static.yogiyo.co.kr/37106dcc20ba6700db0d476827f89d6e_tn.jpg']
8,5,"['2＋1 김치사발면', '2＋1(김치사발면)', '2＋1 의성마늘프랑크핫바', '2＋1(의성마늘프랑크핫바)', '짜파게티', '신라면', '데미소다애플캔250ml', '비닐봉투']",편의점도 배달되고 좋아요,['https://rev-static.yogiyo.co.kr/d85adb7dfc0b561d6a472659ea3bed81_tn.jpg']
9,5,"['2＋1 김치사발면', '2＋1(김치사발면)', '백종원12찬한판도시락', '스팸김치볶음밥주먹밥', '짜파게티', '비닐봉투']",만점입니다♡♡♡♡♡♡,[]
10,5,"['2＋1 콘트라베이스P500ml', '2＋1(콘트라베이스P500ml)', '백종원한입돈까스도시락', '백종원고깃집볶음밥주먹밥¸', 'ABC초코쿠키50g', '비닐봉투']",굿굿구굿구구구굿굿굿,['https://rev-static.yogiyo.co.kr/4b05ca5a25afa266e8c70dbb937520bb_tn.jpg']
11,5,"['기력충전!정식도시락', '백종원한입돈까스도시락', '코카콜라P1.5L', '비닐봉투']",재고 계속 바뀌니 엄청 힘드실거같네요 담부턴 직접가겠습니다 ㅠㅠ,['https://rev-static.yogiyo.co.kr/eb9123051c353420a563e7b8259543ce_tn.jpg']
12,5,"['2＋1 비비고썰은배추김치60g', '2＋1(비비고썰은배추김치60g)', '2＋1 드링킹요구플레인310ml', '2＋1(드링킹요구플레인310ml)', '비닐봉투']",감사합니다. 배달도 빠르고 좋았습니다.,[]
13,5,"['2＋1 새우탕큰사발', '2＋1(새우탕큰사발)', '2＋1 트윅스쿠키', '2＋1(트윅스쿠키)', '2＋1 포테토칩육개장사발', '2＋1(포테토칩육개장사발)', '1＋1 파워에이드캔240ml', 'ABC초코쿠키50g', '조지아오리지널캔', '비닐봉투']",편의점 배달되고 좋아요,[]
14,5,"['2＋1 초코홈런볼46g', '2＋1(초코홈런볼46g)', '1＋1 크래프트아메P470ml', '2＋1 베지밀A병', '2＋1(베지밀A병)', '2＋1 드링킹요구플레인310ml', '2＋1(드링킹요구플레인310ml)', '1＋1 제주삼다수500ml', '비닐봉투']",배달도 빠르고 상품도 꼼꼼하게 챙갸주시고 감사합니다.,[]
