,별점,주문메뉴,리뷰,사진
0,5,"['바베큐치킨 샌드위치（야채적게）', '오븐머쉬룸치즈 샌드위치 ', '아이스코코넛커피']","비주얼도 맛도 최강,, 머쉬룸샌드위치 치즈가 많네요기대한 맛이에요 ㅋㅋㅋ바베큐치킨은 내용물이 진짜 짱많아요!!!진짜 이게 야채가 적은버전 맞나요...???두툼해서먹는데 힘들었지만 이게 진짜 최강 맛있어요바베큐치킨 단골예정!!!! 빨대가 안와서 아쉬웠어요ㅠㅠ다음번엔 꼭 챙겨주세여ㅎㅎ 잘먹었습니당","['https://rev-static.yogiyo.co.kr/f39aa08c5ab2fb6711205f56e836871b_tn.jpg', 'https://rev-static.yogiyo.co.kr/aae0265318a8b86bd1ca368f9c51ca74_tn.jpg']"
1,5,[],양도 많고 맛있게 잘먹었어요,['https://rev-static.yogiyo.co.kr/c38c394ceb2c067a713cbb3460936812_tn.jpg']
2,5,"['햄치즈 샌드위치（야채적게）', '핫치킨 샌드위치（야채적게）', '카페라떼']",진짜 푸짐하네요!!핫치킨은 진짜 좀 매워요ㅠ커피는 좀 쓰긴한데햄치즈 진짜 맛있네요!!,['https://rev-static.yogiyo.co.kr/2684142b8db52ba386443914b6ce5d0a_tn.jpg']
3,5,"['에그치즈 샌드위치（야채적게）', '치즈 추가)', '바베큐치킨 샌드위치（야채적게）', '치즈 추가)']",양도많고 야채도  신선하고 너무 맛잇어요^^,[]
4,5,"['바베큐치킨 샌드위치（야채적게）', '딸기 스무디', '옛날토스트']",항상 맛있게 잘먹고있어요,['https://rev-static.yogiyo.co.kr/a28964ced4322e495ac644edfd5f83c9_tn.jpg']
5,5,[],양 푸짐하고 맛있습니다 ㅎ,['https://rev-static.yogiyo.co.kr/1ec1d9f322ca885006dd213191cbc350_tn.jpg']
6,5,"['에그치즈 샌드위치（야채적게）', '바베큐치킨 샌드위치（야채적게）', '오븐머쉬룸치즈 샌드위치 ']",어두워서 사진이 잘 안나왔는데 두툼하고 맛있습니다 ㅎ,['https://rev-static.yogiyo.co.kr/bc37e12f4d1375d77628b63e9dd54625_tn.jpg']
7,5,"['달달 연유라떼', '유자티', '옛날토스트', '옛날토스트']",옛날토스트 정말 맛있어요,['https://rev-static.yogiyo.co.kr/d1ec3da90412c03dc7e3ed32fa006228_tn.jpg']
8,5,[],오늘도 잘먹었습니다 굳굳,['https://rev-static.yogiyo.co.kr/a364b87502afc60f1e3da1b8d4454d06_tn.jpg']
9,3,"['핫치킨 샌드위치（야채적게）', '소스적', '에그 추가)', '수제백향과 에이드', '옛날토스트']",양도 많고 두툼하게 와요! 치킨도 큼직하게 와서 좋았고 음료도 많이 안녹고 왔습니다.,['https://rev-static.yogiyo.co.kr/0c64aeab9dd705b435a6253cb8828ec8_tn.jpg']
10,5,"['바베큐치킨 샌드위치（야채적게）', '오븐머쉬룸치즈 샌드위치 ', '바닐라라떼']",샌드위치 너무 맛있고 양많고커피도 고소하고 달고 맛있게 잘먹었어요^^,[]
11,5,"['에그치즈 샌드위치（야채적게）', '바베큐치킨 샌드위치（야채적게）', '옛날토스트']",옛날토스트가 생각한거 이상으로 맛있었네요 :),[]
12,4,"['핫치킨 샌드위치（야채적게）', '바베큐치킨 샌드위치（야채적게）', '옛날토스트']",괜찮앗음 핫치킨은 좀 매움,[]
13,5,"['바베큐치킨 샌드위치（야채적게）', '오븐고르곤치즈 샌드위치', '수제자몽 에이드']",샌드위치 브런치로 먹기 딱 좋내요,[]
14,5,"['햄치즈 샌드위치（야채적게）', '햄치즈 샌드위치（야채적게）', '바닐라라떼']",급하게 먹느라 사진 찍는걸 깜빡햇어요ㅠㅠ매번 시켜먹을때 마다 느끼는거지만 양도 많고 정말 맛있어요~^^그리구 사장님이 여성분이셔서 그런지 컵홀더에 그려진 캐릭터도 귀엽구 하트모양 빨대도 너무 이뻐요~~ (하리보 젤리 맛잇게 잘먹었습니다!),[]
15,5,"['에그치즈 샌드위치（야채적게）', '리얼토마토쥬스', '악마 브레드']",샌드위치 맛있어요 야채적게인데도 야채 넉넉히 들어있어요 악마브레드는 궁금해서 시켜봤는데 제취향은 아닌데 달달한거 좋아하시는 분들은 좋아할 맛이예요 서비스쿠키도 맛있었어요,['https://rev-static.yogiyo.co.kr/0784b30f3a43631c28e984c9f2b9cd83_tn.jpg']
16,5,['옛날토스트'],정말 맛있게 잘묵었습니다 센스있는 아메리카노 쿠키 너무 잘받았어요 종종 주문할게요^^,['https://rev-static.yogiyo.co.kr/cc04e016a589d93cdd18ee55851571ce_tn.jpg']
17,5,"['햄치즈 샌드위치（야채적게）', '에그치즈 샌드위치（야채적게）', '바질토마토 샌드위치（야채적게）', '옛날토스트']",진짜맛있어요샌드위치계의 혁명또시켜먹을거임,['https://rev-static.yogiyo.co.kr/3a6dc042ef3a23636fcbdd52b83d6058_tn.jpg']
18,5,"['바질토마토 샌드위치（야채적게）', '바베큐치킨 샌드위치（야채적게）', '옛날토스트']",아이들 간식으로 주문했는데 너무 잘 먹어요,[]
19,5,"['바베큐치킨 샌드위치（야채적게）', '아이스코코넛커피', '옛날토스트']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/4c215098d286f283fa2a3d71a910e777_tn.jpg']
20,5,['옛날토스트'],항상 먹을때마다 너무 잘먹고있습니다^^,['https://rev-static.yogiyo.co.kr/884cf7464d59d63a3777d09cac9faee1_tn.jpg']
21,5,"['핫치킨 샌드위치（야채적게）', '딸기 스무디', '악마 브레드', '옛날토스트']",맛있게 잘 먹었습니다,[]
22,4,"['햄치즈 샌드위치（야채적게）', '오븐머쉬룸치즈 샌드위치 ', '오븐고르곤치즈 샌드위치']",상큼한게 먹고싶어서 주문했어요.500원 야채추가 했는데요.엄청나네요 ^^저거 반쪽만 먹고도 훌륭해요~~전반적으로 짭쪼롬한 편이었으나 개인적인취향인지라 단점이라기엔 애매하네요~커피에 과자까지 서비스로 주시고.저녁 한끼 잘 해결했습니다~~~나중에도 또 먹고싶어요~번창해주세요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/4211fcb70947b616e4c411d7b4c4397e_tn.jpg']
23,5,"['에그치즈 샌드위치（야채적게）', '햄 추가)', '쿠앤크 스무디', '복숭아 아이스티']",음식이야 저번에 주문해서 먹어봤으니 맛있을거예요근데 지금 기분이 너무안좋아서 먹지도 않고 리뷰남겨요주소지앞에 오셧다고해서 문을 열었는데 안계시더라구요그래서 전화를했는데 다른동에 가계셨더라구요근데 제가 주소를 잘못 적은것처럼 말씀하시면서뭘로 주문했냐 하시는데 말투가 참..그래서 오셧을때 제 실수가 아니라고 영수증 보여드렸는데자기가 배달하는거엔 잘못된 주소로 되있다고 하시는데..왜 제실수도 아닌일에 배달원분께 한소리들어야하는지 모르겠네요중간에 주소가 왜 잘못들어간지도 모르겠구요주문넣을때 주소 잘 확인하세요,['https://rev-static.yogiyo.co.kr/1a664c05cdcd974397ca65d70d3f8bfa_tn.jpg']
