,별점,주문메뉴,리뷰,사진
0,4,[],배달은 정직합니다 날씨가 추워서 그런지 치킨이 좀 식어서 와서 그렇네요,[]
1,1,"['핫크리스피치킨（1조각）', '징거버거세트', '음료변경(스프라이트교환)', '비스켓', '코울슬로']",배달 약속시간보다 20분 이상 늦고 치킨 두조각 분명히 주문표에 적혀있는데 배달 안왔습니다. 환불 받으려고 전화하니 직원은 두번 체크했는데 저더러 확인했냐고 하시네요. kfc배달은 다시는 안먹어야겠습니다.,"['https://rev-static.yogiyo.co.kr/ae517263ef4c1396cd6cbe8da7827edc_tn.jpg', 'https://rev-static.yogiyo.co.kr/72ce7dad9537c2e8870d277b597b797b_tn.jpg']"
2,4,['1인세트'],누구나 아는 할아버지 맛,[]
3,5,"['오리지널치킨 1조각', '코울슬로', '텐더스트립스 1조각']",맛있네요 흠....,[]
4,5,"['치킨바베큐버거세트', '올쉐킷칠리', '텐더스트립스 1조각']",식어서 온게 흠이네요,[]
5,5,['올쉐킷칠리'],"좋아요, 맛있구요...",[]
6,5,[],역시..치킨은 케에프씨닥,[]
7,1,"['타워버거세트', '음료변경(콜라)', '징거버거']",배채운 느낌만있고 맛은 잘 모르겟어요,['https://rev-static.yogiyo.co.kr/fdb3b654d6cc9a10c19ad485c9b04b0d_tn.jpg']
8,1,[],너무 늦게 주문신청을 받는건가 배달 너무 늦네여,[]
9,5,"['오리지널하프버켓', '비스켓', '코울슬로']",배달 신속하고 맛있어요!,['https://rev-static.yogiyo.co.kr/505bb83d74c6d3a1f3b3c5d28bb1ca18_tn.jpg']
10,5,"['핫크리스피치킨 1조각', '타워버거세트', '음료변경(콜라)']",맛있게 잘 먹었습니다,[]
11,5,"['핫치즈징거버거세트', '음료변경(콜라)', '치킨바베큐버거', '올쉐킷치즈']",...괜찮아여ㅎㅎ굿입니다,[]
12,1,"['핫크리스피치킨 1조각', '핫치즈징거버거세트', '음료변경(콜라)', '타워버거세트', '음료변경(콜라)', '스위트칠리소스']",정말 댓글이란거 첨써보네요. 콘샐러드 안와서 전화했더니 미안하다. 지금은바쁘다 도 아니고  안들어있냐고 반문을 수 차례한다. 정말 내번호도  매장 에서 알거고 무서워도 여기에 글남깁니다. 안먹어도그만인 콘샐러드하나에  누구를 그지로아나 진짜,['https://rev-static.yogiyo.co.kr/b9fc2b9545de6ad9f8f615f7761ec536_tn.jpg']
