,별점,주문메뉴,리뷰,사진
0,5,"['포테이토피자 L', '추가 선택(콜라 1.25L 추가)']",일단 한판에 열조각인데 조각조각도 엄청큼..그리고 대존맛임 진짜맛있음 리뷰없어서 걱정했는데 모험하길 진짜 잘햇단 생각듦 앞으로많이시킬듯,['https://rev-static.yogiyo.co.kr/9af5bb8740cc53f8906560749165e698_tn.jpg']
1,5,"['페퍼로니피자 L', '추가 선택(콜라 1.25L 추가)']",맛 최상양 최상배달속도 최상가성비 최고여지껏 이 주변에서 먹은 피자집중에서 최고입니다 번창하세요,[]
2,5,"['콤비네이션피자 R', '추가 선택(스프라이트 1.25L 추가)', '감자세트']",콤비네이션R시켯는데 치즈양 핵낭낭해요.....토핑도 핵낭낭....●₩●//////b도우도 맛잇고 ㅠㅠㅠㅠ대존맛이에요진짜 ㅠㅠㅠㅠㅠㅠ왠만한 브랜드 피자다먹어봣는데 여기짱마시써요...피자먹는데 치즈흘러내리고 야채도 흘러내릴만큼...!!!!!피자시켯는데 소스들도 저만큼보내주시고...다른데는 다 돈받는건데 ㅠㅠㅠㅠㅠㅠㅠㅠ자주자주 시켜먹을께욥!!!재료준비의 정성이보이는 멋이에요 여러분 꼭시켜드세요 아그리고 사장님 번창하세요 앞으로는 여기서만 시켜먹을꺼에요^-^♡♡♡♡♡♡♡♡,['https://rev-static.yogiyo.co.kr/8ed828a10d8db1132da519252b8e5e5f_tn.jpg']
3,5,"['모든감자피자 L', '추가 선택(세트（오븐치즈스파게티＋콜라 1.25L） 추가)']",크으 단골확정입니다!ㅋㅋ 언니가 먹더니 다음부터 여기서만 피자먹자고 그러네요ㅎㅎ 메뉴다먹어볼려구여 흥하세요☆,[]
4,5,['모든감자피자 R'],됸맛~~~~~~맨날먹음,['https://rev-static.yogiyo.co.kr/644e19eba7258994ad9c1d5c9f754e0f_tn.jpg']
5,5,"['핫치킨피자 R', '추가 선택(세트（오븐치즈스파게티＋콜라 1.25L） 추가)']",맛 최상가성비 최고배달속도 최고오랜만에 동네피자의 저력,['https://rev-static.yogiyo.co.kr/3559a1d438ed918ce5d73c38dd553c87_tn.jpg']
6,5,['치즈폭탄피자 L'],빠른배달 마치 탈리아궁급 로밍본듯 지렸고요~나는야 트리플킬을 노리는 한마리의 고독한 야소.치즈피자 느끼했음에도 15분 3억제기에 서렌받아내듯 끝내버렸고요~그런데 사장님 티어어디?,['https://rev-static.yogiyo.co.kr/78b79203f08b9cd72e734c13b5f69578_tn.jpg']
7,5,['페퍼로니피자 R'],피자고가 생기고난 후에 항상 피자생각날땐 피자고에서 시켜먹습니다~ 번창하세요~,['https://rev-static.yogiyo.co.kr/604bc200b9747a4ea7776a93ca6bb495_tn.jpg']
8,5,"['콤비네이션피자 R', '추가 선택(콜라 500mL 추가)']",맛있었어용 최고혼자한판 클리어~~,['https://rev-static.yogiyo.co.kr/263fcb8d10ab35726c54015a278254a1_tn.jpg']
9,5,"['콤비네이션피자 L', '추가 선택(스프라이트 500mL 추가)']",토핑을 얼마나 가득 채우셨는지 피자상자 받는데 묵직해서 깜짝 놀랐어요 먹는데 토핑이 줄줄 흐르네요~~~!! 배달도 빠르고! 고정피자집이 생겼네요. 번창하시길 바랄게요~^^,['https://rev-static.yogiyo.co.kr/1e8d8d0d54c25d23e45fae01a2500dfd_tn.jpg']
10,2,['포테이토피자 L'],리뷰에 넘기대를했던건지 맛은ㅆㅎㅌㅊ,[]
11,4,"['콤비네이션피자 L', '추가 선택(콜라 1.25L 추가)']",생각보다 맛있고 양도 많아서 좋네요 ~,[]
12,5,"['포테이토피자 L', '추가 선택(세트（오븐치즈스파게티＋콜라 1.25L） 추가)']",재주문했어요~ 오늘도 맛있네요 치즈크러스트 진짜 맛있어요 꼭 치즈크러스트 추가해드세요!,['https://rev-static.yogiyo.co.kr/e1af05cfb802e4328a5121d6126c2126_tn.jpg']
13,5,['치즈폭탄피자 R'],엄청 맛있습니다....잘먹었습니다.,"['https://rev-static.yogiyo.co.kr/64f0b5ad6a7ac670f614ac8b02d7e54b_tn.jpg', 'https://rev-static.yogiyo.co.kr/fd5ced61623f423ee70629afd2ba9d0a_tn.jpg']"
14,5,['싸가지피자 L'],"평이 좋아서 처음 시켜봤는데 너무 맛있어요 !! 양도 많고 재료도 진짜 아낌없이 쓰셨어요 ,, 원래 피클 안먹는데 너무너무 맛있네요 ! 앞으로 피자는 요기서만 먹을구에용 ㅎㅎ 더운데 수고하세요 :)",['https://rev-static.yogiyo.co.kr/5cafadc7819d5a546cf3d4c5219852f2_tn.jpg']
15,5,"['포테이토피자 R', '추가 선택(스프라이트 500mL 추가)', '화이트크림스파게티']",피자고 피자는 언제먹어도 맛있습니다,[]
16,5,['핫치킨새우피자 L'],진.짜.개.존.맛. 토핑도 맛고 간도 짜지도않고 피클도 맛있어요 짱짱짱,[]
17,5,"['싸가지피자 R', '텐더 6조각']",배달도빠르고 맛도좋내요,['https://rev-static.yogiyo.co.kr/edc37a99c7602298ee2c38b84bdd73e4_tn.jpg']
18,5,['싸가지피자 L'],진짜 맛있게먹었어요.토핑을  아끼지않고.. 푸짐하게 올려주셨네요.흔한 동네피자 수준이 아니네요. 돈아깝지 않아요.브랜드피자 못지 않게 맛있었어요,[]
19,5,"['고구마피자 R', '추가 선택(콜라 500mL 추가)']",맛잇게먹엇습니다 ㅋㅋ,[]
20,5,['콤비네이션피자 R'],"깔끔하네요~시간도 그리 늦지않고,좋네요",[]
21,5,['콤비네이션피자 R'],비가와서 그런지 배달은 좀늦었지만 역시맛은굿,[]
22,5,"['싸가지피자 R', '버팔로윙 6조각']",최근에 먹은 피자중에 제일 맛있네요자주 시켜 먹을것 같네요,[]
23,5,['포테이토피자 R'],사장님 사랑합니다... 자주시켜먹을께요,[]
24,5,['치즈폭탄피자 R'],역시 맛있네요..언제나 감사해요.,[]
25,5,['더쉬림프피자 R'],진짜 맛잇고 너무 잘먹엇습니다,[]
26,5,"['콤비네이션피자 L', '추가 선택(콜라 500mL 추가)']",피자를 진짜 좋아하는데여기저기 프렌차이즈를 먹다가 이번에  시켜먹게되면서  단골이 되기로 마음 먹었습니다.너무 맛있어요ㅎㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/bd544e0cca568e0997d06a15ecf99be9_tn.jpg']
27,5,"['페퍼로니피자 R', '세트 추가 선택(추가 안함)']",사진찍을 생각도없이 먹다보니 두조각남았네요 마저먹을게요 JMT,['https://rev-static.yogiyo.co.kr/97704d3972ab8471b2feac854eb25fc2_tn.jpg']
28,5,"['싸가지피자 L', '음료 추가 선택(콜라 L 추가)']",배달도 빠르고 토핑도 정성가득 맛있어요치즈 추가를 안해도 치즈가 듬뿍들어서 더 좋았어요너무 짜지도 않고 진짜 맛있네요 다음에도 주문할게요,['https://rev-static.yogiyo.co.kr/e7bff7b3b5887123fadf1e7185612906_tn.jpg']
29,5,"['치즈폭탄피자 L', '추가토핑 추가 선택(치즈（100g） 추가)', '불쏘피자 L', '세트 추가 선택(추가 안함', '추가토핑 추가 선택(치즈（100g） 추가)']",30분도 안되 도착해서 뜨끈뜨끈치즈도 흘러넘칠정도로 많아서 대만족입니다요,[]
30,5,['싸가지피자 R'],토핑과 치즈가 정말 많아서 만족합니다~~,[]
31,5,['싸가지피자 L'],리뷰보고 시켰는데 만족스럽네요~피자 먹고싶으면 여기에 또 주문하려구요!!토핑도 듬뿍이고 맛도 최고~,['https://rev-static.yogiyo.co.kr/f6bdb69a4914073dd0bb1f5af116c743_tn.jpg']
