,별점,주문메뉴,리뷰,사진
0,5,"['광어', '광어초밥（3p）', '매운탕', '물회육수']",물회가 먹고싶어서 시켰는데 매운탕 육수맛까지도 감탄했습니다! 광어도 두툼하고 전에 없던 뱃살도 들어있었어요! 물회에 야채추가 가능하나요? 매운탕 용기 단단해서 회수하러 오시나 깜놀. 배달냄비라 쓰여있네요 우걱우걱 잘먹었습니다!,"['https://rev-static.yogiyo.co.kr/8a9effd5c37860613f8988849ce6a592_tn.jpg', 'https://rev-static.yogiyo.co.kr/1c294ccbbadc6e0ffe017d02294b1103_tn.jpg', 'https://rev-static.yogiyo.co.kr/9ef3785578189878e3f6cd20bea65a5a_tn.jpg']"
1,5,"['광어', '꼬막', '회덮밥']",꼬막살이 포동포동하네욤 이게 3천원이라니 ㅠㅠ 넘나 은혜롭습니다 ㅠㅜ만오천원시켜서 집에서 두고두고 반찬해먹고 싶습니다 ㅠㅠ 잘먹었어용,['https://rev-static.yogiyo.co.kr/3c1d11bb00969e09e5b017a247f0a17c_tn.jpg']
2,5,"['광어', '오징어튀김', '멍게', '가리비찜', '꼬막', '전복（1p）', '무침야채']",모야? 이거 어떻게 이럴수 있지 적은 가격에 여러가지 먹을수 있어서 좋고 맛있어서 좋고 배달음식 복불복인데  여기는 진짜 최고네요 가격대비 양도 적지 않고 괜찮네요ㅎ 많이 파세요ㅎ,"['https://rev-static.yogiyo.co.kr/136a68221024677911349c3bf0b6fddc_tn.jpg', 'https://rev-static.yogiyo.co.kr/6d4c14612d67bd5ff47c9998500de193_tn.jpg', 'https://rev-static.yogiyo.co.kr/cba49f977f82801edf0ba17f38db4525_tn.jpg']"
3,4,"['광어', '전복（1p）', '카스']",잘먹었습니다 수고하세요,[]
4,4,"['광어', '연어회', '멍게', '가리비', '처음처럼']",양이 살짝 아쉽긴하지만 적당한가격에 회는 신선하네용 굿,[]
5,5,"['광어', '꼬막', '물회육수']",처음에 회 양이 적어보였는데 먹다보니 적당하네요. 꼬막은 푸짐함. 회보다 물회육수가 비싸다니 ㅜㅜ,[]
6,5,"['우럭（5~600）', '산낙지1마리', '대선']",배달하는 아저씨 빼고 만족합니다,[]
7,5,"['광어', '꼬막', '산낙지1마리', '쌈']",혼자먹기 충분해요! 맛있음,[]
8,5,"['광어', '연어회', '오징어튀김', '가리비찜']",이것저것 맛볼수잇어 좋구요특히나 싱싱해서 맛도 아쥬 조아용이 신선함 항상 유지해주시길 바래요담에 술생각날때 또 주문할게용~~,[]
9,5,"['광어', '연어회', '꼬막', '산낙지1마리', '쌈', '처음처럼']",살면서 머리털 나고 처음 써보는 리뷰~3만원에 이거 실화냐싶네요사장님 앞으로 저 뼈까지 당골할테니까 꼭 사업 번창해주세요애들 신선도만 지금처럼 쭉 유지시켜주세요,['https://rev-static.yogiyo.co.kr/8be5e4bc4e017621fa0771d4625a9fe8_tn.jpg']
10,5,"['타고야끼（7알）', '모듬구이（열기＋참가자미＋박대）', '회덮밥']",완전 강추입니다 잘 먹엇습니다,[]
11,5,"['우럭（5~600）', '산낙지1마리']",양은 생각보단 적었는데 가격생각하면 또 충분한것 같습니다~~,[]
12,4,"['광어', '해삼', '쌈', '매운탕']",광어기본이 오천원인데 양이 얼마나 되는지 안적혀있길래 그냥 리뷰 사진 보고 시켰는데 양 너무 적어요 ㅠㅠ 물론 오천원이라 생각하면 그냥 나쁘지않지만 그래도 1인이 먹기에도 맛보기 양이에요. 차라리 양이 기재돼있으면 보고 결정했을텐데... 두번째 사진에 저게 한팩인데 작은거 7점 들어있습니다 참고하세요. 여러 종류를 조금씩 먹고싶을 때 시키면 좋을 것 같아요~ 맛은 괜찮아요매운탕은 그냥 담백해요,"['https://rev-static.yogiyo.co.kr/bbfa454c4c4add334567781c5f25e116_tn.jpg', 'https://rev-static.yogiyo.co.kr/8e5581a156d68b84c50460e20bad6cab_tn.jpg', 'https://rev-static.yogiyo.co.kr/f850d0b7c9f7edcabeb494ba48342944_tn.jpg']"
13,5,"['광어', '연어회', '광어초밥（3p）', '가리비찜', '꼬막', '회덮밥', '물회육수']",나눠서 먹는 재미가 솔솔입니다 ㅎㅎ,[]
14,5,"['광어', '연어초밥（3p）', '꼬막', '물회육수', '소면사리']",또 먹고싶을 정도로 맛있었습니다 혼자서 다양하게 많이 먹어볼 수 있는게 최대 장점이었던 거 같아요!,[]
15,4,"['광어', '연어회', '꼬막', '쌈', '회덮밥']",먹을만 했습니당 쏘쏘!,['https://rev-static.yogiyo.co.kr/afda251310db5359a48cffeacb5ae7ea_tn.jpg']
16,5,"['광어', '우럭（5~600）', '물회육수']",맛있어용 양만 조금 더 있었으면 완벽,[]
17,5,"['광어', '연어회', '오징어튀김', '멍게', '꼬막', '매운탕']",진짜 가성비 맛 둘다 최고!!!!,[]
18,5,"['광어', '꼬막', '전복（1p）', '해삼', '쌈', '회덮밥']",많은 종류를 조금씩 여러 개 먹고 싶을 때 너무 좋은 것 같아요 전복은 너무 종잇장처럼 나오고 한 개가 아닌가 싶을 정도로 양이 작아 비추합니다 꼬막은 매우 짜지만 가성비 좋은 것 같아요!,[]
19,5,"['광어', '연어회', '오징어튀김', '멍게', '꼬막']",빠른배송맛있는 회다양한 종류저렴한가격,['https://rev-static.yogiyo.co.kr/b82c236e2e901edf833173a813e3a622_tn.jpg']
20,1,"['광어', '가리비찜', '산낙지1마리', '전복（1p）', '해삼', '무침야채']",잘먹었습니다 수고하세요,[]
21,4,"['광어', '멍게', '산낙지1마리', '쌈']",ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,[]
22,5,[],드디어 제대로 된 횟집 찾은듯 싶습니다비린내 전혀 안나고 배달도 빠른편에 속하며무엇보다 시켜먹기만 하다가 매장에 방문해서방문포장을 한차례 해보았는데 무엇보다 사장님이  손님에게 친절한점에서 만족했습니다또한 매장이 참 이쁘더라구요,[]
23,2,"['광어', '광어초밥（3p）', '연어초밥（3p）']",포인트 ㄱ ㄱ ㄱ ㄱ ㄱ 고ㅗㅗㅗㅗㅗ,[]
24,5,"['광어', '연어회', '멍게', '꼬막', '고등어구이']",골고루 다먹을수있어  넘 좋아요~요청사항은 아쉽지만 그래도 맛있으니까 별다섯개요♡,['https://rev-static.yogiyo.co.kr/d12b3ea8217329b731c56af0ec206982_tn.jpg']
25,4,"['광어', '연어회', '연어회', '오징어튀김', '처음처럼']",생각햇던거보다는 좋앗어요.양도 가격에비해 많고 맛도 좋앗어요.,[]
26,5,"['광어', '골뱅이', '모듬구이（열기＋참가자미＋박대）']",생선구이는빼곤 괜찮았어요,[]
27,5,"['연어회', '고구마튀김', '타고야끼（7알）', '해삼']",신선한해물 정말좋아요,[]
28,5,"['광어', '고구마튀김', '산낙지1마리', '해삼']",굿!!!!!좋아오ㅡ,[]
29,5,"['광어', '고구마튀김', '오징어튀김', '산낙지1마리', '해삼']",좋아요~!!!!!^^,[]
30,5,"['광어', '핫윙（4p）', '고구마튀김', '산낙지1마리', '해삼']",신선하고 맛있습니다~^^,[]
31,5,"['광어', '광어초밥（3p）', '꼬막', '산낙지1마리', '해삼']",회나해산물은 최곱니다,[]
32,5,[],횟집은 배달은 절대 피하라는 말 이곳은 해당이 안되는듯 싶습니다 매장을 방문해도 친절하게 포장해주시는 직원분들이 있기에 믿고 그냥 배달포장 해먹는데매번 실망시키지 않는 맛집이네요 다음엔 사진도 찍어서 올려드릴게요퇴근후에 매장을 가보아도 예쁜 매장에 놀라고포장을 해도 맛과 신선함에 놀라서 좋아요.미역국 먹으니 피가 잘통하는 느낌.,[]
33,5,"['연어회', '꼬막', '산낙지1마리', '회덮밥']",맛있네요 산낙지랑 회덮밥 최고예요 연어도 먹을만했어요꼬막좋아해서 두개나 샀어요 ㅠㅠ 밥반찬할게여,['https://rev-static.yogiyo.co.kr/96e26704daf7c7d357f9a5c149ca34d9_tn.jpg']
34,4,"['광어', '연어회', '꼬막', '산낙지1마리']",배달하기가 딱좋아요,[]
