,별점,주문메뉴,리뷰,사진
0,5,"['아메리카노', '쌀가루와찹살가루로만든 상상 그 이상의 맛 진스야끼', '직접구운식빵 꽉찬속 양 맛 모두잡다 진스 토스트 2人각 ', '카야토스트']",진짜 다 맛있네욤토스트 크기 대박 맛도 대박ㅋ진스야끼는 큰다코야끼같음 암튼 중독성있게 맛있고요카야토스트는 다른데보다 크고 싸고 맛있어용또 시켜먹어야지 ><,"['https://rev-static.yogiyo.co.kr/dddbed2e596e54562c51b7330fd8e3a2_tn.jpg', 'https://rev-static.yogiyo.co.kr/03ebe582c2c38902686c0e5306d1a79c_tn.jpg', 'https://rev-static.yogiyo.co.kr/eefee5fca3850162088df16c30ec6732_tn.jpg']"
1,5,"['폭탄오레오눈꽃빙수', '빙수 추가 선택(오레오 추가)', '쌀가루와찹살가루로만든 상상 그 이상의 맛 진스야끼', '추가 선택(100%모짜렐라 치즈 추가)']",워후 이게모람~~ 토스트 일줄 알았는데 오꼬노미야키같은 맛!!! 빙수도 너무너무너무너무 맛있어요!!!,"['https://rev-static.yogiyo.co.kr/cfe98b12634f29c4c7b09da98efbbad4_tn.jpg', 'https://rev-static.yogiyo.co.kr/92175fddbcf7f49247a15a532bad3083_tn.jpg', 'https://rev-static.yogiyo.co.kr/dc1c7f362053c3762fd3687efebacecf_tn.jpg']"
2,5,"['페퍼로니애그샌드위치', '키위주스', '직접구운식빵 꽉찬속 양 맛 모두잡다 진스 토스트 2人각 ']","사장님, 엄청 친절하십니다.친절하신만큼 맛도 좋고요^^강추합니다.",['https://rev-static.yogiyo.co.kr/dbaa1d5dc90a69c9b6f33cd2df093c68_tn.jpg']
3,5,"['카야토스트', '코코넛로쉐', '천연벌꿀 체코케익-호두']","원래 요기요를 주로 쓰는데 진스가 배민밖에 없어서 ㅎㅎ 배민에서 주문 하다가 여기에 똭 보이길래 주문했어요! 아이스더치 보내주신걸 보고 ㅋㅋㅋ 아시는구나 생각했어요 ㅋㅋㅋㅋ ♡ 코코넛로쉐 지난번에 맛봤는데 계속 생각나더라구요! 고소하고 맛나요 ㅎㅎ ㅠㅠ 또 카야토스트는 다른데서 먹었을때 양도적고 비쌌는데ㅜ 진짜 만족 200프로입니다b 항상 맛나고 정성이 담긴 음식 감사드리고, 여기서도 대박 나시라고 리뷰남겨봐용 ^-^",['https://rev-static.yogiyo.co.kr/f2bcb01ec1bd47e7adb359877122629f_tn.jpg']
4,5,"['상큼톡톡쏘는맛 체리코크', '코코넛로쉐', '천연벌꿀 체코케익-호두']",오늘도 맛난 음식 너무 감사해요ㅠㅠ 야끼 ㅠㅠㅠ 최고b 동생이 어제 체코케이크 맛보고는 오늘 그게 먹고싶다고 해서 ㅎㅎ 저희가족 입맛에 아주 잘맞아요 ! 그리고 혹시나해서 말씀드리는데 바쁘실때 메모랑 서비스 안주셔도 진짜진짜 괜찮아요! 다 이해합니다 ㅠ오히려 일일히 메모 적으시는게 대단하시다는 생각 들어요 ㅠㅠ진짜 지금도 배달비도 적고 맛있고 양도 충분해서 가끔 남는게 있으신가 생각도 들어요  ㅠㅋㅋㅋ 항상 맛난 음식 감사드리고 덕분에 오늘도 기운충천 100프로였습니다!!,['https://rev-static.yogiyo.co.kr/4475516077c5dcfd174176a47b834d3e_tn.jpg']
5,4,"['아메리카노', '메이플라떼', '카야토스트']","아메리카노가 너무 셨어요,, 반에 반도 못먹고 버렸습니다ㅠㅠ 그냥 배달비가 4500원이였다고 생각하려구요.메이플라떼, 카야토스트는 맛있어요. 배달도 무척 빨랐구요.",['https://rev-static.yogiyo.co.kr/94e7b3d7cc717acdda9c66e50724639c_tn.jpg']
6,5,"['상큼톡톡쏘는맛 체리코크', '진스브레드 후회없는선택 하루한정판매', '옥수수와 치즈꿀조합 옥치브레드', '코코넛로쉐']","예전에 먹은 진스브레드가 맛있어서,오늘 진스브레드랑 같이 처음으로 옥치브레드를 주문해봤는데.. 옥치브레드 진짜... 먹자마자 너무 맛있어서 ㅠㅠ  !! 웃음이 ㅎㅎ 제입에 진짜 너무너무 맛있었어요ㅠㅠ 옥수수도 듬뿍 들어가있고 ㅠㅠ 아이스티도 맛있게 잘먹었어요 ㅠ 감사해요 ♡ 복숭아 알갱이 듬뿍 ㅠㅠ 리뷰이벤트 원래 거의 참여안하는데 이유가, 제입에 안맞는데 리뷰쓰려면 그게또 힘들거든요ㅠ 근데 안좋게 쓰면 그거대로 맘불편하고 그래서.. 근데 진스는 리뷰쓸 맛이 나서 너무 좋아요bb 너무 맛있게 잘먹었습니다 :)",['https://rev-static.yogiyo.co.kr/b11a644ebeb8554e0689af6613603796_tn.jpg']
7,5,"['진짜맛있는데 표현할방밥이없네~ 누룽지팥빙수', '키위주스']",재주문의사백  커피 빙수.짱짱근데 키위가 골드키위인가바요노랗네요,['https://rev-static.yogiyo.co.kr/98d67459166bfb1f4ec122b93bbffe3a_tn.jpg']
8,5,"['이건 먹어봐야지!! 누텔라 버터 토스트', '옥수수와 치즈꿀조합 옥치브레드', '코코넛로쉐', '천연벌꿀 체코케익-호두']","제 리뷰만 몇개째인지 ㅎㅎ 진스 첫주문 한 후로부터 디저트는 여기서만 먹어서 리뷰가 엄청 많네요 ^-^ 누텔라 토스트 오늘 첨먹어봤는데 맛있어요 bb 카야토스트 카야쨈 대신 누텔라 들어간거 같은데, 버터랑 초콜렛이 생각보다 훨씬 잘어울려요!! 그리고 호두케이크 하나 잘못온건 신경안쓰셔도 돼요 ㅎㅎ 초코맛도 호두랑 비슷하고 맛나더라구요! 오늘도 푸짐하게 맛난음식 잘먹었습니다 감사합니다 :)",['https://rev-static.yogiyo.co.kr/408f292455a5492ec79227f96caa1baf_tn.jpg']
9,5,"['진스브레드 후회없는선택 하루한정판매', '천연벌꿀 체코케익-호두', '초콜릿스틱케익']",요기요에도 와주셔서 감사합니당♥역시나 맛나요~_~!,['https://rev-static.yogiyo.co.kr/754af6b212da81d00686dce51d3e26f5_tn.jpg']
