,별점,주문메뉴,리뷰,사진
0,4,['간장치킨 1마리＋똥집＋콜라500mL'],작은 닭이라 양이 조금 아쉽네요맛은있어요,[]
1,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],맛 배달 다 만족.기본에 충실한 맛.재주문 할듯,[]
2,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],담백하고 맛나유또 시킬게유,['https://rev-static.yogiyo.co.kr/60c654f7704c8e470d82a74aee8e3d30_tn.jpg']
3,1,"['후라이드 1마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']","양심을 버리셨네요. 사진과 다른건 당연한게 아닙니다.닭이 잘려있다고 후라이드인 것도 아닙니다.원래 이렇게 장사하시는지는 모르겠지만, 사진을 바꾸시던가 해야겠네요.만약 오늘 축구경기하는 날이라고 이런식으로 보내신거면  더욱 화나서 일 더 커질 수도 있겠네요.감사합니다.제가 사진보내드렸을때는 후라이드 맞다고 하시더니, 환불 요청하고 나니 다시 전화 와서 가마솥통닭이었다고 하시네요 ㅋㅋ죄송하다는 말 한마디도없잌 바빠서 구런거같아요가 끝이네요? 저는 한시간 기다렸는데요..기분 잡쳤네요..반성하시고 번창하세요..","['https://rev-static.yogiyo.co.kr/1fd1f408e8710ddf8922927a934e37e3_tn.jpg', 'https://rev-static.yogiyo.co.kr/7f47a40a9cdef9857dd3740e610d19f4_tn.jpg']"
4,5,"['가마솥 통닭 1마리＋똥집＋콜라500mL', '똥집추가']",오전 10시부터 배달 해주는거 좋네요.ㅋㅋ닭이 씨알은 작았지만... 뜨끈하게 배달 와서 맛있게 잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/ad65f2706c38a9a0fa95e5681f257724_tn.jpg', 'https://rev-static.yogiyo.co.kr/d1bd2b6da69fa2b00d826a472396ebfb_tn.jpg', 'https://rev-static.yogiyo.co.kr/953cf9709947d119d84888bb92686b3c_tn.jpg']"
5,4,"['영계가마솥 통닭 2마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",좀더 염지에 간을 추가하셔야겠어요중간쯤 먹을땐 아무맛이 닭 자체에서 간이 부족한 느낌이 들어서물리더라구요.,[]
6,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],옛날맛을생각하게하네요,[]
7,4,"['영계가마솥 통닭 2마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",먹을만하고 괜찬네요,[]
8,4,['가마솥 통닭 1마리＋똥집＋콜라500mL'],존맛존맛존맛존맛존맛,[]
9,5,"['후라이드반＋양념반＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",맛있게 잘 먹었습니다~~^^번창하세요!,[]
10,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],매번 맛있게 먹고있어요. 강추 맛집입니다,[]
11,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],good ~~~!!!!^^,[]
12,5,['후라이드반＋간장반＋똥집＋콜라500mL'],잘 먹었습니다....!,['https://rev-static.yogiyo.co.kr/2ff851d7052e7cd66caa59ae33ec7b69_tn.jpg']
13,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],맛있어요~ 양도 적당하고~~,[]
14,5,['후라이드반＋간장반＋똥집＋콜라500mL'],이번에 간장치킨 한번 시켜먹어봤어요~~너무 맛있어요!!아이까지 너무 좋아해요~~~,[]
15,4,['후라이드반＋간장반＋똥집＋콜라500mL'],후라이드+간장 시켰는데 간장만 왔어요 ㅠㅠ.. 맛있어서 맛있게 먹고는 있는데  찾아보니 가격이 달라서요.. 전화연결이 안돼서 리뷰에 남겨영!!,['https://rev-static.yogiyo.co.kr/951b62a73acf041414279e846f3eab79_tn.jpg']
16,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],항상 맛있습니다^-^,[]
17,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],바삭해서 좋았어요!,[]
18,5,"['간장치킨 1마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",오전에도 배달해주시고 감사합니다~,['https://rev-static.yogiyo.co.kr/8b46c407ad4b68c523499bb4883baa3e_tn.jpg']
19,5,"['후라이드 1마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)', '감자튀김', '똥집추가']",맛있게 잘먹없습니다,[]
20,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],빠른배달ㄱㅅㄱㅅ11,[]
21,4,['후라이드반＋간장반＋똥집＋콜라500mL'],맛있게잘먹엇습니다사장님~~~~,[]
22,5,"['가마솥 통닭 1마리＋똥집＋콜라500mL', '똥집추가']",맛도좋고정말좋은음식점인거같아요,[]
23,3,['가마솥 통닭 1마리＋똥집＋콜라500mL'],"양도적당하고 맛있어요,",[]
24,5,['간장치킨 1마리＋똥집＋콜라500mL'],맛있게잘먹엇습니다~~,[]
25,5,['후라이드반＋간장반＋똥집＋콜라500mL'],항상 맛있죠~~~~배달도 빠르고 좋아요~~~,[]
26,4,['양념통닭 1마리＋똥집＋콜라500mL'],치킨은 넘나 맛있는데음료수가 상세 정보가있었으면좋겠어요ㅠ콜라가 펩시인지 코카콜라인지코카콜라인줄알고 콜라를 시켰는데 펩시네요ㅠ김빠진 설탕음료ㅠ배달은 카드 체크기없다고현금 달라고하네요^^;;현금 없으면 반품할뻔했어요ㅠ코카콜라인지 펩시인지 구별해주셨으면 좋겠습니다.,['https://rev-static.yogiyo.co.kr/5b842c36b01eefe8e6d2bb37193bb408_tn.jpg']
27,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],정말 맛나요. 자꾸 시키게되요,[]
28,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],언제나 최고입니다!,[]
29,5,['후라이드반＋양념반＋똥집＋콜라500mL'],양많고 맛있습니다 치킨굿귯,[]
30,1,['후라이드반＋간장반＋똥집＋콜라500mL'],첫주문했는데 엉망이네요후라이드 간장 이렇게 주문했는데 양념이 왔네요,[]
31,4,['양념통닭 1마리＋똥집＋콜라500mL'],첨시켰는데 양념 좋아하는데 아주 맛있어요 굿굿,[]
32,3,['후라이드반＋양념반＋똥집＋콜라500mL'],그냥저냥 평범한맛..,[]
33,4,['가마솥 통닭 1마리＋똥집＋콜라500mL'],잘먹었습니다 기름이 너무많았지만 맛있었어요,[]
34,3,['가마솥 통닭 1마리＋똥집＋콜라500mL'],잘먹고 또 잘먹었습니다술안주로 메뉴개발좀부탁드리겠습니다,[]
35,5,"['영계가마솥 통닭 2마리＋똥집＋콜라500mL', '양념']",통닭도크고 맛도 맛있었어요다음에또시켜먹을께요너무만족했습니다♡,[]
36,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],항상 맛있습니다~~~~~,[]
37,5,['영계가마솥 통닭 2마리＋똥집＋콜라500mL'],처음시켜먹는데 맛있어요^^,[]
38,5,"['영계가마솥 통닭 2마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",완젼 맛있어여~~~~,[]
39,5,['후라이드반＋간장반＋똥집＋콜라500mL'],이른아침인데불구하고 맛잇께튀겨주셔서 감사해요~ 다음에또시킬게요~,[]
40,4,"['가마솥 통닭 1마리＋똥집＋콜라500mL', '무', '양념']",배달이 빠르지는 않았지만 양도 적당하고 맛있었어요!,['https://rev-static.yogiyo.co.kr/3933425bff8c6ea818853823803a4b23_tn.jpg']
41,4,['간장치킨 1마리＋똥집＋콜라500mL'],가격대비 맛있지만 간장 너무짜요!!!!!,[]
42,5,"['후라이드반＋간장반＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",간장과후라이드인데 양념이왔네요 ㅡㅡ,[]
43,5,"['영계가마솥 통닭 2마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",맛잇게잘먹엇네여~부자되세요~^^,[]
44,4,['가마솥 통닭 1마리＋똥집＋콜라500mL'],늦게까지 배달도되고 좋네요,[]
45,4,"['후라이드 1마리＋똥집＋콜라500mL', '추가 선택(콜라 1.25L로 변경)']",ㄱㅅㅎㄴㄷㄱㅅㅎㄴㄷ,[]
46,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],치키니나마시소소혼나소,[]
47,3,['순살양념 1마리＋똥집＋콜라500mL'],애매모호한 어중간함 맛있지도 맛없지도 위생은 안좋아보임,[]
48,5,['순살양념 1마리＋똥집＋콜라500mL'],1. 배달하신분 대행인지는 잘 모르겠느나 매우 친절했어요.2. 양은 적당했습니다.3. 맛은 훌륭했습니다.단점을 꼽자면 닭똥집이 너무 조금왔어요~다음에는 추가해야겠어요.번창하세요,['https://rev-static.yogiyo.co.kr/dd1dfb9006411bb6f8cc3a3bb66c3b43_tn.jpg']
49,5,['간장치킨 1마리＋똥집＋콜라500mL'],맛있었는데 양념이 밑으로 가라앉아서 밑에 있는건 엄청 짰어요 ㅠㅠ 똥집튀김에 콜라 500ml는 넘 좋았습니다 많이파세요~,['https://rev-static.yogiyo.co.kr/b399c82cf1d52c826aa84410a9746d5f_tn.jpg']
50,5,['순살양념 1마리＋똥집＋콜라500mL'],양 많고. 맛있어요,[]
51,4,['후라이드반＋양념반＋똥집＋콜라500mL'],가성비 갑 입니다맛도 좋고 양도 엄청 많았습니다~,[]
52,5,"['가마솥 통닭 1마리＋똥집＋콜라500mL', '양념']",열자마자 시켜서그런가 배달이 많이 늦네요맛은 있어요!,[]
53,5,['가마솥 통닭 1마리＋똥집＋콜라500mL'],배달은좀늦었지만 맛있네요!!,[]
