,별점,주문메뉴,리뷰,사진
0,5,['1人 간장게장정식'],혼자 먹으려고 시켰는데  양도 많고 맛있었습니다!! 강추합니다!,['https://rev-static.yogiyo.co.kr/2ce31a9369a9297162dcd18b06350d0a_tn.jpg']
1,5,"['1人 간장게장정식', '간장새우장', '공기밥']",사장님 공기밥이안왔네요,[]
2,5,['반반（간장게장＋양념게장） 2人정식'],게살도 꽉차있고 맛잇어서 밥이랑 배불리 다먹엇는데도 남을정도로 양도 많아요!!남은거 냉장보관햇다가 내일먹어야겠어요!ㅎㅎ,"['https://rev-static.yogiyo.co.kr/2b5a9b048251188b054201afa67bd2eb_tn.jpg', 'https://rev-static.yogiyo.co.kr/a20c42080be314352e1f706c0391b157_tn.jpg']"
3,5,"['1人 양념게장정식', '달걀후라이']",맛있게 잘먹었습니다~^^,[]
4,5,['1人 간장게장정식'],맛도 양도 너무 푸짐하고 맛있어요.. 저는 간장게장 먹었는데 게살도 많고 특히 양념이 짜지가 않더라구요. 게장같은건 배달시켰을 때 못미더워서 잘 안시켜먹는 주의였는데 생각이 확 바꼈네요. 사이드디쉬도 만족스러웠구요. 담에 또 시켜먹을게요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/6caed576cb7b5963176a283c9b3cef34_tn.jpg']
5,5,['1人 간장게장정식'],진짜 제인생 최고의 게장입니다,"['https://rev-static.yogiyo.co.kr/2e4b120e1cbde1b73d10b9285a999639_tn.jpg', 'https://rev-static.yogiyo.co.kr/e9046b4ac9d57f0eaf4b013f9f06c7f5_tn.jpg']"
6,5,['반반（간장게장＋양념게장） 2人정식'],배달도 빨랐고 맛도 좋았습니다,[]
7,1,"['1人 양념게장정식', '미린다 파인 500mL']",**달면 무조건 맛있는건 아닌듯 비츄,[]
8,5,['1人 간장게장정식'],와우!최고에요...이런 게장을 배달 시킨건 처음인데 맛이 이렇게 ㅇ맛있는줄 몰랐네요...배달시킨것중에 최고임...,[]
9,5,"['간장게장（단품）', '날치알', '공기밥']",두번째 시켜먹는데 너무 맛있어요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/1f690fb09a308acbf449a6cbc82a5dc3_tn.jpg']
