,별점,주문메뉴,리뷰,사진
0,5,['낙곱새（버너＋냄비 포함）'],양이 적었지만 ㅠㅜ 맛은있다요. 볶음밥까지 맛있게 먹었어요. 배달은 운좋게 초스피드 ㅋㅋㅋ,[]
1,5,"['낙곱새（일회용기 포장&조리 전）', '공기밥', '라면사리', '펩시콜라 355mL']",진주갈때 몇번 먹었서 수원에서도 시켜 봤는데 완전대박 입니다.   같은 체인점 같은데 진주보다 훨씬더 맛있었습니다 . 또 시킬께요.^^,[]
2,5,['낙곱새（버너＋냄비 포함）'],너무 맛있어요 계속 장사해주세요,[]
3,5,['낙곱새（버너＋냄비 포함）'],너무 맛있었어요!!!추천합니다,[]
4,5,['낙곱새（버너＋냄비 포함）'],맛있게 먹었어요~~,[]
5,5,"['낙곱새（버너＋냄비 포함）', '공기밥']",맛있게 잘먹었습니다~양이 조금 부족한거 같긴하지만 그래도 좋았어요~,[]
6,5,['낙곱새（일회용기 포장&조리 전）'],진.짜.맛.있.다!!양도 많고요! 정말 좋습니다!!,"['https://rev-static.yogiyo.co.kr/701b6ccdf03d38b7bbd669d0dbce50ab_tn.jpg', 'https://rev-static.yogiyo.co.kr/dc26cb0e940f1544812789f1e486f333_tn.jpg']"
7,4,['낙곱새（일회용기 포장&조리 전）'],맛도 있고 양도 만족했는데 배달은식에서 담배냄새가 너무 심했네요 급히 용기를 교체하니 괜찮았지만 차를 타고 배달이 온건지 설마 식당에서 이렇게 담배를 필리 없을것 같구요 하물며 같이 따라온 전단지에서도 담배냄새가 너무 심하게 났네요 그것만 아니면 맛은 괜찮았습니다,[]
8,5,['낙곱새（버너＋냄비 포함）'],너무맛있었어요 다먹고밥도볶아먹었는데 굿굿!,[]
9,5,['낙곱새（일회용기 포장&조리 전）'],생각한 배달시간보다 훨씬 빨라서좋았고 맛도있고 양도푸짐했어요ㅎㅎ,[]
10,5,['낙곱새（버너＋냄비 포함）'],너무 좋아요 ㅜㅜ1인분도 팔아주세요ㅜㅜ,[]
11,5,['낙곱새（버너＋냄비 포함）'],한번도 안먹은 사람은 있어도 진짜 한번만 먹는 분은 읎겟어요 ㅋㅋ늠나 마시쑴!,[]
12,5,['낙곱새（버너＋냄비 포함）'],또시켜묵을께요!금밤메뉴로딱!,[]
13,5,['낙곱새（버너＋냄비 포함）'],역시나 맛잇어용!! 근데 정말 새우와 곱이....ㅎㅎㅎ 없네요,[]
14,4,['낙곱새（버너＋냄비 포함）'],지난번보단 느끼했어요... 오늘은.. 좀 그랬네요.. 낙지가 넘 조금 들어있었어요~그래도 담에 또 이용하겠습니다~,[]
15,5,['낙곱새（일회용기 포장&조리 전）'],낙곱새 매콤하니 맛있네요.,[]
16,4,"['낙곱새（버너＋냄비 포함）', '공기밥', '라면사리']",잘먹었습니다 또주문할게요~~,['https://rev-static.yogiyo.co.kr/dc69503b65488e5d15903ea108c65d3c_tn.jpg']
17,5,['낙곱새（버너＋냄비 포함）'],역시여긴최고!!!!!,['https://rev-static.yogiyo.co.kr/c941443560f50940f7bbd8ad57948336_tn.jpg']
18,5,['낙곱새（버너＋냄비 포함）'],두번째시켜묵었어요 마시쏘,[]
