,별점,주문메뉴,리뷰,사진
0,5,"['두부（해물）버섯전골', '공기밥']",맛있게 잘먹었어요~굿초이스!!,[]
1,5,"['돼지갈비김치전골', '공기밥', '생두부（1모）']",맛 있네요.......................,['https://rev-static.yogiyo.co.kr/e31d11a88e78bb0c1fdced98e18f6785_tn.jpg']
2,4,['돼지갈비김치전골'],맛있어요맛있어요육수가조금적었어요,[]
3,5,['돼지갈비김치전골'],가성비짱 맛도있고 괜찬네요 다만 고기에 냄새가났어요 숫돼지냄새랄까 고기사실때 신경한번 쓰시면 대박나겠네요~~ㅎㅎ  수고하세용~^.^,['https://rev-static.yogiyo.co.kr/ae53df47ae543358cff2b7bfe057e08b_tn.jpg']
4,5,"['（햄）부대전골', '공기밥']",전골이 조리되서오는게아니라 집에서조리해서익혀먹어야되네요 좀당황했지만 맛있게 한끼배부르게먹어서 별다섯개드리고갑니다,[]
5,5,"['（햄）부대전골', '공기밥']",어제그맛에 반해서 오늘또시켰습니다 ㅎㅎㅎ 넘나맛있네요콩나물 여분많이담아주셔서 감사합니다 ^ㅡ^,[]
6,4,['（햄）부대전골'],햄 국물 우러날때까지 좀 끓여서 먹었더니 괜찮았어요~,[]
7,5,"['돼지갈비김치전골', '공기밥']",맛있어요! 다음에 또 시켜먹을게요!,[]
8,3,['두부（해물）버섯전골'],양진짜 많아요..맛은 특별한건 모르겠고 깔끔한맛..,[]
9,4,['（햄）부대전골'],맛있게 잘먹었습니다~,[]
10,2,['두부（해물）버섯전골'],맛이 그냥 그래요 닝닝한 맛.. 알루미늄 냄비에 가져다주시는건 신기하긴 한데 끓여먹는게 생각보다 좀 번거롭기도 하고 차라리 다 끓인후 뎁혀먹는식으로 가져다 주시는게 낫지 않을까 생각이 드네요,[]
11,5,['돼지갈비김치전골'],예상했던 맛과는 달랐지만 그래도 밋있게 먹었습니다 고기에서 나는 약간의 잡내만 없으면 완벽하겠네요,[]
