,별점,주문메뉴,리뷰,사진
0,4,"['오븐에구운족발', '쟁반국수']","양은 정말 많습니다 족발이 부드러운데, 족발이 담백한 맛입니다 막국수도 너무 맛있고 전반적으로 괜찮습니다",['https://rev-static.yogiyo.co.kr/6432f7f7d51193de533f2195270a4725_tn.jpg']
1,5,['오븐에구운족발'],감사합니다. 족발맛있네여. 서비스도 굿굿,['https://rev-static.yogiyo.co.kr/686adcf96cb9ca01942da7aa383a7bae_tn.jpg']
2,5,['오븐에구운보쌈'],"맛있게 잘 먹었습니다. 혼자 먹느라 밑반찬이랑 서비스 주먹밥 사진을 못 찍었는데 정말 맛있어요. 저는 배달 족발 절대 안 먹는데, 다음 번에는 족발도 시켜먹으려 합니다.",['https://rev-static.yogiyo.co.kr/0ceeb1558ff3dbdd19819feb39a9dc62_tn.jpg']
3,5,['오븐에구운보쌈'],맛있었구 서비스로 주신 날치알 주먹밥(리뷰 필수!)이랑 어리굴젓 감사히 잘 먹었습니다. 번창하세요!,['https://rev-static.yogiyo.co.kr/e687d9e03d694f5a6030bc0fdcd373d2_tn.jpg']
4,4,['한방족발'],처음 시켜 봤는데 맛이 좋네요 담에 또 시킬께요~~,['https://rev-static.yogiyo.co.kr/2fbe66124f9cf16feedc039ac78c80f4_tn.jpg']
5,5,"['오븐에구운족발', '추가 메뉴(일품어리굴', '콜라 1.25L)']",저번에도 먹었었는데 맛있더라구요 기본구성에 어리굴젓이 있는데 정말 맛있어요!족발도 쫄깃하구 반찬도 푸짐해서 맛있었어요.많이 파세요~^^,['https://rev-static.yogiyo.co.kr/037350729281f559050ce30ec1fb57fb_tn.jpg']
6,5,['오븐에구운족발'],맛있어요  또 주문할게요,['https://rev-static.yogiyo.co.kr/70842b25527301755f11b18d9ad1802f_tn.jpg']
7,4,['한방족발'],맛있게 잘먹었습니다 ^^,['https://rev-static.yogiyo.co.kr/cbd4299ca04e34f3b0ea4b396a8d39b5_tn.jpg']
8,5,['한방족발'],으아아~~ 넘맛있어요 ㅎ 특히 냄새부터가 달라요추천합니당!!,"['https://rev-static.yogiyo.co.kr/a0560b68f6e4a960dcaba0577fbabc2c_tn.jpg', 'https://rev-static.yogiyo.co.kr/0ff0818177c6e22935456de18793b711_tn.jpg', 'https://rev-static.yogiyo.co.kr/1d0a8340da27d2c2812d83487e39a62a_tn.jpg']"
9,4,"['오븐에구운족발', '추가 메뉴(쟁반국수)']",밤에 야식으로 시켰는데 포장이 너무 깔끔하고 맛도 괜찮네요! 맛있게 잘먹었습니다 !!,"['https://rev-static.yogiyo.co.kr/997ae3df53ad95fadca3b2a6ff9af25c_tn.jpg', 'https://rev-static.yogiyo.co.kr/f6fb5491e8568b52040c6eab22f6e391_tn.jpg', 'https://rev-static.yogiyo.co.kr/54c304e40d94a7421d6cc661bb367c1f_tn.jpg']"
10,5,"['오븐에구운족발', '추가 메뉴(쟁반국', '일품어리굴젓)']",너무 만족스럽네요 맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/1c426c0ca1bd28e24d4ef0eed35241e8_tn.jpg']
11,5,['한방족발'],"맛있게 잘 먹었습니다.포장 정말 깔끔하게 되어있습니다.막국수, 김치,무말랭이 도 좋습니다.다음에 또 시키겠습니다.","['https://rev-static.yogiyo.co.kr/700916fd2a31992c4c0c1b5382d97697_tn.jpg', 'https://rev-static.yogiyo.co.kr/e1af348f8227985bcc5645ccb02cd892_tn.jpg', 'https://rev-static.yogiyo.co.kr/fa2103ebc14429a0a389eaeeb2fe14dc_tn.jpg']"
12,5,['오븐에구운족발'],"어머, 한입먹고 넘 맛있어서 리뷰써요!비계가 좀 느끼한가했는데 같이온 찬이랑 먹으니 조합쥑이네요👍양도많고 어리굴젓인가요? 따로파는 이유가있네요또 시켜먹을게요!","['https://rev-static.yogiyo.co.kr/649419e55e1be99822897d228cae4ead_tn.jpg', 'https://rev-static.yogiyo.co.kr/e070f58abead5defbcb13a8b003c1d00_tn.jpg']"
13,3,['오븐에구운족발'],맛잇게 잘먹엇습니다~,[]
14,4,"['오븐에구운족발', '추가 메뉴(콜라 1.25L)']",빠르고 푸짐한 음식 감사합니다~^^!서비스로 주신 주먹밥도 넘 맛있었어요~,['https://rev-static.yogiyo.co.kr/5b0a5d76dbcdcfa37d783ab9e892e80b_tn.jpg']
15,5,"['반반족발', '추가 메뉴(일품어리굴젓)']",먹는데 정신없어서 리뷰 쓰는걸 깜박했네요. 첨 주문해서 먹었는데 어리굴젖이랑 족발과의 조합이 굉장히 만족스러웠어요. 푸짐하게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/ccb878c72b2267646a70290438340e4f_tn.jpg']
16,5,['오븐에구운보쌈'],족발을 시칸다는게 잘못눌러서 보쌈을 시켜는데만족했어요,[]
17,5,"['직화 불족발', '추가 메뉴(쟁반국수)']",굳굳 마싯었어요 다음에도 또 시킬게용,[]
18,4,"['오븐에구운족발', '추가 메뉴(쟁반국', '일품어리굴젓)']",결론적으로 족발 맛은 좋았어요!추가로 시킨 어리굴젓은 향이 엄청 진했구요. 와이프는 그 향이 너무 진해서 못먹었지만 전 만족했습니다. 그리고 쌈채소의 경우에는 상태가 안좋아서 한번씩 살펴보셔야 할것 같습니다.,['https://rev-static.yogiyo.co.kr/eb4fe2bbf1e87dd5533b356e976bcbb9_tn.jpg']
19,5,"['반반족발', '콜라 1.25L']",맛있게 잘 먹었어요~,[]
20,4,['오븐에구운족발'],족발 너무 맛있네요 ㅎㅎㅎ 어리굴젓이랑 먹으면 최고에요 ㅎㅎㅎ 다만 어제 말복이어서 그랬는지는 모르겠지만 배달이 거의 1시간 20분 걸렸네요 ㅠㅠ,['https://rev-static.yogiyo.co.kr/20d490099a88e6e190e761e4589e711a_tn.jpg']
