,별점,주문메뉴,리뷰,사진
0,5,['고기듬뿍통큰찌개'],이렇게 맛있는 김치찌개 오랜만에 먹은거 같아요! 잘 먹었습니다^^,[]
1,5,['육회듬뿍비빔밥'],퀄리티 좋고 집에서 육회비빔밥을 혼자서 시켜먹을수 있다는게 감동인것같아요ㅠ 같이 나온 국도 맛있습니다 추천드려요~!,['https://rev-static.yogiyo.co.kr/381f12da36adb9922cbb734b3c301843_tn.jpg']
2,2,['육회듬뿍비빔밥'],배달 받은 후에 서비스 찌개가 왔는데 다 쏟아져있더라고요. 그 국물이 비빔밥 뚜껑이랑 숟가락 젓가락 다 젖어있어서 다 씻고 처리하느라 힘들어서 비빔밥이 무슨 맛인지도 모를정도로 그냥 먹었네요. 제가 찌개를 따로 시킨것은 아니기때문에 따로 전화는 안 드리지만 정말 기분 나쁜 식사였습니다,['https://rev-static.yogiyo.co.kr/d9a7076bf8020b65583b7358f89a6fac_tn.jpg']
3,5,"['육회듬뿍비빔밥', '숯불고기듬뿍비빔밥', '흑돼지김치찌개', '새싹추가']",허겁지겁먹느라 사진못찍었어요...근데 리얼 존맛..!,['https://rev-static.yogiyo.co.kr/e0b807176dc72388710ff5fcbc6077dd_tn.jpg']
4,5,['육회듬뿍비빔밥'],맛있게 잘먹었어요 리뷰이벤트 참여요,[]
5,5,['육회듬뿍비빔밥'],마시쩡마시쩡,['https://rev-static.yogiyo.co.kr/88087e8c10efcc7b09e45bbd3e0f3843_tn.jpg']
6,5,['육회듬뿍비빔밥'],맛도맛이지만 양이많네요 잘먹엇습니다,['https://rev-static.yogiyo.co.kr/973b7cc1d4038e4c7dbf3bf93312e077_tn.jpg']
7,5,['육회듬뿍비빔밥'],양 진짜많음ㄷ 집에있던 들기름도 뿌려서 맛있게 먹었음. 오랜만에 육회 먹어서 좋았고 찌개도 얼큰하니 좋았다,['https://rev-static.yogiyo.co.kr/bec140f9e021b065cc8de1e5159edfe4_tn.jpg']
8,4,"['육회듬뿍비빔밥', '숯불고기듬뿍비빔밥']",맛잇어요 양도많구 약간 짠느낌이지만 배달도 엄청빠르고 좋앗어용 ㅎㅎ,[]
9,5,"['육회듬뿍비빔밥', '공기밥 추', '비빔장 추가)']",맛있게 잘먹었어요ㅎㅎ,[]
10,5,['육회듬뿍비빔밥'],넘 맛있구 .. 시키길 잘했다는 생각이 들구.... 배달비 이천원이 아깝지 않은 맛....... 비빌 때 손목이 아플만큼 많은 양 ٩(•̤̀ᵕ•̤́๑),"['https://rev-static.yogiyo.co.kr/a154df6dc88d135941406290c59aaf90_tn.jpg', 'https://rev-static.yogiyo.co.kr/dea0ae7c912c55f00e48de7e287413a6_tn.jpg']"
11,5,"['세트（고기듬뿍비빔밥＋통큰찌개）', '메뉴 선택2(차돌된장찌개)', '공기밥 추가']",배달이 무슨 20분만에 옵니다;;잘못온줄알았는데 잘왔구요제가 엄청잘먹는데 비빔밥하나로도충분히 먹을것같습니다 맛잇구요!잘먹었습니다~,"['https://rev-static.yogiyo.co.kr/beb390195bc6b6d8c1538134c1d1f9a4_tn.jpg', 'https://rev-static.yogiyo.co.kr/bdccec3965ecffc373ee2e1f59d8f66d_tn.jpg']"
12,5,"['세트（고기듬뿍비빔밥＋통큰찌개）', '메뉴 선택2(흑돼지김치찌개)', '고기추가 100g', '사이다 500mL']",마주 맛나요!!! 고기양이 엄청나요 ㅎㅎㅎ,"['https://rev-static.yogiyo.co.kr/a4d9f430c3be96a7df749cdd151720f4_tn.jpg', 'https://rev-static.yogiyo.co.kr/cf81bc0b39aba702117a582dbc0a811d_tn.jpg', 'https://rev-static.yogiyo.co.kr/a196607b8a6651f4feebf171666fd3c5_tn.jpg']"
13,5,['육회듬뿍비빔밥'],좋아요~^^맛있구요~^,[]
