,별점,주문메뉴,리뷰,사진
0,5,['얼큰순대국'],배달도 빠르고 얼큰순대국 맛있게 잘먹엇어요~나중에도 시켜먹을게요,[]
1,5,['순순대국'],맛있어요^^,[]
2,4,['얼큰순대국'],맛잇엇어요!순대가 조금 더잇엇으면 좋앗을꺼같아요 같이보내주신 열무김치도맛잇엇어요,['https://rev-static.yogiyo.co.kr/8b04159b5db132f91c56745c2e75647a_tn.jpg']
3,5,['얼큰순대국'],얼크순대국 맛있어요!,[]
4,2,"['해물순대국', '아바이순대']",dguutrergghhh,[]
5,5,"['얼큰순대국', '추가 선택(아바이순대 추가)']",맛있게 잘 먹었습니다~^^,"['https://rev-static.yogiyo.co.kr/e6e8ca7dfbbccf4492300678a10e4c53_tn.jpg', 'https://rev-static.yogiyo.co.kr/e77bfc81e4f8e03b39e9317d72837798_tn.jpg']"
6,5,['얼큰순대국'],맛있어요. 오늘 또 시켜먹습니다. 배달료가 있는것이 소비자 입장에서 조금 아쉬울 따름.,[]
7,4,"['순순대국', '주먹완자', '공기밥 추가']",순대국에 공기밥 기본아닌가요? 공기밥추기1도했는데 하나만왔네요ㅜ그거빼곤 맛.양.배달 다 좋은데 흑..,[]
8,5,"['얼큰순대국', '명태회무침', '공기밥 추가']",맛있게 잘 먹었습니다~^^,"['https://rev-static.yogiyo.co.kr/67112652c6ccfa27ba5127fa244a2792_tn.jpg', 'https://rev-static.yogiyo.co.kr/dc9788197fde0fd538742070c5aaf7f6_tn.jpg']"
9,3,"['얼큰순대국', '아바이순대']",맛은잇어요!그런데 최소배달금액도 오르고 배달료도 오르고ㅜㅜ혼자시켜먹기 ㅎㄷㄷ,['https://rev-static.yogiyo.co.kr/243b31b43b6d41b8ee8765d0e4a1a0cf_tn.jpg']
10,5,['해물순대국'],술안주로 최고에요!ㅎㅎ,[]
11,5,"['얼큰순대국', '명태회무침']","먹고 리뷰남겨요~  먹기전 사진은 찍었고순대국 국물을 먹어보니 얼큰하고,깍두기랑 김치는 약간익어서 맛이 좋아요~열무는 덜익어서 아삭하네요.회무침은 봤을때 양이 적어보이는데 많고 맛도괜찮더라구요?! 첨 시켰는데 완전 굿!!!",['https://rev-static.yogiyo.co.kr/5bbaf2961c2cc06a1e6b64cfae12907a_tn.jpg']
12,2,"['얼큰순대국', '접시보쌈', '명태회무침', '공기밥 추가']",김치깍두기 그런거 없구 무말랭이 하나줌 그냥 비싸고 맛없음 다른데랑 너무차이나던데 .. 리뷰보고 시켰다가 망했음,['https://rev-static.yogiyo.co.kr/cbc84bbb4f28fb4ffb1e00a1ff32e306_tn.jpg']
13,5,"['얼큰순대국', '아바이순대', '공기밥 추가']",리뷰보고 주문했는데 진짜맛있네요!! 국물도얼큰하고 반찬도맛있고 단골되겠어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/5f292d7c9a77cd9473681f0977db6db5_tn.jpg']
14,5,"['순순대국', '추가 선택(아바이순대 추가)', '공기밥 추가']",두번째 주문인데 순순대국밥보단 얼큰순대국밥이 제입맛에 더맛있네요ㅎㅎ 맛있게 잘먹었습니다!,['https://rev-static.yogiyo.co.kr/f5b826d234d008fedd9279cea98bbceb_tn.jpg']
15,5,['얼큰순대국'],존맛집   짱  잘먹었어여사장님,[]
