,별점,주문메뉴,리뷰,사진
0,5,"['오돌곱창', '양념막창']",냄새도 없고 양도 생각보다 많은것같아요 맛도 만족스럽습니다~ 매장이 인계동이고 저는 영통이라 배달료가 4000원 붙었습니다! 시키시는분들 참고하시면 좋을것같아용 배달전에 전화로 배달료 미리 얘기해주시고 친절하게 말씀해주셔서 음식도 기분좋게 받았습니다~ 번창하시길!!,[]
1,2,"['막삼이（막창＋삽겹살）', '볶음밥']",구이인줄 알앗는데 무슨 양념이그득그득 써놓으시지 삼겹을  양념먹을꺼면 제육볶음이 나을듯 ....다버렷어여  ㅠ,[]
2,5,"['Set 1（야채곱창＋막창）', '막창 선택(양념막창)']","완전 만족요!!  리뷰가 별로 없어서 망설이다가 주문했는데 배달기사님도 친절하시고 포장도 깔끔하고 맛깔나게 따뜻하게 배달되어 왔구요 같이 넣어주신 쌈이나 소스들도 종류별로 챙겨주셔서 기대이상!! 무엇보다 누린내 없구요, 곱창 막창 둘다 하나도 안질기고 맛나요ㅠ 또 시킬거예요^^!!",['https://rev-static.yogiyo.co.kr/1f30246d88d04089f4eb3acf87269624_tn.jpg']
3,5,[],항상 주문해서 먹던곳인데맛있어요!!요기요로 주문해서 먹으니 편하네요,[]
4,1,"['Set 1（야채곱창＋막창）', '막창 선택(양념막창)']",처음 시켜서 먹어봤는데 막창은 매워도 맛있었는데곱창은 캡사이신을 너무 많이 넣었는지 입이 아파서 못먹을 정도 였어요...제가 매운걸 잘먹는 편인데 아파서 먹기 힘든건 첨이네요그리고 쌈장 뚜껑을 열었는데 비주얼이 저래서 먹던거 주신건가 싶을정도라 쌈장을 못먹었어요설마 먹던걸 줬겠냐는 생각을 했는데쌈장을 저만큼줄 쪼잔함이라면 먹던걸 줬을수고있겠다 싶더라구요암튼 다음날 속아파서 고생 했습니다,"['https://rev-static.yogiyo.co.kr/bc08be38d57faf2249a1556e2c6d6390_tn.jpg', 'https://rev-static.yogiyo.co.kr/83ee88100a2fee520bcfa2c7e1a44fa8_tn.jpg', 'https://rev-static.yogiyo.co.kr/a1f19bb5038f379a901275eb28801dc5_tn.jpg']"
5,3,"['Set 1（야채곱창＋막창）', '막창 선택(양념막창)', '볶음밥']",일단 다른곳보다 저렴한 가격에 곱창과 막창을 함께 먹을수 있어서 좋아요 근데 제 음식만 그랬는진 모르지만 곱창엔 곱창이 쥐고 있는 특유에 잡내는 마니 남아있었어요ㅠㅠ막창 정말 맛있었어요 담엔 막창구이도 먹어볼까 생각들 정도로~볶은밥에 치즈토핑 가격이 좀 비싸다 생각들었지만 바다보니 수긍은 가더라구요 치즈마나서 좋은데 볶은밥 맛은 잘 안느껴진다는...,"['https://rev-static.yogiyo.co.kr/b286c3d57573dca7fe8c00d43b094b28_tn.jpg', 'https://rev-static.yogiyo.co.kr/23d2ab6c40592989225daeeae9df3ba4_tn.jpg']"
6,5,"['Set 1（야채곱창＋막창）', '막창 선택(양념막창', '치즈 추가(막창에 치즈 추가)']",맛있어요ㅜㅜ 냄새도 거의 없고 막창에 불맛이 최고bbbb,[]
7,4,"['Set 1（야채곱창＋막창）', '막창 선택(구이막창)', '볶음밥']",아직 맛은 안봤습니다만...포장뜯는걸 안주시면이걸 어떻게 뜯습니까...? 막창구이 뜯다가 기름 흘렀네요...하....,[]
8,3,"['Set 2（야채곱창＋막창＋오돌뼈）', '막창 선택(구이막창', '오돌뼈 맛 선택(순한맛)']",양도 그닥 맛도 보통입니다...근데 깔끔하긴 해요 늦은밤 시켰는데 곱창볶음은 괜찮았지만 막창은 ㅠ 좀 ㅠ,[]
9,5,"['순대곱창', '맛 선택(순한맛)', '볶음밥']",맛있고 배달도 빠르고 좋네용,[]
10,4,"['양념막창', '주먹밥']",맛은 요즘에 여느 음식처럼 미친듯이 매운게 아니라 좋은데 양이랑 배달시간이 좀 많이 아쉽네요ㅠㅜ,[]
11,5,"['양념막창', '볶음밥']",맛있습니다.볶음밥이랑 궁합이좋아요,[]
