,별점,주문메뉴,리뷰,사진
0,5,"['알리오올리오', '베이컨크림리조또']",뚜껑에 서비스로 빵이 붙어있어요 알리오올리오랑 크림리조또 먹었는데 맛있게 잘먹었습니다. 저는 만족스러웠어요,['https://rev-static.yogiyo.co.kr/63135de0edc482ce09c8dd4d959cc9bc_tn.jpg']
1,5,"['쉬림프알리오올리오', '베이컨토마토파스타', '쉬림프로제파스타']",오늘 처음 시켜봤눈데 로제는 보통이고다른거는 맛있어요서비스로 후렌치후라이 주셨는데양도 많고 넘넘 맛있어요^^,[]
2,5,"['알리오올리오', '베이컨토마토파스타']",안녕하세용 ㅎㅎ 금방 배달 시켜먹었는데  65분 걸린다더니  거의 체감 30분만에온것같네용 날씨도 춥고 그런데 아주 빨리 그것도 옆집에서 막만든것처럼 아주뜨겁고 맛있게배달왓습니당너무 맛있게 허겁지겁먹느라고 사진도 못찍었네요 ㅎㅎ솔직히말해서 다른 매장가서 먹는것보다 몇배는 더 맛있습니다 알리오올리오 특히 짱.맛있어요^^감사합니다 이렇게 추운날 맛있는 음식을 배달해주셔서 감사합니당,[]
3,5,"['베이컨크림파스타', '쉬림프로제파스타']",배달빠르고 맛있어요~,[]
4,5,"['베이컨크림파스타', '사이다 355mL']",배달이 빨라서 식지도 않고 왔어요~ 따끈따끈하고 면도 적당히 잘 익어있어서 좋았네요 ^ㅁ^ 사진엔 없지만 빵도 하나 같이 와서 맛있게 먹었어요 앞으로 종종 시켜먹을 것 같아요 ㅋㅋ,['https://rev-static.yogiyo.co.kr/acee0cd2b7bc5e668bcff6efb15ae1be_tn.jpg']
5,5,"['쉬림프크림파스타', '양념감자튀김']",파스타도 파스타지만 양념감자도 진짜 맛있었어용 배부르게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/18e81232bb07f7841726ee279a79b884_tn.jpg']
6,5,"['베이컨크림파스타', '쉬림프크림리조또', '양념감자튀김']",생각보다 양이 많더라구요 맛은 물론 맛잇고 배달도 빨라서 따끈따끈한 상태로먹을수 있어좋앗어요ㅎㅎ 후기도 다 좋아서 믿고 시켜먹을수 있겠어요 짱이에요,['https://rev-static.yogiyo.co.kr/c7c132e4f77f5d179548542addcd657d_tn.jpg']
7,5,"['상하이스파이시파스타', '베이컨크림리조또']",55분 걸린대서 잠깐 나갔다 오는 사이에 이미 배달 와 있어서 깜짝 놀랐어요. 한...25분? 쯤 걸린 것 같네요. 맛도 괜찮았어요. 스파이시 파스타 쪽은 기대보다는 심심한 편이긴 했지만 양도 충분했고! 리조또 쪽은 크림맛 듬뿍이라 좋았는데 양이... 양이... 폭발했어요. 리조또 정말 잔뜩 먹고 싶어서 좋긴 했는데^^ 다른 식당정도의 양 생각하면 당황할 수도 있겠네요. 전체적으로 만족스러운 점심이었어요! 저녁을 먹을 수가 없어서 든든히 먹어야 했는데 충분했던 것 같아요. 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/eae36749db53a5502283860ca8b589c4_tn.jpg']
8,5,"['베이컨크림파스타', '양념감자튀김']",면은 좀 굳었는데도 고소하니 맛나네요. 감자튀김은 양이 많아 남겨놨다 나중에 먹어야겠어요.,[]
9,5,"['해산물크림파스타', '양념감자튀김']",까먹고있다가 리뷰씁니다클레임 말고는 리뷰 써본 역사가 없는데여기는 진짜 좋네요.. 양념감자는 그냥 보통 양념감자 맛이지만 사이드메뉴니까 넘어가고메인 메뉴가 가격대비 퀄리티가 정말 좋습니다..!!맛있게 먹었습니다다음에 면이 생각나면 이쪽에서 주문할것 같아요 ㅎㅎ,[]
10,5,"['쉬림프알리오올리오', '망고에이드']","면이 조금 불었지만 그래도 맛있어요 ! 빵두 맛있구 양도 적당하구 , 다음엔 리조또 시켜먹으려구요 ㅋㅋ 대박나세요",['https://rev-static.yogiyo.co.kr/0115e04760f8a876865384bf361bf6ac_tn.jpg']
11,5,"['베이컨토마토파스타', '양념감자튀김', '사이다 355mL']",맛있었어요! 크림파스타도 맛있었는데 토마토파스타도 맛있네요 이번에도 역시나 배달 엄청 빠르고! 너무 뜨거워서 깜짝 놀랐어요 ㅇㅁㅇ 양념감자 맛있다는 리뷰가 많아서 저도 시켜봤는데 야금야금 먹기 좋은 양념이더라구요 파스타 다 먹고 맥주랑 먹었어요 ㅋㅋㅋㅋㅋ 맛있게 잘 먹었습니당,['https://rev-static.yogiyo.co.kr/ea10f9d3d34694cf44d05a32793c192e_tn.jpg']
12,5,[],👍👍👍👍👍,[]
13,4,['해산물로제파스타'],파스타가 땡길때 가끔 먹는데 맛있어요,[]
14,5,"['쉬림프크림파스타', '해산물토마토파스타', '양념감자튀김']",예상시간보다 빨리 왔어요 맛나요!!,[]
15,5,"['해산물로제파스타', '양념감자튀김']",이번엔 사진 찍어서 같이 올릴려고 했는데도착하자마자 바로 먹어버렸어요 ㅠㅠㅋㅋ다음번엔 사진 첨부해서 올릴게요~역시 크림도 맛있었는데 로제도 맛나네요배달해주시는분도 친절하시고 배달시키면서 가장 만족하는곳이에요 ㅎㅎ 수고하세요 다음에 또 시킬게요 다음번엔 리조또 한번.. ㅎㅎ,[]
16,4,"['쉬림프알리오올리오', '버팔로윙 3개']",잘먹었습니다 :)여기는 면이 통통하네요!,['https://rev-static.yogiyo.co.kr/2317088d8ae370b3414a644f32649912_tn.jpg']
17,5,"['해산물토마토파스타', '베이컨크림리조또', '콜라 355mL']",마싯어요~~ 기대안하고 시켰는데 너무 마싯어서 다음날 또 시켜먹었어요 ㅋㅋㅋㅋㅋ 이틀연속 자주시켜먹을께요 ~,['https://rev-static.yogiyo.co.kr/82ef89028585db8efd4f617a64d0b7ca_tn.jpg']
18,5,"['알리오올리오', '베이컨크림리조또']",친구한테 맛있다고 자랑했더니 자기도 한 번 먹어보자고 해서 이번엔 두 개 시켜서 먹어봤는데! 리조또 밥알 이렇게 고슬고슬 맛있어도 되는지 ;ㅅ;💕 리조또보다 파스타 더 좋아했는데 지금까지 맛있는 리조또를 못 만나서 그랬던 것 같아요 진짜 맛있었어용 ㅠㅅㅠ 알리오올리오 평이 좋아서 시켜봤는데 입맛 까탈스러운 친구도 맛있다고 다 먹었네요 ㅋㅋ 언제 뭘 시켜도 맛있을 것 같아요 이번에도 잘 먹었습니당~,"['https://rev-static.yogiyo.co.kr/cfd341d489e06eedbbdb3cfc18c61812_tn.jpg', 'https://rev-static.yogiyo.co.kr/973cacb623bc4699d1326fe748903be1_tn.jpg']"
19,5,"['쉬림프알리오올리오', '양념감자튀김']",늘 맛이어요 ^^ 항상주문해요 !!!,[]
20,5,"['쉬림프토마토파스타', '치즈스틱 3개']",찾았다.... 여깁니다 여기에요...... 이제 맨날 시켜먹어야지 ㅠㅠㅠㅠㅠ 감동 ㅠㅠㅠ 빵도 맛있고 파스타도 맛있고 피클도 맛있고 치즈스틱도 맛있고 양도 많고 배달도 빨리오고 말이 필요하나요 ㅠㅠㅠ,[]
21,5,"['베이컨크림파스타', '양념감자튀김']",아 맛도 있는데 양이 정말 ㅎㄷㄷㄷ,[]
22,5,"['베이컨토마토파스타', '자몽에이드']",항상 잘시켜먹거잇어요 양도 너무좋고 맛도잇구요~~,[]
23,5,"['알리오올리오', '치즈스틱 3개', '청포도에이드']",후기에 알리오올리오가 맛있다길래 주문해봤눈데 가격도 너무 저렴하고 너무 맛있고 !! 무엇보다도 갓 만들어서 파스타 뜨끈뜨끈해욥!! 면발이 탱글탱글!! 50분걸린다햇는데 20분도 안걸린거같아용😉 ㅎㅎ  서비스로 주신 모닝빵도 쫄깃하니 맛있네용:) 앞으로 자주 시켜먹겠습니당😍 번창하세요:),['https://rev-static.yogiyo.co.kr/9eca6e6b768bfedf3422440c546e88d3_tn.jpg']
24,5,"['베이컨크림파스타', '쉬림프알리오올리오', '양념감자튀김', '모닝빵（1개）']",맛도양도 서비스도 최고네요배달만좀 빨랐으면해요,[]
25,5,"['베이컨크림파스타', '버팔로윙 3개']",배달도 생각보다 빨리오고 맛있네요 잘먹었습니다종종 시켜먹을게요~서비스 모닝빵도 맛있었어요,[]
26,5,"['해산물크림리조또', '사이다 355mL']",정말 맜있게 잘먹었습니다^^,[]
27,4,['해산물크림리조또'],맛있어요 따뜻해요ㅎㅎ,['https://rev-static.yogiyo.co.kr/ec32b94f87fa65ab1d3ca6d2641bf403_tn.jpg']
28,5,['해산물토마토리조또'],항상 느끼는거지만 모닝빵 진짜 따끈하고 말랑해서 너무 맛있어요! 스파게티만 먹어봤었는데 리조또도 진짜 맛있구 양도 1인분 훨 넘는거 같아요 앞으로 파스타나 리조또먹을땐 여기서 👍🏻👍🏻 너무너무 맛있게 잘 먹었습니당,"['https://rev-static.yogiyo.co.kr/253ddd9bc1a4edb0db306fbdee7b8ed9_tn.jpg', 'https://rev-static.yogiyo.co.kr/2dc14eae258dd77eb0ea7ed8cb032182_tn.jpg']"
29,3,"['쉬림프로제파스타', '버팔로윙 3개']",처음 시켜먹어보는데 면이 통통하네요'-'!새우가 많아서 좋았어요~ㅎㅎ,['https://rev-static.yogiyo.co.kr/128a140d29b84ad86d01cc3691264948_tn.jpg']
30,5,"['알리오올리오', '쉬림프로제파스타']",맛있고 양도 많아서 애들이랑 배불리 잘 먹었습니다~사이다 서비스도 감사해요,[]
31,5,"['해산물로제파스타', '양념감자튀김', '청포도에이드']",맛잇어여 ~~~~~~~,[]
32,5,"['쉬림프크림파스타', '쉬림프알리오올리오']",됸맛입니다 여러분 파스타하새오,[]
33,5,"['베이컨로제파스타', '양념감자튀김']",언제 먹어도 최고의맛!,[]
34,5,"['알리오올리오', '베이컨크림리조또', '모닝빵（1개）', '치즈스틱 3개']",핵맛 진짜 걱정말고 시켜드세요 리죠또 양도 푸짐하고 너무조하~♡,[]
35,5,['해산물로제리조또'],주문동시에 바로 조리 들어가서 그런가 항상 배달예상시간이 어마어마하네요ㅠㅠ 그래도 기다려서 먹을만큼 양도 많고 맛이 훌륭해요! 요새는 리조또에 빠져있답니다ㅎㅎ 해물도 잔뜩에 양이 많아서 한번에 다 못먹고 나눠먹었어오!,['https://rev-static.yogiyo.co.kr/22431572bd74762768c048ebe6948cba_tn.jpg']
36,5,"['베이컨로제파스타', '치즈스틱 3개', '사이다 355mL']","일이주에 한번은 꼭 시켜먹는거같아요❤️이번엔 베이컨 로제 시켜봤는데 역시나 맛있더군요ㅠㅠ 배달도 늘 빨라서 면도 탱글탱글하고 ~~모닝빵도 짱맛,, ㅎㅎ 그리고 치즈스틱이 진짜 너무너무ㅜ너무 맛있어요ㅠㅠㅠ 늘 맛있는 음식 감사합니당:)",['https://rev-static.yogiyo.co.kr/c31aa1183009ae9310be2aa4cb8d6891_tn.jpg']
37,4,"['쉬림프토마토파스타', '양념감자튀김']",감자튀김 가격대비 매우푸짐하고 파스타도 새우 많이들어있어요잘먹었어요~,[]
38,5,"['베이컨토마토파스타', '쉬림프크림리조또', '모닝빵（1개）', '콜라 355mL']",양도많도맛있어요♡♡,"['https://rev-static.yogiyo.co.kr/0bee159d41968d627ca3b47121c6c1d7_tn.jpg', 'https://rev-static.yogiyo.co.kr/f81ff251638d7225c1dbcfc28b12814c_tn.jpg']"
39,5,"['쉬림프크림리조또', '해산물로제리조또', '콜라 355mL', '자몽에이드']",몇번을시키는지^-^♡♡,[]
40,5,"['쉬림프크림리조또', '베이컨토마토리조또', '양념감자튀김', '모닝빵（1개）', '콜라 355mL']",제입맛엔최고입니다^^,[]
