,별점,주문메뉴,리뷰,사진
0,4,[],"처음 시켜서 시식한바 맛과 양, 배송시간이며 사장님  친절함 모두 좋았어요. 순한맛을 시켰는데 살짝 매콤해서 아이들과 같이 먹어도 되고요. 좀 아쉬운것은  매콤함은 괜찮은데 달콤한 맛은 좀 강했으면 합니다.  옛날 집에서 해먹던  맛이라 좋았어요^^",[]
1,5,['The  오리지날 국물 떡볶이'],예상시간보다 빨리 도착했구요~!! 떡볶이 열자마자 맛잇는냄새에 군침이 도네욧~! 다음부터 여기로 시켜먹어야겟어요~! 완전 강추합니당♡,['https://rev-static.yogiyo.co.kr/11f8ea60f5172bf5f1a639c76453b8f6_tn.jpg']
2,5,['The  오리지날 국물 떡볶이'],국물떡볶이가 먹고 싶어 시켰는데 맛납니다~ 간도 잘 배어있고 서비스로 사이다랑 샐러드도 주셔서 넘 잘 먹었어요~ 다른데보다 가격도 저렴하고 무엇보다 빨리 갖다 주셔서 좋았습니다~ 보통맛으로 시켰는데 다음엔 매운맛 한번 시켜봐야겠어요~,['https://rev-static.yogiyo.co.kr/1ed0e54b526cd8e5e383183b9f6449c8_tn.jpg']
3,5,[],맛있어요,[]
4,2,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(오뎅 추가)']",넘짜고 맵기만 하네요.. 가격대비 특별하지도 않아 실망입니다,['https://rev-static.yogiyo.co.kr/49c69a58ec3224940e3cc74a590519a9_tn.jpg']
5,5,['The  오리지날 국물 떡볶이'],전에 주문할땐 김말이잡채 하고 비엔나소세지가 없었는데 떡볶이도 업그레이드 하나봐요 ~ㅋ 다른곳은 밀가루만 있는 납작만두 넣어주는데  대만족 잘먹었습니다,['https://rev-static.yogiyo.co.kr/fef1bba448621f9efe1f79837631f190_tn.jpg']
6,5,"['국물 떡볶이＋골든치즈피자（M）', '모짜렐라 오븐파스타']",배달도 친절하시고 맛있었습니다~^^,[]
7,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(오뎅 추가)']",맛잇습니당~~~~~~^^,[]
8,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(삶은계란 1알 추가)']",맛도있고 배달하시는분이 친절하셔서 더좋네요잘먹었습니다,[]
9,5,['The  오리지날 국물 떡볶이'],생각보다 빨리 오셨어요.맛도 깔끔했고 완전 뜨끈뜨끈하개 배달와서 신랑이랑 맛있게 먹었네요.,[]
10,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(삶은계란 1알 추가)']",시간이 조금 걸리긴 했어요...한밤중에 주문했으니 이점은 뭐 크게 걸리지 않아요 ㅋ국물이 넉넉해 좋았어요.떡볶이도 쫀든하니 맛있고.달걀도 맛나고 ㅋㅋ 전체적으로 맛도 양도 배달도 만족스러웠어요!!!!,[]
11,3,"['The  오리지날 국물 떡볶이', '콜라 1.25L', '하이트 맥주 PT 1L', '참이슬 후레쉬 PT 640mL']",어 음... 맛이 되게 오묘하네요달고 짜요 --;;,[]
12,5,[],짜다는 리뷰가있어 망설였는데 안짜고 맛있네요 양도 많고 떡을조아해서 떡마니 넣어달라했더니 배불러 좀 남겼네요 잘먹었습니다 ~~,[]
13,5,[],맛있네요 양도 적당하고,[]
14,5,"['The  오리지날 국물 떡볶이', '하이트 맥주 PT 1L']",Goooooooood,[]
15,5,['The  오리지날 국물 떡볶이'],짜지도 않고 맵지 않아서 너무 맛있어요그동안 너무 매운것만 먹어서 식도염 걸렸는데떡볶이가 너무 먹고 싶어서 시켰는데맵지 않은데 맛있네요:) 그리고 진짜 배달빠르고 친절하세요^ ^잘먹고 있습니당~,['https://rev-static.yogiyo.co.kr/5e15b848dd8df4b16e6a9f9d95b8f4be_tn.jpg']
16,5,['The  오리지날 국물 떡볶이'],..........,[]
17,4,"['국물 떡볶이＋치킨텐더 3조각＋핫윙 3조각', '떡볶이 토핑 추가(모짜렐라 치즈 추가)', '하이트 맥주 PT 1L']",일단 사장님 너무 친절하세요 ㅎㅎ 치즈추가 했더니 전화하셔서 전자레인지 있으시냐고 ㅎㅎㅎㅎ양은 많은데  스트레스 풀고 싶어서 매운맛시켰는데 맵진않더라구요 막 매은걸잘먹는편도 아닌데 안매웠어요 ㅠㅠ 그래도 가성비는진짜 갑 !! 여럿이서 저렴한가격으로 시키기엔 딱이에요,[]
18,4,"['The  오리지날 국물 떡볶이', '사이다 1.25L']",맛있게 잘 먹었습니다,[]
19,5,['The  오리지날 국물 떡볶이'],너무 맛있었습니다! 또 이용할께요!,['https://rev-static.yogiyo.co.kr/8fd49a909dec632be8158bbc3b22a8fd_tn.jpg']
20,5,['The  오리지날 국물 떡볶이'],맛있었어요 최고최고,[]
21,5,"['The  오리지날 국물 떡볶이', '하이트 맥주 PT 1L']",달콤하고 맛있네요~~ 다음엔 매운맛으로 먹어봐야겠어요~~,['https://rev-static.yogiyo.co.kr/831ba99f47d2e34b5ad8f86f498969e3_tn.jpg']
22,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(치즈떡 10개 추', '김말이 3개)']",맛있어어요어미라우나맛있어요어다튜어오,[]
23,3,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(삶은계란 1알 추', '오뎅 추', '김말이 3개)']",배달은 많이 느립니다 맛은 너무 짜서 국물은 먹질 못하겠네요 내용물은 먹을만 합니다,['https://rev-static.yogiyo.co.kr/8dfc35abff1514e20e2220497e2a71df_tn.jpg']
24,5,['The  오리지날 국물 떡볶이'],국물 떡볶이 생각나서 두번째 시켰어요- 양도 많고 잘 먹었어요,[]
25,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(치즈떡 10개 추', '김말이 3개)']",맛있어요좀 오래 걸리는건 뭐.. ㅋㅋ,['https://rev-static.yogiyo.co.kr/713d76ff84019b1c9ad0b038a01d2f6d_tn.jpg']
26,4,['The  오리지날 국물 떡볶이'],다른 리뷰처럼 배달은 느리지만 맛있어요 근데 좀 짜요ㅠ 물좀부워먹음 될거같아요,[]
27,3,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(삶은계란 1알 추', '오뎅 추가)', '치킨텐더（6조각）']",다른평과 같이 간이 좀 쎄긴하네요매콤한게 땡겨서 일부러 매운맛 주문했는데하나두 안매워요 ㅠㅠ,[]
28,5,['The  오리지날 국물 떡볶이'],떡볶이가 먹고 싶어 전에 먹던 국떡이 생각나서 주문했는데 양도 많아지고 맛에 변화도 주었네요 맛있게 잘먹었습니다 사장님~♡,"['https://rev-static.yogiyo.co.kr/c70dd172705f41081052b9cd1436ea71_tn.jpg', 'https://rev-static.yogiyo.co.kr/bb46db2209c324a49c5ad8153ebc4a91_tn.jpg', 'https://rev-static.yogiyo.co.kr/cd9b8bf29badb7039176495e1ae1edf9_tn.jpg']"
29,5,['The  오리지날 국물 떡볶이'],급 떡볶이가 먹고싶어 주문했는데 낮시간이라 배달도 빠르고 맛있어요 남아서 저녁에 또 먹어야겠네요,['https://rev-static.yogiyo.co.kr/08e4ebb89c74b9c33e97b74caba5079c_tn.jpg']
30,5,['The  오리지날 국물 떡볶이'],오랜만에 떡볶이 땡겨서 시켰는데 맛있네요,['https://rev-static.yogiyo.co.kr/3ba5c2975624365f506ea7e584b2c50a_tn.jpg']
31,5,['The  오리지날 국물 떡볶이'],생각보다 배달도 빠르고 배달해주시는 분도 넘 친절하세요~~오늘은 쿨피스 떨어졋다고 콜라주셧네요 서비스로 만두도 주심 납작만두 완전 조아하는데 맛나게 잘묵겟습니다~~ 맛도 제스퇄입니다 맛나용~~^^,['https://rev-static.yogiyo.co.kr/e8eaae80fe4e8dea74c7be9df3352964_tn.jpg']
32,5,['The  오리지날 국물 떡볶이'],4번째 주문입니다 서비스 넣어주신 야끼만두 감사해요 앞으로도 맛있게 배달해 주세요~^^,[]
33,5,['The  오리지날 국물 떡볶이'],잘먹었습니다 떡볶이가 너무많아요,[]
34,5,['The  오리지날 국물 떡볶이'],양도 많고 맛있습니다 순한맛 시켰는데 애들도 잘먹고 좋습니다  요즘 너무 매운 떡볶이만있어서 고통스러웠는데 자주 시켜먹을것 같습니다 다음엔 중간맛도 한번 시켜먹어봐야겠네요,[]
35,5,['The  오리지날 국물 떡볶이'],이런 떡볶이는 실패한 경우가 많았는데이번엔 성공했어요. 드뎌 떡볶이 맛집을 찾았네요 ㅎㅎ 너무 맛있어요 추천합니다,[]
36,5,"['The  오리지날 국물 떡볶이', '쿨피스 450mL']",떡볶이가 너무 먹고싶어 주문했는데 배달해 주시는 분이 사장님이신거 같았어요 아기가 먹을거냐고 물으시더라구요 아이가 먹기 매울까봐 걱정해주셨나봐요~  큰아이 7살이 먹기는 하나도 안 맵고 맛있다며 잘 먹네요 양도 푸짐하고 즐거운 식사였어요~,['https://rev-static.yogiyo.co.kr/80988a02f90fe38f061083a16d12cb35_tn.jpg']
37,5,['The  오리지날 국물 떡볶이'],오랜만에 떡볶이 먹고 싶어서 시켰더니 진짜 감동입니다~배달하시는분 정말 친절해서기분 좋았구여~양은 진짜 대박이구~맛은 말할것두 없더군여 집에서 정성껏 해주는집밥같은 느낌 ㅋㅋ암튼 앞으로 자주자주시켜 먹을께여 없어지면 클랄집이예여 자꾸 생각나는맛!사장님 앞으로 오래오래 번창하세요~^^다먹어서 사진을 못찍었네여ㅠㅠ담엔 꼭! 사진첨부하겠습니다~,[]
38,5,['The  오리지날 국물 떡볶이'],겁나 맛있습니다!!!!!자주 시켜먹을거 같아요ㅎㅎ 첫 주문인데도 오뎅줄이고 떡늘려달라는 요청도 꼼꼼히 해주시고!!!!새벽 늦은시간이라 계란빼먹으신게 너무 아쉽지만 담에 더 챙겨주신다고 문자주셔서 담에 기대할게욥!!ㅋㅋㅋ진짜 맛있구 배달해주신분도 친절하고 대만족!!!!,['https://rev-static.yogiyo.co.kr/c924d4cb3a1708783fe384dcac3a38b5_tn.jpg']
39,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(김말이 3개)']",국물떡볶이는 먹고싶고 신랑이 매운거 못먹어서 순한맛으로 시켰는데 완전 딱이었어요! 맛있어요! 국물까지 싹싹 다 먹었어요~ㅎㅎ계란도 두개나 들어있고 김말이는 눅눅해지지않게 따로 주셔서 좋았어요~ 또 주문할게요~^0^,['https://rev-static.yogiyo.co.kr/a05a4e2d2ff660cec2ea5acc01d8d08b_tn.jpg']
40,4,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(모짜렐라 치즈 추가)']",맛있습니다 배달시간이좀 늦는것빼고는,[]
41,5,['The  오리지날 국물 떡볶이'],잘먹었슺니당ㅎㅎㅎㅎㅎ,[]
42,5,['The  오리지날 국물 떡볶이'],조금 짜지만 맛이 다른 곳보다 너무 달지 않아서 좋았어요! 파가 더 많아도 좋을 것 같아요ㅋ,[]
43,5,['The  오리지날 국물 떡볶이'],역시 맛나네요~~근데 원래 단무지는 안주는건가요~~??두번째라 헷갈리네용~~그래도 맛과 양은 인정합니다~~♡아주맛나용~~,['https://rev-static.yogiyo.co.kr/eb75f4c8faa8dba43d3a47fdd89939df_tn.jpg']
44,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(단무지)']",아이들먹기에도 안맵고 맛있어요오히려 아이가 다음에는 보통맛먹어보자하네요  ㅎ ㅎ다음에는 매운맛먹어봐야겠어요이른시간 잘먹었습니다^^,[]
45,4,['The  오리지날 국물 떡볶이'],맛있었어요~~~~~,[]
46,3,['The  오리지날 국물 떡볶이'],다소 짜고 일반적인 맛입니다.,[]
47,5,['The  오리지날 국물 떡볶이'],다이어트 해야 되는데  나도 모르게 주문이 되었네요 ~ㅎㅎ 약간 싱거운데 맛있게 잘먹었습니다,[]
48,3,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(단무지)']",주문이 많아서 배달이 진짜 늦는데 그래도 죄송하단 전화는 주셨더라구요 친절은 인정 맛은 밀떡이라그런지 쫀득하네요,[]
49,5,"['The  오리지날 국물 떡볶이', '떡볶이 토핑 추가(단무지)']",항상 잘먹구 있습니다!!!!배달해주시는분도 너무 친절해요!!,[]
50,5,"['새우링（8개）＋쿨피스（小）＋국물떡볶이（2인분）', '떡볶이 토핑 추가(모짜렐라 치즈 추', '삶은계란 1알 추', '오뎅 추', '단무지)']",사장님도 친절하고 맛도 너무 좋네요!,[]
51,5,"['The  오리지날 국물떡볶이', '떡볶이 토핑 추가(야끼만두 3', '단무지)']",역시나 쵝오  맛도 양도 배달도 넘 조아용~~ 몇번시켜머거봣지만 늘 사장님 친절하시고 맛도 변함없이 넘맛나용~오늘도 맛나게 무것습니다~~ 사장님 번창하셔용~^^,[]
52,5,"['The  오리지날 국물떡볶이', '떡볶이 토핑 추가(김말이 3', '단무지)']",맛 있 습 니 다,[]
53,5,"['The  오리지날 국물떡볶이', '떡볶이 토핑 추가(단무지)', '콜라 1.25L']",항상 시켜먹는 맛과 양 모두 대만족!!!배달 항상 빠르셨는데ㅠㅠ 이날은 너무 늦었어요바쁜 시간대라 예상시간 45분이었는데 배달은 1시간30분ㅠㅠ다음에는 평소처럼 빠른 배달 부탁드려요~,[]
54,5,"['The  오리지날 국물떡볶이', '떡볶이 토핑 추가(모짜렐라 치즈 추', '단무지)']",맛있게 잘 먹었습니다. 사진찍을 생각도 못했네요 ㅋ 첫주문이었지만 떡복이생각나면 다시 주문할듯 하네요~,[]
55,5,['The  오리지날 국물떡볶이'],배달떡볶이 여기저기 시켜먹었는데 맛집을 못찾았었거든요...근데 드디어 찾았어요!!! 바로 여기!!^^보통맛이 신전순한맛이랑 비슷한 맵기라 저한텐 딱좋아요짜지도않고 달지도않고 최고입니당^ㅇ^대신 배달완료뜨고도 15분넘게 지나서 온...주문1시간만에 온것만 아쉬웠어요ㅜㅜ배고파 숨넘어갈뻔..ㅜ떡볶이 생각날때 또 주문하러올게요!,['https://rev-static.yogiyo.co.kr/64e2c9c271d1f84e89a317323d5caaba_tn.jpg']
56,5,"['국물떡볶이＋베이컨 크림 파스타', '떡볶이 토핑 추가(새우링 3개)']",맛있습니다~~,[]
57,4,['The  오리지날 국물떡볶이'],정말 맛있는데 계란이 깨져서왔어요ㅜㅜ,[]
58,5,['The  오리지날 국물떡볶이'],너무 맛있네여~~처음 먹어봤는데 이제 떡볶이는 여기서만 시킬것같아요^^사장님  번창하세용~~^^,[]
59,5,"['The  오리지날 국물떡볶이', '떡볶이 토핑 추가(모짜렐라 치즈 추', '삶은계란 1알 추', '김말이 3', '새우링 3', '단무지)', '사이다 1.25L']",계란1개랑 만두 1개 서비스로 챙겨주셔서 너무 감사했어요ㅠㅠ 친절하시게도 바로 먹는게 아니라 하니까 치즈는 따로 챙겨주신 사장님! 너무 맛있게 잘 먹었어요!!,['https://rev-static.yogiyo.co.kr/a0241bf802207ad6b6a9a298d16ce436_tn.jpg']
60,2,"['새우링（8개）＋쿨피스（小）＋국물떡볶이（2인분）', '떡볶이 토핑 추가(김말이 3개)']",배달 1시간25분 만에 옴맛은 다른 떡볶이 집이랑 비슷함양은 1/3 정도,[]
61,5,['The  오리지날 국물떡볶이'],요기요 오천원 할인쿠폰 떳길래 점심식사로 배불리 맛있게 먹었습니다 종종 생각사면 또주문할께요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/06c8baa84ead05118d6a0df781c63cb7_tn.jpg']
62,3,['새우링（8개）＋쿨피스（小）＋국물떡볶이（2인분）'],맛은 전부 평타정도에요,[]
63,5,['The  오리지날 국물떡볶이'],좋아하는 김말이도 들어있고  맛있네요 자극적인 떡볶이만 먹다가  이집 떡볶이는  순하다고 해야할까 하여튼 잘먹었습니다♡♡♡,['https://rev-static.yogiyo.co.kr/194ae9e696c25bf9b8898fecee7616df_tn.jpg']
