,별점,주문메뉴,리뷰,사진
0,5,['굽네 고추 바사삭'],늠 맛있어요. 뜨끈한 채로 와서 더욱 맛있게 먹었습니다. 신속 친절한 배달도 감사합니다.,['https://rev-static.yogiyo.co.kr/e3f1d2ab763bb73a0aaa8459bc885e5a_tn.jpg']
1,1,['굽네 스윗 볼케이노'],9시 42분 도착예상시간보다 10분 더걸림배달기사 전화와서 위치도 모름다 식어서 옴 ㅡㅡ다른곳은 계란주는데 안줌실망이 큽니다ㅡㅡ,['https://rev-static.yogiyo.co.kr/ce3321db93fb4e9d4bdaaa4eca2fbf1c_tn.jpg']
2,5,['굽네 고추 바사삭'],오랜만에 먹어도 역시 고추바사삭은 맛있네요 ㅎㅎ,[]
3,4,['굽네 핫 갈비천왕 순살'],맛있어요~~ 밥하고 먹음,['https://rev-static.yogiyo.co.kr/4d4947aee310bcd4d932eafd3f32a288_tn.jpg']
4,5,['굽네 오리지널 순살'],맛있어요 굽네오리지널순살 아는맛.그래서 더맛,[]
5,2,['굽네 볼케이노 순살'],인간적으로 기름이 너무 많아요. 예전에 볼케이노 먹었을때는 이정도까지는 아니었는데...먹을때도 한 조각 들자마자 기름이 뚝뚝 떨어졌어요.. 빨리 가져다 주시는건 좋지만 퀄리티도 중요한거 같습니다..,['https://rev-static.yogiyo.co.kr/911f72d0543ab66af9d9a8dbc107f4b9_tn.jpg']
6,5,['굽네 마라 볼케이노'],.,['https://rev-static.yogiyo.co.kr/75bc24b960ac48b2709d7543c4760712_tn.jpg']
7,5,['두마리）오리지널＋오리지널'],맛있었어요 ㅎㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/01cc1df24a4af1090232a1cee6880942_tn.jpg']
8,3,['볼케이노 피자'],음.. 피자는 아닌거같아요 굽네는 역시 치킨,[]
9,5,['굽네 허니멜로'],크 8000원 할인받고 고추바사삭없어서 시켯는데 맛나네여,[]
10,5,['굽네 볼케이노'],진짜 맵네요 맛있어오,[]
11,5,['굽네 핫 갈비천왕'],"일주일에 한번은 시켜먹는 굽네, 추천이요~",['https://rev-static.yogiyo.co.kr/8e4058465656579bd39f171fac4c024c_tn.jpg']
12,5,['굽네 볼케이노 순살＋쌀떡볶이'],금요일이라 오래  걸렸지만  잘 도착해서 먹었어요,[]
13,4,['반반D윙）오리지널 반＋허니멜로 반'],잘먹었어요양이 적어서 아쉬워요,['https://rev-static.yogiyo.co.kr/ceb47879d719592b1b17c87611afad18_tn.jpg']
14,5,['굽네 허니멜로'],맛있었어요~ 배달이 복날 이벤트 기간이라 1시간 50분 걸렸음.,[]
15,4,['굽네 갈비천왕'],복날이라 배달은 엄청 늦었지만 싸게싸게 갈비천왕 맛나게 잘 먹었어요,[]
16,5,['굽네 고추 바사삭 순살'],배달시간 딱맞춰서 와주셨네요 잘먹겠습니당,[]
17,1,"['볼케이노 피자', '굽네 양념 치킨']",배달이 오래걸리는건 그렇다치고 피자랑치킨 시켰는데 콜라하나 없네요,[]
18,3,['굽네 갈비천왕'],맛이 생각보다 별로였음 ㅜㅜ 배달도 예상시간보다 40분 늦었음ㅁ,[]
19,5,['굽네 볼케이노'],체인점마다 차이는 없네요 한결같아요,['https://rev-static.yogiyo.co.kr/afb8ff209482f73a0acc28b84ab7c942_tn.jpg']
20,5,['굽네 고추 바사삭'],너무맛있습니다♡♡♡,[]
21,5,['굽네 오리지널 순살'],굿잡,[]
22,5,['굽네 갈비천왕'],복날 먹기 참 힘들었습니다굽네피자는... 할말을 잃음... 냉동피자처럼 아주 규격화된 모습 보는순간 아.. 잘못시켰구나 안먹어도 느낌왔음...,[]
23,5,['굽네 오리지널 순살'],배달은 좀 늦었지만 맛있었어요. 5천원 할인 이벤트랑 카카오페이에서 국민카드 사용해서 10% 할인까지 받아서 저렴하게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/1f2866dbeedcb46ebd64bec3a08bb7db_tn.jpg']
24,3,['반반A순살）오리지널 반＋볼케이노 반'],맛은 먹을만했는데 양이 너무 적었어요~~,['https://rev-static.yogiyo.co.kr/5178e9a2ba7f1c3888cdfff3d9a787a2_tn.jpg']
