,별점,주문메뉴,리뷰,사진
0,5,"['새뱅이국밥', '1人 등갈비김치찜', '김치 크기 선택(잘라서)', '오징어탕수']",음식이 깔끔하고 맛있어요~,[]
1,5,['새뱅이 수제비'],채소가 많이 들어있어서 좋았어요손글씨 쪽지는 감동이었구요밥말기 강추👍,"['https://rev-static.yogiyo.co.kr/a52bd324b6a308808e3f321188bc4b1e_tn.jpg', 'https://rev-static.yogiyo.co.kr/71ea1c37edb3d3cff6d13f7ccfb5c6db_tn.jpg']"
2,5,"['새뱅이 수제비', '펩시콜라 355mL']",예상보다 빨리 도착해서 놀람정성어린 메모에 감동받아 놀람새우수제비는 처음 보게 되어서 놀람속을 확 풀어주는 국물맛에 놀람쫀득쫀득 씹히는 수제비맛에 놀람다음에 또 찾을게요~★,['https://rev-static.yogiyo.co.kr/b0cd2861e1da0f7aa93d8710af43081a_tn.jpg']
3,4,['1人 새뱅이찌개'],새뱅이라는 단어가 생소할 수 있는데민물새우찌게라고 생각하면 딱 맞는거 같아요.매운거 좋아해서 아주매운맛은 찌게맛을 잘 못느낄까봐 매운맛 했는데 딱 맛있는 매운맛같아요!진짜 국물은👍🏻 맛있네요:) 근데 아쉬운건 두부가...얼린두부인가요? 꼭 언두부 넣은 모양에 질감이고 맛도 그런것같아요그렇다고 맛이 없는건 아니구요😂 살짝 아쉽네요. 새우도 많이들어있고 채소도 많이 들었어요!집에서 먹는 맛😊  감사히 잘먹었습니다~,['https://rev-static.yogiyo.co.kr/d96934f25725ef4f838991efabbe941e_tn.jpg']
4,5,"['새뱅이 수제비', '공기밥']",처음이지만 만족하는맛이였습니다.,[]
5,5,['새뱅이 수제비'],배달도 빨리오고 맛도 좋았어요 근데 아주매운맛인데 저는 매윤걸 잘먹어서 그런지 많이 맵지는않았어요,[]
6,4,['1人 새뱅이찌개'],충청도 에선     유명한  음식이에요~~   맛은 나쁘지  않아요~~   긍데  깊은  맛이  부족  ㅠ  마시떠욤~~,"['https://rev-static.yogiyo.co.kr/81db1ba1a42980fdb3978f8e8c729d35_tn.jpg', 'https://rev-static.yogiyo.co.kr/63f1d953c417ccd7361ebe3ad31991eb_tn.jpg']"
7,5,"['새뱅이 수제비', '공기밥']",양 진짜 푸짐하구요. 맛도 좋아요.입맛 까다로운 신랑이 정말 좋아하더라고요.손메모도 감사합니다^^,[]
8,5,['새뱅이 수제비'],특이하게 수제비에 무가 들어가네요!!  그래서 그런지 칼칼한데  시원한 맛이 정말 괜찮아요!!같이 온 손편지도 맘이 따뜻해지고...  따님 글씨체가 예쁘네요!!,"['https://rev-static.yogiyo.co.kr/8043f8b4282d5488eaec637437d19ce3_tn.jpg', 'https://rev-static.yogiyo.co.kr/06d0ac3d946e9672be9f315a2d0dddbf_tn.jpg']"
9,4,"['새뱅이 수제비', '공기밥', '등갈비 강정']",등갈비강정 맛있었어요. 수제비는 양이 꽤 많네요. 먹다보니 건더기는 많은데 국물이 부족해서 아쉬웠어요.,"['https://rev-static.yogiyo.co.kr/882a6b48d68dd3e90e3a7f30fc0b51cd_tn.jpg', 'https://rev-static.yogiyo.co.kr/fa51a7510e9d65f15af3a84d8dc1e532_tn.jpg', 'https://rev-static.yogiyo.co.kr/194c98e3b86cf5abb8d77c904d974414_tn.jpg']"
10,3,"['1人 등갈비김치찜', '김치 크기 선택(잘라서)']",기본반찬에 콩나물 무침이 써있었는데 콩나물 아니고 오뎅볶음이 오네요. 콩나물을 좋아해서 시켰는데 좀 아쉽네요김치찜 아주매운맛 시켰는데 제가 매운걸 잘먹긴 하지만 그래도 살짝 매콤한정도네요 그리고 좀 달았어요 ㅠ 고기는 뼈 4개정도 있었고 김치가 엄청 많아요. 그래도 전체적으로 깔끔하고 좋은데 맛이 살짝 아쉽네요. 같은거는 재주문 안할꺼 같긴한데 담에 새뱅이찌개 먹어볼게요! 조금 더 업그레이드 되길 바라며 후기 남겨요,[]
11,5,"['새뱅이 수제비', '공기밥']",진짜맛있어요 꼭시켜드세여 직접써주신 손편지도감동적이고 공기밥하나만시켰는데도 엄청많이주셔서 둘이나눠먹었어요ㅋㅋㅋ 진짜개운하고 감칠맛쩔어요 번창하세여 계속시켜먹어야하니까ㅠㅠ!!!,[]
12,5,"['새뱅이 수제비', '1人 등갈비김치찜', '김치 크기 선택(잘라서)', '공기밥']",처음시켜봤는데 수제비랑 등갈비김치찜 다 맛있어요👍 자주시켜먹을것같아요~!!,[]
13,4,"['새뱅이 두부전골', '전골 종류 선택(소고기 안 들어간 전골', '맵기 선택(매운맛', '추가 선택(공기밥 1개 추가)']",양이 진짜 많아요~ 잘먹었습니다,['https://rev-static.yogiyo.co.kr/294f4c984974e463f96ae3342a58c7da_tn.jpg']
14,5,"['새뱅이 수제비', '1人 새뱅이찌개']",국물이 먹고 싶었는데뜨끈하게 잘 먹었어요감사합니다 😍,['https://rev-static.yogiyo.co.kr/43fcc84aa3834571fd47d6a537ef982f_tn.jpg']
15,5,"['새뱅이 수제비', '오징어탕수']",비오는날에 수제비생각나서 시켰는데맛있네요,['https://rev-static.yogiyo.co.kr/2240b091aec5b770a0df8a8e8d8506e6_tn.jpg']
16,5,"['새뱅이 수제비', '1人 새뱅이찌개']",비오는 날에 제격이네요 자주 먹게 될 듯. 반찬 구성도 심플하지만 딱 좋아요,"['https://rev-static.yogiyo.co.kr/1ac06a8631c3827fb0d22c2c37c9d908_tn.jpg', 'https://rev-static.yogiyo.co.kr/2b27431cb7434c3bd06d9b2321888402_tn.jpg']"
17,4,['새뱅이 수제비'],새우들어가 시원하고 얼큰햇구요혼자 한그릇먹고 배가불르정도 양이엿어요맛나게먹었습니다,[]
18,4,['1人 새뱅이찌개'],칼칼하니 매운탕 같기도하고 맛 있어요,[]
19,5,"['새뱅이 수제비', '공기밥', '오징어탕수', '칠성사이다 355mL']",맛있게 잘 먹었습니다~~*^^*,[]
20,5,"['1人 새뱅이찌개', '펩시콜라 355mL']",뚜껑을 여는 순간 고소한 찌개냄새가 폴폴~이거 완전 밥도둑이네요~오늘도 잘 먹었습니다!!,"['https://rev-static.yogiyo.co.kr/51cde1e66052381e29f0be193da4596c_tn.jpg', 'https://rev-static.yogiyo.co.kr/06f30f86b09d0a5aceaa6f8f9617557f_tn.jpg', 'https://rev-static.yogiyo.co.kr/54be2bd9e9738e93910ee60afc4c1e67_tn.jpg']"
21,4,['새뱅이 수제비'],"한끼로 나쁘진 않았어요. 새뱅이찌개가 어떤 맛일까 궁금했는데 고추장찌개 맛이더라구요. 건새우도 좋아하는 저로서는 새뱅이 자체는 괜찮았는데, 제가 고추장찌개 자체를 별로 좋아하지 않아서 좀 아쉬웠네요. 얼큰칼국수 같은거에 새우 들어간 맛이 아닐까! 하는 기대를 한지라ㅎ 고추장 찌개 맛을 좋아하시는 분들은 잘 드실듯 합니다.",[]
