,별점,주문메뉴,리뷰,사진
0,5,['동해안 묵호참문어숙회'],이집나름 유명한집인데 요기요에서보고 그집이맞나아닌가고민하다 문어도 먹고싶그 마침문어도되니 시켜봤는데 그집이맞나봐요~^^포장보니...이집에서 문어는 첨먹어보는데 맛도 괜찮고 포장도 깔끔하고 서비스도주시그 배달드 생각보다빨라서 넘좋은데하나 아쉬운점은 문어먹을때 날치알쌈을 싸묵어야 제맛인데 쌈류가 전혀없어서 아쉬웠어요...ㅜㅜ흑날치알쌈만 더있어도 퍼펙트한데그래도 맛있으니깐 자쥬애용할거같아요....^^♡♡♡,"['https://rev-static.yogiyo.co.kr/38ab2b7f0aa330236a415eac59fef714_tn.jpg', 'https://rev-static.yogiyo.co.kr/a13299574ff4b424c2c58666dd8f319d_tn.jpg', 'https://rev-static.yogiyo.co.kr/e123f40c77ef7234e7533b8b3587c50b_tn.jpg']"
1,4,['모듬해산물（문어＋백골뱅이＋홍새우회＋가리비찜） 2~3人'],모듬세트 시켰어요~ 백골뱅이가 안와서 전화드렸더니 솔드아웃이고 가리비 또는 백골뱅이라고 하시네요;; 메뉴수정 못하셨다고ㅜㅜ 미리 전화주셨음 좋았을텐데 아쉬웠어요... 양에 비해 비싸다는 생각이 좀 들었습니다만.. 홍새우회는 배달로 쉽게 접할수없는 음식이라; 비싸도 어쩔수없겠죠ㅎㅎ,['https://rev-static.yogiyo.co.kr/d68c51affb3fad6282aaa31813218794_tn.jpg']
2,5,['박달홍게 3마리（500g 기준）'],속초가서 먹는것보다 가성비 갑입니다!그보다 아이들이 잘먹어서 좋네요~배달시간이 한시간 넘게 걸리긴해도맛있어서 한시간 또 기다려도 다시시키게되네요~하지만 리뷰쓴다하고 연달아 두번시키는건데서비스가 첨에 시켰던 가리비한개 더 왔다는것에언빌리블하네요ㅜ 백고동골뱅이 한두개정도는 올줄 알았는데... 웁쓰..ㅜ,"['https://rev-static.yogiyo.co.kr/8866705b34060900eecb4eccf47bd2c4_tn.jpg', 'https://rev-static.yogiyo.co.kr/f46aad197eb1b454c11df8491998d4c4_tn.jpg', 'https://rev-static.yogiyo.co.kr/d65568bc7de9f5afbf77eaa16fe4414c_tn.jpg']"
3,5,['박달홍게 3마리（500g 기준）'],배달 홍게중에 최고에요크기도 크고 짜지도않고!자주 시켜먹을게요,"['https://rev-static.yogiyo.co.kr/0b55b06147374145537ac8cfc68f5077_tn.jpg', 'https://rev-static.yogiyo.co.kr/cb8f641b12d6189215febd529f26bcdc_tn.jpg']"
4,5,['모듬해산물（문어＋백골뱅이＋홍새우회＋가리비찜） 2~3人'],가리비는 어디로 갔을까요 ㅜㅜ,['https://rev-static.yogiyo.co.kr/119e27d82361a17f984d44496cdee005_tn.jpg']
5,5,['동해안 백골뱅이찜1kg'],"두번 시켜 먹고 리뷰 남깁니다.두번다 ,JMT!!!!",[]
6,5,['혼술＋혼밥（박달홍게 1마리 마리당500g기준＋참문어숙회＋게장밥1＋손질비） 1인'],생각보다 배달도 빨랐고 맛있고 먹기편하네요~,[]
7,3,['박달홍게 3마리（500g 기준）'],"ㄱㅈㄱㅈㄱㅊㄱ.ㅣ.ㅣ,ㅋ.ㄱ.",[]
8,3,['동해안 묵호참문어숙회'],맛굳 배달굳 양아쉬움,[]
9,5,"['박달홍게 3마리（500g 기준）', '혼술＋혼밥（박달대게1 마리당1kg기준＋참문어숙회＋게장밥1＋손질비）1인']",어머니랑 먹으려고 시켰는데 우선 배달오신 사장님이 너무나 친절하게 잘 설명 해주셨고 맛은 문어숙회를 처음에 먹었을때 엄청 맛있었는데 그뒤로 홍게랑 대게를 먹으니 어머니나 저나 숙회에 손댈시간이 없이 정신없이 게만 흡입했습니다ㅋㅋㅋㅋㅋ 결론은 대게 홍게 문어숙회 볶음밥 뭐 맛없거나 부족한거 없이 어머니나 저나 매우만족하며 잘먹었습니다 수율하며 맛하며 정말 만족스럽고 담에도 또 먹겠습니다 번창하십시요!!,"['https://rev-static.yogiyo.co.kr/b06c49d476fe17da3260242349aaa17c_tn.jpg', 'https://rev-static.yogiyo.co.kr/8cbbb7b9aeef7d2e8f31e84908fd92ec_tn.jpg', 'https://rev-static.yogiyo.co.kr/126e3519c2bb81da805f0e68fcc358a4_tn.jpg']"
