,별점,주문메뉴,리뷰,사진
0,5,[],리뷰만 확인하고 시켜먹어봤어요..생각보다 너~~무 맛있더라구요~~^^  혼자먹기 아까워서 신랑도 안주고   제가 다먹었다는말씀~~후회없으실거에요..원츄~~원츄~~,[]
1,5,[],맛있어요,[]
2,5,[],생각외로  맛있었음 :),[]
3,5,[],피자가 맛있네요! 식으면 잘안먹는데 식어도 맛있네요!,[]
4,5,[],One of the better Korean pizza chains. Tastes like pizza,[]
5,5,[],밤에 갑자기 피자땡겨서 주문했는데 괜찮습니다 배송도빨랏고요 추천드립니다,[]
6,5,[],맛있네요^^,[]
7,5,[],굿,[]
8,5,[],특이한 피자에 만족한 맛이었습니다. 괜찮은 피자집을 찾았네요,[]
9,5,[],고구마무스도많고~ 맛있어요~,[]
10,4,[],맛있고 좋은데 배송이 좀 오래걸려요근데 피자 치즈 맛있음bbb,[]
11,5,[],쉬림프디럭스피자  도우도 얇고 맛있었어요~^^다음에 또 시켜먹을께요~,[]
12,1,[],정말 별로..,[]
13,5,[],피자가 진짜 맛있어요!!,[]
14,4,[],맛있음,[]
15,5,[],"타고버거대박,핫으로시켰는데 진짜바삭바삭하고맛있어요",[]
16,4,[],맛있게 잘먹었습니다. 콜라서비스가 없어 아쉽네요ㅋㅋ,[]
17,5,[],간편하고 좋아요~ 피자도 맛잇더라구요ㅎㅎ,[]
18,5,[],지금주문했는데요  ~한번 기대해볼께요,[]
19,3,[],별로 그닥 너무 맛잇는지는 모르겟네요,[]
20,5,[],맛 있 어.,[]
21,5,[],여기도 맛있네요,[]
22,5,[],맛있어요,[]
23,5,[],맛나고~~좋아요~~,[]
24,5,[],괜찮네요,[]
25,5,[],맛도 좋고 감사합니다~,[]
26,3,[],콜라탄산이 정말 톡톡ㅋ 맛있네요피자는 독특한맛이네요 매콤달콤 늦은시간에배달 감사합니다,[]
27,5,[],피자로 반반은 처음이내요. 배달도 빠르고 맛있었어요.아마 주말 수시로 단골할듯 합니다,[]
28,5,[],굿,[]
29,5,[],조아용 영조아용,[]
30,5,[],처음인데~실망안했으면좋겠네요 ㅋ,[]
31,4,[],맛있는데 뭔가 부족한맛,[]
32,4,[],정말 맛있어용~,[]
33,4,[],음 3.8점정도? 생각보다배달이빠르고배달원도친절하시더라고요 맛은깔끔한편인데 뭔가2퍼센트부족하네요 ㅠ 그게아쉬워서 5점드렸어요~ 시키면후회하지는않을거같아요 이번이두번째로시키는건데 이번피자는성공했으면!!,[]
34,5,[],처음인데 굿!좋네요^^,[]
35,5,[],헤븐스페셜 먹어봤는데 올리브 토핑이 많이 있어서 좋구 너무 맛있어요.,[]
36,5,[],굿~,[]
37,5,[],"배달기사분도 친절하시고, 피자랑 치킨도 맛있어요!! 다음에 또 주문할께요ㅎㅎ",[]
38,4,[],맛있는 피자 감사합니다 ㅎㅎ,[]
39,5,[],굿,[]
40,5,[],맛나요정말,[]
41,5,[],마시쪄여..,[]
42,5,[],굿,[]
43,5,[],저4번째주문이에요!!ㅎㅎ맛있어요배달도빠르고친절하고 ㅎㅎ대박나세요~^^,[]
44,5,[],good,[]
