,별점,주문메뉴,리뷰,사진
0,3,['양념쪽갈비 中'],사장님이 바뀌신건지... 양념이 좀 적게 들어간거 처럼 좀 싱겁고 조금 뭐랄까 맛이 부족해진 느낌이예요소자시켜먹고 맛있어서 소자리 더시켜먹고 그랬었는데 그래서 이번에는 중짜리 시켜먹었는데... 조금 부족해진듯한 느낌이네요 사장님이바뀌셨는지...,[]
1,5,['양념쪽갈비 小'],"지난번엔너무탔었는데,이번엔타진않았는데엄청고기가질겼어요%;;어느나라돼지인지모르겠어요.그래도이번에열심히구워주시려고한거같아요.탄건없더라구요.",[]
2,5,['양념쪽갈비 中'],사장님이 정성으로 만들어주셔서 맛있게 먹었습니다 예전이랑 달랐다는 후기 남겼었었는데요 사장님이 다치셨던 와중이라 그랬다네요 이제 다 나으신거 같습니다 최고의 맛이 돌아왔으니까요!! 양도 푸짐하고 맛도 최고고 청결상태도 넘넘 만족입니다!! 또 시킬게요!!!,['https://rev-static.yogiyo.co.kr/8099f2ede118fc6e3ae573c9fae544e7_tn.jpg']
3,5,"['까도돼 B세트 小（쪽갈비＋알찜＋묵사발 or 주먹밥 中 택 1） ', '메뉴 선택(주먹밥)']",너무 허겁지겁 먹느라 사진도 안찍었네요ㅠㅠ 항상 맛있고 깔끔한 포장에 만족하며 먹고 있습니다. 조만간 또 이용할 계획이에요!,[]
4,4,"['까도돼 B세트 中（쪽갈비＋알찜＋묵사발 or 주먹밥 中 택 1）', '메뉴 선택(주먹밥)']",세트로 먹으니까 좋아요~,['https://rev-static.yogiyo.co.kr/06a2cc0a5959632af7e4b26f95c24bf4_tn.jpg']
5,5,['양념쪽갈비 小'],늘 맛있습니다!!!,[]
6,5,['양념쪽갈비 中'],쪽갈비는 늘~~~여기서 주문해요ㅋㅋ정말로 맛있어요^^양이 조금 적긴하지만ㅋㅋ맛있어서 자주 먹습니다~!!감사합니다♡,[]
7,5,['쪽갈비 김치찌개세트 中（쪽갈비＋김치찌개）'],맛도 양도 아주 만족합니다~,[]
8,5,['양념쪽갈비 小'],말이필요없음 자꾸자꾸생각남,['https://rev-static.yogiyo.co.kr/f283238f26aedf5a6316c6975ff1a272_tn.jpg']
9,5,['까도돼 A세트 小（쪽갈비＋주먹밥＋묵사발）'],자주 시켜먹어요 오늘은 평소랑 다르게 매운맛 시켜봤는데 매콤하니 넘넘 만족하면서 먹었어요 그리고 까도돼의 장점!! 주먹밥이 완전원픽이예여 막 사이드 안같고 요리처럼 맛있어요,"['https://rev-static.yogiyo.co.kr/da343d1b89fbfb73845bc83820495b15_tn.jpg', 'https://rev-static.yogiyo.co.kr/ace6a4b2f3a15f3a2b07bfdaebe23c16_tn.jpg']"
10,4,['양념쪽갈비 小'],항상 너무 맛있어요,[]
11,5,"['양념쪽갈비 小', '날치알주먹밥']",늘 맛있어요~ 주문할때마다  실망없는 맛!,[]
12,5,['까도돼 A세트 中（쪽갈비＋주먹밥＋묵사발）'],너무너무 맛있잖아요!!!!!!!오랜만에 스트레스 풀었네요,['https://rev-static.yogiyo.co.kr/b1b7eebb53cdfa4f49de2483ea298336_tn.jpg']
13,5,"['쪽갈비 김치찌개세트 小（쪽갈비＋김치찌개）', '날치알주먹밥']",오! 맛있어요양념도  맛있고  김치찌개도 진하네요.추천합니다~!^^,[]
14,5,"['양념쪽갈비 小', '병맥주']",진짜 맛있어요 리뷰쓰는지금도 배달기다리는중,[]
15,3,"['양념쪽갈비 小', '사이다 500mL']",매운맛으로시켰능데매콤하고맛있어요긍데비계가있어요비계손질하시면더좋을것같아요,[]
16,5,['양념쪽갈비 특大'],항상 맛있게 먹고있어요!,[]
17,5,"['까도돼 B세트 小（쪽갈비＋알찜＋묵사발 or 주먹밥 中 택 1） ', '메뉴 선택(주먹밥)', '조리용치즈사리']",굿긋 맛나요 ㅎㅎㅎ,[]
18,5,"['양념쪽갈비 小', '날치알주먹밥']",매운맛 많이 안달면서 매콤달콤 정말 맛있음주먹밥도 다진김치랑 날치알이랑 들어있어서 맛있고 좋아요ㅠㅠ,['https://rev-static.yogiyo.co.kr/3d9c3c41121deb56a1a49d87ef7c50c4_tn.jpg']
