,별점,주문메뉴,리뷰,사진
0,1,[],먹어본 등뼈찜중에 가장 돼지누린내가 많이난등뼈찜이였어요 작은거시킨거를 다행이라 생각하고이날하루만 이런맛이낫길 바래봅니다,[]
1,3,[],먹을만해요 강추는 아니지만,[]
2,4,['매콤등뼈찜 中'],네반째 주문입니다 양은 항상 넉넉하구요~ 뼈가 좀 많아서 고기가 좀더있었으면 좋겠지만 ㅠㅠ 돼지냄새 없고 매콤하니 맛있게 잘먹었네요!,[]
3,5,['간장등뼈찜 中'],밥이랑 비벼먹으니 이만한게 없네ㅎ,[]
4,5,['매콤등뼈찜 小'],매운맛뼈찜이었는데..맵기도적당하고..아주맛있었습니다,[]
5,5,"['매콤등뼈찜 小', '치즈떡 （10개）추가)']",사진리뷰가 없어 시킬까말까 고민했는데 정말 맛잇어요 먹고나서 이건 올려야겠다 싶어 중간에 사진찍었네요 많이맵지도않아 밥비벼먹기도 너무 좋네요 ^^,['https://rev-static.yogiyo.co.kr/44719b4a42f391654d7d8f6d1f679db8_tn.jpg']
6,5,['매콤등뼈찜 小'],꽃찬은 찜닭보다 등뼈찜이 낫네요,[]
7,5,['간장등뼈찜 小'],기대이상으로 맛있어서 단골 될거 같아요^^,[]
8,5,['매콤등뼈찜 小'],맛있어요💜💜💜💜💜💜,['https://rev-static.yogiyo.co.kr/0e8db9df115626d83dc8da7587d145d3_tn.jpg']
9,5,[],맛이 좋고 양이 많고 배달이 빠르다.,[]
10,5,['매콤등뼈찜 小'],등뼈도 맛잇네용 ㅎㅎㅎㅎ,[]
11,5,"['매콤등뼈찜 小', '콜라 1.25L 추가)']",처음 주문했는데 전반적으로 만족스러워요 :) 고기도 잘 익어서 살도 잘 분리돼서 먹기도 편해요! 두명이 먹기에 양도 푸짐하구 추가한 당면사리도 많네용 :),['https://rev-static.yogiyo.co.kr/b2484aa204b9e922c82c6661f597a887_tn.jpg']
12,5,['매콤등뼈찜 小'],매운게 조금 아쉽지만 잘먹었어요,[]
13,4,"['간장등뼈찜 小', '치즈떡 （10개）추가)']",기대안하고 시켰는데 너무 맛났어요단골 될 것 같아요♥,[]
14,5,"['간장등뼈찜 小', '콜라 1.25L 추', '밀떡 （15개） 추가)']",맛도좋고 배달도 빠르고 소자인데 양도많네요~^^살이 부드러워서 뼈하고 분리도 잘되고~ 좋아요!!또주문할께요~,['https://rev-static.yogiyo.co.kr/91ba2a18b04863dc4fb6527b05395f43_tn.jpg']
