,별점,주문메뉴,리뷰,사진
0,4,[],양은 좀 적은것같아요ㅠ하지만ㅋ맛있어요ㅎㅎ 국물이좀더 넉넉하면좋겠네요ㅋ,[]
1,5,"['안동찜닭', '당면 200g 추', '만두 5개 추가', '사이즈 선택(中)', '공기밥']",항상 만족해요. 시간도 잘 맞춰주시고 맛도 좋아요. 만족스럽습니다.,[]
2,5,[],맛있어요,[]
3,5,[],맛있어요 집 근처의 맛집이에요,[]
4,5,['순살찜닭'],맛있게 잘 먹었습니다~,[]
5,5,['안동찜닭'],맛있어요ㅎㅎ,[]
6,5,[],신랑이랑 저는 맛있게 먹었어요울집 꼬맹이가 매워해서 아쉬웠어요,[]
7,4,"['안동찜닭', '사이즈 선택(小)']",치즈 추가해서 먹었어요 하나도 안매웠어요,['https://rev-static.yogiyo.co.kr/1cdf5e9c394d43b2c6eabaebc776d14d_tn.jpg']
8,5,"['순살찜닭', '사이즈 선택(小)', '공기밥']","맛있고 포장도 깔끔하고, 양이 많아요^^소자 시켰는데 여자 둘이 먹었더니 남았네요밑반찬도 넉넉하게 갖다주시구ㅋ찜닭은 담에도 여기서 시켜먹으려구요~",[]
9,5,"['순살찜닭', '맛 선택(안동', '사이즈 선택(小)']",양도많고 맛도있고 조아요! 재주문의사 백퍼임돠,['https://rev-static.yogiyo.co.kr/cd2363a377492be1ce826365d1ff71bc_tn.jpg']
10,3,"['순살찜닭', '맛 선택(매콤', '사이즈 선택(小)', '콜라 1.25L']",이상한 털 하나나왔지만그냥 먹었습니다맛은 그냥 찜닭 꼭 치즈추가해서 드세요,['https://rev-static.yogiyo.co.kr/4fb83e88b9da5bcb12be32255df84237_tn.jpg']
11,4,[],맛은 괜찮은데 닭보다 면이 더 많은듯 합니다.그래도 잘 먹었습니다.,[]
12,5,"['辛（신）불찜닭', '순살찜닭', '사이즈 선택(中)']",항상 맛있게 잘 먹고 있습니다,[]
13,5,[],망포동 맛집으로 임명합니다,[]
14,5,[],적당히 맵고 깔끔하네요^^,[]
15,5,[],재주문했어요~~ 만족,[]
16,3,[],맛은인정! 가격은 물음표다,[]
17,5,"['순살찜닭', '당면 200g 추가', '맛 선택(매콤', '사이즈 선택(小)', '순살찜닭', '당면 200g 추가', '맛 선택(안동', '사이즈 선택(小)', '공기밥', '콜라 1.25L']",맛있어요ㅜㅜㅜ 양도많고ㅜㅜ 당면추가하니까 징차많아요bb,[]
18,5,"['안동찜닭', '당면 200g 추', '치즈떡 10개 추', '콜라 1.25L 추가', '사이즈 선택(小)', '공기밥']",배달도 빨리왓고 맛도잇는데 콜라가 안와써요오 ㅜ ㅜ,[]
19,5,"['순살찜닭', '사이즈 선택(小)', '공기밥']",점심 저녁 두번에걸쳐 소스까지 싹 먹었습니다맛있네요,[]
20,5,"['안동찜닭', '당면 200g 추가', '사이즈 선택(小)', '콜라 1.25L']",맛있고 배달도 친절해요!,[]
21,3,"['안동찜닭', '공기밥']",양이어째 작아진거같아요 여자둘이서 저번에먹었을 땐 많이남길 정도로 많았는데 이번엔 많이 모자랐어요 ..,[]
22,5,"['순살찜닭', '사이즈 선택(小)', '공기밥']",찜닭은 역시 간장이죠~~ 3이서 먹었는데 양 적당했어요! 2인용이라 그런지 수저 젓가락은 2개뿐이여서 아쉽 ㅠ 그래도 맛있었습니다~,[]
23,5,"['순살찜닭', '사이즈 선택(小)', '공기밥']",좋아요 양많고 맛있어요,[]
24,4,"['순살찜닭', '맛 선택(辛（신）불', '사이즈 선택(中)']",맛낫어요 하지만 당면추간하지마세요 엄청많아요ㅋㅋㅋ,[]
