,별점,주문메뉴,리뷰,사진
0,5,"['낙곱', '사이즈 선택(小)']","제가 첫 리뷰일 것 같네요! 리뷰가 하나도 없고, 낙곱을 처음 배달시켜본지라 양이나 맛이 걱정이었거든요. 그런데 일단 양은 정말 확실합니다. 소자로 시킨건데 건더기 풍부해요. 낙지와 대창이 적절히 있어요! 당면도 낭낭하게 들어있고 양념이 잘 스며들었어요..♡ 수제비도 간간히 등장합니다. 그리고 대창의 곱은 정말 고소하구요. 국물 자체에 스며든건지 고소고소..매운거 못먹어서 보통맛으로 했는데 잘 선택했네요! 맛 자체는 정말 너무 좋아요 고소하고 매콤하고🔥❤ 사알짝 짜지만 밥이랑 먹으니 더 좋아요☺️ 다음에도 또 시킬 것 같아요!",['https://rev-static.yogiyo.co.kr/6437ec4c66f2bf05ba83fbb8c9a314f7_tn.jpg']
1,4,"['낙곱새', '사이즈 선택(大)', '공기밥']",음...양이 4명이서 먹는데 부족했어요 밥이 다들 남아서 남은밥은 다 버렸구요.. 통은 큰데 양은 적은 느낌이였습니다.,[]
2,5,"['낙곱새', '사이즈 선택(小)', '간장계란밥']",처음시켜먹어보는데 간도 잘맞고 너무맛있네요!!혼밥으로먹는데 아주 만족하면서 먹습니다!!먹다가 사진찍어서...ㅎㅎ,['https://rev-static.yogiyo.co.kr/c8dcdd31adfbd1fb1c44e3cd9180fd15_tn.jpg']
3,5,"['낙곱새', '사이즈 선택(小)', '소주']",잘먹엇습니다 감사해여,['https://rev-static.yogiyo.co.kr/551d5eeb808e8d9fb1b45f32909c2310_tn.jpg']
4,5,"['낙곱새', '사이즈 선택(小)']",넘넘 맛잇어용!!!!!! 남자친구가 평소에 2인분은 먹어서 양적을가봐 걱정햇는데 3인분정도 되는거같아용!!! 다음에 또 시켜먹을게요~,['https://rev-static.yogiyo.co.kr/173da8575554124b64af49fdd358a287_tn.jpg']
5,5,"['낙삼새', '사이즈 선택(小)', '마약주먹밥', '삼겹살추가']",낙삼새라 안느끼하구 맛있어요!! 자주먹을거같아용,['https://rev-static.yogiyo.co.kr/33207c836ea344222ad79ceb72a7665f_tn.jpg']
6,3,"['낙곱새', '사이즈 선택(小)', '공기밥']",솔직힌 리뷰 남길게요. 양은 솔직히 별로였어요. 공기밥양은 어마무시한데 일단 공기밥 그릇 한통에 파가 들어가더군요. 글고 안에 내용물 양이 솔직히 너무 부실했어요. 맛은 보통맛인데 제 입 맛엔 좀 매웠구여. 일단 공기밥그릇에 파 담아 놓은 사진은 안올릴게요. 내용물이 좀 더 보충되면 좋을것같아요.,['https://rev-static.yogiyo.co.kr/ef49d56b68d819eccf28bf88a88eb5b8_tn.jpg']
7,5,"['세트（메뉴 中 택1＋사리 中 택1＋우동＋주먹밥＋음료 中 택1）', '사이즈 선택(（小）', '메뉴 선택(낙곱새', '사리 선택(우동사리', '음료 선택(펩시콜라 355mL', '추가 선택(삼겹살 추가)', '공기밥']",사진생략매운거 잘 못먹어서 보통맛 시켰는데 딱 좋음 ㅎㅎㅎ,[]
8,4,"['낙곱새', '사이즈 선택(小)']",맛있어요~~~~!!!,[]
9,5,"['낙곱새', '사이즈 선택(小)']",너무 맛있게 잘 먹었습니다~~!,[]
10,5,"['낙곱새', '사이즈 선택(小)', '간장계란밥', '우동사리']",처음먹어보는 낙곱새인데 맛있어요 !!! 밥도 양 많고 메인요리도 양이 많네용 재주문 의사 👍🏻,['https://rev-static.yogiyo.co.kr/2446e2a968ccf62fd38ba83d08bf3b5d_tn.jpg']
11,5,"['낙곱새', '사이즈 선택(小)', '간장계란밥', '삼겹살추가']",낙곱새에 삼겹 추가했어여 너무 맛있게 잘 먹었습니다 ^^ 낙곱새를 워낙 좋아해서 여기저기 다 시켜 먹어봤는데 이집이 제일 맛있어용!,['https://rev-static.yogiyo.co.kr/4262dba99ef4fd8cc28e983ae0ad9d06_tn.jpg']
12,5,"['낙곱새', '사이즈 선택(小)', '간장계란밥']",맛있습니다 양도 많고 저 밥에 비벼먹으니 꿀맛입니다.음료수 서비스도 감사합니다 추천입니다!!,"['https://rev-static.yogiyo.co.kr/1b1509e4c4fad0e0e3127e855fd832f1_tn.jpg', 'https://rev-static.yogiyo.co.kr/b0bc6fe75aa7a55f545062bd48cb96af_tn.jpg']"
