,별점,주문메뉴,리뷰,사진
0,5,"['끌 SET 1~2人（떡볶이＋튀김中택2＋오뎅탕＋꼬마김밥or주먹김밥中택1＋쿨피스500mL）', '튀김 선택 1(오징어（2）', '튀김 선택 2(오징어（2）', '메뉴 선택(꼬마김밥)']",여기 첨 생겨서 먹어봤는데 맛있네여꼬마김밥은 핵맛있어여다음에 또 시킬게요~굿굿,['https://rev-static.yogiyo.co.kr/8bc43cf77b78afea923e8cde88432853_tn.jpg']
1,3,"['끌 SET 1~2人（떡볶이＋튀김中택2＋오뎅탕＋꼬마김밥or주먹김밥中택1＋쿨피스500mL）', '튀김 선택 1(오징어（2）', '튀김 선택 2(김말이（3）', '메뉴 선택(꼬마김밥)']",동내 분식집 보단 낫고 프랜차이즈에는 한참도 못미친다.,[]
2,5,"['리 SET 2~3人（떡볶이＋튀김中택3＋순살치킨＋꼬마김밥or주먹김밥中택1＋음료中택1）', '튀김 선택 1(김말이（3）', '튀김 선택 2(고구마（2）', '튀김 선택 3(납작만두（6）', '메뉴 선택(주먹밥', '음료 선택(쿨피스 500mL', '추가 선택(치즈 추', '라면사리 추가)']",맛있게 먹었어요 치킨이 좀더 많거나 감자튀김이 구성에 추가되면 더 좋을듯요!,['https://rev-static.yogiyo.co.kr/5ccb3e6ad98c633404a15625f4d45c91_tn.jpg']
3,5,"['끌 SET 1~2人（떡볶이＋튀김中택2＋오뎅탕＋꼬마김밥or주먹김밥中택1＋쿨피스500mL）', '튀김 선택 1(김말이（3）', '튀김 선택 2(오징어（2）', '메뉴 선택(주먹밥)']",배달도 빨리왔고양도 괜찮고맵기도 적당하고다 괜찮고쿨피스 서비스도 좋고🤣🤣🤣,['https://rev-static.yogiyo.co.kr/9ef2e7500442ca044c5d9073ea295262_tn.jpg']
4,5,"['리 SET 2~3人（떡볶이＋튀김中택3＋순살치킨＋꼬마김밥or주먹김밥中택1＋음료中택1）', '튀김 선택 1(오징어（2）', '튀김 선택 2(고구마（2）', '튀김 선택 3(김말이（3）', '메뉴 선택(꼬마김밥', '음료 선택(쿨피스 500mL', '추가 선택(라면사리 추가)']",정말맛있게먹었어요다음에도 주문할게요,['https://rev-static.yogiyo.co.kr/a140268551fdac859ffc029f61977361_tn.jpg']
5,2,"['끌리는 차돌떡볶이', '끌리는 오뎅탕', '오징어（2）', '고구마（2）']",저는 튀김을 떡볶이소스에 찍어먹기위해 떡볶이를 주문하는스타일인데 떡볶이에 국물이 거의 없다시피하더라구요.. 오뎅국물도 시원한맛이없고 다시마맛만진하게우려져잇어서 제입맛엔안맞았네요.튀김도 바삭한맛이없고 눅눅한느낌이좀잇엇는데 배달이늦게온탓일까요.. 안타깝습니다 다음에또시켜먹을집찾고있었는데 ㅜ,['https://rev-static.yogiyo.co.kr/1aeb1321f83a490a3993fc43173068c4_tn.jpg']
6,1,[],겁나 맛없네요. 여기서 다시는 안시켜먹습니다,[]
7,4,[],맛있게 잘먹었습니다!! 리뷰로 받은 샌드위치도 맛있고 꼬마김밥도 맛있었습니다!,['https://rev-static.yogiyo.co.kr/cdbc14334bde8819832d800cec7bb60e_tn.jpg']
8,5,"['끌리는 순살치킨떡볶이', '튀김 선택(오징어（3', '김말이（3）', '추가 선택(콘비엔나 추가 6피스', '사이즈 선택(소（1인분）)', '쿨피스 中 500mL']",달달하니 맛있네요. 아이들이 좋아할것 같아요. 조금 덜 달면 어른들도 많이 좋아하겠네요.,"['https://rev-static.yogiyo.co.kr/9ef21567877344f1730cca01c21350cb_tn.jpg', 'https://rev-static.yogiyo.co.kr/c2996b12c61a88fbd28eb1f8cf9480ba_tn.jpg']"
9,5,"['끌리는 오리지날 떡볶이 ＋ 왕주먹밥2개 ', '사이즈 선택(소（1인분）)', '끌리는 순살치킨 （ 6개 ）', '김말이（3）', '고구마（3）']",완전 맛나고 배달빠르고 최고입니다,[]
