,별점,주문메뉴,리뷰,사진
0,5,"['동태찌개', '계란말이']",동태찌개에 계란말이 시켜먹었는데너무 맛있게 먹었어요다음에는 알탕이나 전골로완전 얼큰하게해서 먹어봐야겄어요배달도 빠르고 포장도 깔끔 굳굳,"['https://rev-static.yogiyo.co.kr/a42a17dad937cb3667b07f5d2e1f42f6_tn.jpg', 'https://rev-static.yogiyo.co.kr/0a4da2f64749f5c5377f4a87fb75a707_tn.jpg']"
1,4,"['동태찌개', '계란말이']",공기밥이 빠져서 왔는데 귀찮아서 그냥 먹어요,[]
2,5,"['동태찌개', '계란찜']",국물이 칼칼한게 너무 맛있어서 폭풍흡입계란찜까지 순삭했어요,"['https://rev-static.yogiyo.co.kr/c624719cb6474a68eecc4c2413e37d6b_tn.jpg', 'https://rev-static.yogiyo.co.kr/a15542a814bea58e0c75ed230a428093_tn.jpg']"
3,5,['동태찌개'],얼큰하고 맛있어요 대박추천,[]
4,5,"['동태찌개', '내장사리', '계란말이', '공기밥']",국물이 칼칼하고 양도 많고 좋네요~~서비스로 주신 음료수도 잘먹었습니다.감사합니다.,['https://rev-static.yogiyo.co.kr/4586aa7b3fb8163e3badd8403546566c_tn.jpg']
5,5,"['동태찌개', '내장사리']","우선 건더기가 푸짐해서 가성비 좋아요.개인적으로 매운걸 좋아하는 분이시라면 만족하실거예요.제 입맛에는  맵고, 간이 조금 센편인거 같았어요.뭐 입맛은 개인마다 다르니까요.리뷰 이벤트 참여 한다고 메모 남겼는데, 음료수는 누락되었네요^^",['https://rev-static.yogiyo.co.kr/b328815b7a3dd38040d26f4c56008fdb_tn.jpg']
6,5,"['동태찌개', '곤이만', '공기밥']",처음시켜봤는데 정말 맛있게 먹었습니다.  좀 얼큰하게 맛있었습니다.  포장도 정말 깔끔하게 신경써주신거 같고 배달하신분도 정말 친절해서 기분좋게 식사했습니다.  다음에도 동태찌개는 여기서 시킬게요.,['https://rev-static.yogiyo.co.kr/ae5f891c9ddbe11180959774a3558b75_tn.jpg']
7,5,"['동태찌개', '내장사리']",양도  무지  많고  제  입맛에  딱이네요   너무  맛있어요  동태찌게 진짜  맛집이네요^^  강추!!!!!,['https://rev-static.yogiyo.co.kr/f488279dfef4c6b2c897430a2b6bf522_tn.jpg']
8,4,"['동태찌개', '계란말이', '공기밥']",배달은 1시간 딱 걸리네요.국물맛도 좋고 맛있는데 주신 소주병이 뚜껑은 따있고 뭔가 했는데 이런건 안주는게 날듯해요.소주병에서 확 깨네..남은 소주에 매실을 탄건지 서비스라고 주기엔 뚜껑따인 뭔가는 영 찝찝한데 그냥 버림요. 버릴 재활용만 늘었잖아요!도대체 뚜껑따인 먹다남은건지도 모를 찝찝한 걸 주는 의도를 모르겠음.재활용은 업체에서만 하세요,[]
9,5,"['알탕', '계란찜']",알탕 먹었는데 진짜 푸짐하고맛있게 먹었습니다. 배달은 40분도 안걸린거같아요. 넘 빨리와서..당황ㅎ완전 단골될듯 싶어요~,['https://rev-static.yogiyo.co.kr/72f123d539488916c78c760a73924d52_tn.jpg']
10,5,"['동태찌개', '내장사리']",진짜 얼큰 시원한게 왠만하면 다 좋아할 맛이네요!!,[]
11,5,"['동태찌개', '내장사리', '공기밥']",역시 동태찌개.. 검증된 최고의 맛집,"['https://rev-static.yogiyo.co.kr/ef749eb1cecb20d2da7f131dbf3d856f_tn.jpg', 'https://rev-static.yogiyo.co.kr/bc7a6161296e8c924a32c6801bb7d07d_tn.jpg']"
12,4,['동태찌개'],맛 끝내줍니다 알 고니 동태 기타등등 재료를 아끼시지 않음,[]
13,5,"['알탕', '곤이만', '계란말이', '공기밥', '콜라 캔 355mL', '환타 캔 355mL']",정말 맛있게 먹었어요  얼큰하고 깔끔했어요섭스 음료수 감사하구욥 양도  많았고요재주문의사 확실하게 생기는 맛집이네요!,[]
14,5,"['동태찌개', '내장사리']",잘 먹었습니다....,['https://rev-static.yogiyo.co.kr/d1553363a5611e58ca4249e9b2bc441f_tn.jpg']
15,5,"['동태찌개', '내장사리']",맛잏어요 추가로 내장 햇는데 좋아요,[]
16,5,"['알탕', '곤이만']",지난번 동태찌개가 만족스러워서 알탕을 시켜봤는데 알탕도 맛있게 잘먹었습니다.,[]
17,5,['동태찌개'],맛있고  양이  와우 ㅋ ㅋ  잘 먹겠습니다,['https://rev-static.yogiyo.co.kr/ac75a5c4fca3dc568cd680c196c85b2b_tn.jpg']
18,5,"['동태찌개', '공기밥']",국물맛  너무 좋다는~,[]
19,5,"['동태찌개', '계란말이', '공기밥']",맛있어요~~역시끝내주네요,[]
20,5,"['동태찌개', '내장사리']",2번째 주문함 정말 칼칼한게 필요하면 강추~~,['https://rev-static.yogiyo.co.kr/226d8ff91ffafcdde8927bdd78778b09_tn.jpg']
21,5,"['동태찌개', '알탕']",구살처러라아아우아어어유유,[]
22,5,"['동태찌개', '계란말이', '공기밥']",맛있게 잘먹었습니당,['https://rev-static.yogiyo.co.kr/d286bef9132db0d7362563738a9bedc9_tn.jpg']
23,5,"['동태찌개', '알탕']",얼큰하고 개운한 맛이 친정 엄마가 끓여 주시던 딱 그맛입니다..감사히 잘 먹었습니다..손님 접대도 손색 없을 거 같구요..전 비조리로 집에서 직접 끓였답니다.요청 사항도 잘 들어주셔서 감사해요..~^^,['https://rev-static.yogiyo.co.kr/acf9fe5ad3a78bc7de0ec5cc906da207_tn.jpg']
24,5,"['동태찌개', '알탕']",맛잇게  잘  먹엇슺니다,['https://rev-static.yogiyo.co.kr/87d69b03f2769a755a00e9a44c3cea5f_tn.jpg']
25,5,"['동태찌개', '두부사리', '계란말이', '공기밥']",와우 넘  맛있어요,[]
26,5,"['동태찌개', '알탕']",맛있게잘먹었습니다 음료서비스도 주시고 양도 많네요 또 시켜먹을께요,['https://rev-static.yogiyo.co.kr/396b507484883c7173835c031945e32e_tn.jpg']
27,5,['동태찌개'],너무 너무 맛있게 잘먹었습니다 ~^^ 완전 맛 ♡♡,['https://rev-static.yogiyo.co.kr/a0db3be13c7c34e7d3172a0a74d5066d_tn.jpg']
28,5,"['동태찌개', '공기밥', '사이다 캔 355mL']",리뷰쓴다는 요청사항을 적진 않았으나 음료수가 왔길래 적어보는 리뷰! 청량고추가 들어간 얼큰하고 진한 국물이에요.알을 추가했더니 동태탕이라기 보다 알탕에 가깝습니다.동태살을 좋아 하시는 분이라면 실망하실수도? 동태덩어리는 2센치 폭의 살 2덩어리가 들어가 있습니다.상대적으로 국물이 너무 푸짐해서 그렇게 보이는 걸수도 있겠네요.동네  반찬가게 동태탕이랑 비교하자면  맛과 국물량은 압승.비린네 하나 없어요. 얼큰한 국물 좋아 하시는 분들에겐 쵝오구요.단 살코기좋아하시면 별루일듯;;갠적으로는 두부가 참 맛났습니다.,['https://rev-static.yogiyo.co.kr/c575a4bfefbd24643b94493e304b6207_tn.jpg']
29,5,"['동태찌개', '계란말이']",이집 잘하네~👍시원하니 맛있어요~,"['https://rev-static.yogiyo.co.kr/13528e3940a9162d1fc617d8fefd8f49_tn.jpg', 'https://rev-static.yogiyo.co.kr/396c507e11259639690b47f0b0223dc1_tn.jpg']"
30,5,"['동태찌개', '계란찜', '공기밥']",오늘도 끝내주게 맛있네요,['https://rev-static.yogiyo.co.kr/00936c6cf5fb9979a53b7c6e27d9d790_tn.jpg']
31,5,"['동태찌개', '두부사리', '공기밥']",동태찌개 솔직히 별 기대안했는데 잘먹었어요배달주소를 잘못썼는데 정말 친절하게 응대해주시고저희집에는 배달이 안되서 자주는 못먹겠지만너무 맛있었어요! 달걀말이도 먹어보고싶어요^^,[]
32,5,['알탕'],"이집 너무 사악함,,, 손님을 배불러 죽일셈임,,,배달예상시간보다 빨리오고 친절하셨어요, 포장도 깔끔하게 해주셔서 새는것없이 깨끗하게 왔어요. 계란말이는 ㄹㅇ 두툼하게 부쳐주셔서 3개먹고 배불러서 반찬통에 넣어놨어요 ㅋㅋ 그리고 알탕 진짜 내용물 푸짐합니다. 알왈케많아여;; 국은 칼칼해서 맛잇엇어요. 진짜 먹다죽는게 이런거구나 싶었움 배불러,,,ㅠ다음에 또 시킬게요^^","['https://rev-static.yogiyo.co.kr/ab087bdd509870ed668738cfa6a2bfb7_tn.jpg', 'https://rev-static.yogiyo.co.kr/af6c599bf4f241afccbc06184ba6cf72_tn.jpg']"
33,5,['동태찌개'],얼큰하구 시원하구 맛나요 계란말이도 야채많고 제스타일,['https://rev-static.yogiyo.co.kr/3a35238b44ccf7381760d988f052d884_tn.jpg']
34,5,['동태찌개'],두번째시키는건데 맛있어요 !,['https://rev-static.yogiyo.co.kr/918ea13c69ddc4df2db1593574b8e8a9_tn.jpg']
