,별점,주문메뉴,리뷰,사진
0,5,"['고기300g＋냉면1', '메뉴선택(삼겹살)']",냉면 맛있었어요!!!,[]
1,5,"['고기300g＋냉면1', '메뉴선택(불고기)']",배달 빠르고  배고파서 잘먹엇어요 근데 좀 짜네요~,[]
2,5,"['고기300g＋냉면1', '메뉴선택(불고기)']",매운 냉면 너무 맛있어요!!!배달용기가 살짝 아쉽긴 하지만 집에있는 냉면 용기로 먹으니 딱 좋네요,[]
3,5,"['고기500g＋냉면2', '냉면선택2(비빔냉면', '메뉴선택(불고기)']",맛나게 잘먹었어요~,[]
4,5,"['세트（냉면선택2＋만두선택1）', '냉면선택2(비빔냉면', '만두선택(갈비만두)']",처음 시켜봤는데 맛있었습니다! 물냉은 안먹어봐서 잘 모르겠는데 비냉은 양념에서 후추(?)향이 많이 나더라구요!! 후추 때문에 좀 더 얼큰한 맛이 나는것 같아서 좋았습니다. 추가로 주신 육수는 조금 짠 느낌이 있었지만 얼음이 녹는다면 괜찮은 정도? 의 짠맛이었습니다! 물냉면에는 얼음이 너무 많아서 할머니가 드시기 힘들어 하셨어요 ㅠㅠ 다음엔 물냉에 얼음 조금만 넣어달라고 해야겠습니다 ㅋ0ㅋ 그리고 갈비만두는 정말 너무 너무 맛있었어요~! 속이 조금 더 알찼으면 좋았을텐데 ㅎㅎ 어쨌든 맛있게 잘먹었습니다~!,['https://rev-static.yogiyo.co.kr/a21d21a7211e8db29c004e2d505a069d_tn.jpg']
5,5,"['고기500g＋냉면2', '냉면선택2(물냉면', '메뉴선택(삼겹살)']",생각보다 빨랐어요.괜찮았어요.,[]
6,5,"['세트（냉면선택2＋만두선택1）', '냉면선택2(비빔냉면', '만두선택(갈비만두)', '고기500g＋냉면1', '메뉴선택(불고기)']",양도 괜찮고.. 맛도 먹을만했어요~ 워낙 고기를 잘 안먹는분들이 있어서.. 비냉은 조미료맛이 좀 강했어요~,[]
7,5,"['고기300g＋냉면1', '메뉴선택(삼겹살)']",배달도 빨리오고 맛있어요!!!!,['https://rev-static.yogiyo.co.kr/e8393bce1387749817683193e1e3176a_tn.jpg']
8,4,"['고기300g＋냉면1', '메뉴선택(삼겹살)']",배달 빠르고 맛있네요,[]
9,5,"['세트（냉면선택2＋만두선택1）', '냉면선택2(비빔냉면', '만두선택(갈비만두)']",냉면은 여기가 진리..ㅎㅎ 개인적으로 비냉이 최고인듯,[]
