,별점,주문메뉴,리뷰,사진
0,5,"['순살크리미언반＋순살핫블링반', '치즈볼', '웨지감자']",배달이 빨라서 일단 만족하구요 맛이야 네네가 짱이죠 특히 핫블링 완죤 짱,[]
1,2,['순살스노윙치킨'],"요기요 한정해서 그런건지, 별도의 안내없이 기본제공되는 콜라도 안보내주시네요?옵션으로 추가금액내는건 당연히 추가일줄만.영수증에 콜라X 써있는건 좀 황당했네요.그 외에 맛이나 다른부분은 항상 시켜먹었듯 괜찮습니다.",['https://rev-static.yogiyo.co.kr/42fde8bc72ba019048bc3a1a366df8d1_tn.jpg']
2,3,['크리미언반＋핫블링반'],콜라 안주고 사 먹어야하는 집은 난생처음,['https://rev-static.yogiyo.co.kr/8a96f5a156f94a580dc23e8c55e9f9c6_tn.jpg']
3,5,['포테이토짜용（마일드）'],조아조아조아조아조아연,[]
4,1,['순살양념반＋순살후라이드반'],왜 콜라를 안 주는 거죠?다른 동네 네네치킨에서 전화로 주문할 때는 항상 줬었는데 요기요만 그런 겁니까?다시는 네네치킨 주문 안합니다!,[]
5,5,"['순살스노윙치킨', '추가 선택(콜라 1.25L 추가)']",맛잇어요 괜찮은거같아요,[]
6,5,"['순살스노윙치킨', '추가 선택(콜라 1.25L 추가)']",자주 시켜먹고잇어요,[]
7,1,"['양념치킨', '네네스위틱', '치즈볼', '웨지감자']",요기오에서 1000원 할인하니 배달비 1000원이 붙네요 사장님도 불친절하시고 어차피 다음부터 안시켜 먹을테니깐..,[]
8,4,['스노윙치즈반＋쇼킹핫양념반'],굿,[]
9,1,['오리엔탈 파닭'],맛이랑 양은 다른 네네치킨 파닭이랑 비슷합니다.그런데 주문승인 난 후에 따로 전화오더니 배달비 1000원 달라네요.콜라 안주는거야 그렇다 치더라도....그냥 천원 주기는 했는데 이렇게 요기요 등록하곤 따로 배달료 받는건 좀 아니다 싶습니다.첨 결제할 때 다 포함된 금액 아닌가요?멀어서 배달비 더 받는거면 따로 명기를 했어야죠.그런 것도 없고....주문 취소할까 하다가 그냥 돈 천원이다 싶어서 안했는데 다른 분들은 이용 전에 아셔야 할 거 같아 리뷰 요기요에 처음으로 남깁니다.,[]
10,4,['양념반＋후라이드반'],굿~~~~~~~즈,[]
11,4,['스노윙치즈반＋양념반'],조금 식어서 퍽퍽한거 빼고 좋았습니다ㅎㅎ,[]
12,5,"['후라이드（마일드）', '스노윙치즈반＋쇼킹핫양념반']",따뜻하고 배달도 빠릅니다.,[]
13,4,['양념반＋후라이드반'],맛있게 잘 먹었습니다~^^,[]
14,5,['양념반＋후라이드반'],밥에비벼서 먹으면 밥판사,[]
15,1,['양념반＋후라이드반'],아 신영통점과 서천점이 있네요 ㅠ 분명 떡도 같이 튀겨져서왔고 후르츠칵테일도 있었는데 없어서뭐지했네요 ㅠ 이런 ㅠ 아 네네라도 다르군요,[]
16,5,['순살스노윙치즈반＋순살양념반'],감사해요 맛있게잘먹었어요 서비스감사해요,[]
17,5,['양념반＋후라이드반'],맛있어요! 배달도 빨랐어요!,[]
18,5,['순살스노윙치킨'],잘먹었습니다....,['https://rev-static.yogiyo.co.kr/bc984e3a7b0fb6ecc465c7718502e2bc_tn.jpg']
19,5,['후라이드（마일드）'],예상배달시간보다 빨리와서 좋았어요~~,[]
20,5,['스노윙치즈반＋쇼킹핫양념반'],네네 스노윙과핫치킨은 항상맛있게먹고있습니다굿입니다,[]
21,4,['순살크리미언반＋순살핫블링반'],"양파가 조~~금 색도 노랗고, 눅눅했지만.......맛있게잘먹었습니다:-)",[]
22,5,['순살스노윙치킨'],맛있게잘먹었습니다.,['https://rev-static.yogiyo.co.kr/ef795cf3f4f7113e9667f045ce199fdd_tn.jpg']
23,5,['순살스노윙치킨'],맛있게잘먹었습니다.,['https://rev-static.yogiyo.co.kr/3fb4a898e4db6f9daa66e7a9ff3cf4c1_tn.jpg']
24,5,['양념반＋후라이드반'],너무 맛있었어요~~^^*,[]
25,5,[],크리미언맛잇어요!,[]
26,5,[],치킨이 좀 식어서 온느낌 ..... 그래도 먹을만함,[]
27,4,['순살크리미언반＋순살핫블링반'],크리미언은 언제나 혁명 ㅜㅜ 핫블링도 냠냠 맛잇어요 ^^!,['https://rev-static.yogiyo.co.kr/90e51211e2dfd161ffd763db3d177b75_tn.jpg']
28,1,"['순살반반세트2（치킨＋치킨）', '순살크리미언)']",언재오냐요 배고피ㅡ 죽엉ᆞ오...,[]
29,4,['스노윙치즈반＋양념반'],치킨이 박스 안에서 쏠려있었어요 배달에 조금 신경써주시면 좋을거같아요~~ 다른곳보다 치킨 조각 1개의 크기가 커서 앞접시에 먹어용 그래두 불변의 스노윙 맛있어요~!!,['https://rev-static.yogiyo.co.kr/254c72b58707157cc2400b07b136e99b_tn.jpg']
30,5,"['스노윙치즈반＋양념반', '치즈볼']",스노윙 양념 둘다 맛있어요!,[]
31,4,['크리미언반＋핫블링반'],핫블링 처음 먹었는데 생각보다 맵네요!매운거 잘 못드시는 분들 참고하셔용,[]
32,5,['양념치킨'],언제나맛있는 네네양념입니다^^콜라500미리서비스 안주시는게 좀 아쉽네요ㅋ,[]
33,4,['스노윙치즈반＋양념반'],배달빨라용굿~~~?,['https://rev-static.yogiyo.co.kr/5bb320a03b40c8671c746f766cd585cc_tn.jpg']
34,5,['양념반＋후라이드반'],네네 맛있네네좋네네,[]
35,4,['포테이토짜용（순살）'],맛있는데 감자 감자튀김이 너무 눅눅해요 다음엔 바삭하게 가져다 주세요,[]
36,5,['순살스노윙치즈반＋순살양념반'],아이들과 같이 먹기 딱 좋은스노윙치즈 반 양념반항상 맛있고 빨리 배달해주셔서 감사합니다^^,[]
37,5,['순살스노윙치즈반＋순살양념반'],그럼요 당연하죠 네네치낀,[]
38,4,['순살스노윙（치즈）반＋순살쇼킹핫반'],네네스노윙은 여전히 너무맛있네용 치즈시즈닝은 네네 못따라오는것같어용,[]
