,별점,주문메뉴,리뷰,사진
0,5,['크리미언반＋양념반＋후라이드반'],크리미소스좋아요맛좋습니다,[]
1,5,['순살스노윙（치즈）반＋순살양념반'],만족해요 맛있어요 ㅎㅎ,[]
2,5,['순살크리미언치킨'],크리미소스 맛나요굳,[]
3,5,"['순살스노윙치킨（치즈）', '네네스위틱']",맛있어요!!! 또 주문할게요~~,[]
4,4,['크리미언반＋핫블링반'],시간도 마니늦지않게오고 양도많아서 좋았습니다~,[]
5,4,['크리미언치킨'],맛있어요 양도 많고,['https://rev-static.yogiyo.co.kr/45fdc389ce7902765d5f3d2c52f7617b_tn.jpg']
6,5,['순살양념반＋순살반'],나쁘지않아요. 양념맛은 좀 내스타일이 아님,[]
7,5,['순살오리엔탈파닭'],짱맛잇어요ㅎㅎㅎㅎㅎ,[]
8,5,"['양념반＋후라이드반', '네네츄（츄러스）', '네네칩（포테이토칩）', '콜라1.25L', '양념소스']",맛이게 드시겠읍니다.,[]
9,5,['닭날개（핫）'],핫이 없어서 그것만아쉽고 나머진 좋았습니다,[]
10,3,['스노윙치킨（치즈）'],샐러드가 원래안나오나봐요,[]
11,5,['크리미언치킨'],배달도 빠르고 맛있네요,[]
12,4,['양념반＋후라이드반'],애들이 치킨 먹고싶다 할때 여기에 주문해요. 반반치킨을 즐겨 먹습니다.,[]
13,5,"['순살스노윙（치즈）반＋순살쇼킹핫반', '네네볼（치즈볼）']",배달도 적당하고 맛있었습니다,[]
14,5,['순살양념반＋순살반'],네네 순살치킨 너무 맛있어요,[]
15,5,"['순살스노윙치킨（치즈）', '순살크리미언치킨']",늘 시켜먹지만 늘 맛있고 배달도 빠르고 잘 먹고 있어요~^^,[]
16,5,['양념반＋후라이드반'],맛있다~~~~~~~~~~,[]
17,5,['양념반＋후라이드반'],적당한맛과적당한양을갖춘 가성비치킨,[]
18,5,"['순살크리미언반＋순살핫블링반', '네네볼（치즈볼）', '감자튀김']",배달은 오래걸렸지만 정말정말 맛있어요!!!최고에요 ㅎㅎ,[]
19,4,['순살스노윙치킨（치즈）'],맛있었어요. 근데 배달비 받는다고 안적혀있었는데 배달비 천원 받아서 그 점만 아쉬웠어요 ㅠ,[]
20,5,['순살스노윙치킨（치즈）'],개꿀맛 ㄱㄱㅆ ㅎㅎ,['https://rev-static.yogiyo.co.kr/507500f4a2476cd22eb46fd3e41ecc58_tn.jpg']
21,5,['후라이드'],배달도 빨리오고 너무 맛있어요😮👍,[]
22,5,['양념반＋후라이드반'],너무맛나서 1개먹고찍었어요 ㅋㅋ,['https://rev-static.yogiyo.co.kr/0a7ac22878e3810b2760f24761d25418_tn.jpg']
23,5,['양념반＋후라이드반'],항상 이곳에서 반반 치킨 주문해 먹어요. 우리집엔 네네치킨이 입에 맛는것 같아요.,[]
24,4,['스노윙（치즈）반＋양념반'],네네은 네네입니다. 맛있어요,[]
25,4,['스노윙치킨（치즈）'],맛은 있으나 닭다리가 좀 작네요.,['https://rev-static.yogiyo.co.kr/b07eb03b2c6ca0160cf56ed5664acd54_tn.jpg']
26,3,['레드스노윙 뉴이스트 W세트（순살）'],먹다 말고 써요 오늘 바쁘시고 그러실테니까 주문이 1시간만에 오는 거야 이해할 수 있는데진짜 치킨이랑 감자튀김이 무슨 물에 담군거마냥 물렁하고 바삭한게 하나도 없어요;; 여기 처음시키는데 먹다가 빡쳐서요.,"['https://rev-static.yogiyo.co.kr/e212884a4eb81ea0c7fb70f88a980a23_tn.jpg', 'https://rev-static.yogiyo.co.kr/d880ec44fae52d3070ae7a1877c4dd2f_tn.jpg']"
27,4,['후라이드'],배달은 50분 걸리고  맛도 만족합니다.,[]
28,5,['순살스노윙（치즈）반＋순살양념반'],맛있습니다. 맛있어서 사진찍는것도 까먹었네요. 배달도 빠르고 좋습니다.!!,['https://rev-static.yogiyo.co.kr/891410048188d3bf1d9860007f1743b1_tn.jpg']
29,5,['순살오리엔탈파닭'],너무 맛있어여 .”,[]
30,5,"['크리미언반＋핫블링반', '콜라1.25L']",동생이랑 취향이 다른데 반반 좋아용,[]
31,5,['양념반＋후라이드반'],배달은 조금 늦게 걸렸지만 온가족이 만족하고 맛있게 먹었습니다!,[]
32,5,['양념반＋후라이드반'],맛있어요 하라하하하,[]
33,4,"['순살양념반＋순살반', '콜라1.25L']",냄새도 안나고 맛있어요,[]
34,5,['양념반＋후라이드반'],네네치킨 진짜 맛나네요늘 네네치킨 반반 입니다,[]
35,5,['양념반＋후라이드반'],치킨 프렌치이즈 중에는 네네 반반치킨이 제일 입에 맞는것 같아요.,[]
36,5,['순살'],이것은 내가 즐겨 찾는 맛이 아주 좋고 음식점에 배달 속도도 빠르다.,[]
37,5,['오리엔탈파닭'],파가 굉장히 많이왔네요. 잘 먹었습니다.,[]
38,5,['순살오리엔탈파닭'],우라동네 파닭 최고👍,[]
39,5,['순살네네마늘치킨'],맛있어요!ㅋㅋㅋㅋㅋ,[]
40,5,['후라이드'],너무 좋아해요 너무 마싰어요,[]
41,5,['후라이드'],너무 좋아해요 너무 마싰어요,[]
