,별점,주문메뉴,리뷰,사진
0,5,[],양이 적어 양파를 더 추가해서 먹엇어요.맛있엇어요.김가루도 한가득!다음에 주문 또 할게요.부자되세요,[]
1,5,[],맛잇어용ㅋㅋ,[]
2,5,[],배달도 빠르고 맛은 평타~~~^^,[]
3,3,[],음 처음 주문했는데 뼈닭발과 오돌뼈 시켰는데 오돌뼈는 먹을만한데 ... 닭발은  양념바르고 숯불에 안구워서 온거 같던데요... 다신 안시켜먹을듯요,[]
4,3,[],보통이예요,[]
5,1,[],기름덩어리,[]
6,5,[],굿,[]
7,1,[],한시간 기다려서 받았는데 쿨피스가 아깝네요.양이 넘  적어요,[]
8,5,[],완죤좋아여,[]
9,1,[],아 완죤완젼 어이없게 맛없네요 대박. 날개 토나옴,[]
10,1,[],"배달시간은 괜찮은데,닭발 맛이 좀...그리고,닭발 에 딸려오는 계란탕이 너무 비려서 전화해서 전해줬어요",[]
11,4,[],닭발 시켜먹었는데 같이온 계란찜이랑 맛이 나쁘지않고 무난하고 배달온분 친절해서 괜찮았어요,[]
12,5,[],ㅡㅡ,[]
13,2,[],개매움,[]
14,1,[],별하나 주는것도 아까움.. 맛있다고 별 5개 준거 다 지인이나 알바 쓴듯?? 이걸 이 가격에 사먹느니 내가 해먹는게 맛있을듯,[]
15,5,[],계란에 밥 슥슥 비벼서 무뼈닭밝 차악 먹으면 숯향이 타악 올라오면서 매콤한맛과 계란찜의 부드러운맛이 서로 중화시키는데 이게 콩나물국을 한숟갈먹으면 화룡점정입니다 단 둘이서먹기에 양은 아쉽습니다,[]
16,5,[],ok,[]
17,5,[],여기서 ..9번째 시켜먹어요..맛이 짱이예요..특히 닭날개 넘맛있어요.,[]
18,5,['참숯불날개'],10번 넘게 시켰는데..지금 생각나서 리뷰남기네요..갠적으론 닭날개가 맛있어요..먹느라고 사진찍은것이 없네요.ㅜㅜ..저는 튀긴음식이 별로라..여긴 숯불로 구워서  ..진짜 맛있어요..자꾸 땡겨요~^♡^,['https://rev-static.yogiyo.co.kr/949f9758b416f558c6f4e57f9d72fb05_tn.jpg']
19,5,[],ok,[]
20,5,[],맛잇어요,[]
21,3,"['참숯무뼈닭발', '매콤한돼지껍데기구이', '누룽지탕', '잔치국수', '쿨피스 930mL']",맛나요~~,[]
22,4,"['2가지 세트', '불똥집)', '김따로주먹밥（2人）']",완전 매콤하고 오돌뼈 짱맛있어욯ㅎ,[]
23,1,[],No,[]
24,5,[],ok,[]
25,1,[],맵기만하고 양이적다 계란찜으로배채웟네,[]
26,5,"['참숯무뼈닭발', '김따로주먹밥（2人）']",맛 양 맵기 다 좋았습니다^^,[]
27,4,[],닭발은맛이나맵기나괜찮은편이예요소금똥집은보통에서조금이하입니다,[]
28,5,"['참숯무뼈닭발', '매콤한돼지껍데기구이', '잔치국수']",맛있어요,[]
29,4,"['참숯무뼈닭발', '콜라 1.25L']",맛있어요...살짝매웠음 더좋을거같아여...계란찜 콩나물국 무....같이주셔서 넘 맛나게 잘먹었습니당~,[]
30,5,"['2가지 세트', '참숯무뼈닭발)', '김따로주먹밥（2人）']",ㅋㅋ 맛있어요 양은 리뷰보다시피 적은데 맛은 짱!!,[]
31,1,"['2가지 세트', '소금똥집)']",양을 솔직히 너무적게줍니다 22000으로 치킨을먹으면 양껏먹을수있는데 닭발이먹고싶어서시켰는데 양이너무적네요^^ 앞으로는많이주셨음합니다,[]
32,5,['참숯무뼈닭발'],벌써 세번째인가ㅋ 날개 빼곤 맛나요근데 닭발 생각보다 매워요 계란찜이나 쿨피스는 신의한수!ㅋ,[]
33,5,[],맛짱...........,[]
34,5,[],진짜 맛있어용‼️‼️‼️ 먹고 나면 입이 통통붇긴 하지만 진짜 추천이예용😤,[]
35,5,[],맛있었습니다.  감사합니다.,[]
36,4,"['참숯무뼈닭발', '소금똥집']",괜찮아요배달은 좀 기다렸지만기다린 시간이 맛있어서 용서되는깔끔하네요,['https://rev-static.yogiyo.co.kr/0fbb1d8cf16b69366750a44c703bf2ce_tn.jpg']
37,5,"['참숯무뼈닭발', '참숯불날개', '콜라 1.25L']",완전마싯어요 닭발짱,[]
38,5,"['오돌뼈', '김따로주먹밥', '쿨피스 930mL']",오돌뼈 존맛입니다!! 인계동에서 먹어본 오돌뼈중 제일맛남,[]
39,4,[],전 매운거 엄청잘먹는데 저한테는 안맵네요 아주매운맛 있었음 좋겠어요 만오천원 받고 양을 더 많이 주세요 양이 적어요쿨피스는 금액마추려고 시킴양념은 맛있었어요,[]
40,5,"['참숯통닭발', '쿨피스 930mL']",리뷰 어쩌다 한번 남기는데 남기고 싶네요^^양도 매운 정도도 너무 좋았어요^^  신랑이랑 제 입맛에 딱!신랑이 앞으로 우리 닭발집은 여기라며ㅋ 잘먹었습니다~~,[]
41,5,[],닭발은 여기서만 시켜먹고있어요~처음으로 통닭을 시켜봤는데 와아 대박!! 기름기 쫙 빼시고 진짜 맛있게 왔드라구요여기는 돼지껍데기도 맛있어요!,[]
42,3,"['매콤한돼지껍데기구이', '잔치국수']",맛은있지만 돼지털이좀많이남아있네요,[]
43,5,"['참숯무뼈닭발', '참숯불날개']",보통 매운맛은 생각보다 많이 맵진않은데 막 너무 매운것보단 맛있고 좋았어요~~ 담에 또 시켜먹을듯,[]
44,4,[],맛있습니다!,[]
45,4,"['참숯통닭발', '매콤한돼지껍데기구이', '계란찜 小', '사이다 1.25L']",닭발 핵맛 꿀맛!! 돼껍도 핵맛 !!매꼼해여 또시켜먹울게여!!,"['https://rev-static.yogiyo.co.kr/add45a57bcb81d235dd199f1c5069284_tn.jpg', 'https://rev-static.yogiyo.co.kr/798e1055a7a2cb924724026f2feb3a09_tn.jpg', 'https://rev-static.yogiyo.co.kr/a540e6f4824265eedaea51c34bce1820_tn.jpg']"
46,5,[],항상 시켜먹어요,[]
47,5,[],맛나요 ㅎㅎㅎ먹기전에찍을려고했지만. 아기때문에불을못켜서 ㅎㅎㅎㅎㅎ다먹고찍엇어용ㅎㅎㅎ,[]
48,4,[],먹느라 사진을 못찍었네요; 쿨피스가 없다해서 사이다로 대신했습니다...아쉽..,[]
49,5,"['오돌뼈', '계란찜 小', '쿨피스 930mL']",맛나요^^~~ 느끼함이 싸악..,[]
50,4,"['불똥집', '누룽지탕', '김따로주먹밥', '계란찜 小']",매운똥집 기대햇지만 많이맵진않앗어용,[]
51,4,"['소금똥집', '매콤한돼지껍데기구이', '김따로주먹밥']",기대이상으로 맛있게 먹었어요.적당히 매콤해서 좋았어요.,"['https://rev-static.yogiyo.co.kr/e66e5520a7463ed9ea4fd89dc52b2faf_tn.jpg', 'https://rev-static.yogiyo.co.kr/fe031e2d98befecb4acb10d6f43ee0cc_tn.jpg']"
52,4,"['오돌뼈', '매콤한돼지껍데기구이', '김따로주먹밥']",오돌뼈는 맵고 맛있는데 껍데기는 돼지냄새가 좀 나요그래도 맛있게 잘 먹었습니다,[]
53,4,"['오돌뼈', '매콤한돼지껍데기구이', '김따로주먹밥']",오돌뼈는 처음주문하는데 뼈도 많지 않고매콤하니 맛있게 먹었어요.,['https://rev-static.yogiyo.co.kr/9c8b928be1ef8cc5aba39a4c0260fbf1_tn.jpg']
54,4,[],맛잇어요 ☺️💕부탁드린데로 해주셔서 감사해용,[]
55,5,[],맛잇어요,[]
56,5,['참숯무뼈닭발'],저는 닭발을 거의 주식으로 먹는데 놀란 숯불닭발과하지 않은 맛이 참 좋네요. 다른곳의 진한 숯불맛은 오히려 느끼하거나 범벅된 양념에 짜고 텁텁하다면 여기 닭발은깔끔하고 짜지않아 좋네요. 냉콩나물국은 원샷했네요. 계란찜이나 음료수 보내주지 않아도 충분히 닭발로 맛이 좋았습니당^^,['https://rev-static.yogiyo.co.kr/91822e5717258f1d3a9cf7ce801e99d6_tn.jpg']
57,5,[],오호라~~넘 맛있었어요~~아*대 안가도 될듯요 거기보다 백배 맛있어요~~담에 또 주문하겠습니다^♡^,[]
58,3,"['통큰세트1（영계통닭＋닭발＋누룽지 or 계란찜＋음료）', '메뉴 선택(계란찜', '음료 선택(사이다)']",ㅋ,[]
59,3,[],맛있고 깔끔해요~담에도 닭발은 놀란~~,[]
60,5,[],맛있어요^^두번째 주문입니다~~,[]
61,4,"['참숯통닭발', '계란찜 小']",첨 시켜봣는데여  닭발은 간이 쌔지않아서 좋앗어요 .^^하지만 달걀찜은 비릿한 냄새가 확 낫어요. 맛도 비리고.나머지는 다 좋앗어여~  달걀에 왜 비릿한 냄새와 맛이 날까요..다른곳은 안그러던데.. 그래서 별하나 뺏어여. ㅠ,"['https://rev-static.yogiyo.co.kr/81cdbfb073f4b74364c05aa196d08926_tn.jpg', 'https://rev-static.yogiyo.co.kr/f7d08dc351dece305cc1f5379263ca45_tn.jpg', 'https://rev-static.yogiyo.co.kr/7af3383ada288fc7945a6eb9cb3c97a6_tn.jpg']"
