,별점,주문메뉴,리뷰,사진
0,5,['마늘족부세트 3-4인'],부대찌개 깔끔하게포장해서 오네요~ 족발걱정많이했지만 맛있게 잘먹었어요 다른사람들도 만족하면서 먹었습니다^^,[]
1,5,['놀부부대찌개SET'],서비스도 훌륭하고 음식들도 너무 맛있어서 다음에 또 오고싶게 만드는 맛이었습니다bb,[]
2,4,['놀부부대찌개SET'],조리하기 좀 귀찮기는 해도 식당에서 먹던 맛대로 먹을 수 있어서 좋네요,[]
3,5,"['놀부부대찌개SET', '햄 듬뿍']",잘먹었습니다. 포장이 깔끔해서 좋네요 ㅎ,[]
4,5,[],맛있어요. 추천,[]
5,4,"['옛맛부대찌개SET', '공기밥']",맛있네요,[]
6,5,[],맛있습니다,[]
7,5,[],빠른배달과 맛있는 음식!만족함돠,[]
8,5,['놀부부대찌개SET'],요기요로 포장했는데 깔끔하고 좋아요!,[]
9,5,['놀부부대찌개SET'],맛있어요,[]
10,4,['놀부부대찌개SET'],배달도 시간 딱 맞고 맛도 있었어요 다음에 또 이용할게요,[]
11,4,[],배달 빠르고 친절하고 맛있게 잘먹었습니다,[]
12,3,['놀부부대찌개SET'],육수 2+1개왓고육수 2인분만 넣고 끓였는데 싱겁슴다.,['https://rev-static.yogiyo.co.kr/d6d154535f697fa2342b795033b1b1e7_tn.jpg']
13,5,['놀부부대찌개SET'],포장도 깔끔하고 맛있네요,[]
14,5,"['놀부부대찌개SET', '햄 듬뿍']",진짜 친절하시고 양도 너무너무 푸짐하네요 고맙습니다,[]
15,5,['놀부부대찌개SET'],친절함👍,[]
16,5,['놀부부대찌개SET'],맛있어요,[]
17,5,"['놀부부대찌개SET', '햄 듬뿍', '공기밥']",맛있어요! 매장에서먹는거랑 맛이 똑같네요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/86523495a3fa8dccd914deb37b6ab7b5_tn.jpg']
18,5,[],양이 많아요~~ 직접사먹는것보다 짜지도 않고 맛있었어요~,[]
19,5,[],좋아요,[]
20,5,['놀부부대찌개SET'],포장 깔끔하고 배달도 빠르네요 좋아요^^,['https://rev-static.yogiyo.co.kr/6e02261756053e63d93d8d97beaccd44_tn.jpg']
21,5,"['옛맛부대찌개（2인）', '놀부사리', '치즈（2장）', '공기밥']",두번째 시켜먹었어요! 언제나 맛있어요!! 부대찌개는 매번 여기서 시켜먹을듯,[]
22,5,"['놀부부대찌개（2인）', '흥부사리']",포장도 깔끔하고 시간을놓쳐서 다음날먹었는데도 너~~어~~무 맛나고 3인분시켰는데 한참먹었습니다~놀부부대시키도 사리을 흥부시켰더니ㅡ친절하게 전화와서 놀부에는 놀부사리다 잘어울리는데 괜찮냐고 물어도 봐주시고대박짱짱 친철,[]
23,4,[],맛남 근데 공기밥 따로 주문해야되요 밑반찬없음,[]
24,4,['소고기부대찌개SET'],양파나 대파추가로넣고 햄사리는 따로 추가해서넣으니 맛나네요 양파한4개넣엇어요ㅋㅋ,[]
25,5,['놀부부대찌개SET'],맛있습니다 ㅎㅎ2인분 주문하니 3인분주네요 육수로음료수 스프라이트인게 좀 흠 ㅠㅠ,[]
26,5,"['놀부부대찌개SET', '공기밥']",부대찌개 땡길 때 자주 시켜먹을거같아요맛있습니다,[]
27,5,"['놀부부대찌개（2인）', '햄 듬뿍', '라면', '치즈（2장）']",친절하고 맛있네요,[]
28,2,[],"맛은 보통, 사리추가한거 대비 양이 많지는 않아요 국물은 많음, 수저도 없이와서 좀.. 및반찬도 없음",[]
29,3,[],괜찮아요 ^^,[]
30,5,"['흥부부대찌개SET', '공기밥']",맛있습니다,[]
31,1,[],더럽게 맛없음,[]
32,5,['놀부부대찌개SET'],맛있게 잘먹엇네요 생라면강추!,[]
33,5,"['놀부부대찌개SET', '햄 듬뿍']",배달도 빠르고 매장에서 먹던 맛 그대로 맛있습니다.,[]
34,5,['놀부부대찌개SET'],너무  맛있고 배달도 빨라요,[]
35,5,['놀부부대찌개SET'],맛이 정말 맛이 있어요,[]
36,5,"['놀부부대찌개（2인）', '햄 듬뿍', '라면', '공기밥']",맛잇어요...ㅠ..가서먹는맛이에요ㅠㅠ,[]
37,5,"['놀부부대찌개（2인）', '흥부사리']",맛있어요!엄청 친절하시네요~,[]
38,5,['놀부부대찌개SET'],늘한결같은맛ᆢ좋아요,[]
39,4,['놀부부대찌개SET'],맛있게 잘 먹었습니다.양도 맛도 모두 만족입니다!,[]
40,4,"['놀부부대찌개SET', '놀부사리', '공기밥']",적을거 같아사리추가 했는데배터지는 줄 알았어요^^,['https://rev-static.yogiyo.co.kr/6cf9ec434f45013349e291fece2b243b_tn.jpg']
41,4,"['놀부부대찌개SET', '햄 듬뿍']",배달도 맛도 좋아요,[]
42,5,"['놀부부대찌개（2인）', '햄 듬뿍']",배달두 빠르고 양두 많고ㅎㅎㅎ 이래서 놀부부대찌개를 시키는거같아요,[]
43,5,['놀부부대찌개 2인'],"일단 포장배달이라 집에서 시켜 먹기 간편하고 깔금하게 포장되서 오니 뜯어 먹기만 해서 편하고, 매장에서 먹는 맛 그대로네요. 아쉬운건 2인분이면 딱인데, 2만원이상 배달이라 3분이상 시켜 먹어야해서 아쉽네요. 집에서 먹는거니 남겨서 먹어도 되지만요.",[]
44,4,['놀부부대세트 3인'],밥이오는줄알았는데 따로네요ㅜㅜ 밑반찬도업ㅇ구요~~,[]
45,4,"['놀부부대세트 2인', '공기밥']",배달은 적당히 빠른고요 양은 정말 너-무 많아요! 남자친구랑 둘이 먹는데 넉넉하게 배부르게 먹고도 남았어요 가격대도 괜찮고 맛도 있고 너무 좋아요 다음에는 치즈부대찌개 시켜먹어야겠네용 그런데 좀 아쉬운게 공기밥은 별도 라는게 좀 아쉬운거같아요 배달 시간이 있어서 그렇겠지만 공기밥도 많이 식어서 배달와서 거의 찬밥마냥 먹었네요 ㅋㅋ 그래두 맛있어서 다음번에도 이용 할 생각 있습니다 ~~ 잘 먹었어요 ~,[]
46,5,['놀부부대세트 2인'],집에서 반찬 없을때 딱 좋습니다 양이 너무 많아서 다음날 까지 먹엇어요ㅋㅋㅋ,[]
47,5,['놀부부대세트 2인'],맛있어요~~♡♡서비스감사해요~~♡♡,['https://rev-static.yogiyo.co.kr/ef76a198f154effeb8ac0eeed8c8d50e_tn.jpg']
48,4,['놀부부대세트 2인'],"빠른 배달, 양도 푸짐맛있게 잘 먹었네요^^",[]
49,4,"['놀부부대세트 2인', '수제비']",맛있습니다가끔 먹을거 같아요^^,[]
50,5,['놀부부대세트 3인'],육수도 넉넉하게 와서 집에서 끓여먹으니 좋은 거 같에요,[]
51,5,['놀부부대세트 2인'],괜찮음       .,[]
52,5,"['놀부부대세트 3인', '공기밥']",마시ㅆ서뇨 요 히히힣히히또 시켜먹을게교,[]
