,별점,주문메뉴,리뷰,사진
0,4,['부찌세트'],집에서 먹기 좋네요. 2인분이라서 반반 나누어서 먹어도 됩니다!,[]
1,1,['부찌세트'],셋트 시켰는데...음료는 안주네요. 왜 셋트라고 써놨는지..,[]
2,5,['부찌세트'],부대찌개 맛이 깔끔하고 좋네요.다음에 또 시켜먹고싶네요^^,[]
3,5,['부찌세트'],맛나요~~쪼아요  적극추천~~~,[]
4,5,['부찌세트'],놀부 이름값하네요 ㅋ  맛나요  또시킬게요  마니주세요,[]
5,5,['소고기 부찌세트'],맛나맛나~^^음식 맛나구 갈끔하구 빠르구!최고에용~^^,[]
6,5,[],보쌈도 맛있는데 부대찌개도 맛있네요짱짱,[]
7,5,['소고기 부찌세트'],놀부 굿  맛나네요~~~굿,[]
8,5,['부찌세트'],맛괜찬아요  얘들이  더 좋아하네요~~,[]
9,5,[],맛나 먹었어요~^^좋아요~~~!,[]
10,5,['놀부부대찌개（2인）'],이번에 또한번 시켜먹었는데 역시 맛이깔끔하고 좋네요. 다음에도 시켜먹어야겠어요,[]
11,5,[],베리굿,[]
12,1,[],"끓이는데양념은하나도않들어가있고김치도안들어가있고...전화드려서다데기좀가져다달라하니전화받으시는분은주방에다대고소리른고래고래지르며왜않넣줬냐고통화하달말고짜증을내시고.... 고추가루기미없는허연부대찌게드셔보셨나요?집에있는김치넣고제가다시양념해서먹었습니다...전화드리고30분지나다데가지고기사님이오셔서넣고다시끓이니부대죽이되고...맛은더럽게없고...정말돈이아깝네요...제가리뷰를처음남기는데요화가나서나중엔햄만몇개골라먹다다버렸습니다..뭐...빼먹을수도있습니다...사람이하는일이니..그래도통화할때주방에짜증내기전에미안하다한마디정도는할수있지않나요?[놀부부대-수원영통점]안녕하세요 고객님, 우선 이용해 주셨으나 불편을 드려 죄송합니다.고객님께서 누락된 재료가 있어 전화를 주셨을때, 카운터와 주방의 거리가 있다보니 큰소리로 얘기했던 내용에 짜증이라고 오해가 있으신것 같습니다.고객님의 말씀에 따라 재료도 다시 준비해 드리면서 사과도 드렸고, 환불안내까지 드렸으나 완강히 거절하시어 다른 조치를 취하지 못하였습니다.고객님의 충고에 따라 더욱더 꼼꼼히 확인하여 배달할수 있도록 노력하겠습니다.모든 고객님들께 만족을 드릴수 있는 놀부부대로 보답하겠습니다. 감사합니다.",[]
13,4,[],집에서 조리하는거 빼고는 괜찮네요.  공기밥 별도를 못바햇반을 사야했다는. 잘먹었습니다.,[]
14,5,"['부찌세트', '공기밥']",아주좋아요,[]
15,4,[],맛있었어요.근데 기름이 너무많더라구요.그것만빼면 굿입니다.,[]
16,5,['부찌세트'],만족스럽네요^^ 맛도 깔끔하고 포장도 깔끔하네요,[]
17,4,"['놀부부대찌개（2인）', '햄사리']",맛은있는데 기름이 많네요,[]
