,별점,주문메뉴,리뷰,사진
0,5,['마늘족부세트 3-4인'],진심 진짜 너무 맛있고 양 캡많아요^^와~ 이런족발은 처음이네요..심쿵사,[]
1,5,['화덕족발 M'],푸짐하고 맛있습니다 배달도 친절하네요~,['https://rev-static.yogiyo.co.kr/35e5de0e3550474f27f1c12311ddf98b_tn.jpg']
2,5,['마늘화덕족발 M'],배달도친절하시구 되게 꼼꼼하게 준비되서 오네요~~ 글씨도직접쓰신거같은데 기분좋네요~ 원래 족발안좋아햇다가 가게에서 마늘족발 먹어보고 맛있어서 다시 시켜먹어봣는데 역시 맛있네요.,[]
3,5,['마늘화덕족발 M'],배달도 빠르고 진짜 맛있네요. 화덕족발이라그런가 보통 족발과 다르면서 더맛있고 메뉴선택잘한것같습니다,['https://rev-static.yogiyo.co.kr/9a9f6838f750a17f1032674c073cd1c1_tn.jpg']
4,5,['화덕족발 L'],족발 넘 맛있어요ㅜㅜ 다음에도 또 시켜먹을라고요 ㅎㅎ,[]
5,5,['마늘화덕족발 L'],원래 보쌈만 먹고 족발은 못먹었었는데 처음으로 족발시켜서 다 먹었어요 ㅋㅋㅋㅋ 많이 느끼하지 않고 진짜 맛있네요!! 자꾸 생각나는 맛이에요 잘먹었습니다! ㅎㅎㅎ,[]
6,5,['마늘화덕족발 M'],마늘족발 맛있네요! 처음인데 감동입니다!,['https://rev-static.yogiyo.co.kr/e79f247727d2b4272e4ca6b78a5cd254_tn.jpg']
7,1,['화덕족발 M'],처음 맛보는 화덕족발맛이 좋아 3번시켜먹었더니갈수록 확연히 양이 줄어드네요정직하게 장사하세요 다신 안시킵니다고객을 우롱하지마시고.......,[]
8,5,['화덕족발 M'],사진을 올리려 했는데 다먹고나니 생각났어요~ 친구들 오면 이젠 제일 먼저 생각나는 메뉴가 되었네요~근데 친구들은 거의 놀부화덕족발 몰라요ㅋㅋ 왜죠??ㅋㅋ늘 맛있게 잘먹고 있습니다~,[]
9,5,"['화덕족발 M', '쟁반막국수']",작은 사이즈 기본 족발 주문했는데느무 맛있네요개인적으로 간이 좀 강한 느낌은 있지만맛도 포장도 너무 만족입니다막국수도 1인분씩 팔아서 너무 좋네요몇조각 남아 냉장고에 넣어 뒀었는데그것도 맛있다고 하네요,[]
10,5,['화덕족발 M'],넘 맛있어요. 첨이라 작은거 시켰는데 담엔 큰거로 시킬래요. 애들도 잘먹고 굿이에요^^,[]
11,4,[],먹기도편하게 손질도 잘 해주셧네요,[]
12,5,[],정말 맛있어요정성이 가득 느낄수도 있는 최고의 음식,[]
13,5,['화덕족발 L'],"빠리왔어요, 맛이게보여요,잘먹을게요",['https://rev-static.yogiyo.co.kr/e28816437accc5c9730790933f22332e_tn.jpg']
14,5,['마늘화덕족발 M'],친절하시고 좋아요 감사합니당,[]
15,5,['마늘족부세트 2-3인'],날도 더운데 배달해 주시는 분도 친철하시고 맛도 좋았습니다,[]
16,4,[],맛있어요!!^^,[]
17,5,[],주문예상시간보다 늦을것 같으니 사장님 전화 했었구요.배달하시는분들이 안온다고 직접 배달오셨더군요.금액대비 괜찮았어요~,[]
18,5,"['족부세트 2-3인', '쟁반막국수']",역쉬 맛있어요부대찌개 세트로 주문해봤는데맛있네요~할인율이 줄어서 아쉽지만 잘먹었어요~~,[]
19,5,['마늘화덕족발 M'],촉촉 굿,[]
20,4,['마늘화덕족발 L'],굿,[]
21,5,[],맛있게 잘 먹었습니다~,[]
22,5,['화덕족발 M'],항상맛있게잘먹고있습니다🖒🖒,[]
23,5,[],맛있어요,[]
24,5,[],빠른배송과 맛있어요,[]
25,5,[],맛있어요,[]
26,5,[],근방에 족발집 중에 젤 나은거같아요구워서 그런지 쫀득하니 따로 소스 안찍어도 족발에 향이 베어있어서 맛있네요,[]
27,5,"['화덕족발 M', '쟁반막국수']",맛있게 늘 잘먹고 있어요족발 간을 좀 덜 짜게 하면 좋겠어요,[]
28,5,[],good,['https://rev-static.yogiyo.co.kr/cc701c888647d2e29b1c3b1b70704ed7_tn.jpg']
29,5,[],양은적지만 맛은보증합니다^^,[]
30,5,['화덕족발 L'],와진짜 후회없는 선택이었어요진짜진짜 맛있어요 어떻게 족발이 이렇게 겉은 바삭하고안은 촉촉할수있는지.. 살도 많고 진짜 양념도 신의한수!!찬양급입니다 나중에 수원가면 또 시킬게요^^배달해주신 사장님도 너무 친절하셔서 감동ㅎㅎ,[]
31,5,"['화덕족발 M', '쟁반막국수']",껍질 쫀득하고 포장 깔끔하고~늘 맛있게 먹고 있어요근데 고기가 작아보이는건 기분 탓이것죠?,[]
32,1,[],마늘화덕족발시켰는데 쌈을 따로 말해야준다네여ㅡㅡ 어디가 그렇게 장사합니까.. 마늘도 칩으로 딸랑오고..별로엿어요 단골엿는대,[]
33,3,"['화덕족발 L', '쟁반막국수']",확실히 맛있었지만 양은 가격에비해 별로네요...맛은 맛있읍니다.,[]
34,5,[],맛있어용!!!,[]
35,2,[],맛은 그냥보통 양이 진짜작음,[]
36,4,"['화덕족발 L', '쟁반막국수']",지금까지 족발시켜본 곳 중에 가장 냄새도안나고 가장 맛있는것같아요 ㅎㅎ 하지만 양이 적다는 댓글보고 대 크기로시켰는데 대 크기에 쫄면추가해서 먹엇는데도 셋이 다먹을수있는양이라는게 아쉽네요..,[]
37,4,[],족발이 촉촉하니 맛있습니다.,[]
38,5,['화덕족발 M'],맛있어요 아이들이 잘먹어서 더좋네요,[]
39,5,"['마늘화덕족발 M', '쟁반막국수']",화덕족발은 처음 먹어봐서 퍽퍽할줄 알았는데 너무 촉촉하고 냄새도 안나고 맛있었어요^^간이 배어 있어서 그냥 먹어도 맛있어요. 양도 괜찮았어서 또 먹고싶네요~자주 시켜먹을거 같아요,[]
40,3,[],맛있어요~~!,[]
41,1,"['마늘화덕족발 L', '쟁반막국수']",배달 상태가 엉망이네요 ......,"['https://rev-static.yogiyo.co.kr/cb13790da05652005f4e439a4d41a09f_tn.jpg', 'https://rev-static.yogiyo.co.kr/d7baececa2dfe1e2742f8011b6f9980c_tn.jpg']"
42,5,['마늘화덕족발 M'],맛있음. 양이많아진거같음. 마늘좀만더주세요,[]
43,2,['마늘화덕족발 L'],매장서먹을때는 맛있었는데 배달은별로네요,[]
44,5,['마늘화덕족발 M'],푸짐하고 맛있어요 :-)❤️,[]
45,5,['화덕족발 L'],저번에 가게 가서 먹었는데 너무 맛있어서 다시 시켜먹었습니다. 양도 많고 족발도 부드럽고 완전 맛있어요!!! 배달도 빠르고 아주 좋네요ㅎㅎ,[]
46,5,['화덕족발 M'],언제나 맛있어요~,[]
47,5,[],족발의 변신... 새로운 맛... 좋았습니다.,[]
48,5,['마늘화덕족발 M'],마늘후레이크와 족발의 조화!!!!!!!!다음주에 또 시킬게요,['https://rev-static.yogiyo.co.kr/7f499e8497b4707d630791154f0f661f_tn.jpg']
49,3,[],조금뻑뻑해요ㅜㅜㅡ양도많은거같지않구요ㅜㅜ,[]
50,5,['족부세트 2-3인'],맛있습니다 후회없습니다 굿,[]
51,5,['마늘화덕족발 M'],개꿀,[]
52,5,[],굳굳,[]
53,5,['마늘족부세트 3-4인'],화덕 족발 비싸긴하지만 정말맛있네요재주문 할꺼에요,[]
54,5,['마늘족부세트 2-3인'],자주 시켜먹는데 항상 맛있어요~ㅎ배달도 빨랏고 양도 적당하네요포장도 깔끔해서 좋아요찌개도 괜찮고 족발은 야들야들 완전 부드러워서 좋아요!여기 족발 먹고 이제 다른 족발 잘 안먹어요ㅠㅠㅎㅎ담에 또 시킬게요 많이 주세요..ㅋㅋㅋ,"['https://rev-static.yogiyo.co.kr/cf6fcb5e982d8f2bd70592a501621d2a_tn.jpg', 'https://rev-static.yogiyo.co.kr/258ce7049a6f15975a6ae9f5f38c41fd_tn.jpg', 'https://rev-static.yogiyo.co.kr/fdf92636ef158bef8f7cb2cbe1b3fe0c_tn.jpg']"
55,5,['마늘화덕족발 M'],달콤하고 맛있네요 술안주,[]
56,4,['화덕족발 M'],괜찮아요,[]
57,5,['화덕족발 M'],일주일동안에 두번시켰어요 첫번엔 퍽퍽감이있었ㄴ는데 두번째는 촉촉하고 너무 맛있네요 항상같을수는없겠지만  대체로 만족합니다 짜거나 달지않고 맛있는바베큐맛이 넘 조았습니다 쿠폰이되길래 시켰는데 최소주문비용도 적당해서 앞으로 족발은 꼭 이집으로 시키려구요번창하시고 늘맛있게 부탁드립니다^^,[]
58,5,[],Good,[]
59,4,['족부세트 2-3인'],야들야들하네요.잘 먹었습니다 ^^,['https://rev-static.yogiyo.co.kr/c9eb3cc2a5f3d5593906687fa82c9ae0_tn.jpg']
60,5,['마늘화덕족발 M'],예전에 실수로마늘칩안주셔서 고민하다 맛있어서 시켰는데 주문도엄청빨리오고 마늘칩 안준거 기억하시고 막국수에마늘칩 추가에 음료까지 서비스로 주셨네요 엄청배부르고맛나게먹었습니다 원래리뷰 안하는데 맛과서비스에 감동해서 올려요 사진을 잘찍었어야했는데 먹다찍었네요 덕분에 동생들과 맛있고 기분좋은족발 파티했습니다,['https://rev-static.yogiyo.co.kr/c2e9d865ff4d60a79cece39293360882_tn.jpg']
61,5,['마늘화덕족발 L'],푸짐한 양과 고기냄새가 안나서 좋아요 잘먹었습니다,[]
62,5,['화덕족발 L'],부대찌개 먹으러 갈때마다 사장님이 친절하셔서 너무 좋았었는데 족발도 무지하게 맛있네요! 자주 애용하고있습니다부대찌개도 화덕족발도 최고에요^^,[]
63,5,['마늘화덕족발 M'],맛있게 잘 먹었습니다 감사합니다,[]
64,3,[],맛있어요!,[]
65,2,['화덕족발 M'],"돼지냄새가많이납디다죄다알바인지..[놀부화덕족발-삼성디지털시티점]고객님, 불편을 드려 죄송합니다. 매장에서 부터 배달까지 상당량의 족발을 판매하고 있지만, 처음 듣는 말씀이라 당황스럽습니다. 하지만 앞으로 품질관리에 더 신경쓰도록 하겠습니다. 그리고 요기요 리뷰는 클린 리뷰이기 때문에 알바 리뷰 작성이 불가하며, 저희 매장을 사랑해주시는 고객님들의 정성스러운 리뷰입니다. 감사합니다.",['https://rev-static.yogiyo.co.kr/8d9805b96f28e5b988824133c3bbc6ae_tn.jpg']
66,5,['화덕족발 M'],맛잇어요~~~ 자주시켜먹는데 쿠폰같은거잇음 좋겟어요,[]
67,5,[],맛있어요,[]
68,5,[],너무 맛나네요~,[]
69,5,['마늘화덕족발 M'],맛있어요 쫀득쫀득,[]
70,5,[],배송도 빠르고 껍데기도 쫀득하니 맛있네요~~^^,[]
71,5,"['화덕족발 M', '쟁반막국수']",진짜 쫄깃쫄깃 하니  너무 맛있어요!같이온 무채랑 부추무침도 제  입에딱맞아요!,['https://rev-static.yogiyo.co.kr/f978b2483ead8f2478cd42a0ecbbf71e_tn.jpg']
72,5,['화덕족발 M'],넘 맛있으니 담에 더 두둑하게주세요ㅎㅎ더먹구싶습니당^^~~!,['https://rev-static.yogiyo.co.kr/0f85af1086bfd11e12399e8dbf2b40ae_tn.jpg']
73,5,['화덕족발 M'],매번 시켜먹다가 리뷰 올려요. 항상 맛있게 먹고있습니다. 번창하세요~,[]
74,5,"['화덕족발 M', '쟁반막국수']",언제나 맛있어용!^^,[]
75,5,['화덕족발 M'],상추의 량이 좀 적은데 맛있다,[]
76,5,['마늘족부세트 2-3인'],국물요리먹을까 고기먹을까하다가 찾은 메뉴인데 완전대박입니다 특히 마늘칩 바삭바삭해서 부어먹으면 맛있어요 배달해주신분이 육수 덜넣고  리필용으로 사용하라고 팁도주셔서 감사했습니다 ㅋㅋㅋ,[]
77,1,['마늘족부세트 2-3인'],양진짜적어요 상추 손바닥보다작은거 딱5장에;;;;;  맛없어서 안먹으니 남편이 다 먹어줬어요,[]
78,5,['화덕족발 M'],항상 맛있게 믿고 먹습니다~^^깔끔하게 오고 쌈까지 같이와서 같이 싸먹어도 맛있네요~ 나중에 쌈좀 더달라고하면 더주나요? ㅋㅋ배달도 문자는 50분 소요된다고 왔지만 30분도 안되어서 왔습니다~ 별것 아닌걸로 개이득인 느낌~ㅎㅎㅎ 암튼 많이 파세요~^^,[]
79,5,['화덕족발 M'],맛있어요 아주 굿굿,[]
80,5,['화덕족발 L'],맛있어요ㅋㅋ족발은 늘 여기서 시켜먹을래요~,[]
81,5,['화덕족발 M'],맛잇다 맛잇다 맛잇다,[]
82,5,['마늘화덕족발 M'],역대 진심 개꿀맛 갓족발,[]
83,5,['족부세트 3-4인'],대박맛있는  족발집  발견해서 기뻐요 아프로  족발은  여기서~~!!,[]
84,4,['화덕족발 M'],처음 시켜봤는데 맛있네요 .,[]
85,5,['화덕족발 L'],쌈더달라고 요청하니 더주시고 만족합니다 항상 맛있게 먹고있어요,[]
86,4,['화덕족발 M'],놀부 화덕 족발M 여자 3명가는 한 양족발을 불에 그을린 맛배달 빠름 30분 걸림,"['https://rev-static.yogiyo.co.kr/c914ec8d716e33d7b2daa74c4426090d_tn.jpg', 'https://rev-static.yogiyo.co.kr/b57c858ad99c2065cfb328e33e2ebbdb_tn.jpg']"
