,별점,주문메뉴,리뷰,사진
0,5,"['곱창야채볶음', '맛 선택(매운맛 1단계)']",맛있어요!! 오자마자 꿀떡꿀떡 먹느라 사진도 못찍었는데.. 진심 존맛...흐허... 리뷰쓰는 지금도 먹고 싶어서 침이 꼴딱꼴딱 넘어가고 있네요... 진짜 시켜먹어보세요!! 후회안하십니다!! 귯,[]
1,5,"['순대야채볶음', '맛 선택(보통맛)']","순대야채볶음의 맛은 평범했습니다.그러나, 지금껏 먹어봤던 곳과는 너무나 달랐습니다.제가 기름진 배달음식을 먹으면 식곤증이 폭발해서 정말 힘들었는데, 그런 반응이 일체 없어서 식후 평온한 컨디션을 유지할 수 있었습니다. 오늘 오후 5시가 돼면 곱창도 마저 시켜보겠습니다. 사진을 첨부한 자세한 리뷰는 그 때 남기도록 하겠습니다.",[]
2,5,"['곱창야채볶음', '맛 선택(매운맛 1단계)']",일단 양 많아요. 저는 개인적으로 양배추를 좋아하는데 진짜 맛나요. 당면이 조금 많았으면 하지만 알고보니 추가해야하더라구요. 곱창도 쫄깃쫄깃~ 근데 저번 시켰을때는 쌈을 주셨었는데 이번에는 없더라구요. 담에는 챙겨주셨으면 좋겠어용~>< 맛있게 잘먹었습니다!!!,"['https://rev-static.yogiyo.co.kr/613e97f826f87d8cf8d42334d7436d26_tn.jpg', 'https://rev-static.yogiyo.co.kr/f66695da0700c9b1aa21202363bfe00d_tn.jpg']"
3,5,"['곱창야채볶음', '맛 선택(보통맛)', '공기밥']",역시 곱창볶음은 맛으로는 배신하지 않네요맛있게 잘 먹었습니다,[]
4,5,['알곱창'],와 정말 양도 많고 맛잇네요! 돼지곱창좋아하는디 자주먹을거같습니다 배달도 빠르고요 ㅎㅎ 근데 상추쌈이나 깻잎은 없던데 ㅠ 추가로 시킬수잇는건가요?,['https://rev-static.yogiyo.co.kr/df341729ea1b269ca6684259e3f7edf4_tn.jpg']
5,4,"['곱창야채볶음', '맛 선택(순한맛)']","곱창은 정말 깔끔하고, 곁들어진 면과 떡 소스들도 꾸릿한 맛 없이 적당했습니다. 인생곱창이라고 하기엔 풍미가 적은것이 흠. 근데 곱창이 진짜 너무 깔끔하네요. 사장님이 정말 곱창으로 쇼부 보시는 것 같아요.",['https://rev-static.yogiyo.co.kr/e7bd49d8efffb9d0368faded97478224_tn.jpg']
6,4,"['곱창야채볶음', '맛 선택(매운맛 1단계)']",윤기 좌르르~ 역시 맛나네요 ㅎㅎㅎㅎㅎㅎ 이번에는 쌈도 가져다 주셔서 좋았어용!! 추천,['https://rev-static.yogiyo.co.kr/4d96e0d9135c2e8292d9c9035c23a5e5_tn.jpg']
7,5,"['곱창야채볶음', '맛 선택(매운맛 1단계)']",역시 맛나요! 서비스로 주신 계란찜도 먹어봤는데 역시... 맛나더라구요!! ㅎㅎㅎㅎ 매울때는 계란찜 한입~ ㅎㅎㅎㅎㅎㅎ 곱창도 당연히 맛있고 이번에는 당면도 많아서 좋았어용~ 항상 감사합니당~,"['https://rev-static.yogiyo.co.kr/778588eb9f8a0e30f382ca765eee0773_tn.jpg', 'https://rev-static.yogiyo.co.kr/0498f33ea6605eb3721c56146ad16d94_tn.jpg', 'https://rev-static.yogiyo.co.kr/fc034dcc1145769c730753fb9fb997c3_tn.jpg']"
8,2,"['곱창야채볶음', '맛 선택(보통맛)']",배달 빨리 오셔서 좋았는데 냄새가 너무 나서 ㅠㅠ..,['https://rev-static.yogiyo.co.kr/3b32c78247607b09029d25c86261bd80_tn.jpg']
9,5,"['곱창야채볶음', '맛 선택(보통맛)', '계란찜']",야채곱창을 너무 먹고싶었는데깔끔하고 맛있게 먹었습니다:),['https://rev-static.yogiyo.co.kr/b5dd6857bc821b51cedf3b7bffba3d69_tn.jpg']
10,5,['알곱창'],하...역시...너무 맛나요!!! ㅠ 다이어트 중이었는데...ㅠ 결국 참지 못하고!! 그래도 먹는동안은 너무 행복했어요~ ><,['https://rev-static.yogiyo.co.kr/1312cfd9e742cc9473ee277f81d058fc_tn.jpg']
11,5,['알곱창'],말해뭐해~ 너무 맛나요!! 저번에 많이 달라고 요청했던 콘샐러드도 말하지 않아도 센스있게 많이 주셔서 감사해용~>< 역시 닥곱~💕,[]
12,5,"['곱창야채볶음', '맛 선택(순한맛)', '당면 추가']",야채도 싱싱하게 씹히고 맛있어요 순한맛인데도 조금매워요,['https://rev-static.yogiyo.co.kr/6ce3e7d8e542c91f37101704d778028b_tn.jpg']
13,5,['알곱창'],역시..제가 자주 시켜먹는 이유가 있어요...!!! 너무 맛있게 잘먹었습니다. 제가 요청한 콘샐러드가 품절되서 아쉽긴 하지만 센스있게 어묵튀김과 편지(?) 한장 보내주셔서 정말 감사합니다!! 또 시켜먹을께용,['https://rev-static.yogiyo.co.kr/e493cec251b67e71225ec7ea8610f950_tn.jpg']
