,별점,주문메뉴,리뷰,사진
0,4,"['생자몽 생크림 조각', '오렌지에이드', '오레오 마카롱', '말차 마카롱', '딸기요거트 뚱카롱', '말차누텔라 뚱카롱']",마카롱을 함께 나눠먹었는데 다들 맛있다고 ㅈㆍㄷㅎ아했어요 자몽케잌은 생각보다 크림도빵도 단단했는데 괜찮았어요,[]
1,5,"['아메리카노', '딸기 마카롱', '뽀또치즈 마카롱']",여기 마카롱 진짜 맛있어요ㅠㅠ 추천!!!,[]
2,4,"['다크초코 소보루 뚱카롱', '솔티카라멜 뚱카롱']",솔티캬라멜보다 초코가 훨씬 맛있어요!!!강추강추!!!!!,[]
3,4,"['오레오 마카롱', '말차누텔라 뚱카롱', '인절미 뚱카롱 ']",맛 괜찮고 배달 잘 와용,[]
4,5,"['생자몽 생크림 조각', '카페라떼', '딸기요거트 뚱카롱']",커피는 받자마자 텀블러에 옮겼어요~ 조심히 오셨는지 케이크 하나도 안망가지게 배달왔어요! 대부분 케이크에 과일은 시럽에 절인것처럼 들어가 있는데 시럽없이 생과일만 들어있고 달지 않아서 맛있게 먹었어요^^,['https://rev-static.yogiyo.co.kr/0290dc01279db5f1b1073cdf118e8104_tn.jpg']
5,5,"['민트모카라떼', '유자 마카롱', '민트초코 마카롱', '뽀또치즈 마카롱']",빨리와서 너무 좋았러요 맛도있고 다음에도 먹을게요,[]
6,5,"['크레이프', '카페모카', '다크초코소보루 마카롱', '다크초코 소보루 뚱카롱']",커피랑 크레이프 뚱까롱 다맛있어요,[]
7,5,"['초코 생크림 미니', '꼬끄', '인절미 뚱카롱 ']",맛있어요 배달도좋구요~,['https://rev-static.yogiyo.co.kr/d8671706dbb96a848d511e1e3f118f6b_tn.jpg']
8,5,"['딸기요거트 뚱카롱', '다크초코 소보루 뚱카롱', '말차누텔라 뚱카롱', '인절미 뚱카롱 ']",뚱카롱들 모두 맛있어요!!! 많이 달지않고 적당히 단 맛이라 좋아요!!!,[]
9,5,"['딸기 마카롱', '민트초코 마카롱', '오레오 마카롱', '말차 마카롱', '딸기요거트 뚱카롱', '말차누텔라 뚱카롱']",주문 오류에도 친절하게 전화해서 확인 및 정정해 주셨어요 맛과 품질이 좋아요,[]
