,별점,주문메뉴,리뷰,사진
0,5,[],굿굿ㅎ 너무맛잇어용 ~!!가족들이 다들 맛나되용!!!  별 마니드리고싶네용★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★×10000000,[]
1,5,[],기대없이시켰는데 생각보다 훨씬 맛있고 좋았습니다담에도 여기서 시켜먹어야겠어요,[]
2,2,[],배달은 공휴일이라 늦었어요. 양도 적든듯. 맛도 별로예요ㅍ,[]
3,4,[],음식 맛도 괜찮고 배달 시간도 괜찮고 다 좋았습니다...,[]
4,3,['족발 中'],맛있어요~,[]
5,5,[],정말 맛있어요. 와우 다음에 꼭 다시 주문할거에요.ㅎㅎ,[]
6,4,[],원천동 달인에족발 팬인데 망포에도 달인에족발이 있어서 깜놀~여기족발 정말 맛있어요!!,[]
7,5,['족발 中'],역시 맛나요^^,[]
8,1,"['족발 中', '쟁반막국수', '콜라 500mL']","혹시나해서 저번에 요기요 통해 말고, 일반전화로 족발 중자 주문햇는데요.오늘은 요기요 통해 주문햇는데일반전화로 할땐 쟁반국수랑 콜라 포함 인데요기요는 따로 주문을 해야하네요;;결국 같은음식을 일반은 28000원, 요기요는 42000원입니다",[]
9,5,[],쫀득쫀득 부드러워요.,[]
10,4,"['족발 中', '쟁반막국수']",맛있었어요!!! 막국수도 괜찮고 양이 좀 많아서 남겼어요~~,[]
11,5,['족발 中'],여기족발 진짜 맛있네요~ㅎ,[]
12,5,[],4~5명. 술안주로써 맛을 평가했는데인근 망포동 근방에서는 최고였습니다앞으로는 달인족발에서 주문하겠습니다.계속 맛있는 족발의 맛을 즐길수있게 해주세요..,[]
13,5,['족발 中'],맛있어요!!,[]
14,5,['족발 특왕'],영통 족발집중 손에꼽히는곳 맛있고 부드러워요,[]
15,4,"['족발 中', '콜라 500mL']","맛있습니다. 양도 괜찮고, 배달도 빠르구요.족발양이 적다고 보쌈챙겨주신 멋진 센스!아! 그리고 일반전화나 요기요배달이나 다를 거 없어요~~군데 족발 서비스메뉴에 김치전 너무 먹고싶었는데..왠 콘샐러드가ㅜㅜ",['https://rev-static.yogiyo.co.kr/3aac1b4229d9830d14bd7538f5c24fd8_tn.jpg']
16,1,[],배달이 너무 늦어요 1시간 넘게 기다렸는데도 안오더라구요,[]
17,1,"['족발 中', '쟁반막국수']",주문 문자 45분으로 받았는데 1시간 20분 정도 지나서 옮. ㅠㅠ 하지만 사과 따윈 없음. 족발은 많이 부드러움. 뼈 많음. 쟁반국수는 입맛에 많이 안 맞음.,[]
18,4,"['족발 中', '콜라 500mL']",맛잇어요~,[]
19,5,['족발 大'],말이필요 없이 맛나요,[]
20,1,['족발 특왕'],"전에 먹었을땐 괜찮았는데,먹어본족발중  젤 맛없습니다",[]
21,1,['족발 특왕'],대왕특대를 시켰다..족발 고기 40% 뼈 60%....주문시 준다던 김치전이 안왔네..전화 해보니 겨울에만 일시적으로 준단다..그럼 메뉴에서 빼시던가겨울에만 준다고 써놓던가요기요로 결제해서 안준건가..,[]
22,5,[],편하고 맛있게 먹었습니다~~!!*,[]
23,3,[],맛있게 먹었지만 주문한 것과 다른게 왔네요....그래도 바쁘고 그러니 이해함!빠른건 짱이나 정확하면 더욱더 금상첨화일듯^^,[]
24,5,"['족발 中', '쟁반막국수']",굿굿,[]
25,4,[],맛있게 잘 먹었습니다^^,[]
26,4,['족발 大'],일요일 저녁이라 예상은 했지만 45분이라 했는데 1시간 걸렸네요다른 퍽퍽하고 별맛없는 족발보다 달인은 쫄깃 야들해서 맛있어요양은 적당했는데 야채값이 비싸서 그런가 깻잎은 딱 3장 왔네요ㅎ무튼 잘 먹었습니다~~,[]
27,1,['매운족'],매운족발을 시켰는데 보통이 왔어요 맛은 있어요,[]
28,4,[],나쁘지않네요. 양도 많고,[]
29,3,['반반세트（족발＋보쌈）'],"족발 양이 적어고,뼈도 없어서 발라 먹을것도 없음",[]
30,5,['족발 中'],항상여기서만시켜먹어요잘먹었습니당~~,[]
31,5,"['반반세트（족발＋보쌈）', '쟁반막국수']",배달도 빠르고 맛있었어요,[]
32,4,['족발 大'],맛있네요~매번주문하던곳인데요기요에서 처음주문해보았어요,['https://rev-static.yogiyo.co.kr/9b1bd4a57b45753215e21eb454b83965_tn.jpg']
33,4,['족발 中'],맛이야 항상 믿고 먹는 곳인데(족발은 무조건 여기!) 1시간 넘어 연락했더니  주문등록 안됬다고ㅠ 급히 보내주신것 까지는 좋았는데 장을 하나도 안보내주셨어요 ㅠ,[]
34,5,"['족발 大', '쟁반막국수']",맛있어요맛은 있어요,[]
35,4,['족발 中'],배송이 빨라서 좋았습니다,[]
36,5,['족발 특大'],배딜이 좀 늦긴했지만 항상 만족입니다,[]
37,4,['족발 大'],배달이 좀 걸렸지만 맛있었습니다. 조금 여유있게 주문하셔야할거 같습니다.,[]
38,5,['족발 특大'],항상 맛있네요 추천추천,[]
39,5,['직화불족발 中'],불족 아주 맛있네요~~~,[]
