,별점,주문메뉴,리뷰,사진
0,4,[],배달도 빠르고 맛있어요,[]
1,3,[],그저,[]
2,4,[],나쁘지않아요 맛괜찮고요,[]
3,5,[],좋아요,[]
4,5,[],가격 대비 양 괜찮고 맛도 좋네요 짱짱 앞으로 나가기 귀찮으면 종종 시킬듯ㅋㅋ,[]
5,3,[],그냥그럼,[]
6,5,[],ㅇ,[]
7,4,[],맛잇ㅇ니요,[]
8,5,[],실망입니다,[]
9,5,[],항상 애용 하는곳~,[]
10,5,[],울 아가들 넘 맛나게 먹었어요. 담에 또 주문 할래요,[]
11,5,[],ㅋ,[]
12,5,[],배달 빠르고 후라이드  바삭  하고양념 치킨도  맛있구    좋네요       알아서  판단 하시길  ....  전  괜찮았음,"['https://rev-static.yogiyo.co.kr/eb46335ab76b5c67917aa34be8defd30_tn.jpg', 'https://rev-static.yogiyo.co.kr/91f172e27e61fedaa814b2a36d225c6e_tn.jpg']"
13,5,[],울 아가들 꼬꼬아저씨를 자주 찾네요. 자주 뵙게 될꺼 같아요,[]
14,5,[],맛있어요..애들이 좋아하네요 사업번창하세요.,[]
15,5,"['양념치킨＋간장치킨', '파 추가)']",양도 많고 파추가해서 먹으면 좋아요,[]
16,5,[],맛있네요~,[]
17,5,[],방금 주문 했는데요 배달해주시는 분도 친절하시고 맛도 좋네요,['https://rev-static.yogiyo.co.kr/feecc1644f1e04e6b8a81e758ac78ceb_tn.jpg']
18,5,['후라이드반＋양념반'],좋아요. 왜 평점 높은지 알겠네요^-^두마리시키는게 이득인것 같아요. 맛도 괜찮고ㅎㅎ아저씨도 친절하셔서 기분 좋았네요,['https://rev-static.yogiyo.co.kr/db555587c4692eed527dd54d5dd3cb05_tn.jpg']
19,3,[],4마리에 젓가락 4개 감사하네요.....,[]
20,5,['후라이드＋간장치킨'],아즈조아여,[]
21,3,['후라이드＋양념치킨'],배달이 75분걸렸어요..ㅠㅠ 그런데 닭 건네주시고 뛰어가시는 기사님 보니 마음이 아프더라구요ㅠㅠ치킨 맛있었구요~ 따끈따끈하게 잘 왔습니다~,[]
22,5,[],항상 시켜 먹는 곳있데 진짜 굳,[]
23,4,[],배달이 빨라요,[]
24,4,[],괜찮아요,[]
25,5,[],맛있습니다!둘이서 두마리시켰는데 가격면이나 양이 더 낫네요,[]
26,4,['간장반＋양념반'],맛있어요 냠냠 배달해주신 아저씨도 친절하셨어요^_^전 간장보단 양념이 맛나네요,['https://rev-static.yogiyo.co.kr/4d1e2a170822cd9d4967d1b2e4493556_tn.jpg']
27,3,"['양념치킨＋간장치킨', '파 추가)']",빠르고친절한데 간장치킨이너무눅눅했어요,[]
28,5,[],맛도 있고  따끈한게 와서 좋았음,[]
29,5,['후라이드반＋양념반'],순살 반반시켜는데 딱이에요 ㅋ원래1인1닭 못하는데  은근 중독 후라이도 겉은바삭안은 야들야들 양념은 달콤 배달아저씨 귀요미 추가요,[]
30,4,[],음...요즘 맛이 아니라.어릴때 아부지가 사다주신 그런 치킨맛입니다^^굉장히 즐거웠어요^^,[]
31,5,[],1주에한두번은꼭시켜먹음..,[]
32,5,[],또시켜먹었당..,[]
33,5,[],양념치킨 맵지않네요,[]
34,4,['후라이드＋양념치킨'],두마리 순살로 시켰더니 양도 많고 맛있네요. 튀김옷이 바삭하고 고소해요,[]
35,1,['간장반＋양념반'],너무 맛없음요 진심빡침,[]
36,1,[],참나 내생에 이런 어마무시하게 맛없는 치킨은 첨 먹어봤네요 화가나서.... 신랑이 바로 환불 받으라 했는데 참았어요 더 말할필요 없겠죠? 더 쓰기도 싫네요!,[]
37,3,[],잘 먹었습니다!,[]
38,4,['후라이드양념'],무난한 순살순살,[]
39,3,[],맛은 있는데 다음에는 주문 확인 두번해주세요.후라이드반 양념반 주문했는데 양념만 왔네요..?전화할라다가 마감시간이 다 되서 참았습니다.,[]
40,4,[],맛있고 친절해여,[]
41,5,['후라이드반＋양념반'],리뷰 잘 안쓰는데 ㅎㅎ 와! 아저씨 먼 거리까지 와주셔서 감사합니다- 자주 시켜먹기 미안할정도로 거리가 있는데 차타고 와주셨어요ㅎ 장사 대박나세요 ^^ 맛나게 먹겠습니다!! 담엔 왕창 시킬께요!!,[]
42,5,[],여기 정말 맘에들어요~ 순살인데다 양도 제법돼서 아기들과 먹기에도 정말 좋네요~^^ 이동네 친구들한테 다 추천중 ㅎㅎㅎㅎ,[]
43,4,[],맛있어요.,[]
44,4,[],추운데 배달오시느라 수고하셨어요~ 잘 먹을게요~ 많이 파세요~,['https://rev-static.yogiyo.co.kr/3421c04c4c03e38f9ac797cccb2e064f_tn.jpg']
45,5,['후라이드＋간장치킨'],맛있어요!!배달도 시간보다 빨리오시고양념도 챙겨주시고 좋아요!,['https://rev-static.yogiyo.co.kr/1f1985d49cdeb39837c548f84ac1ff15_tn.jpg']
46,5,[],굿,[]
