,별점,주문메뉴,리뷰,사진
0,5,"['반반족발', '불족발（보통맛）', '사이즈 선택(中)']","집에 손님이 와서 그릇은 집에 있는 그릇으로~~반반족발 (일반족발,불족발) 일반은 아이들 먹기에 좋았어요~~^^ 불족발은 매운거 좋아하는분들 추천~~음식두 정갈하게 배달해주시니 좋았어요~잘먹었습니다~~^^",['https://rev-static.yogiyo.co.kr/9d7b1705524f548def304387636c3322_tn.jpg']
1,4,"['반반족발', '마늘족발', '사이즈 선택(中)']",맛있게 잘 먹었네용 세심함이 보여용,[]
2,5,['당찬족발（일반족발）'],포장 배달 맛  너무깔끔하고 좋네요.따듯한국물이 살작아쉽네요.그래도 잘먹었습니다,[]
3,5,['당찬보쌈（일반보쌈）'],음식에서 정성이 느껴지네요~  맛도 좋고 양도 만족합니다! 앞으로는 여기서 먹어야겠어요ㅎ 번창하세요~,[]
4,5,"['반반족발', '메뉴 선택(일반족', '불족발（매운맛）', '사이즈 선택(大（앞발）)']",처음 시켜먹어봤는데 너무 맛있어요 가족들이 다 만족하면서 먹었고 족발에 간도 너무 잘 맞아서 쌈 싸먹고 쌈장 새우젓 찍어먹는것보다 그냥 먹는게 더 맛있었어요~불족발도 너무 맛있었고 밑반찬으로 온것과 막국수도 정말 정말 맛있었어요 살면서 먹어 본 족발중에 최고에요ㅠㅠ,[]
5,5,"['당찬족발（일반족발）', '추가 선택(서비스쟁반국수 1人 추가)']",진짜 맛있어요 간도잘되어있도 양도많급니다!! 제가 급한용무가생겨서 잠시폰을못봤는데 너무오래기다리게해드린것같아 죄송해요ㅠㅜ 혹시가능하다면 정말죄송하다고 전해주세요..!!,['https://rev-static.yogiyo.co.kr/cc62ab53c9e97e978c4dc3e71eb44b59_tn.jpg']
6,5,"['마늘보쌈', '공기밥']",사장님이 서비스도좋으시고 음식도너무나 맛잇어요!!,[]
7,5,['당찬보쌈（일반보쌈）'],보쌈이 너무 부드럽고 촉촉했어요~냄새도 안나고 두께도 딱 제 스톼일~ 주말이라 시간이 좀 걸렸는데도 아직도 따뜻해서 더 좋았어요~알고보니 보쌈 아래에 사장님의 따뜻한 물주머니 센스가♡♡포장사진은 미처 찍지못했는데 포장도 디게 정성가득하고 부직포가방이어서 그런지 선믈받은 느낌? ㅎㅎ국수도 맛있고 김치가 정말 최고였어요 직접 만드신다고 써있던데그래서 그런가 엄마생각이 ㅠㅠ 자주 시켜먹을께요 항상 맛나게 해주세용♥,"['https://rev-static.yogiyo.co.kr/dcc8996264d3892ec2b3465717039019_tn.jpg', 'https://rev-static.yogiyo.co.kr/8cf157a9bc8954af0d25b5ca17571f3c_tn.jpg']"
8,5,"['당찬족발（일반족발）', '주먹밥']",맛있어요~~~~~~~,[]
9,5,[],크리스마스 이브인데 아이들이랑 나가기가 힘들어서 시켰는데~~배달도 빨리오고 음식두 맛있어요~~~^^맛있고 빠른배달 감사합니다♡♡,[]
10,5,"['반반족발', '메뉴 선택(일반족', '불족발（보통맛）', '사이즈 선택(大（앞발）)']",이번에도 역시나 맛있었어요~식어도 맛있고 보통 족발은 식으면 기름이 굳어서 데워먹어야 되는데 여기는 안 그래도 기름기도 적고 탱글탱글해서 맛있어요~백김치 먼저 몇조각 먹고 국수 먹으면 입맛이 확 돌면서 족발을 더 맛있게 먹을 수 있는것같아요!배달해주시는 분도 너무 친절하시고 좋아요!앞으로도 쭉 번창하시길 바랍니다!,[]
11,5,['당찬족발（일반족발）'],너무 맛있어요!!양도 푸짐하고 뼈에도 고기가 많이 붙어있어요우리 신랑도 자꾸 맛있다 맛있다 하면서 먹었어요😆직접쓴 자필 편지도 감동이었구요😭서비스로오는 막국수도 맛있었어요❤️,['https://rev-static.yogiyo.co.kr/b8eb3876c8e8b2f609de8231364713eb_tn.jpg']
