,별점,주문메뉴,리뷰,사진
0,5,[],"맛있게 잘 먹었습니다~ 뼈해장국은 양이 넉넉하네요~순대국도 맛있는데 제가 좀 짜게먹어서 따로 소금간 했구요. 자주 시켜 먹을꺼 같아요~참 일회용 숟가락, 젖가락이 없었어용. 깜빡하신건지 원래 안주시는건지 모르겠지만 주문하실분들 참조하세용~사진은 조금씩 먹다가 생각나서 찍은거에요 ㅋ","['https://rev-static.yogiyo.co.kr/6a61d8d33b9177b77876088c962fc85f_tn.jpg', 'https://rev-static.yogiyo.co.kr/f9d3afbc1341c42e7fed171bf4733956_tn.jpg', 'https://rev-static.yogiyo.co.kr/f4bfc27ac390e33b196f97527f9c4e5d_tn.jpg']"
1,5,"['뼈해장국（2인분）', '공기밥']",맛과양 아주 최고입니다배달도 빠릅니다,[]
2,5,['뼈해장국（2인분）'],뼈해장국 2인분은 끓여 먹어야 된다고 전화주셨어요~ 왜 끓여 먹어야 되는지 보고 알았습니다. 저번엔 돼지국밥+해장국은 전자렌지에 돌려먹었거든요. 따로주신 들깨가루랑 파넣고 끓여먹었는데 정말 맛있네요^^ 깍두기 더많이 주셔서 감사합니당,"['https://rev-static.yogiyo.co.kr/67cdb27549c6858deba389d5debbfbf9_tn.jpg', 'https://rev-static.yogiyo.co.kr/c82f29974ff9574679cffb60e194b638_tn.jpg', 'https://rev-static.yogiyo.co.kr/9a3ca130662a1f6846bb11b02aa5bcea_tn.jpg']"
3,5,['뼈해장국（2인분）'],리뷰 남기는거 깜빡하고 먼저 먹었어요 진짜 너무 맛있어요뼈해장국 2인분이 이정도면 감자탕은 얼마나 푸짐한 건지 궁금하네요 다음번에는 감자탕 먹어볼게요,['https://rev-static.yogiyo.co.kr/8dad791586cfb1d24d9fb790d0028460_tn.jpg']
4,5,['뼈해장국（2인분）'],매번 ㅋ시켜먹는곳인데 ㅋ욕시 깔끔한 국물맛ㅋ,[]
5,1,['감자탕小'],ㅇ,[]
6,5,[],여기서 첨 시켜먹은뒤 쭈욱~ 시켜먹어요. 저의 인생 맛집~! 양도 넘 푸짐하고 맛도 넘 좋아요. 오늘도 잘먹었습니다~,[]
7,5,['뼈해장국（2인분）'],양 쵝오ㅋ 맛도 쵝오ㅋ,[]
8,3,['뼈해장국（2인분）'],맛있겠 항상 잘먹고있습니다,[]
9,5,['뼈해장국1＋순대국1'],양이많아요!!맛도잇어용,[]
10,5,['뼈해장국（2인분）'],맛있습니다... ..,[]
11,5,['감자탕中'],양 엄청 많고 너무 맛있어요배달도 빨리와서 좋았어요,[]
12,4,['뼈해장국1＋순대국1'],양많고 맛 괜찮아용,[]
13,5,['뼈해장국（2인분）'],늘 시켜먹어요!! 진짜 맛있고 양도 만족해요최고최고♥♥,['https://rev-static.yogiyo.co.kr/e32c6d828e4d7ad9ce6785c7dea76759_tn.jpg']
14,5,['뼈해장국1＋순대국1'],항상 맛있게 푸짐하게 넘 잘먹고 있습니다~^^ 깍두기 많이 주셔서 정말 감사합니다~ 뼈해장국은 낼 먹을꺼라 바로 냉장고에 넣어서 사진이 ㅎㅎ 돼지국밥(순대) 좋아하는분들 한번 드셔보세용,"['https://rev-static.yogiyo.co.kr/3f29b69c9d7ccf31a226cd8004b8da51_tn.jpg', 'https://rev-static.yogiyo.co.kr/d1e5c7de3187b2fabf818476a608550d_tn.jpg']"
15,5,['순대국（2인분）'],최고입니당!!!! 맛잇어요,[]
16,5,['뼈해장국1＋순대국1'],양진짜 많고 맛도 괜찮았어요!,[]
17,5,[],가성비 쵝오 맛 쵝오ㅋㅋ,[]
