,별점,주문메뉴,리뷰,사진
0,5,['짬뽕'],짬퐁면이 쫄깃쫄깃 맛있게  먹었습니다,[]
1,1,['온가족세트 （탕수육＋짜장1＋짬뽕1＋볶음밥＋만두） '],양은많아요 맛은 밋밋하고 좀 그러네요ㅠ,[]
2,5,"['짜장면', '짬뽕밥']",맛있게 잘먹었습니다~~,[]
3,5,"['셋트5（탕수육＋쟁반짜장2人＋만두）', '간짜장']",정말 맛있게 잘 먹었습니다,[]
4,4,['온가족세트 （탕수육＋짜장1＋짬뽕1＋볶음밥＋만두） '],맛이 별로에요 ㆍ양도 많고 배달시간도 괜찮은데 짬뽕 은 넘 짜고 자장면 은 면이 별로에요 ᆢ넘 많이 남겨서 버렸다능 ᆢ,['https://rev-static.yogiyo.co.kr/c0e91d3918a9f24891de17ac377255e9_tn.jpg']
5,5,['셋트5（탕수육＋쟁반짜장2人＋만두）'],존맛탱! 자주시켜먹어용 ㅎㅎㅎㅎㅎ,"['https://rev-static.yogiyo.co.kr/4468187922919fa5aa796535a89446c8_tn.jpg', 'https://rev-static.yogiyo.co.kr/0b7c2909288e6ecf9833a26fe3fb4720_tn.jpg']"
6,5,['온가족세트 （탕수육＋짜장1＋짬뽕1＋볶음밥＋만두） '],양도 많고 탕수육 특히 맛있어요배달도 빠릅니디,[]
7,4,['셋트3（탕수육＋짜장＋짬뽕＋만두）'],보통ㅅㄷㄴㄷㄴㄷㅅㄷㅅㄷ스늘ㄷㅉㄴ,[]
8,4,['탕볶밥'],탕수육이 눅눅해서 살짝 아쉽지만 맛은있네양,[]
9,3,['셋트0（탕수육＋짜장）'],평소 자주시켜 먹었는데 오늘따라 탕수육이..ㅜㅠ,[]
10,5,['탕볶밥'],너무 맛있어요 짱짱,['https://rev-static.yogiyo.co.kr/5f0f9d8a7ec190d0a6b4af6bb40a4c40_tn.jpg']
11,5,['탕볶밥'],진짜 엄청 맛있어요!! 주변 다른 중국집도 먹어봤는데 여기가 제 입맛에 제일 맛있습니다 😭😭 배달도 엄청 빨리 와주시고 기사님도 너무 친절하세요ㅠㅠ 양도 엄청 많아요.. 진짜 혼자서 다 못먹을 정도... 요청사항도 다 들어주시고.. ㅠㅠ 모든게 다 만족스럽습니다!! 앞으로 중국음식은 여기서 시켜먹을거에요!!!! 감사합니다~😆😊😁😃☺️,['https://rev-static.yogiyo.co.kr/b120d4d936d0b60de243240744284b29_tn.jpg']
12,5,['탕짜면'],맛도 괜찮았고 양도 많아서 맛있게 먹었어요.,[]
13,5,"['짜장면', '탕짬면']",탕수육 진짜 취적이에요. 소스가 마치 제 속마음 읽고 만드신것 같은 제 취향 ㅋㅋ 탕수육때문에 또 먹어야 겠어요.,['https://rev-static.yogiyo.co.kr/b85fcd52b2e2359206792810211dcd09_tn.jpg']
14,3,['셋트7（깐쇼새우＋짜장＋짬뽕）'],소소입니다 맛은 나쁘ㅣ않은데 불어서 오니맛이별로네요 새우는 옷이너무두꺼워서 새우라기보다 밀가루맛마나요,[]
15,4,['셋트2（탕수육＋짜장2＋만두）'],항상시켜먹는데 맛있을때 약간 이상할때가 있네요ㅜㅠ,[]
16,5,"['짜장면', '짬뽕', '볶음밥']",맛있어서 항상 시켜 먹는곳이에요.,[]
