,별점,주문메뉴,리뷰,사진
0,5,"['직화 막삼콤보（돼지생막창＋삼겹살）', '음료선택(콜라 사이즈업)', '막창소스세트（각종 야채 및 콩가루 포함）']",첫 리뷰네요 ^^ 사실 다들 리뷰가 없는 음식점 주문하시기 고민되실것같아요 저도 그랬는데 생각보다 너무 푸짐하고특히 막창 완전 부드럽고 불맛 최고!!차돌된장도 맛있어요 !또 주문할 생각이 다분합니다. 번성하세요,['https://rev-static.yogiyo.co.kr/0b756a2ad794b50945f93ed76bb6407b_tn.jpg']
1,5,"['직화 막삼콤보（돼지생막창＋삼겹살）', '음료선택(사이다)', '막창소스세트（각종 야채 및 콩가루 포함）']",둘다맜있긴한데 저한테는 막창이 좀더 끌리는듯! 된장찌개도 굿굿이고 콩가루랑 소스도 좋았어요♡ 바보같이 미리사진을 안찍엇네요ㅠㅠ 재주문의사 있으니 다음엔 꼭찍는걸로!,['https://rev-static.yogiyo.co.kr/6531313e8dec354e55a7532d2dd08173_tn.jpg']
2,5,"['직화 대구막창（돼지생막창）', '음료선택(사이다)']",우선 처음 배달 받았을 때 부피가 커서 놀랬습니다.막창에 곁들일 밑반찬도 정말 넉넉하게 주시고 쌈싸먹을 쌈채소도 되게 싱싱해서 좋았어요! 중요한건 막창양도 부족함 없다고 느꼈고 제가 냄새에 민감한 편인데 기분나쁜 냄새 하나도 나지 않아서 정말 잘먹었어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 그리고 차돌 된장찌개도 정말 맛있었습니다 가격도 다른 가게보다 저렴하기도 하고 리뷰가 좀 적은 것 같아서 고민했는데 정말 오랜만에 돈아깝다는 생각 안하고 먹었습니다 감사해요^^ 사장님 이 기세 오래오래 몰아주세요~,"['https://rev-static.yogiyo.co.kr/7fed87313c8906b1bbe5227e8f818c31_tn.jpg', 'https://rev-static.yogiyo.co.kr/b2c33f8465f4b23cea0bdc6d1fa78fc5_tn.jpg']"
3,5,"['직화 막삼콤보（돼지생막창＋삼겹살）', '음료선택(콜라)', '공기밥', '구운마늘', '참이슬']","정말 믿기지 않았다. 내가 이 음식을 고작 2만원 근처로 배딜시킨 것인가? 음식의 수준, 반찬의 가짓수, 재료의 신선도 뭐하나 떨어지는 부분이 없다. 사장님 장사해주셔서 감사합니다. 무조건 고기 배달은 여기인거 같습니다.",['https://rev-static.yogiyo.co.kr/6c2753fa8052819c482c7c9a4619ebeb_tn.jpg']
4,5,"['직화 대구막창（돼지생막창）', '음료선택(콜라)']","제가 지금 뭘시킨 거죠... 대박.. 우선 이 가격에 믿을 수 없는 많은 것들이 옵니다.. 아, 이 집은 양으로 승부보는 집이구나 하고 막창 하나 된찌 한숟갈 먹어봤는데..ㅠㅠ 막창 냄새 하나두 안나고 넘나 맛있고 된찌도 자극적이지 않은 집밥 느낌이에요ㅠㅠ 제가 수원 곱창 막창 배달집은 다 털어봤다고 자부하는데 이 맛에 이 양에 이 가격은 나올 수 없습니다.. 홍보 아니에요 감동이라 사진도 여러개 찍었어요.. 바쁜 금요일 사장님 손편지도 넘나 감사하고.. 번창하시고 부자되세요!!!","['https://rev-static.yogiyo.co.kr/22c7e63d0daa4a798fe7a684bacbbedc_tn.jpg', 'https://rev-static.yogiyo.co.kr/482eeda0169555512fd17c4ad54c9e83_tn.jpg', 'https://rev-static.yogiyo.co.kr/c2f43c804d5ba8d6ff6f2709c46cc7fa_tn.jpg']"
5,5,"['직화 막삼콤보（돼지생막창＋삼겹살）', '음료선택(사이다)']",맛있게 먹었습니땅~~ 짱!!!,['https://rev-static.yogiyo.co.kr/0314d3529e0a2a04742571ce3fb5085f_tn.jpg']
6,5,"['직화 대구막창（돼지생막창）', '음료선택(콜라)']",꾹꾹 눌러쓴 메세지에 사장님 진심이 느껴지네요.그래서 처음으로 리뷰써봐요~ 굉장히 깔끔하게 운영하시는듯 해요. 일단 잡내없고 쌈 채소 무지 싱싱해요. 고기추가해서 600g시켰는데 양이 너무 많아서 남겼어요.. 곱창집가면 부부끼리 4인분은 넉히 먹는데ㅋㅋ 이런 양을 3만원이하로 즐겁게 즐길수 있다니! 부디 사장님 지금 마인드 잃지 마시고 쭉 이어가셔서 더 번창하세요. 저는 재주문하므로써 응원하겠습니다^^,"['https://rev-static.yogiyo.co.kr/243da5dda57ca8cbbcd6824a43c36670_tn.jpg', 'https://rev-static.yogiyo.co.kr/cfab25d85a87d0b5a5b5fa9f549710b3_tn.jpg']"
7,5,['고기만（막창）'],고기 소스 둘다 맛있어요번창하세요,['https://rev-static.yogiyo.co.kr/6de3d435cb4d99aeb9e41e4f476057e2_tn.jpg']
8,5,"['직화 막삼콤보（돼지생막창＋삼겹살）', '음료선택(사이다)', '데리야끼', '막창소스세트（각종 야채 및 콩가루 포함）']",서비스 너무 감사해요ㅠㅠ 부모님이랑 너무 든든하게! 맛나게 먹었어요♡ 좋은일만가득하길!,['https://rev-static.yogiyo.co.kr/392aab82b5cc56aedadf5cb42266ad10_tn.jpg']
9,5,"['직화 막삼콤보（돼지생막창＋삼겹살）', '음료선택(사이다)']",배달오자마자양에놀라서사진부터찍네요❗ 진짜 정성가득한게보이네요☺️ 맛있게잘먹겠습니다😋😋,"['https://rev-static.yogiyo.co.kr/7e2e16ae8b7b22e7801d81b8a9f6e662_tn.jpg', 'https://rev-static.yogiyo.co.kr/62f40c3b237acd9b407c2b71f1caf238_tn.jpg']"
