,별점,주문메뉴,리뷰,사진
0,1,"['아메리카노 L', 'HOT or ICE 선택(Ice)', '카페모카 L', '크린베리 월넛 스콘쿠키']",배달시킨지 현재 1시간30분넘었구요배달 안해주실거면 연락을 주시던지 계속 기다리는데 멋대로 배달완료 찍어놓으시네ㅡㅡ,[]
1,5,"['아메리카노 L', 'HOT or ICE 선택(Ice', '추가 선택(샷)', '레몬에이드 L', '애플시나몬타르트', '무화과 월넛 브라우니']",음료랑 타르트 둘다 맛있어요!!원하던 타르트는 못먹었지만대체해서 주신 타르트도 맛있네요~담에 준비된다면 시나몬도 꼭 먹어보고 싶어요요기요주문준비 중인데 배달해주셔서 감사합니다담에 또 시킬께요,['https://rev-static.yogiyo.co.kr/9ad7a0d2a00a91a6b8947e02303e423d_tn.jpg']
2,5,"['아메리카노 ', '사이즈 선택(L사이즈', 'HOT or ICE 선택(Ice)', '레몬에이드 L', '호두타르트', '애플시나몬타르트', '무화과 월넛 브라우니']",다 맛있어요! 완전 취저 ❣특히 레몬에이드가 생레몬에이드 같아서 너무 좋아요 이번에도 배송문제가 있었지만 빠르고 친절하게 해결해주셔서 기분좋게 먹었습니다~,[]
3,1,"['카페라떼', 'HOT or ICE 선택(Ice)', '치즈 타르트']",처음시켜보는데요... 맛은 그냥 그런데도 불구하고 양이 .. 다른 프렌차이즈 커피점에서는 넘쳐흐를만큼 가득 담아서 주시는데 똑같은 돈내고 이렇게 오는경우 고객입장에선 기분이 매우 나쁘네요 다음부턴 안시켜먹을거같네요,"['https://rev-static.yogiyo.co.kr/fc368165f3f177281f3e43fbfc4677e9_tn.jpg', 'https://rev-static.yogiyo.co.kr/16cf54c430367369a549d165620ddc28_tn.jpg', 'https://rev-static.yogiyo.co.kr/ca83394d5dbff7ddf0d241cc8d7c4601_tn.jpg']"
4,5,"['카페라떼', 'HOT or ICE 선택(Ice)']",라떼가 너무고소하고 싱겁지도않고 아이스인데 진하고 맛있었어요배달커피라 기대안하고 애기가있어서 나가지못해서 시켰는데 딱 먹고싶을때 시원하게 와서 너무잘먹었어요 다른 애기엄마들도 어디냐고 묻더라구요~^^아기엄마모임할때 요기요에서 편하게 까페기분내서 너무 좋았답니다.,[]
5,5,"['카페라떼', 'HOT or ICE 선택(Ice)', '화이트 티라미수 조각케이크', '벨지움 초코무스 조각케이크']",배달도빠르고 커피도맛있어요,[]
6,5,"['호두타르트', '애플시나몬타르트', '무화과 월넛 브라우니', '까망베르무스 조각케이크']",타르트 진짜맛잏어요. 시나몬강추,[]
7,5,"['에그타르트', '호두타르트', '애플시나몬타르트', '치즈 타르트', '크림치즈 타르트']",너무 타르트 맛있어요ㅜㅜ 흐규 .서비스 과자감사합니다^^,[]
8,5,"['꿀우유 L', '에그타르트', '호두타르트', '치즈 타르트', '크림치즈 프레즐']",맛있고좋았습니다. 근데 따뜻한우유로 했는데 차가운게왔어요ㅜㅜㅜ  맛있으니까 괜찮습니다..ㅋ담에써비스부탁해요ㅎㅎ,[]
9,5,"['스트로베리 요거트 스무디 L', '벨지움 초코무스 조각케이크']",한 입 먹고 기대 이상이어서 바로 사진 찍고 리뷰 남겨요 케익은 너무 달지 않아서 계속 당기고 스무디 사이즈 참 맘에 드네요 배달 시간도 빨라서 좋았습니다 잘 먹을게요~,['https://rev-static.yogiyo.co.kr/4f2c0bc7136d822f1193ef17c5214512_tn.jpg']
10,5,"['아메리카노 ', '사이즈 선택(L사이즈', 'HOT or ICE 선택(Ice)', '스트로베리 요거트 스무디 L', '호두타르트']",맛있게 잘 먹었어요,[]
11,5,"['모카 프라푸치노 L', '무화과 월넛 브라우니', '티라미수 크레이프 조각케이트']",사장님도 친절하시공 양도엄청나도 맛도 맛있네용~~ 자주 애용할게용 가게에비해 별점이 너무 낮네용 진짜 좋은데~~,['https://rev-static.yogiyo.co.kr/c7964d0c187fad7aabba6378704aa5f9_tn.jpg']
12,5,"['아메리카노 ', '사이즈 선택(L사이즈', 'HOT or ICE 선택(Ice)', '아메리카노 ', '사이즈 선택(L사이즈', 'HOT or ICE 선택(Ice)', '자몽에이드 L']",얼음 많이 달라고 부탁드렸는데 큰 컵으로 한 컵이나 더 가져다주셨어요! 자몽에이드 정말 최고예요~!!!! 커피도 진짜 양많아요. 맛있게 잘 마셨습니다^^,[]
13,5,"['아메리카노 ', '사이즈 선택(L사이즈', 'HOT or ICE 선택(Ice)', '카페라떼', 'HOT or ICE 선택(Hot)', '초코 스무디 L', '치즈 베이글 ', '무화과 월넛 브라우니']",세상 서비스 너무좋고 너무 친절하시고 맛도 최고고 진짜 대박맛집입니다 단골할게요!! 무조건 전부 5점입니다,['https://rev-static.yogiyo.co.kr/a42d8579d305f854bcb916e654e888e2_tn.jpg']
14,5,"['카페라떼', 'HOT or ICE 선택(Ice)', '리얼딸기 라떼 L', '에그타르트', '블루베리 컵 케이크']",아기 먹는 음료에는 얼음을 빼고 주셔서 너무 잘 먹고 있습니다. 에그타르도 정말 맛있네요~ 감사합니다^^,[]
