,별점,주문메뉴,리뷰,사진
0,5,"['1인메뉴 - A', 'BLT 핫도그（단품）']",맛잇고~~~~~~~~,[]
1,5,"['크리스피 치킨버거（콤보）', '칠리치즈핫도그（콤보）']","여기 핫도그, 햄버거 맛있어요~!! 감튀더 두툼해서 좋아요",[]
2,5,['5번 배달팩'],아이스크림이 너무맛나네용,[]
3,5,"['더블치즈버거（단품）', '후렌치후라이']",감튀도 맛있고 배달도빠르고,[]
4,4,"['쿼터파운드 치즈그릴버거（단품）', '칠리치즈후라이']",생각보다 빠른배달과 추웠는데도 온기있게 와서 잘먹었어요~,[]
5,5,['1번 배달팩'],넘 맛있었는데 1인분매뉴 있으면 좋겠당,[]
6,5,"['5번 배달팩', '후렌치후라이', '브라우니템테이션 블리자드']",처음보는곳인데맛있어요,[]
7,5,['2번 배달팩'],햄버거가 먹고싶어서 주문해봤어요^^배달도 빠르고 맛있어용 가성비 굿굿:)세트에 포함된 아이스크림까지 최고잘먹었습니다‪⸜( •⌄• )⸝‬,"['https://rev-static.yogiyo.co.kr/e45e7e12ab6af376ffe25723316fc442_tn.jpg', 'https://rev-static.yogiyo.co.kr/531eb3e049c51347a144924b7a2762a4_tn.jpg']"
8,5,"['더블치즈버거（콤보）', '칠리치즈핫도그（콤보）', '어니언링']",양도 많고 맛있어요ㅎㅎ근데 음료 하나만 사이다로 바꿔달라고 했는데사이다만 두개 왔어요...그거 빼고는 다 좋았어요~,['https://rev-static.yogiyo.co.kr/0dd6990127eb3c64b435d55b0a04b54c_tn.jpg']
9,5,"['1인메뉴 - B', '플레임트로워 치킨버거（단품）', '오레오 블리자드']",배달  시간은 좀 걸리지만 맛은 굿!,[]
10,5,['2번 배달팩'],미국맛 훌륭합니다. 패티와 치즈에서 북아메리카의 기상을 느낄 수 있었습니다. 번창하세요.,[]
11,5,['5번 배달팩'],맛있네여배달빨라여새로운맛집,[]
12,4,"['1인메뉴 - B', '어니언링']",배달빠르고 맛있네요,['https://rev-static.yogiyo.co.kr/d76546c0854de830915a69a2b451bf6e_tn.jpg']
13,5,['1번 배달팩'],맛있습니다 나중에 또 시켜먹을게요,[]
14,5,['1번 배달팩'],치즈  뭐시기 감자튀김이 너무 부담스러운 것  빼고 다 맛있었어요.,[]
15,5,['2번 배달팩'],아쉬운점이 없다면 그짓말이에요.,[]
16,5,"['치즈버거（콤보）', '그린티오레오 블리자드']",빠르고 좋아요! 굿굿굿,[]
17,5,['1인메뉴 - A'],뉴욕 뭐 에비뉴 뭐 스트릿에서 먹었던 그 햄버거맛 그대로군요 그때 주문받던 친구의 스웩넘치던 왓유갓? 이 생각나는 맛입니다. 더블패티 더블치즈를 외치던 그 미국의 맛입니다. 또 시킬게요! 매드 테이스티!!,[]
18,3,['4번 배달팩'],매번 빠르게 왔는데 오늘은 좀 늦네요,[]
19,5,"['더블치즈버거（콤보）', '플레임트로워그릴버거（콤보）', '쿼터파운드 치즈그릴버거（콤보）', '베이컨치즈그릴버거（단품）', '모짜렐라&머쉬룸그릴버거（단품）', '치킨스트립스', '치킨스트립스', '치킨 BLT 샐러드', '콜라', '사이다']",정말 맛있네요 ㅎㅎㅎ,[]
20,5,"['3번 배달팩', '칠리치즈후라이']",좋아여!!!!!!!,[]
21,5,"['쿼터파운드 치즈그릴버거（콤보）', '리세스 블리자드']",미군복무햇었는데 거기 맛이나네요 먹으면서 눈물흐림,[]
22,3,['5번 배달팩'],맛있었어요 !̆̈ 항상 배달이 정말 빠른것 같네요!̆̈ 맛있게 잘 먹겠습니다💖💖서비스 까지 주시고 감사합니다,['https://rev-static.yogiyo.co.kr/db09963ba8184a118173e1343f4a0959_tn.jpg']
23,5,['1번 배달팩'],완전 맛있다. 이런 배달 음식 추천합니다,[]
24,5,"['2번 배달팩', '모짜렐라&머쉬룸그릴버거（콤보）']",맛있네요~~!!!!!!,[]
25,4,"['1인메뉴 - A', '4번 배달팩', '5번 배달팩']",처음 주문이지만 잘 먹었습니다.,[]
