,별점,주문메뉴,리뷰,사진
0,5,"['페퍼로니 피자（씬 도우 L）', '스프라이트 1.5L']",잘먹었습니다~~~~~,['https://rev-static.yogiyo.co.kr/7dcc509d448966664869c09f9b5cba32_tn.jpg']
1,5,['슈퍼디럭스 피자（나폴리 도우 L）'],제가 포테이토 피자를 시킨다는 걸 이걸 시켜서..ㅠ 배달오고 알았습니다ㅎㅎ 굉장히 건강한 맛이네요..ㅎ다음번엔 포테이토 피자시켜 먹을게요ㅠㅠ 감사합니다!!,['https://rev-static.yogiyo.co.kr/47ce4cc46fc7fbede15303d9902c2036_tn.jpg']
2,5,['콰트로 치즈퐁듀 피자（씬 도우 L）'],치즈 치이즈으 냠야암,[]
3,5,['더블크러스트 이베리코 피자（L）'],진짜 맛있게 잘먹었습니다,[]
4,5,['슈퍼디럭스 피자（씬 도우 L）'],"배송이 정말 빨라서 깜놀했고, 너무 친절하게 배송해주셔서 감사했습니다!!피자두 정말 토핑이 풍부해서 맛있었고, 재료도 신선하고 도우도 쫄깃해서 좋았습니다.그리고 같이 보내주신 갈릭기디핑소스도 별미였습니다!!",['https://rev-static.yogiyo.co.kr/feed4c658c1f4c9cda095216ba36001f_tn.jpg']
5,5,"['페퍼로니 피자（씬 도우 L）', '코카콜라 제로 500ml']",맛         짜,[]
6,5,['페퍼로니 피자（오리지널 도우 L）'],도미노 치즈창렬이라고 들엇는데 여기지점은 충분히 주시는듯 배달도 매우빠름같은값이면 도미노 먹을듯 돈없어서 맨날 59쌀피자먹는사람임ㅋㅋㅋㅋㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/17cb284ece4ae10b3dffaf85c458ff49_tn.jpg']
7,5,"['치즈 피자（씬 도우 L）', '코카콜라 1.25L']",역시 피자는 도미노,[]
8,5,['더블크러스트 이베리코 피자（L）'],맛있었습니다~^^ 근래먹은피자중 제일 맛있었어요,[]
9,5,['우리 고구마 피자（나폴리 도우 L）'],고구마 피자 너무너무 맛있어서 사진찍을새도 없이 다 먹어버렸어요!!!배송도 빠르고 토핑도 많고 맛있어요!!,[]
10,5,['블랙타이거 슈림프 피자（오리지널 도우 L）'],빠른 배송 맛있어요,[]
11,5,['치즈 피자（오리지널 도우 L）'],싸고 맛나게 잘 먹었네요!!,[]
12,5,"['블랙타이거 슈림프 피자（슈퍼시드 함유 도우 L）', '포테이토 순살 치킨', '코카콜라 1.25L']",맛있게잘먹었습니다~~^^,[]
