,별점,주문메뉴,리뷰,사진
0,5,['고기 구운 토마토 부리또'],부리또 너무 커서 먹기힘들지만 맛잇어요,[]
1,5,"['고기&치뽈레 살사 부리또 볼', '고기 치미창가', '칠리빈&비프 프라이즈']",서울에서 먹을때부터 좋아했던 도스타코스~여전히 맛있네요~ 치미창가랑 부리또보울 강추합니다~~,[]
2,3,"['고기 통마늘 부리또', '자몽 하리또스 370mL（병）']",브리또사.. 넘 커서.. 어떻게 먹어야할지.. ㅜㅜ,['https://rev-static.yogiyo.co.kr/051f177b18954dd954328a39f8554427_tn.jpg']
3,5,"['고기 라이스 부리또', '나쵸칩스']",골목식당보고땡겨서먹었는데 만족스럽네여,[]
4,3,"['소프트 타코 2ea', '추가선택(과카몰리 2ea 추가)', '하드 타코 2ea', '고기 치즈 께사디야 2p', '싸워크림']",타코가 전체적으로 싱거운거 같아요. 소프트타코에서 물이 너무 생긴 나머지 또띠아가 다 젖어서 먹기가 좀 힘들었어요.,['https://rev-static.yogiyo.co.kr/8abb3ed59ed9fa6e78dc6497cebe3edd_tn.jpg']
5,5,"['고기&치뽈레 살사 부리또 볼', '빠스톨 타코 2ea']","너무 맛있네요. 입맛에 너무 잘 맞았구, 고수 추가하니 더 맛있네요! 진짜 최고!!!!!!!",['https://rev-static.yogiyo.co.kr/2bfab8a7d00056e3320a391303c0e76e_tn.jpg']
6,5,"['새우감자부리또', '소프트 타코 1ea', '고기 치즈 께사디야 2p', '고기 치미창가']",맛있게 잘 먹었습니다~!,[]
7,4,['고기 아보카도 부리또'],맛있었는데 부리또가 너무 커서 먹는게 조금 어려웠습니다,[]
8,5,"['고기 치미창가', '칩스&살사']",양도 맛도 만족스럽네요. 어제 시켜먹었었는데 오늘 또 시키려니 열지않으셔서 리뷰만 남겨봅니다,[]
9,5,"['고기&치뽈레 살사 부리또 볼', '빠스톨 타코 2ea']",굳굳굳숟숟유노노노노ㅗ논,[]
10,5,"['고기&치뽈레 살사 부리또 볼', '과카몰리']",굿 부리또볼 좋아하는데 시켜먹을 곳 잇어서 좋네요 맛도 괜춘 근데 사워크림은 추가해서 먹는게 더 맛낳즛요,[]
11,5,"['고기&치뽈레 살사 부리또 볼', '소프트 타코 1ea', '추가선택(과카몰리 1ea 추가)', '하드 타코 1ea', '고기 치미창가', '라임 하리또스 370mL（병）']",여기 요즘 매일같이 시켜먹네요. 브리또 맛있어요.,[]
12,5,"['고기&치뽈레 살사 부리또 볼', '고기 치미창가', '칩스&살사']",여기 요즘 매일같이 시켜먹네요. 브리또 맛있어요.,[]
13,5,"['고기 새우 부리또', '새우 치즈 께사디야 2p', '닥터페퍼 355mL', '파인애플 하리또스 370mL（병）']",존 맛 ㅇㅇㅇㅇㅇㅇㅇ,[]
14,5,"['아보카도 치미창가', '칩스&살사', '슬라이스 아보카도', '싸워크림']",배달하시는 분이 배달메모를 숙지하지 않으셔서 자주 전화를 하셨어요ㅠㅠ 음식맛은 좋아요~~,[]
15,5,"['하드 타코 1ea', '루꼴라 치즈 께사디야 2p', '새우 치즈 께사디야 2p']",다이어트도 포기하게 만드는 맛!,[]
16,4,"['나쵸 피에스타', '싸워크림', '나쵸치즈']",피에스타 재료를 따로따로 포장해주셔서 배달후에 직접 눅눅하지 않게 먹을수 있어서 좋았어요~~ 고수 빼달라고 말씀드렸는데~ 고수가 빠진것 같은데도 약간 느껴졌지만 잘 먹었답니다~~,[]
17,5,"['볶은 야채 부리또', '볶은야채&치뽈레 살사 부리또 볼', '칩스&살사']",너무너무 맛있게 잘먹었어요~ 또 주문할게요!,[]
18,5,"['고기 라이스 부리또', '고기 새우 부리또', '콜라 355mL', '닥터페퍼 355mL']",맛 있 음 ㅇㅇㅇㅇ,[]
19,5,"['고기 새우 부리또', '고기&치뽈레 살사 부리또 볼', '오리지널 샐러드', '감자튀김']",먹다가 사진찍었어요 ㅋㅋㅋ맛이네요...퀄리티도 좋구  ..양도많ㅇ고...브리또는  재료가 쳐저서  들고 먹기 힘들었어요,"['https://rev-static.yogiyo.co.kr/a3429e4b33a22261c5c8cfa1117e1a41_tn.jpg', 'https://rev-static.yogiyo.co.kr/1c79c9fe4f05f1f00a1b41c5fc70573e_tn.jpg']"
20,3,"['소프트 타코 1ea', '추가선택(과카몰리 1ea 추가)', '빠스톨 타코 1ea']",고수가 선택사항이었으면 좋겠어요... 그리고 너무 매웠어요.. 맵찔이라 그렇긴하지만 ㅠ 맵기 조절도 가능하면 좋겠네요 그리고 간이 좀 싱거운것같아용... ㅠㅠ 그거외에는 다른건 뭐 괜찮았어요,[]
21,5,"['고기 새우 부리또', '고기 치즈 께사디야 2p', '닥터페퍼 355mL', '구아바 하리또스 370mL（병）']",맛 있 음 .....,[]
22,5,"['고기 통마늘 부리또', '아보카도 치미창가']",맛있었어요. 다음에 또 시켜먹을게요,['https://rev-static.yogiyo.co.kr/3f737d1976fa9e9f52eb97efcdcdfe38_tn.jpg']
23,5,"['소프트 타코 1ea', '고기 치즈 께사디야 2p']",배달이 좀 늦게왔지만 집에서 타코랑 퀘사디아 먹을수 좋았어요~맛있게 잘먹었습니다~,[]
24,5,"['고기 구운 토마토 부리또', '빠스톨 타코 2ea']",부리또 맛있어요.타코는 좀 매운편입니다. 알싸한 매운맛,[]
25,5,['고기 새우 부리또'],맛있어요개인적으로 부리또가 제일 맛있는듯,['https://rev-static.yogiyo.co.kr/5e349955105737351cc593fb3c200cc6_tn.jpg']
