,별점,주문메뉴,리뷰,사진
0,5,"['족발', '음료 선택(사이다 500mL)', '주먹밥']",몇군데 족발을 먹어봣지만 여기가 젤 괜찮네요냄새도 안나고 양도 많구요무김치(?)는 좀 달달해서 좋았고 부추무침은 새콤달콤 합니다배달해주신분도 친절해서 너무 좋았습니다다음에도 여기에서 시켜먹어야 겟네요,['https://rev-static.yogiyo.co.kr/e57c5b6febd2d849a02803ce022b060a_tn.jpg']
1,5,"['족발매운족발반반', '음료 선택(콜라 500mL)']",이 근방에서 배달되는 족발집중 가장 맛있음 장담한다. 도전하지말고 그냥여기서 드세요,[]
2,5,"['족발', '음료 선택(콜라 500mL)']",족발 소(뒷다리)로 주문했는데.. 소가 떨어져서.. 중(앞다리)으로 보내주셨어요ㅜㅜ 전화주셔서 말씀 해주셨으면 다시 주문했을터인데.. 배달 해주시면서 말씀해주시는데.. 많이 죄송하더라구요ㅜㅜ 생각지도 않게 앞다리로 푸짐하게 잘 먹었습니다~~ 냄새도 전혀 안나고.. 야채도 넉넉하게 주셔서.. 인심이 넘치는 곳이네요~~^^ 지역맘까페 족발집 검색하다가.. 첨 주문한거였는데.. 맛과 서비스 최고였습니다~~!,[]
3,5,"['족발', '음료 선택(콜라 500mL)']",족발 양 가격대비 생각보다 많았습니다막국수도 매콤새콤 소스 잘맞고 맛있네요만족합니다~,[]
4,5,"['족발', '음료 선택(사이다 500mL)', '쟁반국수 小']",냄새 하나도  안나고  다른곳과 비교 했을때   짜지도  않고  담백해요  오랜맛에   맛있는  족발집  발견했어요  신랑이랑  넘  만족해 하며  먹었습니다,[]
5,5,"['매운족발', '음료 선택(콜라 500mL)']",맛있어서 재주문했습니다!,[]
6,5,"['매운족발', '음료 선택(사이다 500mL)', '쟁반국수 小', '주먹밥']",매운족발 살짝 덜맵게 해달라고해서 시켰는데 매운거 잘 못먹는 저도 정말 맛있게 먹을수있는 맛이구요.처음엔 작은그릇에 막국수 오길래 아 양 너무 적다 생각했는데 알고보니 그건 기본서비스고 큰 막국수가 하나더있더라구요! (사이다or콜라 500ml도 하나 주셔요!)양도 푸짐하고 주먹밥도 시켰는데 밥도 많이주시고 넉넉한 김가루까지 최곱니다!,"['https://rev-static.yogiyo.co.kr/57e8929446a7909942e973303ab90c5d_tn.jpg', 'https://rev-static.yogiyo.co.kr/d36891c0d648ffc2b3bc09f791bfde15_tn.jpg', 'https://rev-static.yogiyo.co.kr/eb718c2ec6c155de0d22e2ac03656c51_tn.jpg']"
7,5,"['족발', '음료 선택(콜라 500mL)']",사장님족발너무맛좋아요사장님최고맛집,[]
8,5,"['족발매운족발반반', '음료 선택(사이다 500mL)']",맛있고 좋아요 배달빨라요,[]
9,4,"['족발매운족발반반', '사이즈 선택(中)', '쟁반국수 小']",반반 시켜먹었는데 다 맛있는데 족발 고기가 생각보다..... ㅎㅎ,"['https://rev-static.yogiyo.co.kr/07dde8e0198dbf3b451763ec4ea7f152_tn.jpg', 'https://rev-static.yogiyo.co.kr/7b66618ab569f565ae39829b8b705208_tn.jpg']"
10,5,"['보쌈', '음료 선택(사이다 500mL)']",배달도 생각보다 빠르고 굿굿.,[]
11,5,"['족발보쌈반반', '음료 선택(콜라 500mL)']",잘먹겠습니다 보쌈이랑 족발 너무너므 맛있네요 ㅋㅋㅋㅋㅋ 자주 시켜먹어야 겠네요 ㅋㅋ채소도 싱싱하니 정말 좋네요~ 대박나세요~~~,['https://rev-static.yogiyo.co.kr/78f8622b4f01becf5abfc70a3c91a661_tn.jpg']
12,5,"['족발', '음료 선택(콜라 500mL)']",언제나 후회 없는 선택 항상 굿이요 ㅋㅋ,[]
13,5,[],잘먹었어요 맛있어요,[]
14,5,['냉채족발'],정말너무맛있어요ㅎㅎ양도많고 푸짐해요막국수도맛있고 배달도빨라요,[]
15,4,"['족발', '음료 선택(사이다 500mL)']",양도푸짐하고 괜찮은것같아요 배달은 빠르네요,['https://rev-static.yogiyo.co.kr/19dc26763a75834127f2bd035645f157_tn.jpg']
16,5,"['족발', '음료 선택(콜라 500mL)']",항상 맛있게 잘 먹고 있습니다!!배달도 빠르고 맛도 너무 자극적이지 않아 좋아요!,[]
17,5,"['족발', '음료 선택(사이다 500mL)']",처음 시켰는데 맛있네요,[]
18,5,"['매운족발보쌈반반', '음료 선택(콜라 500mL)']",진짜 맛있어요 ㅋㅋㅋㅋㅋ 자주먹게될거같아요,[]
19,4,"['매운족발', '음료 선택(콜라 500mL)']",너무 맵긴 했지만 괜찮았어요~,[]
20,5,"['족발보쌈반반', '음료 선택(사이다 500mL)']",(기대도 안해서 사진도 안찍고 먹어버려서 사진후기는 아님아쉽다;;)족발보쌈 집은 넘치고후기많길래 시킨집은 맛대가리 없었고그래서 돈발족발도 기대도 안했고~~~속는셈치고 시킨건데정말 맛있다..! 막국수도 맛있고 중요한건 메인인족발 보쌈자체가 질이좋고 싸구려가 아님잘한다는 족발집 여럿 먹어봤고 원조인ㅈㅊㄷ족발보쌈보다 더 굿임 ~~후기 이렇게 길게 남길필요도 없지만다른집에서 돈낭비 하지마시고 맛있는집에서 시켜드시라고 ..배달음식 시키면 가족들한테 맨날 욕만쳐먹엇는데칭찬받고 기분좋아서 후기남기네요  ㅋㅋ-꿀쥬올림-,[]
21,3,"['족발', '음료 선택(사이다 500mL)']",진심 그냥 그럼...다신 안시켜 먹을예정,[]
22,5,"['족발보쌈반반', '음료 선택(사이다 500mL)']",시킨지 30분도 안되서 도착한거같아요! 저번에 처음시켜보고 맛있구 양도 많구 해서 또 시킨건데 역시는 역시네요!! 감사해요!!,['https://rev-static.yogiyo.co.kr/f9d33faa5801d35cd86bae3f653e7fe0_tn.jpg']
23,5,"['족발', '음료 선택(사이다 500mL)']",처음 먹었는데 양도 푸짐하고 정말 맛있네요! 배달도 빨리 오셔서 깜짝 놀랐어요. 또 시켜먹을거에요,['https://rev-static.yogiyo.co.kr/64ad7b93a8e15f7b6b81faa2bd84b85b_tn.jpg']
24,5,"['족발', '음료 선택(콜라 500mL)']","대자 시킨건데, 저번에 중자 시키고도 양 많았는데 3명이서 먹어도 양이 많아서 항상 푸짐하게 먹네요! 특히 무김치도 정말 맛있어서 조금만 더 요청했는데.. 완전 푸짐하게 주셔서 정말 감사히 맛있게 잘 먹었어요!!다음에 또 시켜먹을게요ㅎ",['https://rev-static.yogiyo.co.kr/6a2e3314e73a00a93cdc989d772e16b4_tn.jpg']
25,5,"['족발', '음료 선택(콜라 500mL)']",채소도 다 싱싱하고 완전 맛있어요,[]
26,5,"['족발매운족발반반', '사이즈 선택(小)', '주먹밥']",매운건 넘 매웠지만 맛나요~,[]
27,5,"['매운족발', '음료 선택(사이다 500mL)', '생맥주 1000cc']",배달도 완전 빠르고 매콤한게 너무 맛있어요!!! 다음에 또 시켜먹을게요 ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/01ba006d322721b518091d25a8161970_tn.jpg']
28,5,['주먹밥'],영통망포 배달자주 시켜 드시는분들은 제 아이디 아실수도..맛 보장된곳 아니면 사진후기 안올리고후기도 그냥 맛없다고 올림 ㅋㅋ어차피 내돈주고 사먹는거니까근데 여기는 진짜 만족스러워서 사진 후기 올려요 !여러가지 가지수가 많은건 아니지만 고기면 고기 김치면 김치 국수면 국수 그냥 하나하나가 맛있어요 ~ 양도 많고요~전 후기에도 쓴내용인데 돈발족발 시키면 우선 가족들이 욕을 안해욬ㅋㅋㅋ족발 쏜다고 후기많은 ㅈㅇㅈㅆ 이런데서 시켯다가 돈은 돈대로 쓰고 욕쳐묵고... 에휴 돈낭비 하지마시고 돈발족발 시켜드세요 고기가탱탱 -꿀쥬올림-,"['https://rev-static.yogiyo.co.kr/2202755d19aaf6bf8db17173d786839c_tn.jpg', 'https://rev-static.yogiyo.co.kr/426d39e57919b6cac4c0cc508e24ffc7_tn.jpg', 'https://rev-static.yogiyo.co.kr/5957fbadfd5ed7a2e311c82813b902fd_tn.jpg']"
29,5,"['족발', '음료 선택(콜라 500mL)']",배달기사님도 친절하고 항상 맛있게 먹어요ㅎ..이 지역에서 제일 맛나네요,[]
