,별점,주문메뉴,리뷰,사진
0,4,['구운치킨'],맛있었어요매운 소스랑 달콤한 마늘 소스인가요 암튼맛도 양도 만족했습니다,"['https://rev-static.yogiyo.co.kr/f8296834269114b39ea0d7ba1b559e31_tn.jpg', 'https://rev-static.yogiyo.co.kr/1b8e3c38fa2d4d05ae1e576d8e9e986b_tn.jpg']"
1,3,['구운（반）＋양념（반）'],후라이드는 그럭저럭인데 양념이 별로였어요ㅡㅡ,[]
2,5,['구운치킨'],정말 맛있게 먹었네요 ^^,[]
3,5,['통날개（반）＋순살（반）'],와 진짜 맛있어요배달해주시는 분도 친절했어요,[]
4,5,['구운（반）＋양념（반）'],돈치킨 맛있네요:)담백합니다,[]
5,5,['구운바베큐치킨'],"처음 주문해봤는데, 정말 맛있게 먹었어요! 재주문 하겠습니다.",['https://rev-static.yogiyo.co.kr/3124e225691e33b4501b32c23b80a62a_tn.jpg']
6,5,['구운치킨'],배달친절 구워서 고소하고 담백해요 맛있어요,[]
7,5,['구운치킨'],맛 깔끔하고 좋습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/9ef05b695b50c8d5c4a2c87b87493299_tn.jpg']
8,5,['구운통다리치킨'],굽네치킨 보다 더 맛있어요.,['https://rev-static.yogiyo.co.kr/3b73bff71e1da550e0431b31ae109f11_tn.jpg']
9,5,['구운（반）＋양념（반）'],정말 맛있게 잘 먹었어요 ㅎㅎㅎ  구운 치킨 중에서는 제일 맛있게 먹었어요 ㅎㅎㅎ 다음에 또 시켜 먹을게요!!!!,[]
10,5,['구운순살치킨'],굽네는 좀 바싹굽는 느낌이고 여기는 좀 촉촉하게 굽는느낌 근데 기본 소금간이 쌔서 치밥용,['https://rev-static.yogiyo.co.kr/5e821a861ad86ed400df3f2956d79a7d_tn.jpg']
11,4,['구운바베큐치킨'],맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/361c2e2989a44fcf9e1cf63c56fa036d_tn.jpg']
12,3,['구운치킨'],깔끔하고 배달도빠르고 양도많아서 좋앗는데요한가지 부족하다면 뭔가 부족한맛입니다!,[]
13,4,['구운두마리치킨'],두마리 시키길 잘했네요양이 좀 작아서 한마리면 아이들이랑 먹을때 모자를뻔 했어요간장소스를 아이들이 잘 찍어 먹었구요빨간 양념 바베큐도 맛있네요자극적이지 않아서 괜찮았어요오늘 배달이 늦어서 그거 하나 아쉽네요ㅠ,[]
14,2,['구운（반）＋양념（반）'],"주문한지 1시간 지나서 직접 매장 전화드리니 다됐다고 7,8분이면 배달 나간다고 하시고1시간 20분만에 배달옴. 현장결제 요청했는데 선결아니냐고 물으시고.집 근처라 가까워 좀더빨리올까해서 시켰는데더 늦게 왔네요.다음부턴 좀더 신경써서 준비해주심 좋겠어요.주문하고 찾아오는게 더 빠르겠어요.",[]
15,5,['구운통다리（반）＋구운순살（반）'],개꿀맛. 배달아저씨도 친절하세요.,['https://rev-static.yogiyo.co.kr/0ceeb2bf3f2b7d20b38d10bcdd34df09_tn.jpg']
16,5,"['구운（반）＋양념（반）', '핫치킨 소스 추가']",처음 시켜 먹었어요기대 안 했는데 잘 먹었어요많이 짜지 않고 맛나요^^,[]
17,5,['구운바베큐치킨'],할인기간이라 바쁘셔서 좀늦으셨었지만 친절하시고 맛있었습니다 또시켰어요ㅎㅎ,[]
18,5,['구운핫치킨'],어제먹고 또시키네요 너무 자극적이지않은 구운치킨땡길때 최적입니다,['https://rev-static.yogiyo.co.kr/545212996101e77e2d663592c4444c67_tn.jpg']
19,5,['구운두마리치킨'],배달사고가 약간 있었지만? 정말 맛있겦잘 먹었습니다. 다음에 또 시킬게요~,[]
20,5,['구운치킨'],돈치킨 개존맛 담에 또 머글게요,[]
21,5,['구운마늘치킨'],타 브랜드 구운치킨보다 맛있네요애용할게요,['https://rev-static.yogiyo.co.kr/ed17641cc6792756da18bfd9148d304c_tn.jpg']
22,5,['구운（반）＋양념（반）'],맛있어요 튀김 지겨워서 구운닭 시켜봤는데 맛있습니다,['https://rev-static.yogiyo.co.kr/2fe22ca26867262200f7b7b452b7da37_tn.jpg']
23,5,['구운（반）＋양념（반）'],좋아요. 만족해요.,[]
24,4,['구운두마리치킨'],양도 많고 괜찮은 편이었습니다.,['https://rev-static.yogiyo.co.kr/6f491d87904a7f947c560f21980eefe5_tn.jpg']
25,5,['구운（반）＋양념（반）'],양은 좀 적네요 맛은 있습니다,[]
26,5,['구운마늘치킨'],"맛있었습니다, 추천",['https://rev-static.yogiyo.co.kr/dcb647aca73656a06c7e2f771dff951d_tn.jpg']
27,4,['구운두마리치킨'],맛있게 잘 먹었는데 주문하고 1시간 반뒤에 먹었네요ㅠㅠㅠ,[]
28,5,['구운마늘치킨'],처음시켜먹었는데 너무 맛있네요!또 시킬께요~,['https://rev-static.yogiyo.co.kr/083e6f49116beeee468867adb40034b4_tn.jpg']
29,5,['구운（반）＋양념（반）'],먹다가 사진 찍는 걸 깜빡했네요..양도 많고 맛있습니다. 구운치킨은 여기서만 시켜요!,['https://rev-static.yogiyo.co.kr/04c930dc7abf277414fadd3d8791b3de_tn.jpg']
30,5,['구운순살치즈치킨'],순살치킨 종류좀 늘려주세요,['https://rev-static.yogiyo.co.kr/4634992bf5558975d6722ec8bb836645_tn.jpg']
31,1,"['구운두마리 양념세트（맛선택2）', '바베큐)']",주문한지 2시간 다되감배달완료라는데배달안옴전화안받음최악 다신 안시킬거고 다른집 치킨 드시길,[]
32,1,['구운치킨'],...............,[]
33,5,['구운마늘치킨'],양도 많고 맛있어요! 시간 좀 많이 걸리지만  ㅜㅜ,['https://rev-static.yogiyo.co.kr/36e06e9e0d6ac71608f7f7575923d506_tn.jpg']
34,3,[],"2시간 30분걸림.살면서 처음해보는 기록2시간까진 전화도안하고 참고 이해해주는편인데. 그이후에도 더걸리는.저희집 벨소리가 안들리는수준이라, 배달을 받으려면 앞에서 기다려야하는데배달예상시간이라도 60분 말고 90분이상 적어주셨으면이렇게 오래벌서지도 않았을테고,ㅎㅎ",['https://rev-static.yogiyo.co.kr/046fe6a9780dba9c380d05788414e221_tn.jpg']
35,1,['구운두마리치킨'],2시간 40분도 더걸렸네요...하하하하,['https://rev-static.yogiyo.co.kr/e08b1e0fcf08368d1d468d57a9192218_tn.jpg']
36,4,"['구운순살치킨', '핫치킨 소스 추가']",맛있어요~! 핫치킨소스가 맛있네요~,[]
37,1,['오~바삭 치킨'],8시 50분에배달시켰는데60분내외 도착이였는데도착안해서10시 17분에 전화해서결국 11시 10분에 도착했습니다.너무배고파서 배좀차고 찍은사진입니다.,['https://rev-static.yogiyo.co.kr/218a271733c84c76af826097397b01c1_tn.jpg']
38,5,['구운순살치킨'],맛있게 잘먹었습니다. 감사합니다.,[]
39,5,"['구운두마리 양념세트（맛선택2）', '데리야끼)']",돈치킨 맛있네욤.1,[]
40,3,['구운치킨'],맛은있는데..3시간걸렸어요..쿠폰때문에 과하게주문많았던건아는데.. 한시간이상걸리는주문은 안받으시는게 나으실듯합니다......,['https://rev-static.yogiyo.co.kr/b730f8f1d046fda002413c701641d25c_tn.jpg']
41,4,['구운두마리치킨'],구운치킨 맛이 튀긴 치킨보다 좋음,[]
42,4,['구운핫치킨'],배달이 엄청 느리긴 했는데 맛잇긴함,[]
