,별점,주문메뉴,리뷰,사진
0,5,[],"같이온 국수도,된장찌개도 맛있었어요^^",[]
1,5,[],매번 시켜먹는데 참 맛있네요 ㅎㅎ,[]
2,5,[],맛있네요,[]
3,5,[],양도 많고 맛남 이젠 여기서만 먹겠엉,[]
4,5,[],늘 이용하던곳이에요~요기요앱으론 첨 주문해봤는데 너무 간단하고 좋으네요~~^^이집 항상 맛나요~~,[]
5,4,[],배달 보쌈은 맛이 없는데 고기 정말 맛있었구요 특히 마늘 소스 맛있네요.  무우 속은 짠편 이지만 배추랑 싸서 먹으면 괜찮구요 된장국 맛있고 다른 것들도 먹을만 해요 근데 대자 주문했는데 양은 좀 적은거 같아요,[]
6,5,[],고기가 엄청 꼬소~~합니다. 가격에 비해 양이 쪼끔아쉽지만 요새 돼지고기값이 비싼걸 고려하면 뭐 적당하네요. 다만 막국수는 좀 싱겁네요. 좀더 매콤하면 좋겠어요,[]
7,1,[],이것도보쌈이라고...고기도 푸석푸석ㅡㅡ배달 해주신분이 친절해서 별하나드림만으론 0점 드립니다,[]
8,5,[],된장찌개.밑반찬. 넘맛있어요..고기도많이주고 좋아요.추천합니다,[]
9,5,[],완전짱이에요.배달해주시는 사장님(?) 친절해요.완전 강추!,[]
10,4,[],마늘보쌈 시켰는데 배달도 빠르고 먹을만한듯해요~,[]
11,5,[],요기 울집 단골이요^^요기요에 있어 넘 반가워 바로시켰어요~,[]
12,5,[],김치도 맛있고 마늘소스도 맛있어요..된장국까지 맛있어요..자주 주문해서 먹어요...,[]
13,5,[],포장도 깔끔하고 고기가 너무 맛잇어요,[]
14,4,[],먹을만했음,[]
15,5,[],친철하고 맛좋았어요,[]
16,5,[],"3년전부터계속 시켜먹던곳인데,이거생기고 여기서 시켜먹게되네요.김치도맛잇고,좋아요",[]
17,5,[],와우! 별 기대 안했는데 정말 깔끔하고 맛있어요. 지금 한창 먹는 중인데 이 느낌 그대로 남깁니다. 하하.,[]
18,4,[],맛잇어요,[]
19,4,[],맛있었어요~특히 포장이 깔끔하게 잘 되어오고 전반적으로 음식이 맛있더라구요~그냥 가짓수만 많은게 아니라 다 정갈하니 맛있었어요^^,[]
20,4,[],굿,[]
21,5,[],깔끔하고 맛있어요!! ^-^,[]
22,5,[],두부도 마니주시고~~여전히 맛나용~~^^,[]
23,5,[],"첫중순인데 포장깔끔, 반찬깔끔, 보쌈맛 좋아요~^^",[]
24,4,[],깔끔하고 맛있어요,[]
25,5,[],고기도 부드럽고 반찬도 다 맛나요^^,[]
26,5,[],완전 맛나요. 국수도. 맛나구요. 리뷰보고 주문했는데별이. 5개인. 이유가. 있었네요. 낼. 또. 주문할려구요^^,[]
27,5,[],콜,[]
28,5,[],와 인정...^---^,[]
29,5,[],늘 여기만 주문하는데 역시 맛있어요~된장찌게도 정말 맛있구요~~^^,[]
30,5,[],맛도 잇엇구 빨리왓고 만족합니더 ㅎㅎ다만 배추가양이조금 적엇어요,[]
31,5,[],애들이 좋아해요,[]
32,5,[],방금배달왔는데 먹는도중에 안쓰면 안되겠다 싶어서 리뷰남깁니다.보쌈+마늘 역대최고의보쌈집입니다.김치류도 보쌈이랑 너무 잘맞게 간이되있구요배추도 싱싱하고 오징어무침 너무맛있어요..그리고 쟁반국수.. 쟁반에담긴건 아니지만 일행들이 극찬을합니다.. 된장국도 너무 잘끓였구요이집때문에라도 평생이사안갈랍니다,[]
33,3,[],맛은 괜찮으나 고기 손질에 신경을 더 썼으면 좋겠음,[]
34,5,[],왜케 맛있냐..,[]
35,5,[],마늘보쌈..  나 앞으로 여기서만 시켜야겠어요.,[]
36,4,[],괜찮아요~~,[]
37,5,[],음식 꽤 가리는편이라 앱으론처음 시켜봤는데.대만족입니다.고기가 적은감이있지만.고기랑반찬들이 맛지네요!주방실장님이 음식잘하시는듯!잘먹겠습니다!,[]
38,4,[],기대이상 ! 맛있어요,[]
39,5,[],생각보다 맛있어서 놀랬어요! 마늘보쌈 맛났구 아이들 먹기좋게 기름이 적당해서 더 좋았던것같아요... 한가지 흠이라면 막국수가 맛이 좀 별로 였네요.... 그래도 보쌈이 맛나서 애용할려고해요!,[]
40,5,[],마늘보쌈 정말 맛있습니다! 보쌈김치도 맛있고 된장찌개도 차게 먹는데도 맛있네요!,[]
41,4,[],소자인데  양도 많고 정말 맛있네요. 담에 또 주문할게요,[]
42,5,[],완전 강추. 잡내도 안나고 부드럽고. 김치도 맛있고. 진짜 강추합니다.,[]
43,4,[],2번째 마늘보쌈 소자.  잘먹었습니다.,[]
44,5,[],맛있네요. 음식 깔끔하고,[]
45,5,['마늘보쌈 中'],집근처인지알았으면.홀에서먹을걸...담엔 홀에서 뵐게요!쩌러!맛져!된장국시키 도둑넘,[]
46,5,[],김치보쌈은 마늘보쌈에서 무김치 오징어무침? 마늘 제외하고 오는거네요ㅠㅠ 다음부턴 다시 마늘보쌈 시켜야겠어요 양도많도 막국수랑 된장국도맛있고 좋아요!!!! 배달음식인데도 정갈하고ㅠㅠ 잘먹었습니당,[]
47,5,[],굿 ! 맛있어요,[]
48,5,[],"부드럽고 맛있네요반찬도 깔끔하고- 같이 주시는 된장찌개도 깊은맛이 나서 좋았구요, 쟁반국수가 좀 맵긴했지만매운거 잘 드시는 분들은 좋아할 듯 합니다.",[]
49,4,[],맛있어요,[]
50,4,[],맛이 괜찮네요 찬도 많고~ 다음에 다시 주문할께요,[]
51,3,[],가격에 비해 양이 많지 않아요.그리고 다른곳은 보통 대자 시키면 콜라 큰 걸로 주는데 여기는 대자 시켜도 콜라는 작은걸로 주더라구요,[]
52,5,['마늘보쌈 小'],다른데 다시켜봐도 여기만큼 깨끗하고 맛있는데가 없어요계속시키게되네요...ㅋㅋㅋ마늘보쌈시키면 반찬도 많이오고ㅠㅠ된장국도 맛있어요진짜 최고..!!! 잘먹었습니다,[]
53,5,['마늘보쌈 大'],사장님이 배달하셨는데 너무 친절하시고 맛있어요,[]
54,5,['마늘보쌈 小'],리뷰를 쓰지않곤 견딜수없음맛있고 푸짐하고 깨끗하고 친절하시뮤ㅜㅜ,[]
55,5,['마늘보쌈 中'],마늘소스가 대박,[]
56,5,[],역시!좋아!,[]
57,5,[],맛있어요,[]
58,5,['마늘보쌈 小'],진짜여기서먹다 딴데서 못먹겠어요..  깔끔하고 양도많음ㅠㅠ,[]
59,5,['마늘보쌈 中'],역시 맛이 있어요~,[]
60,4,[],맛있엇습니다~ 다른데보다 나은듯^^,[]
61,4,"['마늘보쌈 小', '칠성사이다 500mL']",괜찮네요~잘먹었어요,[]
62,5,[],완전맛있어요 첨시켜봤는데 너무 만족했어요 .,[]
63,5,[],너무맛있어요~포장도깔끔해요,[]
64,4,[],고기가 생각보다 적었지만 만족스러웠어요,[]
65,5,[],리뷰가 좋아서 시켜봤는데 정말 맛있고 음식 하나하나가 깔끔하네요~ 보쌈 뜨겁게 먹는 방법도 너무 신기하도 재밌었습니다!! 또 시킬께요~~~^^,[]
66,5,[],음식 포장이 정갈하고 깔끔하게 배달되어 만족스럽습니다,[]
67,5,[],정말 맛있게 먹었습니다. 배달도 엄청 빨리가져다 주셨구요. 데워주는 용기로 따뜻하게먹을 수 있는 아이디어도 좋습니다.,[]
68,5,['배추보쌈 小'],먹으면서 평점 남깁니다~ 정말 깔끔하고 배추보쌈시켰는데 구성도 좋네요!! (마늘소스는 배추보쌈에 따로 안오는거같습니다) 맛도 좋고 따뜻하게 먹을 수 있어 좋아요! 보쌈은 여기서만 먹을 것 같아요!!^^,['https://rev-static.yogiyo.co.kr/3c53f6c7cec5d97d6e9d8ef52cce4bb8_tn.jpg']
69,3,['마늘보쌈 小'],개인적으로 비린맛 때문에 해산물을 안좋아하는데... 음식 전반적으로 젓갈을 많이 쓴간지 해산물을 넣었는지.. 비린맛이 쫌 나네요... 해산물 싫어하지 않으신분들은 좋아하실거 같습니다,[]
70,5,[],여기 요기요 생기기 전부터 발견한맛집이었어요^^배달주문하면 좀성의없게나오는데찌개도나오고 똑같은브랜드인데 다른지역전화해서주문해봤는데 영통점이 정말 쵝오~~^^사장님이 많이 신경쓰시는것같애요~,[]
71,4,[],맛있었네요,[]
72,4,['마늘보쌈 中'],맛있음 근데 양은 조금 적음,[]
73,5,[],깔끔하고 맛있음,[]
74,4,[],맛괜찮은데 가격에비해 양이적고구성 목록에 김치나 배추 구구성품에 마늘소스있다돼있는데 실제론없다네요,[]
75,4,[],배달도 빠르고 음식도 정갈하게 잘 나왔어요~ 쟁반국수 소스가 사이다 맛이 너무 나더라규용 ㅠㅂ ㅠ 제가 쟁반국수에 고기싸먹는걸 조아하는데 쟁반국수를 남긴 ㅠㅠ 그거 제외하곤 맛있었어요~!!,[]
76,3,"['마늘보쌈 小', '칠성사이다 500mL']","무김치도 맛있고 마늘향이 알싸하니 좋습니다. 아쉬운 점은 지난번엔 고기가 너무 말라 있었고, 이번엔 고기가 너무 기름져 왔어요. 고기에 오돌뼈도 좀 많았구요. 보쌈은 여기서 자주 먹었는데 고기만 조금 신경써주면 좋겠어요.",[]
77,4,[],마늘보쌈 시켰었는데 그냥보쌈이 더 입에 맞네요,[]
78,5,['마늘보쌈 大'],아주 잘 먹었습니다!,[]
79,4,"['마늘보쌈 中', '공기밥', '코카콜라 500mL', '칠성사이다 500mL']",나쁘지않아요,[]
80,5,[],맛나게 잘먹었습니다!,[]
81,5,['배추보쌈 中'],친절하고 맛도 좋고 깔끔합니다 굿굿,['https://rev-static.yogiyo.co.kr/a87089a8ae28617445fd1dbd27e95ac2_tn.jpg']
