,별점,주문메뉴,리뷰,사진
0,4,"['엽기오뎅', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(우동사리 추가)', '써핑쿨 450mL']",맛잇오용 엽떡에 미리사온 명랑핫도그넣어먹니까 개꿀맛~~,[]
1,5,"['엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함)', '엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함)']",맛있네요~맵고좋아요,[]
2,5,"['엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(치즈 추', '햄（7개） 추', '메추리알（5개）추', '중국당면)', '주먹김밥']",매워도 맛있어요!! 주먹밥을 해먹어야되서 귀찮네요ㅠㅠ,['https://rev-static.yogiyo.co.kr/1f38c546e4aebf864be8bfba0119d454_tn.jpg']
3,5,"['A set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알）', '메뉴 선택 2(메추리알', '맛 선택(오리지널', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(치즈 추', '햄（7개） 추', '베이컨 추가)', '주먹김밥']",하  먹고 뒤질뻔했어요맛있어선 ㅎ,[]
4,5,"['엽기떡볶이', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(중국당면', '토핑 추가선택 2(치즈 추가)']",지이이인짜로 맛 보장합니다,[]
5,5,"['엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(중국당면)', '주먹김밥']",엽기반반에다가 중국당면도 추가했는데 양이 그리많치않았어요 ㅜ 그래도 오랜만에 먹으니까 맛있네요😊,[]
6,1,"['A set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알）', '메뉴 선택 2(계란', '맛 선택(착한맛', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(치즈 추가)']",원레배달료1000원은 현금인가요?,[]
7,4,"['엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함)', '계란찜', '모듬튀김']",굿굿굿 맛나요 늘 그런 맛있는 엽기떡볶이 맛,[]
8,4,"['엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(치즈 추', '햄（7개） 추가)']",맛있어요! 예전에 잠시 맛이 변한 것 같아 안먹었는데 다시 맛있어졌네요,[]
9,4,"['엽기반반', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(치즈 추', '중국당면)']",맛있어요 중국당면은 좀 아쉬웠습니다,[]
10,1,"['엽기떡볶이', '떡&오뎅사리 추가선택(사리 추가 안함)', '주먹김밥', '계란찜']",주먹밥 만들어 먹으라는 엽떡 첨봤어요 ㅋ,[]
11,4,"['A set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알）', '메뉴 선택 2(계란', '맛 선택(엽떡초보맛', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(라면사리 추', '베이컨 추가)']",맛있게 잘먹었습니다 ㅎㅎㅎㅎㅎ,[]
12,4,"['C set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알＋주먹김밥＋당면）', '메뉴 선택 2(계란', '맛 선택(착한맛', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(중국당면)']",착한맛은 그렇게 추천할만한 맜은 아니다.,[]
13,5,"['B set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알＋주먹김밥）', '메뉴 선택 2(계란', '맛 선택(엽떡초보맛', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(치즈 추', '햄（7개） 추', '중국당면)']",!!!!!!!!!!,[]
14,4,"['B set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알＋주먹김밥）', '메뉴 선택 2(메추리알', '맛 선택(착한맛', '떡&오뎅사리 추가선택(사리 추가 안함)', '쿨피스 930mL']",순한맛인데그래도매콤함이좋네요,[]
15,4,"['엽기떡볶이', '떡&오뎅사리 추가선택(사리 추가 안함)', '주먹김밥', '계란찜']",계란찜이 너무 싱거워서 아쉬웠어요 떡볶이는 맛있었어요 다음에는 양배추좀 더 넣어달라고 하면 더 넣어주시나요? ㅎㅎ 잘먹었습니다,[]
16,4,"['A set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알）', '메뉴 선택 2(계란', '맛 선택(덜매운맛', '떡&오뎅사리 추가선택(사리 추가 안함)']",덜 매운맛도 상당히 맵네요 맛있게 맵습니다 치즈는 선택할수 있으면 좋겠네요,['https://rev-static.yogiyo.co.kr/f25819a51e8dcf3263df2fde75d566f5_tn.jpg']
17,5,"['A set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알）', '메뉴 선택 2(계란', '맛 선택(착한맛', '떡&오뎅사리 추가선택(사리 추가 안함)']",배달도 빠르고 양도 많고 맛도 좋아요,['https://rev-static.yogiyo.co.kr/be258c3838d1a1b9e5f21051a4976ada_tn.jpg']
18,5,"['엽기오뎅', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(중국당면)', '주먹김밥', '김말이 3개']","역시 엽떡ㅠㅠㅠㅠㅠ 존맛탱~,~ 옛날엔 제일 매운맛으로 먹었는데 늙엇는지,,,, 덜매운맛도 맵네여",['https://rev-static.yogiyo.co.kr/5cbbc66cc47e4327a38507f511d0e1c1_tn.jpg']
19,4,"['엽기떡볶이', '떡&오뎅사리 추가선택(사리 추가 안함)']","아이들이 먹기에 좋구요. 배송이 늦었지만 사장님은 친절하게 응대해 주셨습니다. 제 생각엔 요기요에서 주문과 배송 시, 누락이 되지 않도록 확인 하는 기능을 가게쪽에 시스템에 넣어줘야 하지 않나 생각됩니다.",[]
20,3,"['B set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알＋주먹김밥）', '메뉴 선택 2(메추리알', '맛 선택(착한맛', '떡&오뎅사리 추가선택(사리 추가 안함)']",맛은 있었는데 젓가락을 하나도 보내주지 않으셨어요.. 원래 요청해야만 주시나요?..,[]
21,3,"['참숯 set（참숯메뉴 택1＋주먹김밥）', '계란야채죽']",사진 찍을 경황이 없어서 사진이 없습니다 랩이 잘못되었던 건지 국물이 다 새서  왔더군요 다음부터는 꼼꼼히 확인해주세요.,[]
22,4,"['A set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알）', '메뉴 선택 2(계란', '맛 선택(착한맛', '떡&오뎅사리 추가선택(떡사리 1번 추가', '토핑 추가선택 1(중국당면', '토핑 추가선택 2(치즈 추가)']",예전에 40분이면 오더니 지금은 한시간 꽉채우네요 앞으로 여유를두고 시켜야겠습니다 맛있고 양도 괜찮습니다 중국당면 좋네요 번창하세요,[]
23,5,"['엽기닭볶음탕', '떡&오뎅사리 추가선택(떡사리 1번 추가', '토핑 추가선택 1(당면 추가)', '써핑쿨 450mL']",맛있었고 양도 많았어요~~~ 다만 배달비가 앱에서 같이 결제되는걸 확인안하고 배달원분한테 배달비를 또 드렸는데 모르신건지 알고 받으셨는진 모르지만.... 배달 별점 빼써요...,['https://rev-static.yogiyo.co.kr/607f60d2aa540b55d9cccf86228a1b3c_tn.jpg']
24,5,"['엽기떡볶이', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(중국당면)', '주먹김밥']",배송60분보다 빨리오고 맛잇어요ㅎㅎ 역시 엽떡입당,['https://rev-static.yogiyo.co.kr/7e408861be61eff12fb2de3554cc8c72_tn.jpg']
25,5,"['B set（엽떡or엽오or반반 中 택1＋야채튀김1＋김말이1＋만두2＋계란or메추리알＋주먹김밥）', '메뉴 선택 2(계란', '맛 선택(착한맛', '떡&오뎅사리 추가선택(떡사리 1', ' 오뎅사리 1번 추가', '토핑 추가선택 1(치즈 추', '중국당면)']",신속 배달에 맛또한 좋습니다.,[]
26,5,"['엽기떡볶이', '떡&오뎅사리 추가선택(오뎅사리 1번 추가', '토핑 추가선택 1(햄（7개） 추가', '토핑 추가선택 2(치즈 추가)']",빨랐습니다 배달도 ㅎㅎ 맛있어요,[]
27,5,"['엽기떡볶이', '떡&오뎅사리 추가선택(사리 추가 안함', '토핑 추가선택 1(햄（7개） 추가', '토핑 추가선택 3(우동사리 추가)', '주먹김밥', '쿨피스 930mL']",적당히 맵고 양도 많고 좋았어요 ^^,['https://rev-static.yogiyo.co.kr/9fb4c5f7f34b29ff05aa394a5b1f04ba_tn.jpg']
