,별점,주문메뉴,리뷰,사진
0,2,"['아구찜', '추가 선택(전 추가', '맛 선택(중간맛)', '콜라 500mL']",맛 :  먹어본 아구찜중에 제일 맛이 없었습니다.양 :  생각보다 양이 적었습니다.배달 : 시간은 40분정도 걸렸고 콜라 주문이 빠졌네요추가로 부추전을 주지만 3000원 주고 강제로 추가해야 합니다..어쨌든 아귀찜이 맛있아야하지만 배달이라 기대가 적었음에도 불구하고 너무 별로네요아귀찜 좋아해서 여기저기 많이 먹는편인데 제가 먹은것중엔 제일 별료였습니다. 가격을 올리더라도 맛의 개선이 필요해보입니다,[]
1,4,"['아구찜', '추가 선택(곤이 추가', '맛 선택(중간맛)']",배달은 조금 느렸어요~음식이 많이 식어서 왔고..맛이 조금 변한거같아요..전에도 책자로 보고 여기서 많이 시켜먹었는데 맛이 좀 변한것같아요~짜졌어요..그래도 동치미는 맛있네요~가격저렴해서 좋아요,[]
2,5,"['해물찜', '추가 선택(낙지 추가', '맛 선택(순한맛)']",가격에 비해 해물양도 많고 너무 맛있는것 같아요~ 매콤하고 칼칼한게 중독성 있는 맛?! 동치미도 시원한게 맛있게 잘 먹었네요♡♡♡담에 또  시켜먹을게요~ 대박 나세요~^^,['https://rev-static.yogiyo.co.kr/e825494ba46111e7f8e73b72fc72513c_tn.jpg']
3,5,"['곤이알찜', '맛 선택(순한맛)']",동네지인이 맛있다고 추천하길래 함 시켜봤어요 가격도 부담없고 양도 많네요 배달도 30분안에 왔나? 암튼 생각보다 많이 안기다린 것 같공 왜 추천했는지 먹어보니 알겠더라구요,[]
4,5,"['곤이알찜', '맛 선택(중간맛)', '공기밥', '콜라 1.25L', '사이다 1.25L', '막걸리']",짜지않고 적당하며 가격은 저렴한데 양은많고 파전에 동치미까지 너무 완벽한 저녁밥이었습니다. 심지어 다먹지도 못하고 남겻습니다. 감사합니다.,[]
5,5,"['아구찜', '맛 선택(순한맛)']",콩나물이 아삭한게 신선한 해물이랑 잘 어울러져서 맛있네요 가격도 이정도면 저렴하구요. 입맛없을때 딱 인듯해요! 조만간 또 시켜먹으려구요,['https://rev-static.yogiyo.co.kr/41d7276bd16176d6ce24003841dc5d59_tn.jpg']
6,3,"['해물찜', '추가 선택(전 추가', '맛 선택(중간맛)', '공기밥']",보통맛도 살짝 맵네요양도 많고 특히 부추전 진짜 맛있어요~^^,['https://rev-static.yogiyo.co.kr/1331d7d7738142d95c6490ccea78f467_tn.jpg']
7,5,"['아구찜', '추가 선택(곤이 추가', '맛 선택(순한맛)']",해물찜에 이어 아구찜도 역시 실망시키지 않네요~👍맛있게 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/4e330ed5560eb2e22dced920abc51857_tn.jpg']
8,5,"['곤이알찜', '맛 선택(순한맛)', '공기밥']",맛있어요!! 매콤한거에 밥땡길때 먹음 딱이예요~,[]
9,5,"['해물찜', '추가 선택(알 추가', '맛 선택(중간맛)']",전화받으시는분 엄청친절하시고 정말 해물 푸짐하고 실하네요 깜짝놀랏어요 번창하세요~~,[]
10,5,"['해물찜', '맛 선택(순한맛)']",진짜 양도많고 해산물도 많이들오있고 좋네요!! 맨날 나가서 먹었는데 시켜먹어야겠어요^^ 짱이에요,[]
11,4,"['아구찜', '맛 선택(순한맛)']",먹다가 생각나서 찍었어요 ㅎㅎ맛있는데 왠지 좀 탄맛이 났어요...아구가 먹기좋게 손질되어있어서 맘에 들아요~,['https://rev-static.yogiyo.co.kr/eb94adb930ecc090a755c301c56cd966_tn.jpg']
12,5,"['아구찜', '추가 선택(낙지 추가', '맛 선택(매운맛)']",아구찜맛있어여 ㅋㅋㅋㅋㅋㅋ,[]
13,5,"['곤이알찜', '맛 선택(중간맛)']",아구찜만 먹다가 알찜 먹었는데 진짜 맛있어요ㅋㅋ 알도 많이 들었고 둘이 먹기에 넉넉하네요,['https://rev-static.yogiyo.co.kr/ec480bcc02a564c90ef3eb8f186b9e36_tn.jpg']
14,5,"['해물찜', '추가 선택(전 추가', '맛 선택(중간맛)']",맛있게 배부르게 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/40964bce17d8d068a54d6cac54daea78_tn.jpg']
15,5,"['해물찜', '맛 선택(중간맛)']",평점 좋아서 시켰는데 그에 걸맞아요!가격 구성 배송 다 만족합니다해물찜 들어가는 해산물 빠짐없이 있고 심지어 미더덕 신선해서 나가서 먹는 해물찜보다 만족해요 소에 24000 아주 괜찮은 가격이라 생각합니다 쓸데없는 반찬 없이 딱 적당합니다매운맛 즐기시는 분은 중간맛은 덜 매워서 매운맛 하셔도 될거같아요. 재구매의사 100프로입니다,[]
16,4,"['해물찜', '추가 선택(낙지 추가', '맛 선택(중간맛)']",배달이 1시간 넘게 걸려서 싫었지만  맛과 양은 좋네요!!,[]
17,4,"['곤이알찜', '맛 선택(매운맛)', '막걸리']",알찜 맛있어서 2-3일내에 두번이나 시켜먹었는데배달은 공지해주신 시간보다 늦어요~,[]
18,1,"['곤이알찜', '맛 선택(중간맛)']","맛은 있었으나 배달이 느렸고,식어서 먹었을땐 약간 MAG맛이 느껴졌어요",[]
19,5,"['아구찜', '추가 선택(미더덕 추가', '맛 선택(매운맛)']",한주만에 또 시켜먹었어요 지난번 중간맛 안매워서 매운맛 아구찜에 미더덕추가했더니 정말 맛있게 매운맛이예요 찜도 찜인데 동치미 맛나요. 가격 맛 배달 다 만족이예요!!두번 주문하며 아쉬운 한가지... 미나리 더 넣어주세요 미나리 더 많으면 정말 레전드 될듯 싶어요,[]
20,2,"['아구찜', '맛 선택(순한맛)', '막걸리']",동치미 달랑..반찬 하나 없고 리뷰보니 파전 준다고 하던데 파전은 안주나요? 처음 시켰는데 좀 실망했어요,[]
21,5,"['새우찜', '맛 선택(순한맛)', '사이다 1.25L']",역시 맛있어요!!!,[]
22,5,"['곤이알찜', '맛 선택(매운맛)']",중복주문이되었는데도 직접전화해주셔서 확인해주시고..너무친절하셔서 감동이예요~~맛과양도 너무좋고 배달도 빨랐어요~~,['https://rev-static.yogiyo.co.kr/bce8387a6475f3c97fa4bf20a4adac74_tn.jpg']
23,3,"['쭈꾸미찜', '추가 선택(알 추가', '맛 선택(매운맛)', '공기밥']","여태 맛, 배달, 가격 다 만족해서 잘 먹고있습니다근데 오늘은 배달이 한시간넘게 걸리더니 차디차게 왔네요...",[]
24,3,"['낙지찜', '추가 선택(전 추가', '맛 선택(순한맛)', '공기밥']",맛있게 잘먹었어요~^^,['https://rev-static.yogiyo.co.kr/87e25a2d0b708886ea4d963a4f81c7cf_tn.jpg']
25,4,"['아구찜', '맛 선택(중간맛)']",중간맛이 덜  매움넘 잘게 나옴양이 부족함소자 시킴,[]
26,5,"['해물찜', '맛 선택(순한맛)']",아구찜 소자에 낙지 추가해서 순한맛으로 시킴.평 잘 안남기는데 다먹고 너무 만족해서 다른 사람에게도 추천하고가게에 도움되라구 평남겨요!!배달이 한시간정도 걸리는데 제가 요청한게있어서 사장님께 걸려온 전화가 친절해서 기다릴만했어용ㅎㅎ아구가 다 발라져서 와서 먹기 너무 간편해서 너무 좋았어요!!거의 아구찜시키면 콩나물이엄청많고 다른건 별로없는게 대부분인데 여긴곤이알? 이 비교적 커서 알이 많아보이긴 하지만 비중이 다 비슷한거같아요ㅎㅎ근데 전 다 좋아하는데 콩나물을 특히 좋아하는데 먹다보니 콩나물이 부족햇어요..ㅋㅋㅋㅋ,[]
27,5,"['아구찜', '맛 선택(순한맛)']",너무 맛있어요. 강추 !!!!,[]
28,4,"['곤이알찜', '추가 선택(전 추가', '맛 선택(중간맛)']",배달이좀늦어서65분예정인데 95분걸려오네요 맛은 고니는신선한거같아요~,[]
29,5,"['곤이알찜', '맛 선택(중간맛)', '공기밥']",맛있어요 맛있어요 맛있,[]
30,5,"['해물찜', '맛 선택(중간맛)']",콩나물보다 해물이 많아서 놀랐네요~ 맛도 깔끔해서 와이프가 많이 좋아하네요 ㅎㅎ 다음에 또 시켜먹을꺼에요 ㅎ,[]
31,5,"['아구찜', '맛 선택(순한맛)', '공기밥', '사이다 1.25L']",찜 먹을때 마다 항상 이용하는데 항상 만족합니다!,[]
32,5,"['쭈꾸미찜', '맛 선택(중간맛)']",배달이 좀 늦었고 기사분의 착오가 있었지만 사장님께서 빠르게 대처해주셔서 음식 바로 다시 받았어요^^ 정말 맛있네요 양도 제가 생각했던 것보다 많습니다. 소자를 시켜서 콩나물만 많을줄 알았는데 쭈꾸미도 고니도 넉넉합니다 대만족이에요 배달이야 사람이 살면서 그럴수도 있어서 먹다가 중간에 감동받아 리뷰씁니다 사장님 또 시킬게요 자주자주 봬요,['https://rev-static.yogiyo.co.kr/542344ed9d5ea4594b3f8cca2f6eb5af_tn.jpg']
33,5,"['아구찜', '추가 선택(전 추가', '맛 선택(순한맛)']",아구찜 이랑 부추전 시켰는데 6살 아들이 넘  잘먹어요. 순한맛은 아이들이 먹기에도 부담없어 좋아요. ^^,[]
34,4,"['낙지찜', '맛 선택(순한맛)', '콜라 1.25L']",우리집이 매운걸 못먹다보니 순한맛시켰었는데 순한맛이 이전보다 매워진거같은데  역시 맛은있네요 공기밥도 다른데보다 양이많은듯,[]
35,5,"['곤이알찜', '추가 선택(곤이 추가', '맛 선택(순한맛)', '공기밥']",만점드립니다. 자주 시켜먹을께요. 술안주로 진짜 최고네요!!,['https://rev-static.yogiyo.co.kr/b453f3401ca009a4c60edbe2579d5d6c_tn.jpg']
36,2,"['아구찜', '맛 선택(중간맛)', '막걸리']","아구찜 맛이나 양은 자극적이지 않고 그냥 평범하네요. 심심한 느낌?, 해물 들어간 ""전""은 맛있어요. 오후 4시반이 주문이 많이 밀릴 시간인지는 모르겠지만 55분 걸릴다던 배달은 연락한번 없이 1시간 10분이 지나서 도착ㅠ",[]
37,5,"['곤이알찜', '맛 선택(순한맛)']",겁나 맛있음 시켜드셍,[]
38,4,"['아구찜', '맛 선택(중간맛)']",배달 잘 받았어요~ 미더덕이 안익어서 다시 끓여먹은 것만 제외하면 만족합니다,['https://rev-static.yogiyo.co.kr/928d4d76b695d39211bd462a67f02695_tn.jpg']
39,5,"['아구찜', '추가 선택(곤이 추가', '맛 선택(순한맛)']",양은 솔직히 그렇게 많지는 않은데 맛은 괜찮았어요! 근데 순한맛은 정말 순해서 매운거 잘 못드시는 분들은 꼭 순한맛 드시고 매운거 드실 수 있는 분들은 순한맛 말고 다른 맛 시키세요! 전 나름 만족합니다,[]
40,3,"['해물찜', '맛 선택(순한맛)']","양은 푸짐한 편이지만, 음식이 다 식어와서 좀 불쾌했습니다",[]
41,4,"['곤이알찜', '맛 선택(순한맛)', '공기밥']",곤이알찜과 공기밥 2개 주문했었는데 공기밥 두개시켰었는데 1개만 왔었네요ㅜㅜ 곤이알찜은 맛있었요. 앞으로 배달할때 주문확인 잘해주세요ㅜㅜ,[]
42,5,"['아구찜', '맛 선택(순한맛)']",먹다가 찍었네여..양이 많내여..겜하느라 전화를 못받앗더니 직접 문앞까지 가져다 주시거..죄송스러웠내요..ㅜㅜ맛있게 잘먹겟습니당,['https://rev-static.yogiyo.co.kr/37586b909eaf9aeed6b384cc1cacd189_tn.jpg']
43,5,"['해물찜', '맛 선택(중간맛)']",맛으로는 손색이 없지만 배달이 너무 늦어요 ㅠ,[]
44,5,"['아구찜', '추가 선택(낙지 추가', '맛 선택(순한맛)', '콜라 1.25L']",지인들이 놀러와서 대자로 시켰는데 너무 맛있다고 하네요. ^^,[]
45,5,"['곤이알찜', '맛 선택(순한맛)']",양 굳..배달 20분만에 왔네요..맛도 좋공 파전 잘먹겠습니다..9,['https://rev-static.yogiyo.co.kr/be1889ac99468ff871e63496d0c2b9bd_tn.jpg']
46,4,"['아구찜', '맛 선택(순한맛)', '공기밥']",무난하게 잘 먹었습니다. 간이 세지 않아서 좋았어요,[]
47,5,"['해물찜', '추가 선택(알 추가', '맛 선택(중간맛)']",맛잇게잘먹엇습니다~~^^,[]
48,5,"['곤이알찜', '맛 선택(순한맛)', '공기밥']",알찜 첨시켜봤는데 넘 맛있어요!!,['https://rev-static.yogiyo.co.kr/5c10768676e04618017e3ab69f5b5bb7_tn.jpg']
49,3,[],맛은 다른 평 대로 쉼쉼한 편이여요아귀찜을 좋아해서 많이먹어봤는데 쉼쉼한편이요 순하게 먹으면 7 살 ㆍ초딩 애기도 먹을 맛이예요 양은 그럭저럭이고 부침개는 맛나요,['https://rev-static.yogiyo.co.kr/97582d3191a1b73600b091faf7d62c1c_tn.jpg']
50,5,"['아구찜', '맛 선택(매운맛)']",맛나용 맛나ㅋㅋ배송도 ㅋㅋ빠르신편,[]
51,3,"['곤이알찜', '추가 선택(알 추가', '맛 선택(중간맛)']",색에서도 느껴지듯이 싱겁네요...맛이...쫌더 간이 되야 할거 같아요~,['https://rev-static.yogiyo.co.kr/198ef8d969dd3945374c3431ac547449_tn.jpg']
52,4,"['해물찜', '추가 선택(전 추가', '맛 선택(중간맛)', '공기밥']",매콤한데 싱거워요.,['https://rev-static.yogiyo.co.kr/62c175ca4bfd936243b6da99b9caa998_tn.jpg']
53,3,"['새우찜', '추가 선택(곤이 추가', '맛 선택(중간맛)']",먹을만은한데 딱히 맛잇다는아니예요,[]
