,별점,주문메뉴,리뷰,사진
0,5,['속초 오징순대＋명태회무침'],오징어 순대 와 명태 무침 소주 한잔하기 딱이네요,[]
1,5,['자연산 서해 통골뱅이 찜탕 '],"국물이 엄청얼큰합니다. 적당히 알싸하고 시원하네요. 주먹만한 통골뱅이로 약 13개 정도 들어있는것 같아요. 골뱅이 내장도 안비리고 신선한걸 쓰시는 느낌이납니다. 사이드로는 사리해먹으라는 칼국수면과 부찬을 주시는데.. 국물이 너무 얼큰해서 먹다보니 칼국수는 못먹을것같습니다ㅠ 좀더 허접해도 작은쭙쭙이소라같은거엿음 더 실용적이었을것같아요. 부찬에 깻잎은 생각보다 잘어울려서 다음엔 더 부탁드릴려구요. 맛있게 잘먹었습니다.포스트잇에 직접 써주신 ""맛있게 드세용"" 보고 열심히 준비해주신것같아 리뷰 남깁니다.",[]
2,5,"['자연산 동해 백골뱅이 찜탕 ', '강릉 꼬막 비빔밥 1人']",맛있어서 사진 찍는걸 잊었어요추운 날 소주 한잔이랑 진짜 잘어울려요골뱅이탕 꼬막 다 맛있어요양도 많인서 둘먹기에 많아요,[]
3,3,['자연산 서해 통골뱅이 찜탕 '],자연산골뱅이는처음먹어보는데정말맛있었어요ㅡ최고예요ㅡ애들도너무맛있어하더라고요ㅡ그런데국물이ㅜㅜ그냥어묵탕같았어요ㅡ저는맑은탕인줄알았는 데어묵탕에골뱅이넣은듯해서너무아쉬웠어요ㅡ재료가너무좋은데국물이너무아쉬웠네요,[]
4,5,['자연산 서해 통골뱅이 찜탕 '],너무너무너무어무어무너무너무너무머무머누너너누너무,[]
5,5,"['강릉 꼬막 비빔밥 1人', '속초 오징순대＋명태회무침']",양도푸짐하고 완전맛있어요!,[]
6,5,"['서해 통골뱅이 찜탕（600g）', '꼬막비빔밥', '소주']",너무너무 맛있어요내일 또 먹고싶을만큼요골뱅이 쫀득쫀득 맛나구요 재료가 신선해서 내장까지 버터맛 바다향기 좋았어요꼬막비빔밥은 무조건 먹어야해요근데 한가지 좀 궁금한건 중자와 대자의 차이가 무엇인지...다른 리뷰에 중자 17~18이라고 해서 대자 시켰는데 골뱅이 17개예요...그냥 중자시킬걸 그랬나요? ㅎㅎㅎ,"['https://rev-static.yogiyo.co.kr/c6dae995bd5f667cb7efe7af721115ed_tn.jpg', 'https://rev-static.yogiyo.co.kr/505cc4606f0e719a1241639edc8a6aaa_tn.jpg', 'https://rev-static.yogiyo.co.kr/32cf2e4745130c3bee172f7c813bd7c3_tn.jpg']"
7,5,['서해 통골뱅이 찜탕（600g）'],지속적으로 시켜먹는 곳인데 항상 좋아요,[]
8,3,['꼬막무침＋비빔밥'],푸잠하고 맛있어요~,[]
9,5,"['동해 서해 반반 통골뱅이 찜탕（350g＋350g）', '꼬막비빔밥']",너무 맛있게먹어서 사진을 못찍었어요~~ 골뱅이 좋아해서 산지직송으로도 많이 시켜먹어요~~근데 1-2일전에 주문해야되서 급 먹고싶을때 급한대로 여기서 주문해서 먹어요~~ 두번째 주문인데 골뱅이도크고 국물양도 많고 국물이 진짜 맛있어요~~ 소주에 먹으면 진짜 피로가 싹~~골뱅이 양이 조금 아쉽지만 .. 그래도 다른집에비해 가성비 좋은편이예요~ 술안주로는 양이 딱좋고 저녁대용으로는 꼬막비빔밥 같이 주문하면 좋아요~~ 꼬막비빔밥도 진짜 맛나요~ 친구들놀러오면 국물땜에 주문할것같아요~~ 또 주문할께요~많이파세요!!,[]
