,별점,주문메뉴,리뷰,사진
0,4,"['구운돼지갈비 1인분（200g）', '공기밥', '콜라 小']",음 어제 한번시키고 오늘또시키는데요맛있긴맛있어요ㅠㅠ 김치찌개 정말맛있어요근데..양이 1인분이라도 너무작아요..진심너무작아요..정말...ㅎㅎ그거빼곤 진짜맛있어요! 제입맛에딱♡♡,[]
1,5,['구운삼겹살 1인분（200g）'],삼겹은 두꺼운 삼겹 평타인데 밑반찬 찌개가 괜춘하네요. 야채는 양 괜찮고 더 괜 찮은건 고기 구울 때 같이 구운건지 마늘 고구마 소세지가 있네여 이거 진짜 굿 소세진 솔직히 쏘쏘한데 고구마 마늘은 내가 좋아서 그란지 좋더라구여 ㅋㅋ하튼 최근 주문한 곳 중 꽤 괜찮네여 ㅎㅎ,['https://rev-static.yogiyo.co.kr/3fad50c1914fb24f5d6e9643f58ab8b3_tn.jpg']
2,4,['혼목살（300g）'],맛은 맛있었어요.개인적으로는 목살보단 삼겹살이 나은거 같아요,[]
3,5,['혼삼겹（300g）'],맛낭ㅇㅇㅇㅇㅇㅇㅇㅇ,[]
4,5,['혼삼겹（300g）'],삼겹살집 시킨곳중 여기가 제일맛있어요김치찌개도 진짜맛있어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/7ef918e190514f09bd120a6895e22781_tn.jpg']
5,5,"['땡초삼겹살 1인분（200g）', '구운삼겹살 1인분（200g）']",저번에 다른곳에서 시켜먹었을때 고추장삼겹살이 완전별로고 고기도 얇았는데 여긴 완전 제스퇄!!!겁나맛나게먹었네요ㅋㅋ!!!!,[]
6,1,['혼삼겹（300g）'],고기도너무퍽퍽하고김치도별로구하다못해쌈장도별로에요,[]
7,4,"['구운삼겹살 1인분（200g）', '공기밥']",나쁘지않습니다 맛있어요,[]
8,5,['혼삼겹（300g）'],맛있습니다 삼겹살도 찌개도 ㅎ최근 영통배달 삼겹살집중 가장 마싯는듯굿굿굿 다음에 또 시켜먹을게여 상차리다가 김치찌개흘린건 안비밀,['https://rev-static.yogiyo.co.kr/650923095c1dbaa5443858299414f348_tn.jpg']
9,1,[],"안시켜본 곳에서 시켜보려고 처음으로 주문했는데 전화받는사람 태도가ㅋㅋㅋㅋ약속시간보다 20분이나 늦게 도착했고, 주문한지 1시간 됐을때 전화해서 언제오냐고 친절하게 물어봤더니 ""아 출발했어요 출발했다고요 아오"" 이렇게 불친절하게 응대하고 손님한테 승질이나 부리는 이런곳에서 다시는 안시켜 먹으렵니다^^ ㅋㅋㅋㅋ고기도 다식어서 굳은 기름기도 있었음ㅋㅋㅋㅈㄴ노맛  어이가 없을뿐",[]
10,5,['혼삼겹（300g）'],배달 빠르고 좋네요 수고하세요~,['https://rev-static.yogiyo.co.kr/7a9199d1fc361e775a9a7951a67f69cb_tn.jpg']
11,3,"['구운돼지갈비 1인분（200g）', '공기밥']",그럭저럭 먹음...,[]
12,4,['혼삼겹（300g）'],양도 많고 특히 깈치 찌개 엄청 맛잇넹ㅛ!!,[]
13,5,['혼삼겹（300g）'],여기 진심 양과 맛 개쩝니다 후회 없음,[]
14,5,"['구운목살 1인분（200g）', '혼삼겹（300g）', '공기밥']",굳~!!!!찌게가 특히 맛나네요ㅎㅎ,[]
15,5,"['구운삼겹살 1인분（200g）', '사이다 大']",너무 맛있어요 |~,[]
16,5,['혼삼겹（300g）'],배불러요맛있어요 맛있,[]
17,5,"['구운삼겹살 1인분（200g）', '구운목살 1인분（200g）']",아주 맛있게 잘먹었습니다,[]
18,5,['혼삼겹（300g）'],맛있어요 혼밥메뉴있어좋아요,['https://rev-static.yogiyo.co.kr/877456adb73d2660888c36d405774426_tn.jpg']
19,4,['혼삼겹（300g）'],고기매니아인 제가너무좋네요양도푸짐하고 가격도 적당하고재주문각이네요~ 오늘또재주문합니당ㅋ,"['https://rev-static.yogiyo.co.kr/596a2ac5c58f07933f567a9350170365_tn.jpg', 'https://rev-static.yogiyo.co.kr/90e5f676f5ac1add1ee6ba30c6659666_tn.jpg', 'https://rev-static.yogiyo.co.kr/2609e924adc211c0f7ba9356f768cbfd_tn.jpg']"
20,5,['혼삼겹（300g）'],양 가격 배달속도 맛 모두 괜찮네요,[]
21,3,"['혼삼겹（300g）', '혼목살（300g）', '주먹밥', '사이다 大']",조금 느끼하고 양이 적은듯..ㅠㅠ,[]
22,5,"['혼삼겹（300g）', '사이다 大']",혼자먹기 좋아요 ㅎㅎ,[]
23,5,"['구운돼지갈비 1인분（200g）', '주먹밥']",처음 시켜먹었는데 기대 이상으로 맛도 좋고 양도 많았습니다.자주 먹을게요^^,[]
24,3,['혼삼겹（300g）'],맛 그냥저냥 김치찌개에 날파리들어가있음..,['https://rev-static.yogiyo.co.kr/848917dee96bc0c0ff5f04abb4765625_tn.jpg']
25,4,['혼삼겹（300g）'],사장님. 다 좋은데 상추가 모지라요.. 옵션으로 한 500원 추가하면 상추 10장만 더 줘염.. 으어어어.. 상추가 모자라...,['https://rev-static.yogiyo.co.kr/e196915d201a948d4e4821282e537003_tn.jpg']
26,3,"['혼삼겹（300g）', '공기밥']",무난하니 맛있어요~~~ 다음에 또 시켜먹을게요,[]
27,5,"['혼삼겹（300g）', '콜라 大']",너무 맛있고 재주문 예정입니다^^,['https://rev-static.yogiyo.co.kr/cab8d3bd1d3f7db4728e51e841ff0dd7_tn.jpg']
28,3,['혼삼겹（300g）'],그냥 집에서 굽기는 그렇고시키기에는 애매하고 좀 바싹익혀주시면 다시한번 시킬만해용,[]
29,5,"['구운돼지갈비 1인분（200g）', '구운삼겹살 1인분（200g）']",갈비 겁나맛있네요 삼겹살은 모르겠음,[]
30,2,"['구운삼겹살 1인분（200g）', '구운목살 1인분（200g）', '공기밥', '콜라 大']",고기에 사이드로 구워준 고구마가 잔뜩 썩을대로 썩었더라구여 그 고구마조각 주변에 고기도 찝찝해서 다버렸어요.. 배달삼겹살집 많은데 이런식으로 장사하시면 경쟁안되죠...,[]
31,5,"['혼삼겹（300g）', '사이다 大']",개인 취향이지만 삼겹보단 목살이 더 나은듯해요,[]
32,5,['혼삼겹（300g）'],맛잇어요ㅎㅎ 굿ㅎ,[]
33,4,['혼목살（300g）'],40분 소요 된다던 배달이 1시간 넘게 걸려서 전화드렸더니 배송완료라 하셔서 당황했네요 전화 끊고 5분 후에 도착했어요 찌개랑 고기 그안에 고구마랑 소세지도 괜찮ㅇ네요 감사합니다,['https://rev-static.yogiyo.co.kr/e54f53ff1e5b41cb92864c715756f7de_tn.jpg']
34,4,['구운삼겹살 1인분（200g）'],맛있습니다 집에서 고기굽기 싫을때 딱임,[]
35,4,"['혼삼겹（300g）', '사이다 大']",오늘 또 시켰습니당 ㅋ,[]
36,5,['혼삼겹（300g）'],너무 맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/bcbbfd62e4e074f86e067c6d1145f0b0_tn.jpg']
37,4,['혼삼겹（300g）'],대체적으로 물렁뼈가 많았어요 맛은 있었는데 그점이 아쉽네요. 개인적으론 물렁뼈를 안좋아라해서..;;무튼 그거빼곤 만족이요,[]
38,3,"['혼삼겹（300g）', '혼목살（300g）', '사이다 大']",먹을만 합니당~ ㅎㅎ,[]
39,4,['혼삼겹（300g）'],괜찮내요 처음 시켜먹는데.,[]
40,5,['혼삼겹（300g）'],삼겹살이 땡길때 괜찮네요,[]
41,5,['혼목살（300g）'],와드용. 혼목살로,[]
42,1,['혼삼겹（300g）'],고기가 별로 맛없음... 살짝 누린내도 나고 쌈장도 별로임..,[]
43,4,['혼삼겹（300g）'],너무너무맛있습니다ㅎ,[]
44,4,"['땡초삼겹살 1인분（200g）', '구운삼겹살 1인분（200g）']",고기도  괜찮고 맛도 좋아요,[]
45,5,['구운삼겹살 1인분（200g）'],깔끔하고 맜있네요쌈이 엄청 많았구요 ㅋㅋ,['https://rev-static.yogiyo.co.kr/3b8c0c0f1d8b134c7f591a9381a8a74d_tn.jpg']
46,5,"['혼삼겹（300g）', '공기밥']",혼자 먹기에 가격도 부담없구 사람마다 느끼는게 다르겠지만 양도 많아용ㅎㅎ 저는 삼겹살 몇점 냄겨써용,[]
47,5,['혼삼겹（300g）'],맛있어요~~~~~~~~~~,[]
48,5,['혼삼겹（300g）'],잘먹었습니다....,['https://rev-static.yogiyo.co.kr/45ab73f2d8907243b9b1139906da277b_tn.jpg']
49,2,['혼삼겹（300g）'],솔직히 맛은 별로에요,['https://rev-static.yogiyo.co.kr/338c7767cb143f28d772ec920331ff84_tn.jpg']
