,별점,주문메뉴,리뷰,사진
0,3,"['국물떡볶이（2人）', '사이즈 선택(2人', '일회용품 선택(수저젓가락 필요없어요)']",잘 먹었습니다.선택은 알아서,['https://rev-static.yogiyo.co.kr/5fafd19bf5ee2c2fb54688f4fd3eaa8f_tn.jpg']
1,5,"['로제떡볶이（2人）', '일회용품 선택(수저젓가락 필요해요', '토핑 추가선택(납작당면사리 추가)', '국물떡볶이（2人）', '사이즈 선택(2人', '일회용품 선택(수저젓가락 필요해요)', '크림떡볶이（2人）', '사이즈 선택(2人', '일회용품 선택(수저젓가락 필요해요', '토핑 추가선택(납작당면사리 추가)', '마늘떡볶이（2人）', '사이즈 선택(2人', '일회용품 선택(수저젓가락 필요해요)', '닭껍질 튀김 ', '닭다리살 가라아게', '셀프주먹밥']",기본 떡볶이가 제일 맛있어요!,[]
2,5,"['국물떡볶이（1~2人）', '사이즈 선택(2人', '일회용품 선택(수저젓가락 필요해요)']","배달 20분도 안돼서 왔고 안에 당면,소세지,떡,메추리알,양배추,오뎅 이렇게 들어있어요 ! 양은 1.5인분 정도 되는것 같아요 ! 2명이서 먹으려면 사이드같은거 더 시켜서 먹는게 좋을것 같아요 ! 새로 생긴 떡볶이집인것 같은데 맛있어요 ! 번창하세요 ㅎㅎㅎ",['https://rev-static.yogiyo.co.kr/a7f9b4de347527da39d9e0b3f600f1d2_tn.jpg']
3,5,"['한떡세트（떡볶이 1~2人＋튀김 4개＋쿨피스 450mL）', '맛 선택(매운맛', '튀김4개 선택(김말', '우유튀', '고구마튀', '미니핫도그', '일회용품 선택(수저젓가락 필요해요)']","네, 맛있게 잘 먹었습니다!하리보도 감사합니다 :)",['https://rev-static.yogiyo.co.kr/a8c365f27518c78646c7eb80aa3d0096_tn.jpg']
4,3,"['국물떡볶이（1~2人）', '맛 선택(보통맛', '일회용품 선택(수저젓가락 필요해요)', '닭껍질 튀김 ', '우유튀김 4개']","다좋은데, 닭껍질튀김이 쫙 펴져서 튀겨진게 아니라 뭉쳐져 튀겨진게 많아 씹을때 바삭한게 아니라 물컹이는 불쾌함이 많았어요,,, 다른데서 맛있게 먹어서 닭껍 두개 시켰는데 결국 남깄네요 태어나서 우유튀김은 처음먹어봄 그건 그냥 경험",[]
5,5,"['국물떡볶이（1~2人）', '맛 선택(보통맛', '일회용품 선택(수저젓가락 필요해요)']",오픈한 첫날부터 시켜먹기 시작해서 벌써 7번 정도 시켜먹은거 같아요. 맛이 다양해서 더 좋아요,[]
6,5,"['치즈바다떡볶이（1~2人）', '맛 선택(보통맛', '일회용품 선택(수저젓가락 필요해요)']",치즈떡볶이를 시켜서 이게 진짜 치즈떡볶이라고 생각이 든건 최근에 처음이에요 ㅠㅠㅠㅠ,[]
7,5,"['로제떡볶이（1~2人）', '맛 선택(보통맛', '일회용품 선택(수저젓가락 필요해요)']",로제 존맛이에요 혼자서도 먹을만한 양입니다,[]
8,5,"['로제떡볶이（1~2人）', '맛 선택(보통맛', '일회용품 선택(수저젓가락 필요해요)']",최고에요 ㅠㅠㅠ 떡볶이는 여기서밖에 안 시켜먹고 있어요,[]
9,5,"['한떡세트（떡볶이 1~2人＋튀김 4개＋쿨피스 450mL）', '맛 선택(보통맛', '튀김4개 선택(야끼만', '새우튀', '고구마튀', '고구마치즈스틱', '일회용품 선택(수저젓가락 필요없어요)']",평소에는 매장가서 친구들이랑 먹었는데 오늘은 비가 와서 처음으로 시켜먹어봤어요!배달인데도 튀김도 바삭바삭해서 좋고 떡볶이도 양이 엄청 많네요 뒤적일 때마다 떡이 나오는ㅋㅋㅋㅋ맛있게 먹었습니다!,['https://rev-static.yogiyo.co.kr/5bac4ce02df98a13bcc0d37ae3554a99_tn.jpg']
