,별점,주문메뉴,리뷰,사진
0,5,"['반마리찜닭', '맛 선택(아주순한맛', '면 선택(둥근당면', '음료 선택(콜라500mL)']",오~여기서 처음 시켜먹어봤는데 완전 맛있어요. 2단계인데 딱 적당한 매운맛?맵긴한데 막 매워서 바로 뭐 마시고 그럴 필요 없이 조금 하하 거리면 다시 먹을 수 있을 정도에요. 소스도 대박 맛있어서 밥비벼먹고 있어요^^새우도 완전크고 바삭바삭!!앞으로도 자주 시켜먹을께요 JMTGR,"['https://rev-static.yogiyo.co.kr/29427677388b43794a40bb0f7f1be2ed_tn.jpg', 'https://rev-static.yogiyo.co.kr/95a92c529adceca569c6a99ff9aa30ee_tn.jpg']"
1,5,"['반마리찜닭', '맛 선택(아주순한맛', '면 선택(둥근당면', '음료 선택(콜라500mL)']",오늘 오픈했길래 묵은지랑 빨강시켜먹었는데넘 맛있어요! 빨간찜닭도 맛있었고묵은지찜닭이 특히 존맛탱 !🤩전화받으신 사장님도 검나 친절하심 ㅠㅠ역시 사장님이 친절해서 음식도 맛있나봐요 👍🏻♥️다음에 까만이랑 불도 시켜먹을게용!,"['https://rev-static.yogiyo.co.kr/4332b81e22d40e19ed6a153066ef1e81_tn.jpg', 'https://rev-static.yogiyo.co.kr/1ec045aabfe4d82952beb821e4927675_tn.jpg']"
2,5,"['반마리찜닭', '맛 선택(아주순한맛', '면 선택(둥근당면', '음료 선택(콜라500mL)']",맛있어요:) 또 주문할게요!,[]
3,5,"['두마리찜닭', '맛 선택  1(약간매운맛', '면 선택 1(납작당면 변경', '닭 선택 2(뼈（빨간）', '맛 선택  2(약간매운맛', '면 선택 2(납작당면 변경', '음료 선택(콜라500mL', '토핑 추가 선택1(치즈 추가', '메뉴 추가 선택(공기밥 추가)', '공기밥']",너무너무 맛있네요!! 리뷰가 별로 없어서 반신반의 했는데 양과 맛 두마리 토끼를 모두 잡을 수 있는 맛집으로 인정합니다~~,"['https://rev-static.yogiyo.co.kr/f9c11c08f2353b300618ee49454a9bc5_tn.jpg', 'https://rev-static.yogiyo.co.kr/13f5620851e4889f43066f07cbb90507_tn.jpg']"
4,5,"['한마리찜닭', '맛 선택(보통맛', '면 선택(둥근당면', '음료 선택(콜라500mL)']",맛있어요!!! 리뷰보고 후기 좋길래 주문했는데 진짜 최고ㅜ 둘이서 먹기에 좀 남을 정도로 양도 넉넉했습니다 ㅎㅎ 당면이 많아서 엄청 좋았어요 ㅋㅋㅋ이제 찜닭은 앞으로 여기서 먹을려구요 ㅎㅎ 배달해주시는 분도 직원분이신진 모르겠지만 엄청 친절하셔서 좋았어요!,"['https://rev-static.yogiyo.co.kr/ac2fc76158572cc43befda2fecf9cc12_tn.jpg', 'https://rev-static.yogiyo.co.kr/ad30d7737c9b0ffd43720377eb64a9d7_tn.jpg']"
5,5,"['반마리찜닭', '맛 선택(보통맛', '면 선택(납작당면 변경', '음료 선택(스프라이트500mL)']","찜닭을 좋아해서 얼마전에 다른곳 두 곳 먹어보고새로 생겼길래  궁금해서 주문해보았어요^^일단 가격면에서 다른곳보다 저렴하고,닭양은 그만큼 더 적었어요.. 근데 저는 조금 더싸고 양줄은 이게 더 좋은.ㅎ이곳 음식은 깔끔한맛이고 세번째단계인 보통맛 시켰지만신라면보다 맵지않고,입술이 살짝 매콤한거 먹었구나 느끼는정도랄까요?느끼하지도않고 자극적이지 않아서 딱좋은거 같아요돈까스는 서비스인데 커서 놀랐네요^^ 배불리 잘먹었습니다 ~남은건 꿀팁 적어주신대로 저녁에 밥비벼먹을꺼에요♡초심 잃지않는 두찜되세요^^","['https://rev-static.yogiyo.co.kr/579acbc1a9c0903f378587e2899e76df_tn.jpg', 'https://rev-static.yogiyo.co.kr/16e450faf4e85d18cc10f1edf257c8f8_tn.jpg', 'https://rev-static.yogiyo.co.kr/c0d86e8385aaa88ba664fa723853581e_tn.jpg']"
6,5,"['한마리찜닭', '맛 선택(약간매운맛', '면 선택(납작당면 변경', '음료 선택(스프라이트500mL', '토핑 추가 선택(둥근당면 추가)']",리뷰는 처음 써보는뎅ㅋㅋ찜닭이 너무먹고싶어서 찾다가 리뷰 좋아서 시켰는데 역싀..존맛이여...당면 추가 했더니 혼자먹기 투머치 였지만 맛있오요 ㅠㅠㅠ 자주시켜먹을께요~~^^,['https://rev-static.yogiyo.co.kr/43c0df59d03560e17bb7ba268594474b_tn.jpg']
7,5,"['반마리찜닭', '맛 선택(보통맛', '면 선택(둥근당면', '음료 선택(콜라500mL)']",배달 음식 주문하면 사진부터 찍어요맛없으면 다음부터 주문하지말아야지 하고 사진버리고(사장님은 나름 맛있게 했을 텐데 제 취향이 아닐 수도 있어서요)맛있으면 감사의 뜻으로 글을 남기는 편입니다(오롯이 제 입맛을 반영한 글입니다~)보통맛으로 주문했는데 약간 매콤한 정도예요달콤 짭조롬 매콤 합니다~양은 동봉된 김가루와 참기름에공기밥 3개 넣고 평소 많이 먹는 여자 둘이서 먹었는데 딱 좋았어요~다음에 또 주문할게요~,"['https://rev-static.yogiyo.co.kr/6c5c450418f432d57ee62735896b92d2_tn.jpg', 'https://rev-static.yogiyo.co.kr/fc7ee6be007dc7a08ebfaf14c4dbaf62_tn.jpg']"
8,5,"['한마리찜닭', '맛 선택(보통맛', '면 선택(둥근당면', '음료 선택(스프라이트500mL', '토핑 추가 선택(둥근당면 추가)']",일단 배달 시간은 예상시간보다 조금 빠른배달양은  당면추가 해서  너무많음  혼자 먹기엔 사리 추가 비추  맛은 중상 입니다  보통맛 시켰는데  살짝 매운정도  전체적으러 재주문 해도 괜찮은 곳입니다.,['https://rev-static.yogiyo.co.kr/76c2c2d0c95cc482ec2d76f96d31634d_tn.jpg']
9,5,"['한마리찜닭', '맛 선택(보통맛', '면 선택(둥근당면', '음료 선택(콜라500mL', '토핑 추가 선택(둥근당면 추가)']",두찜은 무엇보다 둥근당면이 있어서 좋아요! 당면 양도 많고 고기도 맛있어여!! 특히 양파를 좋아하는데 두찜은 양파도 많이 넣어줘서 좋습니다. 다른 지역에서만 먹다가 여기에도 두찜 생겨서 좋네요!,['https://rev-static.yogiyo.co.kr/051820ca5e0c64a15d923041ddc1ef23_tn.jpg']
