,별점,주문메뉴,리뷰,사진
0,4,"['100 헌드레드 버거 ONLY', '프레미엄 버거 ONLY']",양이 많은건 모르겠는데 맛은괜찮아여,[]
1,5,"['에그 후라이 버거 ONLY', '콜라 짧뚱캔 245mL', '훈제 닭가슴살 샐러드']",간만에 맛있는 햄버거였네요. 감자도 맛나고..,[]
2,3,[],맛ㆍ배송ㆍ괜찮았습니다 햄버거가 할매찌찌처럼 쭈글쭈글해도 맛있어서 용납가능한 수준입니다만기본이 안돼있네요.주문에 분명히 헤쉬브라운2개라고 나와있는데 왜 돈은2개값 받고 배달은 1개입니까?주문확인이 장사의 기본아닙니까?,[]
3,1,"['타스 버거（추천）ONLY', '프레미엄 버거 ONLY']",주문한 메뉴는 확인하고 보내는 건지...7500원짜리주문하니까 5900원짜리보내는건 무슨경웁니까?전화할려니 전번도없네요,['https://rev-static.yogiyo.co.kr/5ec926eecbe5f4faa6926f745062060c_tn.jpg']
4,4,"['타스 버거（추천）ONLY', '아보카도 쿰버ONLY']",감자 맛있게튀기는거같아요 뇸뇸,[]
5,5,[],주문 2회차입니다.1회차에 배달안왔던 헤쉬브라운도 같이보내주셨네요.가격과 맛은 정말좋습니다.사장님께 부탁드리고싶은점은 기름진음식포장에 조금만더 신경써주셨으면 좋겠어요.헤쉬브라운봉투에서 나온기름이 버거봉투든 뭐든 외부포장어디에나 다 묻어서 먹다보니 제손이 온통 기름범벅이에요.그점만제외하면 전체별5개도 아깝지않습니다.,[]
6,3,"['에그 후라이 버거 ONLY', '모듬 튀김']",맛이  달라진듯..,[]
7,5,"['바베큐 갈릭 칩스 버거ONLY', '멜팅 스파이더 치킨 버거 ONLY', '어니언링']",맛있어용 배달도 빨리 오구 ㅎㅎ 맛있어요 근디 좀 맵더라구여 ㅜ,[]
8,3,"['베이직 따버 ONLY', '릿츠 버거（쵸콜릿 버거）ONLY', '아보카도 쿰버ONLY']",가격대비  패티며 구성 알차고 맛있어요 감자 맛나요 양이살짝더 많앗음하는 작은바램요 그런데   소스인지  빨강국물이 뚝뚝 떨어져서  ㅜ 별하나빼요,[]
9,3,"['하와이안 파인 버거ONLY', '해쉬브라운 1개']",저기요... 해쉬브라운 주문했는데 안왔네요.... 요금도 14900원이러고해서 놀랬는데.. 알고보니 그쪽에서 잘못하신거였고요... 어떻게 된거죠???,"['https://rev-static.yogiyo.co.kr/651eff0333a716b10580ef19b170cbd8_tn.jpg', 'https://rev-static.yogiyo.co.kr/a77192da03429ba4c12f7fbd0c5fad89_tn.jpg', 'https://rev-static.yogiyo.co.kr/2002956c52be7b57f8c1dbbc77ffd3e4_tn.jpg']"
10,5,['타스 버거（추천）ONLY'],맛있었어요잘먹었습니다,[]
11,3,"['시나 베이컨 버거 ONLY', '에그 후라이 버거 ONLY', '사이다 큰뚱캔 355mL', '불고기 샌드위치', '베이컨 샌드위치']",잘먹었어요마니파세요,[]
12,3,"['릿츠 버거（쵸콜릿 버거）ONLY', '에그 후라이 버거 ONLY', '콜라 큰뚱캔 355mL']",콜라 2000원짜리 더 주문했는데 결제는 추가한거까지 다받으시고 상품은 안와서 전화하는데 전화도 암받네요;;;,[]
13,5,"['프레미엄 버거 ONLY', '훈제 닭가슴살 샐러드']",배달도 빠르고 맛도 아주 좋았어요.,[]
14,3,"['불고기버거 ONLY', '에그 후라이 버거 ONLY']",따듯한버거? 차디찬버거인줄 ㅎㅎ맛은있게요,[]
15,5,"['스파이스치킨버거 세트', '자몽에이드', '블루베리에이드', '체리콕']",치킨 이 좀 작은거 같긴한데 괜찮았어요~,[]
16,5,"['릿츠 버거（쵸콜릿 버거）ONLY', '클럽 샌드위치', '자몽에이드', '체리콕']",이건 신세게 맛이네요ㅋㅋ,[]
17,5,"['타스 버거（추천）ONLY', '자몽에이드', '체리콕']",체리콕이 진짜 진리인거 같아요ㅋㅋ,[]
18,5,"['치즈 핫도그', '바베큐갈릭 핫도그', '블루베리에이드', '체리콕']",핫도그는 안먹어 봤는데 괜찮은거 같아요,[]
19,1,"['에그 후라이 버거 ONLY', '해쉬브라운 1개']",그냥그저그렇네요,[]
20,5,"['불고기버거 ONLY', '파인 스파이더 치킨 버거 ONLY', '사이다 큰뚱캔 355mL', 'HOT 아메리카노']",잘 먹었습니다. 다음에 또 먹고싶어요.,[]
21,4,"['불고기버거 세트', '해쉬브라운 1개']",햄버거가 식었어요ㅠㅠ근데 맛있어요,[]
22,5,"['햄 앤 치즈 샌드위치', '체리콕']",맛있긴하데 배달료 넘 비싸요 ㅠㅠ,[]
23,5,"['에그 후라이 버거 ONLY', '에그 후라이 버거 ONLY', 'ICE 아메리카노']",처음 주문했어요. 맛나요. 강추요,[]
24,4,"['더블（패티）버거ONLY', '베이직 핫도그']",버거양이 저한테는 많아서 배가 많이 불렀어요,[]
