,별점,주문메뉴,리뷰,사진
0,5,['SET 3（허브순살치킨＋땅땅불갈비）'],믿고먹는 땅땅치킨당신이 치킨을 먹을 줄 안다? 그렇다면 한번ㅉㅁ은 먹어보자,['https://rev-static.yogiyo.co.kr/197a495449e5ef1a13be77ab043527f9_tn.jpg']
1,5,['SET 3（허브순살치킨＋땅땅불갈비）'],맛있게 잘 먹었어요!,['https://rev-static.yogiyo.co.kr/5e5723c92485cfc09f91baa9f7f74b73_tn.jpg']
2,5,['SET 3（허브순살치킨＋땅땅불갈비）'],사진을 안찍고 흡입했는데요허브순살보다 옆에 세트로 시킨 땅땅불갈비가 너문 맛있었습니다배달도 엄청 빨라요또 먹겠습니다,[]
3,3,['SET 3（허브순살치킨＋땅땅불갈비）'],가격대비 양은 적다맛은 갈비가 괜찮답니다,[]
4,4,['SET 3（허브순살치킨＋땅땅불갈비）'],멀어서 배달료 추가...,['https://rev-static.yogiyo.co.kr/a19a9640923b9eaf226587bc776183c6_tn.jpg']
5,5,['SET 2（불닭＋땅땅불갈비）'],빠른배달 감사합니다,[]
6,2,['SET 5（후왕＋매콤찹스）'],병아리 튀긴것도 아니고 양이 진짜 너무 하네요...  배고파서 후다닥 먹다 사진을 못찍었는데 앞으로 보지 맙시다,[]
7,4,['SET 3（허브순살치킨＋땅땅불갈비）'],맛잇게먹엇습니다 감사합니다,[]
8,5,['SET 2（불닭＋땅땅불갈비）'],굿입니다^^감사합니다,[]
9,5,['SET 4（후왕＋땅땅불갈비）'],진리의 땅땅불갈비에여ㅠㅠ 땅땅불갈비 들어있는 세트는 다 맛있는거같아요,['https://rev-static.yogiyo.co.kr/8ca92d35f8df7cda6b504956a687d7f3_tn.jpg']
10,5,['SET 3（허브순살치킨＋땅땅불갈비）'],너무너무 맛있어요 1주일에 1번은 시키는 듯,[]
11,5,['SET 2（불닭＋땅땅불갈비）'],맛있게 잘 먹었어요.,[]
12,5,['후왕'],치킨진짜 바삭하고 부드럽고 맛있어요,[]
13,5,['후왕'],항상 맛있게 먹고 있습니다,[]
14,5,['SET 5（후왕＋매콤찹스）'],겁나맛있어요 배부를때까지 먹어도 안질림,[]
15,4,['서울치킨'],맛잇어용 배달도빨랑요,[]
16,5,['SET 3（허브순살치킨＋땅땅불갈비）'],개빠름ㅁㅁㅁㅁㅁㅁㅁ,[]
17,5,['땅땅불갈비'],항상 맛있게 먹어요실망시키지않습니다,[]
18,4,['SET 3（허브순살치킨＋땅땅불갈비）'],후라이드는 간장소스가 뭍어있어서 단짠맛이구요 닭갈비도 맛있어요~,[]
19,5,['SET 5（후왕＋매콤찹스）'],배달이 엄청 빨리와서 깜짝놀랐네요. 치킨 바삭바삭하니 엄청 맛있고요 양도 적당합니다. 담에 또 시켜먹겠습니다.,['https://rev-static.yogiyo.co.kr/a194ba59a97ffcd458881c0d7e38a529_tn.jpg']
20,5,['SET 5（후왕＋매콤찹스）'],영통에서 개인적으로 제일 좋아하는곳 입니다,[]
21,5,['SET 3（허브순살치킨＋땅땅불갈비）'],근래에 먹은 치킨 중에 제일 맛있었어요! 나만 알고 싶은 집이랄까. 장사 흥하세요!,[]
22,5,['SET 3（허브순살치킨＋땅땅불갈비）'],배달도 빠르고 맛도 양도 우리 네 가족 모두 다 만족!,[]
23,4,['SET 3（허브순살치킨＋땅땅불갈비）'],갈비 약간 퍽퍽함,[]
24,5,['SET 4（후왕＋땅땅불갈비）'],믿고먹는 땅땅입니다너무 맛있었음,[]
25,5,"['허브순살치킨', '스몰매콤찹스']",역시! 역시 역시 역시 역시,[]
26,5,['SET 3（허브순살치킨＋땅땅불갈비）'],맛있게 잘먹었습니다,[]
27,4,['골드크런치킹'],바삭하고 맛있어요^^,[]
